,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,-0.00898073587805865,成長價值
2,薪資,成就感,-0.011647146493701839,經濟報酬
3,福利,成就感,-0.008926867517491425,經濟報酬
4,管理制度,成就感,-0.003909831197463958,經濟報酬
5,工作氛圍,成就感,-0.003909831197463954,人際價值
6,同事互動,成就感,-0.00862314321990806,人際價值
7,主管風格,成就感,-0.012934381215871598,人際價值
8,工作地點,成就感,-0.004268735831689083,組織文化與制度
9,公司規模,成就感,-0.005226923073743221,組織文化與制度
10,工作環境,成就感,-0.007750378959887198,組織文化與制度
11,產業前景,成就感,-0.008350487440699468,組織文化與制度
12,多元性,成就感,-0.003188758649654087,組織文化與制度
13,變化性,成就感,-0.009426944169097236,組織文化與制度
14,工學院,成就感,-0.002252252252252246,科系專業
15,面試,成就感,-0.020344410911122792,招募資訊
16,學經歷,成就感,0.15171056699667138,招募資訊
17,徵才,成就感,-0.010175416047117823,招募資訊
18,工作,成就感,0.18643505306646127,招募資訊
19,離職,成就感,-0.006724136442616493,招募資訊
20,新鮮人,成就感,-0.003909831197463959,招募資訊
21,畢業,成就感,-0.0022522522522522423,招募資訊
22,招募人員,成就感,-0.020071993796016582,招募資訊
23,正向,成就感,0.10464775553922138,情緒
24,負向,成就感,-0.028587105131584894,情緒
25,成就感,學習成長,-0.00898073587805865,成長價值
26,學習成長,學習成長,0.9999999999999999,成長價值
27,薪資,學習成長,0.18318937278292896,經濟報酬
28,福利,學習成長,0.00211877432681542,經濟報酬
29,管理制度,學習成長,0.3312926769807737,經濟報酬
30,工作氛圍,學習成長,-0.015590243622624603,人際價值
31,同事互動,學習成長,-0.0343843242333202,人際價值
32,主管風格,學習成長,-0.02288647551137203,人際價值
33,工作地點,學習成長,-0.01702135673269658,組織文化與制度
34,公司規模,學習成長,-0.020842077317617107,組織文化與制度
35,工作環境,學習成長,-0.030904223238762987,組織文化與制度
36,產業前景,學習成長,-0.03329712383813773,組織文化與制度
37,多元性,學習成長,-0.012715005249869791,組織文化與制度
38,變化性,學習成長,-0.03758943769962122,組織文化與制度
39,工學院,學習成長,-0.008980735878058673,科系專業
40,面試,學習成長,-0.022424037900708405,招募資訊
41,學經歷,學習成長,-0.04061932498600019,招募資訊
42,徵才,學習成長,-0.04057392944202506,招募資訊
43,工作,學習成長,0.016338458080896224,招募資訊
44,離職,學習成長,0.043372572729637654,招募資訊
45,新鮮人,學習成長,0.10003739657850812,招募資訊
46,畢業,學習成長,-0.008980735878058635,招募資訊
47,招募人員,學習成長,-0.03813480287009561,招募資訊
48,正向,學習成長,0.055257333621815626,情緒
49,負向,學習成長,-0.01334401582045594,情緒
50,成就感,薪資,-0.011647146493701839,成長價值
51,學習成長,薪資,0.183189372782929,成長價值
52,薪資,薪資,1.0,經濟報酬
53,福利,薪資,0.2488588488389843,經濟報酬
54,管理制度,薪資,-0.02021903926479371,經濟報酬
55,工作氛圍,薪資,-0.020219039264793667,人際價值
56,同事互動,薪資,0.0735256029465509,人際價值
57,主管風格,薪資,0.015792998341326442,人際價值
58,工作地點,薪資,0.07148112937239208,組織文化與制度
59,公司規模,薪資,0.020701670162966722,組織文化與制度
60,工作環境,薪資,-0.006773522070105702,組織文化與制度
61,產業前景,薪資,0.029441574277633432,組織文化與制度
62,多元性,薪資,-0.016490132971757557,組織文化與制度
63,變化性,薪資,-0.04874986787808807,組織文化與制度
64,工學院,薪資,-0.011647146493701828,科系專業
65,面試,薪資,0.027710538840929125,招募資訊
66,學經歷,薪資,-0.026100760866765587,招募資訊
67,徵才,薪資,0.07554651357725573,招募資訊
68,工作,薪資,0.08272088068547888,招募資訊
69,離職,薪資,-0.034772748972712264,招募資訊
70,新鮮人,薪資,0.12259798411351054,招募資訊
71,畢業,薪資,0.07062238032689058,招募資訊
72,招募人員,薪資,0.060089036555926435,招募資訊
73,正向,薪資,0.19262257848670403,情緒
74,負向,薪資,0.1546589586685749,情緒
75,成就感,福利,-0.008926867517491426,成長價值
76,學習成長,福利,0.0021187743268154197,成長價值
77,薪資,福利,0.24885884883898432,經濟報酬
78,福利,福利,1.0,經濟報酬
79,管理制度,福利,-0.015496730031288911,經濟報酬
80,工作氛圍,福利,-0.015496730031288868,人際價值
81,同事互動,福利,0.011087531825659696,人際價值
82,主管風格,福利,0.08452753490888039,人際價值
83,工作地點,福利,0.05478617206824521,組織文化與制度
84,公司規模,福利,-0.020717062112720588,組織文化與制度
85,工作環境,福利,0.045863161700155836,組織文化與制度
86,產業前景,福利,-0.033097400619782315,組織文化與制度
87,多元性,福利,-0.012638737948758283,組織文化與制度
88,變化性,福利,0.02597685413153764,組織文化與制度
89,工學院,福利,-0.008926867517491409,科系專業
90,面試,福利,0.01660788789987309,招募資訊
91,學經歷,福利,-0.04037568165052576,招募資訊
92,徵才,福利,-0.040330558398661544,招募資訊
93,工作,福利,0.01241664534436481,招募資訊
94,離職,福利,-0.026651310985591443,招募資訊
95,新鮮人,福利,0.09396429955479936,招募資訊
96,畢業,福利,-0.00892686751749144,招募資訊
97,招募人員,福利,-0.020056117579778095,招募資訊
98,正向,福利,0.21441919914198235,情緒
99,負向,福利,0.10583346455831572,情緒
100,成就感,管理制度,-0.003909831197463957,成長價值
101,學習成長,管理制度,0.3312926769807737,成長價值
102,薪資,管理制度,-0.02021903926479371,經濟報酬
103,福利,管理制度,-0.015496730031288911,經濟報酬
104,管理制度,管理制度,1.0,經濟報酬
105,工作氛圍,管理制度,-0.006787330316742103,人際價值
106,同事互動,管理制度,-0.014969475265340072,人際價值
107,主管風格,管理制度,-0.022453633755781664,人際價值
108,工作地點,管理制度,-0.0074103762186407875,組織文化與制度
109,公司規模,管理制度,0.32741135453235654,組織文化與制度
110,工作環境,管理制度,-0.013454387011593596,組織文化與制度
111,產業前景,管理制度,-0.014496154361496911,組織文化與制度
112,多元性,管理制度,-0.005535573574022677,組織文化與制度
113,變化性,管理制度,0.274929406443464,組織文化與制度
114,工學院,管理制度,-0.003909831197463954,科系專業
115,面試,管理制度,0.04986518721521046,招募資訊
116,學經歷,管理制度,-0.017683929936988703,招募資訊
117,徵才,管理制度,0.07268703055823018,招募資訊
118,工作,管理制度,0.030559861162004372,招募資訊
119,離職,管理制度,0.19203008749944214,招募資訊
120,新鮮人,管理制度,-0.006787330316742117,招募資訊
121,畢業,管理制度,-0.00390983119746396,招募資訊
122,招募人員,管理制度,-0.03484427974730182,招募資訊
123,正向,管理制度,0.08467521632613602,情緒
124,負向,管理制度,0.2132745687231329,情緒
125,成就感,工作氛圍,-0.003909831197463953,成長價值
126,學習成長,工作氛圍,-0.015590243622624603,成長價值
127,薪資,工作氛圍,-0.020219039264793667,經濟報酬
