,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,-0.010416666666666682,成長價值
2,薪資,成就感,-0.016842242116650794,經濟報酬
3,福利,成就感,-0.017159955576364523,經濟報酬
4,管理制度,成就感,-0.02003743819294755,經濟報酬
5,工作氛圍,成就感,-0.014808721943977313,人際價值
6,同事互動,成就感,-0.01995471427544083,人際價值
7,主管風格,成就感,0.1607676831979877,人際價值
8,工作地點,成就感,-0.010416666666666697,組織文化與制度
9,公司規模,成就感,-0.02338922497449215,組織文化與制度
10,工作環境,成就感,-0.02620712091804824,組織文化與制度
11,產業前景,成就感,-0.014808721943977313,組織文化與制度
12,變化性,成就感,-0.010416666666666697,組織文化與制度
13,面試,成就感,0.05245117593387973,招募資訊
14,學經歷,成就感,-0.021166687833365103,招募資訊
15,徵才,成就感,-0.023793343363340193,招募資訊
16,工作,成就感,-0.03834824944236859,招募資訊
17,離職,成就感,-0.010416666666666685,招募資訊
18,證照,成就感,-0.010416666666666685,招募資訊
19,招募人員,成就感,-0.036126228814431775,招募資訊
20,正向,成就感,-0.018959595704320358,情緒
21,負向,成就感,-0.05853174603174604,情緒
22,成就感,學習成長,-0.010416666666666682,成長價值
23,學習成長,學習成長,1.0,成長價值
24,薪資,學習成長,-0.016842242116650773,經濟報酬
25,福利,學習成長,-0.0171599555763645,經濟報酬
26,管理制度,學習成長,-0.020037438192947458,經濟報酬
27,工作氛圍,學習成長,-0.014808721943977294,人際價值
28,同事互動,學習成長,-0.019954714275440714,人際價值
29,主管風格,學習成長,0.160767683197987,人際價值
30,工作地點,學習成長,-0.010416666666666678,組織文化與制度
31,公司規模,學習成長,-0.023389224974492154,組織文化與制度
32,工作環境,學習成長,-0.026207120918048003,組織文化與制度
33,產業前景,學習成長,-0.014808721943977294,組織文化與制度
34,變化性,學習成長,-0.010416666666666678,組織文化與制度
35,面試,學習成長,0.2689517744694686,招募資訊
36,學經歷,學習成長,-0.02116668783336508,招募資訊
37,徵才,學習成長,-0.023793343363340054,招募資訊
38,工作,學習成長,0.2716334335501105,招募資訊
39,離職,學習成長,-0.010416666666666668,招募資訊
40,證照,學習成長,-0.010416666666666668,招募資訊
41,招募人員,學習成長,-0.03612622881443164,招募資訊
42,正向,學習成長,0.09969077741303922,情緒
43,負向,學習成長,0.03769841269841272,情緒
44,成就感,薪資,-0.016842242116650794,成長價值
45,學習成長,薪資,-0.016842242116650773,成長價值
46,薪資,薪資,1.0,經濟報酬
47,福利,薪資,0.30866495113201353,經濟報酬
48,管理制度,薪資,-0.03239763700253241,經濟報酬
49,工作氛圍,薪資,-0.023943559720187992,人際價值
50,同事互動,薪資,-0.03226388440277374,人際價值
51,主管風格,薪資,-0.06331824818968194,人際價值
52,工作地點,薪資,-0.01684224211665079,組織文化與制度
53,公司規模,薪資,-0.0378169910343563,組織文化與制度
54,工作環境,薪資,-0.04237312086548231,組織文化與制度
55,產業前景,薪資,-0.023943559720187992,組織文化與制度
56,變化性,薪資,-0.01684224211665079,組織文化與制度
57,面試,薪資,-0.09021910512831821,招募資訊
58,學經歷,薪資,-0.03422347020452167,招募資訊
59,徵才,薪資,-0.03847039197023794,招募資訊
60,工作,薪資,0.2721267714495413,招募資訊
61,離職,薪資,-0.016842242116650776,招募資訊
62,證照,薪資,-0.016842242116650776,招募資訊
63,招募人員,薪資,0.09897399530588046,招募資訊
64,正向,薪資,0.12921214317842805,情緒
65,負向,薪資,0.06095287623168857,情緒
66,成就感,福利,-0.017159955576364523,成長價值
67,學習成長,福利,-0.017159955576364495,成長價值
68,薪資,福利,0.3086649511320135,經濟報酬
69,福利,福利,0.9999999999999999,經濟報酬
70,管理制度,福利,-0.033008788728492236,經濟報酬
71,工作氛圍,福利,0.27139696742907826,人際價值
72,同事互動,福利,-0.03287251300853847,人際價值
73,主管風格,福利,-0.06451268890345532,人際價值
74,工作地點,福利,-0.017159955576364516,組織文化與制度
75,公司規模,福利,-0.038530373906676525,組織文化與制度
76,工作環境,福利,-0.043172450950859136,組織文化與制度
77,產業前景,福利,-0.02439523302733291,組織文化與制度
78,變化性,福利,-0.017159955576364516,組織文化與制度
79,面試,福利,-0.09192100585056566,招募資訊
80,學經歷,福利,-0.03486906460025469,招募資訊
