,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,管理制度,學習成長,-0.05504818825631801,經濟報酬
2,同事互動,學習成長,-0.04692819098614238,人際價值
3,主管風格,學習成長,-0.038499525175450945,人際價值
4,面試,學習成長,-0.0288848495716191,招募資訊
5,學經歷,學習成長,-0.038499525175450945,招募資訊
6,徵才,學習成長,-0.038499525175450966,招募資訊
7,招募人員,學習成長,-0.05504818825631804,招募資訊
8,正向,學習成長,0.011367373436136235,情緒
9,負向,學習成長,-0.1438183856002742,情緒
10,學習成長,管理制度,-0.05504818825631801,成長價值
11,管理制度,管理制度,1.0,經濟報酬
12,同事互動,管理制度,-0.03788857441502627,人際價值
13,主管風格,管理制度,-0.03108349360801044,人際價值
14,面試,管理制度,-0.13292890205101926,招募資訊
15,學經歷,管理制度,-0.03108349360801044,招募資訊
16,徵才,管理制度,-0.031083493608010458,招募資訊
17,招募人員,管理制度,-0.04444444444444442,招募資訊
18,正向,管理制度,-0.030036159018830198,情緒
19,負向,管理制度,-0.1161151429569068,情緒
20,學習成長,同事互動,-0.04692819098614238,成長價值
21,管理制度,同事互動,-0.03788857441502627,經濟報酬
22,同事互動,同事互動,1.0,人際價值
23,主管風格,同事互動,-0.02649845836453721,人際價值
24,面試,同事互動,0.3351914369602694,招募資訊
25,學經歷,同事互動,-0.026498458364537215,招募資訊
26,徵才,同事互動,-0.02649845836453718,招募資訊
27,招募人員,同事互動,-0.03788857441502629,招募資訊
28,正向,同事互動,0.7566458652683642,情緒
29,負向,同事互動,0.14587607672734393,情緒
30,學習成長,主管風格,-0.03849952517545095,成長價值
31,管理制度,主管風格,-0.03108349360801044,經濟報酬
32,同事互動,主管風格,-0.026498458364537212,人際價值
33,主管風格,主管風格,0.9999999999999998,人際價值
34,面試,主管風格,0.3669774877796484,招募資訊
35,學經歷,主管風格,-0.021739130434782632,招募資訊
36,徵才,主管風格,-0.021739130434782653,招募資訊
37,招募人員,主管風格,-0.03108349360801047,招募資訊
38,正向,主管風格,-0.1032826812288537,情緒
39,負向,主管風格,0.3205596585695538,情緒
40,學習成長,面試,-0.028884849571619103,成長價值
41,管理制度,面試,-0.13292890205101926,經濟報酬
42,同事互動,面試,0.3351914369602694,人際價值
43,主管風格,面試,0.36697748777964834,人際價值
44,面試,面試,0.9999999999999998,招募資訊
45,學經歷,面試,0.13700492877106868,招募資訊
46,徵才,面試,-0.0929676302375108,招募資訊
47,招募人員,面試,0.1958952240751863,招募資訊
48,正向,面試,0.20646325534207205,情緒
49,負向,面試,0.01443028319073708,情緒
50,學習成長,學經歷,-0.038499525175450945,成長價值
51,管理制度,學經歷,-0.03108349360801044,經濟報酬
52,同事互動,學經歷,-0.026498458364537215,人際價值
53,主管風格,學經歷,-0.021739130434782632,人際價值
54,面試,學經歷,0.13700492877106868,招募資訊
55,學經歷,學經歷,0.9999999999999998,招募資訊
56,徵才,學經歷,-0.021739130434782643,招募資訊
57,招募人員,學經歷,-0.03108349360801047,招募資訊
58,正向,學經歷,0.14354542136891532,情緒
59,負向,學經歷,-0.08120844683762023,情緒
60,學習成長,徵才,-0.038499525175450966,成長價值
61,管理制度,徵才,-0.031083493608010458,經濟報酬
62,同事互動,徵才,-0.02649845836453718,人際價值
63,主管風格,徵才,-0.021739130434782653,人際價值
64,面試,徵才,-0.0929676302375108,招募資訊
65,學經歷,徵才,-0.021739130434782643,招募資訊
66,徵才,徵才,1.0,招募資訊
67,招募人員,徵才,-0.031083493608010486,招募資訊
68,正向,徵才,-0.10328268122885365,情緒
69,負向,徵才,-0.08120844683762019,情緒
70,學習成長,招募人員,-0.05504818825631804,成長價值
71,管理制度,招募人員,-0.044444444444444425,經濟報酬
72,同事互動,招募人員,-0.03788857441502629,人際價值
73,主管風格,招募人員,-0.03108349360801047,人際價值
74,面試,招募人員,0.1958952240751863,招募資訊
75,學經歷,招募人員,-0.03108349360801047,招募資訊
76,徵才,招募人員,-0.03108349360801049,招募資訊
77,招募人員,招募人員,0.9999999999999999,招募資訊
78,正向,招募人員,0.14642627521679719,情緒
79,負向,招募人員,0.027500954910846333,情緒
80,學習成長,正向,0.011367373436136235,成長價值
81,管理制度,正向,-0.030036159018830198,經濟報酬
82,同事互動,正向,0.7566458652683642,人際價值
83,主管風格,正向,-0.1032826812288537,人際價值
84,面試,正向,0.20646325534207205,招募資訊
85,學經歷,正向,0.14354542136891532,招募資訊
86,徵才,正向,-0.10328268122885365,招募資訊
87,招募人員,正向,0.14642627521679716,招募資訊
88,正向,正向,1.0,情緒
89,負向,正向,0.018585518734616852,情緒
90,學習成長,負向,-0.1438183856002742,成長價值
91,管理制度,負向,-0.11611514295690681,經濟報酬
92,同事互動,負向,0.14587607672734393,人際價值
93,主管風格,負向,0.3205596585695538,人際價值
94,面試,負向,0.014430283190737078,招募資訊
95,學經歷,負向,-0.08120844683762023,招募資訊
96,徵才,負向,-0.08120844683762019,招募資訊
97,招募人員,負向,0.027500954910846333,招募資訊
98,正向,負向,0.018585518734616852,情緒
99,負向,負向,1.0,情緒
