,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.033057851239669415,經濟報酬
2,福利,學習成長,-0.028511365826689887,經濟報酬
3,管理制度,學習成長,-0.04859295307498615,經濟報酬
4,工作氛圍,學習成長,-0.028511365826689908,人際價值
5,同事互動,學習成長,-0.01632775472970684,人際價值
6,主管風格,學習成長,-0.07253605030847182,人際價值
7,工作地點,學習成長,-0.023184607747757765,組織文化與制度
8,工作環境,學習成長,-0.021976989927964867,組織文化與制度
9,產業前景,學習成長,-0.033057851239669415,組織文化與制度
10,變化性,學習成長,-0.016327754729706812,組織文化與制度
11,面試,學習成長,-0.06983829814521574,招募資訊
12,學經歷,學習成長,-0.03838398647049155,招募資訊
13,徵才,學習成長,-0.04476054217430274,招募資訊
14,實習,學習成長,-0.0330578512396694,招募資訊
15,工作,學習成長,0.029712828627038543,招募資訊
16,離職,學習成長,-0.01632775472970684,招募資訊
17,畢業,學習成長,-0.028511365826689932,招募資訊
18,證照,學習成長,-0.028511365826689884,招募資訊
19,招募人員,學習成長,-0.047543305488044744,招募資訊
20,正向,學習成長,0.06779827199474298,情緒
21,負向,學習成長,-0.06551238055973249,情緒
22,學習成長,薪資,-0.03305785123966942,成長價值
23,薪資,薪資,1.0,經濟報酬
24,福利,薪資,0.2684820282013305,經濟報酬
25,管理制度,薪資,0.4069659820030095,經濟報酬
26,工作氛圍,薪資,0.2684820282013307,人際價值
27,同事互動,薪資,-0.016327754729706854,人際價值
28,主管風格,薪資,0.24011933895218282,人際價值
29,工作地點,薪資,0.3390748883109564,組織文化與制度
30,工作環境,薪資,-0.02197698992796492,組織文化與制度
31,產業前景,薪資,0.225206611570248,組織文化與制度
32,變化性,薪資,0.49391458057363163,組織文化與制度
33,面試,薪資,0.5121475197315836,招募資訊
34,學經歷,薪資,-0.03838398647049157,招募資訊
35,徵才,薪資,0.5147462350044824,招募資訊
36,實習,薪資,-0.033057851239669415,招募資訊
37,工作,薪資,0.029712828627038557,招募資訊
38,離職,薪資,-0.016327754729706854,招募資訊
39,畢業,薪資,-0.028511365826689963,招募資訊
40,證照,薪資,-0.028511365826689918,招募資訊
41,招募人員,薪資,-0.04754330548804478,招募資訊
42,正向,薪資,0.25553082894221113,情緒
43,負向,薪資,0.30484655476538985,情緒
44,學習成長,福利,-0.028511365826689887,成長價值
45,薪資,福利,0.2684820282013305,經濟報酬
46,福利,福利,1.0,經濟報酬
47,管理制度,福利,0.13271470460393944,經濟報酬
48,工作氛圍,福利,-0.02459016393442628,人際價值
49,同事互動,福利,-0.01408217929387091,人際價值
50,主管風格,福利,-0.06256008144553271,人際價值
51,工作地點,福利,0.3965873571254045,組織文化與制度
52,工作環境,福利,0.24430203829070812,組織文化與制度
53,產業前景,福利,-0.02851136582668993,組織文化與制度
54,變化性,福利,-0.014082179293870923,組織文化與制度
55,面試,福利,-0.06023335433073388,招募資訊
56,學經歷,福利,-0.03310499137444374,招募資訊
57,徵才,福利,-0.038604571824109174,招募資訊
58,實習,福利,0.26848202820133027,招募資訊
59,工作,福利,-0.05250284398107534,招募資訊
60,離職,福利,-0.014082179293870909,招募資訊
61,畢業,福利,-0.024590163934426264,招募資訊
62,證照,福利,-0.024590163934426274,招募資訊
63,招募人員,福利,-0.04100461840523646,招募資訊
64,正向,福利,0.027633233265229144,情緒
65,負向,福利,0.002650028121815001,情緒
66,學習成長,管理制度,-0.04859295307498615,成長價值
67,薪資,管理制度,0.40696598200300943,經濟報酬
68,福利,管理制度,0.13271470460393942,經濟報酬
69,管理制度,管理制度,1.0,經濟報酬
70,工作氛圍,管理制度,0.3073393159249119,人際價值
71,同事互動,管理制度,-0.02400076803686599,人際價值
72,主管風格,管理制度,0.07721005688495929,人際價值
73,工作地點,管理制度,-0.034079908829549754,組織文化與制度
74,工作環境,管理制度,-0.032304786919046244,組織文化與制度
75,產業前景,管理制度,0.10326002528434591,組織文化與制度
76,變化性,管理制度,0.2760088324239587,組織文化與制度
77,面試,管理制度,0.2395350687902041,招募資訊
78,學經歷,管理制度,-0.0564220354150929,招募資訊
79,徵才,管理制度,0.18093671611393686,招募資訊
80,實習,管理制度,-0.0485929530749862,招募資訊
81,工作,管理制度,0.01704428532205412,招募資訊
82,離職,管理制度,-0.02400076803686599,招募資訊
83,畢業,管理制度,-0.04190990671703343,招募資訊
84,證照,管理制度,-0.041909906717033436,招募資訊
85,招募人員,管理制度,-0.06988565578146126,招募資訊
86,正向,管理制度,0.06812146279406237,情緒
87,負向,管理制度,0.08516901880896724,情緒
88,學習成長,工作氛圍,-0.028511365826689904,成長價值
89,薪資,工作氛圍,0.2684820282013307,經濟報酬
90,福利,工作氛圍,-0.02459016393442628,經濟報酬
91,管理制度,工作氛圍,0.3073393159249119,經濟報酬
92,工作氛圍,工作氛圍,1.0,人際價值
93,同事互動,工作氛圍,-0.014082179293870921,人際價值
94,主管風格,工作氛圍,0.20709544202659141,人際價值
95,工作地點,工作氛圍,-0.01999600119960012,組織文化與制度
96,工作環境,工作氛圍,-0.01895446848807229,組織文化與制度
97,產業前景,工作氛圍,0.26848202820133066,組織文化與制度
98,變化性,工作氛圍,0.5726752912840851,組織文化與制度
99,面試,工作氛圍,0.2743963919511207,招募資訊
100,學經歷,工作氛圍,0.1393168387007842,招募資訊
101,徵才,工作氛圍,0.2831001933768003,招募資訊
102,實習,工作氛圍,-0.028511365826689925,招募資訊
103,工作,工作氛圍,0.15584177499144644,招募資訊
104,離職,工作氛圍,-0.01408217929387092,招募資訊
105,畢業,工作氛圍,-0.024590163934426264,招募資訊
106,證照,工作氛圍,-0.02459016393442629,招募資訊
107,招募人員,工作氛圍,0.17256110245537007,招募資訊
108,正向,工作氛圍,0.4285618409080668,情緒
109,負向,工作氛圍,0.3812254740953837,情緒
110,學習成長,同事互動,-0.01632775472970684,成長價值
111,薪資,同事互動,-0.016327754729706854,經濟報酬
112,福利,同事互動,-0.014082179293870912,經濟報酬
113,管理制度,同事互動,-0.024000768036865988,經濟報酬
114,工作氛圍,同事互動,-0.014082179293870921,人際價值
115,同事互動,同事互動,0.9999999999999999,人際價值
116,主管風格,同事互動,-0.03582661286457668,人際價值
117,工作地點,同事互動,-0.011451215811497955,組織文化與制度
118,工作環境,同事互動,-0.010854755762541758,組織文化與制度
119,產業前景,同事互動,-0.016327754729706854,組織文化與制度
120,變化性,同事互動,-0.00806451612903229,組織文化與制度
121,面試,同事互動,-0.03449415373637061,招募資訊
122,學經歷,同事互動,-0.01895841057831681,招募資訊
123,徵才,同事互動,-0.022107884414269124,招募資訊
124,實習,同事互動,-0.016327754729706857,招募資訊
125,工作,同事互動,-0.03006708147010519,招募資訊
126,離職,同事互動,-0.0080645161290323,招募資訊
127,畢業,同事互動,-0.014082179293870924,招募資訊
128,證照,同事互動,-0.014082179293870931,招募資訊
129,招募人員,同事互動,-0.023482331789211667,招募資訊
130,正向,同事互動,0.19244172157542758,情緒
131,負向,同事互動,0.10991800752452999,情緒
132,學習成長,主管風格,-0.07253605030847184,成長價值
133,薪資,主管風格,0.24011933895218282,經濟報酬
134,福利,主管風格,-0.0625600814455327,經濟報酬
135,管理制度,主管風格,0.07721005688495929,經濟報酬
136,工作氛圍,主管風格,0.2070954420265914,人際價值
137,同事互動,主管風格,-0.035826612864576675,人際價值
138,主管風格,主管風格,1.0,人際價值
139,工作地點,主管風格,-0.05087202618769967,組織文化與制度
140,工作環境,主管風格,-0.04822225242307016,組織文化與制度
141,產業前景,主管風格,0.1619554916370189,組織文化與制度
142,變化性,主管風格,0.2730234980369466,組織文化與制度
143,面試,主管風格,0.4412263171383045,招募資訊
144,學經歷,主管風格,0.09729178459520763,招募資訊
145,徵才,主管風格,0.15578816257255756,招募資訊
146,實習,主管風格,0.005627797006691766,招募資訊
147,工作,主管風格,0.19542455053297184,招募資訊
148,離職,主管風格,-0.035826612864576675,招募資訊
149,畢業,主管風格,-0.06256008144553275,招募資訊
150,證照,主管風格,-0.06256008144553277,招募資訊
151,招募人員,主管風格,-0.048113222836769845,招募資訊
152,正向,主管風格,0.40850041668599085,情緒
153,負向,主管風格,0.42603892226574613,情緒
154,學習成長,工作地點,-0.023184607747757765,成長價值
155,薪資,工作地點,0.3390748883109564,經濟報酬
156,福利,工作地點,0.3965873571254045,經濟報酬
157,管理制度,工作地點,-0.03407990882954976,經濟報酬
158,工作氛圍,工作地點,-0.019996001199600117,人際價值
159,同事互動,工作地點,-0.011451215811497956,人際價值
160,主管風格,工作地點,-0.05087202618769967,人際價值
161,工作地點,工作地點,1.0,組織文化與制度
162,工作環境,工作地點,0.30569550424498626,組織文化與制度
163,產業前景,工作地點,-0.02318460774775778,組織文化與制度
164,變化性,工作地點,-0.011451215811497936,組織文化與制度
165,面試,工作地點,-0.04897999983510057,招募資訊
