,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.024097368713492006,經濟報酬
2,福利,學習成長,-0.014700305821297697,經濟報酬
3,管理制度,學習成長,-0.02409736871349204,經濟報酬
4,工作氛圍,學習成長,-0.020836999352882284,人際價值
5,同事互動,學習成長,0.09564394595788314,人際價值
6,主管風格,學習成長,-0.05250956053326643,人際價值
7,公司規模,學習成長,-0.01470030582129763,組織文化與制度
8,工作環境,學習成長,-0.029604078510773357,組織文化與制度
9,產業前景,學習成長,-0.024097368713492037,組織文化與制度
10,變化性,學習成長,-0.02960407851077341,組織文化與制度
11,工學院,學習成長,-0.01470030582129767,科系專業
12,面試,學習成長,0.009714693876995363,招募資訊
13,學經歷,學習成長,0.09496542323068671,招募資訊
14,徵才,學習成長,-0.02409736871349204,招募資訊
15,實習,學習成長,-0.025578742366160607,招募資訊
16,工作,學習成長,-0.0036695771506756888,招募資訊
17,離職,學習成長,-0.020836999352882243,招募資訊
18,畢業,學習成長,-0.014700305821297652,招募資訊
19,證照,學習成長,-0.014700305821297662,招募資訊
20,招募人員,學習成長,-0.020602513028148493,招募資訊
21,正向,學習成長,0.19264692752451468,情緒
22,負向,學習成長,0.010430804105910706,情緒
23,學習成長,薪資,-0.02409736871349201,成長價值
24,薪資,薪資,1.0,經濟報酬
25,福利,薪資,0.40419682524185035,經濟報酬
26,管理制度,薪資,0.4938650306748461,經濟報酬
27,工作氛圍,薪資,-0.010609818306560558,人際價值
28,同事互動,薪資,-0.015073854388204487,人際價值
29,主管風格,薪資,0.17378989012151233,人際價值
30,公司規模,薪資,-0.007485126393367616,組織文化與制度
31,工作環境,薪資,-0.015073854388204508,組織文化與制度
32,產業前景,薪資,-0.012269938650306761,組織文化與制度
33,變化性,薪資,-0.015073854388204517,組織文化與制度
34,工學院,薪資,-0.007485126393367618,科系專業
35,面試,薪資,0.361438862825543,招募資訊
36,學經歷,薪資,0.20953683228978479,招募資訊
37,徵才,薪資,-0.012269938650306766,招募資訊
38,實習,薪資,-0.013024226973340424,招募資訊
39,工作,薪資,0.15962170128509245,招募資訊
40,離職,薪資,0.5729301885542679,招募資訊
41,畢業,薪資,-0.007485126393367616,招募資訊
42,證照,薪資,-0.007485126393367616,招募資訊
43,招募人員,薪資,-0.035576214302542125,招募資訊
44,正向,薪資,0.0828009092223433,情緒
45,負向,薪資,0.000561343629782966,情緒
46,學習成長,福利,-0.014700305821297699,成長價值
47,薪資,福利,0.40419682524185035,經濟報酬
48,福利,福利,0.9999999999999998,經濟報酬
49,管理制度,福利,0.40419682524185063,經濟報酬
