,item1,item2,value,class
0,成就感,成就感,0.9999999999999999,成長價值
1,學習成長,成就感,0.09220651417032798,成長價值
2,薪資,成就感,-0.015283640926227807,經濟報酬
3,福利,成就感,-0.009360897450755632,經濟報酬
4,管理制度,成就感,-0.0230199964377725,經濟報酬
5,工作氛圍,成就感,-0.013790650537623045,人際價值
6,同事互動,成就感,-0.012716823607246809,人際價值
7,主管風格,成就感,0.03486438456996426,人際價值
8,工作地點,成就感,-0.011127137229821062,組織文化與制度
9,公司規模,成就感,-0.008839964695033627,組織文化與制度
10,工作環境,成就感,-0.013646695497958179,組織文化與制度
11,產業前景,成就感,-0.003521384359845146,組織文化與制度
12,多元性,成就感,-0.006108814138623275,組織文化與制度
13,變化性,成就感,-0.004983903068381888,組織文化與制度
14,工學院,成就感,-0.01757800009444291,科系專業
15,面試,成就感,-0.0030267594306091035,招募資訊
16,學經歷,成就感,-0.025198878941282216,招募資訊
17,徵才,成就感,-0.016898798699640203,招募資訊
18,實習,成就感,-0.006108814138623275,招募資訊
19,工作,成就感,-0.031175936032491375,招募資訊
20,離職,成就感,-0.008104002524578161,招募資訊
21,新鮮人,成就感,-0.004983903068381874,招募資訊
22,畢業,成就感,-0.006108814138623294,招募資訊
23,證照,成就感,-0.015221927409605932,招募資訊
24,招募人員,成就感,0.009818552037556447,招募資訊
25,正向,成就感,0.015878109789507336,情緒
26,負向,成就感,0.0051328645136507825,情緒
27,成就感,學習成長,0.09220651417032798,成長價值
28,學習成長,學習成長,0.9999999999999998,成長價值
29,薪資,學習成長,0.02395845821633424,經濟報酬
30,福利,學習成長,0.0729246182023039,經濟報酬
31,管理制度,學習成長,0.010753631757904622,經濟報酬
32,工作氛圍,學習成長,0.036035127955546,人際價值
33,同事互動,學習成長,0.08363736940874014,人際價值
34,主管風格,學習成長,0.08368253443701307,人際價值
35,工作地點,學習成長,-0.02133244845012076,組織文化與制度
36,公司規模,學習成長,0.04312218556127643,組織文化與制度
37,工作環境,學習成長,-0.026162832560785314,組織文化與制度
38,產業前景,學習成長,-0.0067510401622561415,組織文化與制度
39,多元性,學習成長,-0.011711544489116167,組織文化與制度
40,變化性,學習成長,-0.009554915436983885,組織文化與制度
41,工學院,學習成長,-0.03369975341599629,科系專業
