,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,0.17236919491870825,經濟報酬
2,福利,學習成長,0.038108684595222944,經濟報酬
3,管理制度,學習成長,0.011289700370972799,經濟報酬
4,工作氛圍,學習成長,-0.02281683442002502,人際價值
5,同事互動,學習成長,-0.025336252736940918,人際價值
6,主管風格,學習成長,-0.04850971303220883,人際價值
7,工作地點,學習成長,-0.014872079906779205,組織文化與制度
8,公司規模,學習成長,-0.013083993918953868,組織文化與制度
9,工作環境,學習成長,-0.024944069428025867,組織文化與制度
10,產業前景,學習成長,-0.009236192303786632,組織文化與制度
11,變化性,學習成長,0.08905728721830976,組織文化與制度
12,管理學院/商學院,學習成長,-0.009236192303786656,科系專業
13,面試,學習成長,-0.021019223400820075,招募資訊
14,學經歷,學習成長,-0.0392296905216255,招募資訊
15,徵才,學習成長,0.09867339982495772,招募資訊
16,工作,學習成長,-0.0026594705521642086,招募資訊
17,離職,學習成長,-0.013083993918953858,招募資訊
18,畢業,學習成長,-0.017530818755037918,招募資訊
19,證照,學習成長,-0.02643730527085873,招募資訊
20,招募人員,學習成長,-0.029453262678540787,招募資訊
21,正向,學習成長,0.08552241281416327,情緒
22,負向,學習成長,0.11155228505474969,情緒
23,學習成長,薪資,0.17236919491870828,成長價值
24,薪資,薪資,1.0,經濟報酬
25,福利,薪資,0.3754402899074423,經濟報酬
26,管理制度,薪資,-0.0061916311848389085,經濟報酬
27,工作氛圍,薪資,-0.02892003933730388,人際價值
28,同事互動,薪資,-0.03211336911702053,人際價值
29,主管風格,薪資,-0.061485427088937214,人際價值
30,工作地點,薪資,-0.018850166855490947,組織文化與制度
31,公司規模,薪資,-0.016583791242009416,組織文化與制度
32,工作環境,薪資,-0.031616281900079424,組織文化與制度
33,產業前景,薪資,-0.011706752998040167,組織文化與制度
34,變化性,薪資,-0.024981406365561933,組織文化與制度
35,管理學院/商學院,薪資,-0.01170675299804015,科系專業
36,面試,薪資,0.06060230011331673,招募資訊
37,學經歷,薪資,-0.00016629805978866198,招募資訊
38,徵才,薪資,0.2514383272735274,招募資訊
39,工作,薪資,0.039809516966771236,招募資訊
40,離職,薪資,0.17349196991640672,招募資訊
41,畢業,薪資,-0.0222200835873132,招募資訊
42,證照,薪資,-0.03350893880943132,招募資訊
43,招募人員,薪資,0.15368527652440114,招募資訊
44,正向,薪資,0.1181813278834746,情緒
45,負向,薪資,-0.04182501433609946,情緒
46,學習成長,福利,0.03810868459522295,成長價值
47,薪資,福利,0.3754402899074423,經濟報酬
48,福利,福利,1.0,經濟報酬
49,管理制度,福利,0.06670773769173849,經濟報酬
50,工作氛圍,福利,-0.032090666548435225,人際價值
51,同事互動,福利,-0.035634094686442186,人際價值
52,主管風格,福利,-0.029719805715714562,人際價值
53,工作地點,福利,-0.020916791014237893,組織文化與制度
54,公司規模,福利,-0.018401942979715133,組織文化與制度
55,工作環境,福利,-0.03508250967861113,組織文化與制度
56,產業前景,福利,-0.012990214240144972,組織文化與制度
57,變化性,福利,-0.027720224451912693,組織文化與制度
58,管理學院/商學院,福利,-0.012990214240145034,科系專業
59,面試,福利,0.14950813072891392,招募資訊
60,學經歷,福利,-0.05517447749995155,招募資訊
61,徵才,福利,0.1659868679597604,招募資訊
62,工作,福利,0.004455481441658357,招募資訊
63,離職,福利,-0.018401942979715192,招募資訊
64,畢業,福利,-0.02465616608477623,招募資訊
65,證照,福利,0.04938322912347623,招募資訊
