,item1,item2,value,class
0,成就感,成就感,0.9999999999999999,成長價值
1,學習成長,成就感,0.18425707122785487,成長價值
2,薪資,成就感,0.23995531050620264,經濟報酬
3,福利,成就感,-0.02273057512328853,經濟報酬
4,管理制度,成就感,-0.022829488526066952,經濟報酬
5,工作氛圍,成就感,-0.021425363329906025,人際價值
6,同事互動,成就感,-0.011173184357541912,人際價值
7,主管風格,成就感,0.29270723093475504,人際價值
8,工作環境,成就感,-0.020474685672399025,組織文化與制度
9,產業前景,成就感,-0.007878657654117754,組織文化與制度
10,變化性,成就感,-0.00787865765411775,組織文化與制度
11,工學院,成就感,-0.022730575123288525,科系專業
12,社會學院,成就感,0.7051398600435372,科系專業
13,面試,成就感,0.04639298242778128,招募資訊
14,徵才,成就感,-0.019572445083440502,招募資訊
15,實習,成就感,0.09120463405766494,招募資訊
16,工作,成就感,0.08770397364094842,招募資訊
17,離職,成就感,-0.013722685448323441,招募資訊
18,新鮮人,成就感,0.4002449922427664,招募資訊
19,畢業,成就感,-0.007878657654117754,招募資訊
20,出路,成就感,-0.011173184357541895,招募資訊
21,能力,成就感,0.14325715052520488,招募資訊
22,招募人員,成就感,0.22432027434552132,招募資訊
23,正向,成就感,0.027114046281805932,情緒
24,負向,成就感,0.047442955331451785,情緒
25,成就感,學習成長,0.18425707122785487,成長價值
26,學習成長,學習成長,1.0,成長價值
27,薪資,學習成長,-0.01847285595566163,經濟報酬
28,福利,學習成長,-0.05730192509946478,經濟報酬
29,管理制度,學習成長,-0.05755127771665984,經濟報酬
30,工作氛圍,學習成長,-0.054011592671988566,人際價值
31,同事互動,學習成長,-0.028166686047570267,人際價值
32,主管風格,學習成長,0.03790006413792825,人際價值
33,工作環境,學習成長,-0.051615011871514654,組織文化與制度
34,產業前景,學習成長,-0.019861453057473995,組織文化與制度
35,變化性,學習成長,-0.01986145305747402,組織文化與制度
36,工學院,學習成長,0.05073607951515099,科系專業
37,社會學院,學習成長,-0.019861453057473985,科系專業
38,面試,學習成長,-0.05514853283985254,招募資訊
39,徵才,學習成長,-0.04934053696844764,招募資訊
40,實習,學習成長,0.021320850351401757,招募資訊
41,工作,學習成長,-0.10425597186067187,招募資訊
42,離職,學習成長,-0.03459377026134748,招募資訊
43,新鮮人,學習成長,0.13933601910820514,招募資訊
44,畢業,學習成長,-0.01986145305747398,招募資訊
45,出路,學習成長,-0.028166686047570163,招募資訊
46,能力,學習成長,0.15028066679458538,招募資訊
47,招募人員,學習成長,0.02638116828977522,招募資訊
48,正向,學習成長,0.03454965892842984,情緒
49,負向,學習成長,0.07906130364063477,情緒
50,成就感,薪資,0.23995531050620267,成長價值
51,學習成長,薪資,-0.01847285595566163,成長價值
52,薪資,薪資,1.0,經濟報酬
53,福利,薪資,0.07655954290776584,經濟報酬
54,管理制度,薪資,0.18963635235241766,經濟報酬
55,工作氛圍,薪資,-0.005430118678736744,人際價值
56,同事互動,薪資,-0.02980811310636064,人際價值
57,主管風格,薪資,0.09937137153673253,人際價值
58,工作環境,薪資,-0.05462290129743446,組織文化與制度
59,產業前景,薪資,-0.021018888703981112,組織文化與制度
60,變化性,薪資,-0.021018888703981005,組織文化與制度
61,工學院,薪資,-0.0606412221051611,科系專業
62,社會學院,薪資,0.35942299683807616,科系專業
63,面試,薪資,0.0008301539725009987,招募資訊
64,徵才,薪資,-0.05221588028496255,招募資訊
65,實習,薪資,0.011525594460605651,招募資訊
66,工作,薪資,0.23397895197191654,招募資訊
67,離職,薪資,-0.03660973871701362,招募資訊
68,新鮮人,薪資,-0.036609738717013625,招募資訊
69,畢業,薪資,-0.021018888703981043,招募資訊
70,出路,薪資,-0.029808113106360546,招募資訊
71,能力,薪資,-0.0641084798741392,招募資訊
72,招募人員,薪資,0.2072276402525257,招募資訊
73,正向,薪資,0.1152625660068155,情緒
74,負向,薪資,0.07508845544905976,情緒
75,成就感,福利,-0.02273057512328853,成長價值
76,學習成長,福利,-0.05730192509946478,成長價值
77,薪資,福利,0.07655954290776584,經濟報酬
78,福利,福利,1.0,經濟報酬
79,管理制度,福利,0.2401366046373599,經濟報酬
80,工作氛圍,福利,0.15364582945493976,人際價值
81,同事互動,福利,-0.02273057512328856,人際價值
82,主管風格,福利,0.08707485174952806,人際價值
83,工作環境,福利,0.5080849897321101,組織文化與制度
84,產業前景,福利,-0.016028234561144827,組織文化與制度
85,變化性,福利,-0.01602823456114482,組織文化與制度
86,工學院,福利,-0.046242774566473986,科系專業
87,社會學院,福利,-0.016028234561144827,科系專業
88,面試,福利,0.22458710440242116,招募資訊
89,徵才,福利,0.1103288131608764,招募資訊
90,實習,福利,-0.06696378003629277,招募資訊
91,工作,福利,0.04714449409460666,招募資訊
92,離職,福利,-0.027917245656635475,招募資訊
93,新鮮人,福利,0.1826253153371569,招募資訊
94,畢業,福利,-0.016028234561144824,招募資訊
95,出路,福利,-0.02273057512328853,招募資訊
96,能力,福利,0.1212768154685661,招募資訊
97,招募人員,福利,0.08344172614291426,招募資訊
98,正向,福利,0.5461788720506195,情緒
99,負向,福利,0.1455893079754464,情緒
100,成就感,管理制度,-0.022829488526066952,成長價值
101,學習成長,管理制度,-0.05755127771665985,成長價值
102,薪資,管理制度,0.18963635235241766,經濟報酬
103,福利,管理制度,0.2401366046373599,經濟報酬
104,管理制度,管理制度,1.0,經濟報酬
105,工作氛圍,管理制度,-0.04377714272446809,人際價值
106,同事互動,管理制度,-0.022829488526066984,人際價值
107,主管風格,管理制度,0.04103402367930733,人際價值
108,工作環境,管理制度,0.0728937620803975,組織文化與制度
109,產業前景,管理制度,-0.01609798234413643,組織文化與制度
110,變化性,管理制度,0.24878699986392583,組織文化與制度
111,工學院,管理制度,-0.046444002655137755,科系專業
112,社會學院,管理制度,-0.01609798234413644,科系專業
113,面試,管理制度,-0.019336719393007382,招募資訊
114,徵才,管理制度,-0.039991187486123486,招募資訊
115,實習,管理制度,-0.0672551767700037,招募資訊
116,工作,管理制度,0.10728171556568628,招募資訊
117,離職,管理制度,-0.028038729154044678,招募資訊
118,新鮮人,管理制度,0.1257494519635942,招募資訊
119,畢業,管理制度,-0.016097982344136445,招募資訊
120,出路,管理制度,-0.022829488526067004,招募資訊
121,能力,管理制度,-0.04909951195125995,招募資訊
122,招募人員,管理制度,0.03273185185928104,招募資訊
123,正向,管理制度,0.010568199412835376,情緒
124,負向,管理制度,0.0073272326171833525,情緒
125,成就感,工作氛圍,-0.02142536332990603,成長價值
126,學習成長,工作氛圍,-0.05401159267198857,成長價值
127,薪資,工作氛圍,-0.005430118678736744,經濟報酬
128,福利,工作氛圍,0.1536458294549398,經濟報酬
129,管理制度,工作氛圍,-0.04377714272446809,經濟報酬
130,工作氛圍,工作氛圍,1.0,人際價值
131,同事互動,工作氛圍,-0.021425363329906147,人際價值
132,主管風格,工作氛圍,-0.03506570436264626,人際價值
133,工作環境,工作氛圍,0.2568365837376674,組織文化與制度
134,產業前景,工作氛圍,-0.015107877699831991,組織文化與制度
135,變化性,工作氛圍,-0.015107877699831903,組織文化與制度
136,工學院,工作氛圍,-0.04358746934891924,科系專業
137,社會學院,工作氛圍,-0.015107877699831984,科系專業
138,面試,工作氛圍,-0.009221649186316457,招募資訊
139,徵才,工作氛圍,0.18890872048643603,招募資訊
140,實習,工作氛圍,-0.06311865447485053,招募資訊
141,工作,工作氛圍,0.5146535876652125,招募資訊
142,離職,工作氛圍,-0.026314210182514782,招募資訊
143,新鮮人,工作氛圍,-0.02631421018251482,招募資訊
144,畢業,工作氛圍,-0.015107877699831927,招募資訊
145,出路,工作氛圍,-0.021425363329906053,招募資訊
146,能力,工作氛圍,0.08223445558437772,招募資訊
147,招募人員,工作氛圍,-0.06194934382574749,招募資訊
148,正向,工作氛圍,0.20626763764926417,情緒
149,負向,工作氛圍,0.09097518871016695,情緒
150,成就感,同事互動,-0.011173184357541912,成長價值
151,學習成長,同事互動,-0.028166686047570264,成長價值
152,薪資,同事互動,-0.02980811310636064,經濟報酬
153,福利,同事互動,-0.02273057512328856,經濟報酬
154,管理制度,同事互動,-0.022829488526066984,經濟報酬
155,工作氛圍,同事互動,-0.021425363329906147,人際價值
156,同事互動,同事互動,0.9999999999999999,人際價值
157,主管風格,同事互動,0.07056882926099978,人際價值
158,工作環境,同事互動,-0.02047468567239907,組織文化與制度
159,產業前景,同事互動,-0.007878657654117719,組織文化與制度
160,變化性,同事互動,-0.007878657654117762,組織文化與制度
161,工學院,同事互動,-0.02273057512328856,科系專業
162,社會學院,同事互動,-0.007878657654117719,科系專業
163,面試,同事互動,-0.0560110397603703,招募資訊
164,徵才,同事互動,-0.019572445083440502,招募資訊
165,實習,同事互動,-0.03291595815614971,招募資訊
166,工作,同事互動,-0.041356345294105916,招募資訊
167,離職,同事互動,-0.01372268544832342,招募資訊
168,新鮮人,同事互動,-0.013722685448323436,招募資訊
169,畢業,同事互動,-0.007878657654117768,招募資訊
170,出路,同事互動,-0.011173184357541912,招募資訊
171,能力,同事互動,0.1432571505252052,招募資訊
172,招募人員,同事互動,0.13266797263775773,招募資訊
173,正向,同事互動,-0.05333910743961829,情緒
174,負向,同事互動,-0.0490421560729615,情緒
175,成就感,主管風格,0.29270723093475504,成長價值
176,學習成長,主管風格,0.03790006413792825,成長價值
177,薪資,主管風格,0.09937137153673252,經濟報酬
178,福利,主管風格,0.08707485174952806,經濟報酬
179,管理制度,主管風格,0.04103402367930733,經濟報酬
180,工作氛圍,主管風格,-0.03506570436264627,人際價值
181,同事互動,主管風格,0.07056882926099978,人際價值
182,主管風格,主管風格,1.0,人際價值
183,工作環境,主管風格,-0.006372106376597313,組織文化與制度
184,產業前景,主管風格,-0.02855842634472595,組織文化與制度
185,變化性,主管風格,-0.02855842634472593,組織文化與制度
186,工學院,主管風格,0.030585431797325344,科系專業
187,社會學院,主管風格,-0.02855842634472595,科系專業
188,面試,主管風格,0.2019092681728368,招募資訊
189,徵才,主管風格,0.05876324686763211,招募資訊
190,實習,主管風格,-0.03751135136522623,招募資訊
191,工作,主管風格,0.10526440282602145,招募資訊
192,離職,主管風格,-0.049741760441001454,招募資訊
193,新鮮人,主管風格,0.3140262654103625,招募資訊
194,畢業,主管風格,-0.02855842634472598,招募資訊
195,出路,主管風格,-0.04050037157587803,招募資訊
196,能力,主管風格,0.05989695231941996,招募資訊
197,招募人員,主管風格,0.8231796389414595,招募資訊
198,正向,主管風格,0.19549095580085266,情緒
199,負向,主管風格,0.24615719719139528,情緒
200,成就感,工作環境,-0.020474685672399025,成長價值
201,學習成長,工作環境,-0.051615011871514654,成長價值
202,薪資,工作環境,-0.05462290129743446,經濟報酬
203,福利,工作環境,0.5080849897321101,經濟報酬
204,管理制度,工作環境,0.07289376208039751,經濟報酬
205,工作氛圍,工作環境,0.2568365837376674,人際價值
206,同事互動,工作環境,-0.02047468567239907,人際價值
207,主管風格,工作環境,-0.006372106376597313,人際價值
208,工作環境,工作環境,1.0,組織文化與制度
