,item1,item2,value,class
0,成就感,成就感,0.9999999999999999,成長價值
1,學習成長,成就感,-0.018480181136231132,成長價值
2,薪資,成就感,0.899315855759398,經濟報酬
3,福利,成就感,-0.03328969489741434,經濟報酬
4,管理制度,成就感,0.7048383381184937,經濟報酬
5,工作氛圍,成就感,-0.013698630136986283,人際價值
6,主管風格,成就感,0.21934507504053352,人際價值
7,公司規模,成就感,-0.013698630136986283,組織文化與制度
8,工作環境,成就感,-0.02978190161064054,組織文化與制度
9,產業前景,成就感,-0.04093861155006919,組織文化與制度
10,多元性,成就感,0.9999999999999999,組織文化與制度
11,變化性,成就感,0.9999999999999999,組織文化與制度
12,面試,成就感,-0.06236149046164239,招募資訊
13,學經歷,成就感,0.7266578038378494,招募資訊
14,徵才,成就感,-0.03601266067573251,招募資訊
15,工作,成就感,0.7880791644365678,招募資訊
16,離職,成就感,0.7048383381184935,招募資訊
17,招募人員,成就感,0.1894209852061154,招募資訊
18,正向,成就感,0.6795102258094673,情緒
19,負向,成就感,0.4337410162145523,情緒
20,成就感,學習成長,-0.01848018113623113,成長價值
21,學習成長,學習成長,1.0,成長價值
22,薪資,學習成長,-0.043219209545056085,經濟報酬
23,福利,學習成長,-0.044909570192208474,經濟報酬
24,管理制度,學習成長,-0.04017737035326187,經濟報酬
25,工作氛圍,學習成長,-0.018480181136231122,人際價值
26,主管風格,學習成長,0.052605898741425246,人際價值
27,公司規模,學習成長,-0.01848018113623112,組織文化與制度
28,工作環境,學習成長,-0.04017737035326187,組織文化與制度
29,產業前景,學習成長,0.06861706060711731,組織文化與制度
30,多元性,學習成長,-0.01848018113623113,組織文化與制度
31,變化性,學習成長,-0.01848018113623113,組織文化與制度
32,面試,學習成長,-0.08412896969492481,招募資訊
33,學經歷,學習成長,-0.041421128968119544,招募資訊
34,徵才,學習成長,-0.048582995951417046,招募資訊
35,工作,學習成長,0.13485519669295268,招募資訊
36,離職,學習成長,-0.04017737035326186,招募資訊
37,招募人員,學習成長,-0.06496753997941626,招募資訊
38,正向,學習成長,0.07361607901796362,情緒
39,負向,學習成長,0.01351807924400453,情緒
40,成就感,薪資,0.8993158557593979,成長價值
41,學習成長,薪資,-0.043219209545056085,成長價值
42,薪資,薪資,1.0,經濟報酬
43,福利,薪資,0.14504924298940064,經濟報酬
44,管理制度,薪資,0.7893701195106828,經濟報酬
45,工作氛圍,薪資,-0.03203669715173429,人際價值
46,主管風格,薪資,0.16274828127542237,人際價值
47,公司規模,薪資,-0.03203669715173428,組織文化與制度
48,工作環境,薪資,-0.038971003799371906,組織文化與制度
49,產業前景,薪資,-0.09574226670307028,組織文化與制度
50,多元性,薪資,0.8993158557593979,組織文化與制度
51,變化性,薪資,0.8993158557593979,組織文化與制度
52,面試,薪資,-0.020350256012243672,招募資訊
53,學經歷,薪資,0.6662042668753971,招募資訊
54,徵才,薪資,0.02707137301173828,招募資訊
55,工作,薪資,0.7223133668994715,招募資訊
56,離職,薪資,0.6052943143306704,招募資訊
57,招募人員,薪資,0.2445589056621805,招募資訊
58,正向,薪資,0.6777028548693863,情緒
59,負向,薪資,0.4304303928920065,情緒
60,成就感,福利,-0.03328969489741434,成長價值
61,學習成長,福利,-0.044909570192208474,成長價值
62,薪資,福利,0.14504924298940064,經濟報酬
63,福利,福利,0.9999999999999998,經濟報酬
64,管理制度,福利,0.07639522166006517,經濟報酬
65,工作氛圍,福利,-0.03328969489741433,人際價值
66,主管風格,福利,-0.06959145548770895,人際價值
67,公司規模,福利,-0.033289694897414325,組織文化與制度
68,工作環境,福利,-0.07237442052006186,組織文化與制度
69,產業前景,福利,0.01205901500919596,組織文化與制度
70,多元性,福利,-0.03328969489741434,組織文化與制度
71,變化性,福利,-0.03328969489741434,組織文化與制度
72,面試,福利,0.0005873939315099979,招募資訊
73,學經歷,福利,0.07876016526484134,招募資訊
74,徵才,福利,-0.08751608550276495,招募資訊
75,工作,福利,-0.04971477686395137,招募資訊
76,離職,福利,-0.07237442052006184,招募資訊
77,招募人員,福利,0.027307176586365056,招募資訊
78,正向,福利,0.12287474154085493,情緒
79,負向,福利,-0.018553218831810152,情緒
80,成就感,管理制度,0.7048383381184937,成長價值
81,學習成長,管理制度,-0.04017737035326187,成長價值
82,薪資,管理制度,0.7893701195106828,經濟報酬
83,福利,管理制度,0.07639522166006517,經濟報酬
84,管理制度,管理制度,1.0,經濟報酬
85,工作氛圍,管理制度,-0.02978190161064055,人際價值
86,主管風格,管理制度,0.08477750780185062,人際價值
87,公司規模,管理制度,-0.02978190161064054,組織文化與制度
88,工作環境,管理制度,0.06834532374100716,組織文化與制度
89,產業前景,管理制度,-0.08900376819200877,組織文化與制度
90,多元性,管理制度,0.7048383381184937,組織文化與制度
91,變化性,管理制度,0.7048383381184937,組織文化與制度
92,面試,管理制度,-0.01891797145746585,招募資訊
93,學經歷,管理制度,0.4821020517924729,招募資訊
94,徵才,管理制度,-0.07829436273968958,招募資訊
95,工作,管理制度,0.591331880540091,招募資訊
96,離職,管理制度,0.4676258992805755,招募資訊
97,招募人員,管理制度,0.32573028935457154,招募資訊
98,正向,管理制度,0.5018518700714693,情緒
99,負向,管理制度,0.2520856752771235,情緒
100,成就感,工作氛圍,-0.013698630136986283,成長價值
101,學習成長,工作氛圍,-0.018480181136231125,成長價值
102,薪資,工作氛圍,-0.03203669715173428,經濟報酬
103,福利,工作氛圍,-0.033289694897414325,經濟報酬
104,管理制度,工作氛圍,-0.02978190161064055,經濟報酬
105,工作氛圍,工作氛圍,0.9999999999999999,人際價值
106,主管風格,工作氛圍,-0.05118051750945782,人際價值
107,公司規模,工作氛圍,-0.013698630136986282,組織文化與制度
108,工作環境,工作氛圍,-0.029781901610640538,組織文化與制度
109,產業前景,工作氛圍,-0.04093861155006917,組織文化與制度
