,item1,item2,value,class
0,學習成長,學習成長,0.9999999999999999,成長價值
1,薪資,學習成長,-0.05895286441241157,經濟報酬
2,福利,學習成長,-0.0542193270320819,經濟報酬
3,管理制度,學習成長,-0.05769230769230769,經濟報酬
4,工作氛圍,學習成長,-0.03268602252303064,人際價值
5,同事互動,學習成長,-0.057692307692307696,人際價值
6,主管風格,學習成長,0.09435641951204962,人際價值
7,公司規模,學習成長,-0.032686022523030635,組織文化與制度
8,產業前景,學習成長,-0.046659063586875146,組織文化與制度
9,品牌,學習成長,-0.03268602252303064,產品與服務
10,面試,學習成長,0.049818302927795245,招募資訊
11,學經歷,學習成長,-0.07925286978858904,招募資訊
12,徵才,學習成長,0.202547873416733,招募資訊
13,工作,學習成長,0.1285757127148628,招募資訊
14,招募人員,學習成長,0.32659958054950405,招募資訊
15,正向,學習成長,0.1287441536250965,情緒
16,負向,學習成長,0.08945694254775925,情緒
17,學習成長,薪資,-0.05895286441241157,成長價值
18,薪資,薪資,1.0,經濟報酬
19,福利,薪資,0.17313750106545367,經濟報酬
20,管理制度,薪資,-0.058952864412411585,經濟報酬
21,工作氛圍,薪資,-0.03340020066900839,人際價值
22,同事互動,薪資,0.04912738701034286,人際價值
23,主管風格,薪資,-0.115701689083437,人際價值
24,公司規模,薪資,-0.03340020066900838,組織文化與制度
25,產業前景,薪資,-0.0476785477869503,組織文化與制度
26,品牌,薪資,-0.03340020066900839,產品與服務
27,面試,薪資,-0.0029369316577587488,招募資訊
28,學經歷,薪資,-0.08098451724031411,招募資訊
29,徵才,薪資,-0.07761505257063323,招募資訊
30,工作,薪資,0.06686560428310344,招募資訊
31,招募人員,薪資,-0.10856461457091048,招募資訊
32,正向,薪資,0.15310472564249727,情緒
33,負向,薪資,0.06320495028002714,情緒
34,學習成長,福利,-0.05421932703208189,成長價值
35,薪資,福利,0.1731375010654537,經濟報酬
36,福利,福利,0.9999999999999998,經濟報酬
37,管理制度,福利,-0.05421932703208185,經濟報酬
38,工作氛圍,福利,-0.030718378505606127,人際價值
39,同事互動,福利,0.1942859218649607,人際價值
40,主管風格,福利,-0.10641158459568265,人際價值
41,公司規模,福利,-0.030718378505606145,組織文化與制度
42,產業前景,福利,-0.04385026581221002,組織文化與制度
43,品牌,福利,-0.030718378505606127,產品與服務
44,面試,福利,-0.15126243208302545,招募資訊
45,學經歷,福利,-0.0744819792651743,招募資訊
46,徵才,福利,-0.07138306102482476,招募資訊
47,工作,福利,-0.11652010972574418,招募資訊
48,招募人員,福利,-0.09984757144884145,招募資訊
49,正向,福利,0.3754544173802959,情緒
50,負向,福利,0.03236349375295674,情緒
51,學習成長,管理制度,-0.05769230769230769,成長價值
52,薪資,管理制度,-0.058952864412411585,經濟報酬
53,福利,管理制度,-0.05421932703208185,經濟報酬
54,管理制度,管理制度,0.9999999999999999,經濟報酬
55,工作氛圍,管理制度,0.5665577237325322,人際價值
56,同事互動,管理制度,-0.05769230769230769,人際價值
57,主管風格,管理制度,-0.1132277034144596,人際價值
58,公司規模,管理制度,-0.03268602252303064,組織文化與制度
59,產業前景,管理制度,0.3810490192928134,組織文化與制度
60,品牌,管理制度,0.5665577237325322,產品與服務
61,面試,管理制度,-0.16095144022826166,招募資訊
62,學經歷,管理制度,-0.07925286978858907,招募資訊
63,徵才,管理制度,-0.075955452531275,招募資訊
64,工作,管理制度,-0.12398372297504634,招募資訊
65,招募人員,管理制度,-0.10624323704622426,招募資訊
66,正向,管理制度,0.05387971186953379,情緒
67,負向,管理制度,-0.09705298315833458,情緒
68,學習成長,工作氛圍,-0.03268602252303064,成長價值
69,薪資,工作氛圍,-0.03340020066900839,經濟報酬
70,福利,工作氛圍,-0.030718378505606127,經濟報酬
71,管理制度,工作氛圍,0.5665577237325321,經濟報酬
72,工作氛圍,工作氛圍,0.9999999999999998,人際價值
73,同事互動,工作氛圍,-0.03268602252303072,人際價值
74,主管風格,工作氛圍,-0.06415002990995827,人際價值
75,公司規模,工作氛圍,-0.01851851851851856,組織文化與制度
76,產業前景,工作氛圍,0.7005289007176939,組織文化與制度
77,品牌,工作氛圍,0.9999999999999998,產品與服務
78,面試,工作氛圍,-0.09118828160719646,招募資訊
79,學經歷,工作氛圍,-0.04490132550669375,招募資訊
80,徵才,工作氛圍,-0.04303314829119344,招募資訊
81,工作,工作氛圍,-0.07024393586862702,招募資訊
82,招募人員,工作氛圍,-0.06019292654288459,招募資訊
83,正向,工作氛圍,0.0990969283759213,情緒
84,負向,工作氛圍,-0.20714895732429567,情緒
85,學習成長,同事互動,-0.057692307692307696,成長價值
86,薪資,同事互動,0.04912738701034287,經濟報酬
87,福利,同事互動,0.19428592186496066,經濟報酬
88,管理制度,同事互動,-0.05769230769230769,經濟報酬
89,工作氛圍,同事互動,-0.03268602252303072,人際價值
90,同事互動,同事互動,0.9999999999999999,人際價值
91,主管風格,同事互動,0.09435641951204951,人際價值
92,公司規模,同事互動,-0.032686022523030725,組織文化與制度
93,產業前景,同事互動,-0.04665906358687524,組織文化與制度
94,品牌,同事互動,-0.03268602252303072,產品與服務
95,面試,同事互動,0.0498183029277952,招募資訊
96,學經歷,同事互動,-0.07925286978858907,招募資訊
97,徵才,同事互動,-0.07595545253127484,招募資訊
98,工作,同事互動,-0.1239837229750463,招募資訊
99,招募人員,同事互動,-0.10624323704622428,招募資訊
100,正向,同事互動,0.37330133002660193,情緒
101,負向,同事互動,-0.06348119653123767,情緒
102,學習成長,主管風格,0.09435641951204962,成長價值
103,薪資,主管風格,-0.11570168908343702,經濟報酬
104,福利,主管風格,-0.10641158459568266,經濟報酬
105,管理制度,主管風格,-0.1132277034144596,經濟報酬
106,工作氛圍,主管風格,-0.06415002990995827,人際價值
107,同事互動,主管風格,0.0943564195120495,人際價值
108,主管風格,主管風格,1.0,人際價值
109,公司規模,主管風格,0.28867513459481287,組織文化與制度
110,產業前景,主管風格,-0.09157370929912578,組織文化與制度
111,品牌,主管風格,-0.06415002990995827,產品與服務
112,面試,主管風格,0.3666527818538067,招募資訊
113,學經歷,主管風格,-0.15554275420956382,招募資訊
114,徵才,主管風格,-0.1490711984999857,招募資訊
115,工作,主管風格,-0.16898064701121088,招募資訊
116,招募人員,主管風格,0.3011874869713301,招募資訊
117,正向,主管風格,0.08248114000158392,情緒
118,負向,主管風格,0.05550602127552932,情緒
119,學習成長,公司規模,-0.032686022523030635,成長價值
120,薪資,公司規模,-0.03340020066900838,經濟報酬
121,福利,公司規模,-0.03071837850560614,經濟報酬
122,管理制度,公司規模,-0.03268602252303064,經濟報酬
123,工作氛圍,公司規模,-0.01851851851851856,人際價值
124,同事互動,公司規模,-0.032686022523030725,人際價值
125,主管風格,公司規模,0.28867513459481287,人際價值
126,公司規模,公司規模,0.9999999999999998,組織文化與制度
127,產業前景,公司規模,-0.026435052857271525,組織文化與制度
128,品牌,公司規模,-0.01851851851851856,產品與服務
129,面試,公司規模,-0.09118828160719643,招募資訊
130,學經歷,公司規模,-0.04490132550669375,招募資訊
