,item1,item2,value,class
0,成就感,成就感,0.9999999999999999,成長價值
1,學習成長,成就感,0.5727861638528922,成長價值
2,薪資,成就感,-0.01294342497015828,經濟報酬
3,福利,成就感,-0.013746867932469414,經濟報酬
4,管理制度,成就感,-0.01117964118175896,經濟報酬
5,工作氛圍,成就感,-0.007874015748031494,人際價值
6,同事互動,成就感,-0.01117964118175896,人際價值
7,主管風格,成就感,-0.03768455833588506,人際價值
8,工作地點,成就感,-0.014784185060361497,組織文化與制度
9,公司規模,成就感,-0.007874015748031494,組織文化與制度
10,工作環境,成就感,-0.013746867932469414,組織文化與制度
11,產業前景,成就感,-0.013746867932469414,組織文化與制度
12,多元性,成就感,-0.007874015748031494,組織文化與制度
13,馬力,成就感,-0.007874015748031494,產品與服務
14,安全,成就感,-0.007874015748031494,產品與服務
15,價錢,成就感,-0.007874015748031494,產品與服務
16,面試,成就感,-0.0484544141794103,招募資訊
17,學經歷,成就感,-0.020357354481251776,招募資訊
18,徵才,成就感,-0.0234164426732024,招募資訊
19,實習,成就感,-0.007874015748031494,招募資訊
20,工作,成就感,-0.021342951346994377,招募資訊
21,離職,成就感,-0.007874015748031494,招募資訊
22,畢業,成就感,-0.015033464152769037,招募資訊
23,證照,成就感,-0.015033464152769037,招募資訊
24,招募人員,成就感,-0.026269744236624704,招募資訊
25,正向,成就感,0.034851212519048914,情緒
26,負向,成就感,-0.3674583969449609,情緒
27,成就感,學習成長,0.5727861638528923,成長價值
28,學習成長,學習成長,1.0,成長價值
29,薪資,學習成長,-0.022597307314641282,經濟報酬
30,福利,學習成長,-0.024,經濟報酬
31,管理制度,學習成長,-0.019518001458970664,經濟報酬
32,工作氛圍,學習成長,-0.013746867932469414,人際價值
33,同事互動,學習成長,-0.019518001458970664,人際價值
34,主管風格,學習成長,0.03100526982203891,人際價值
35,工作地點,學習成長,-0.02581100241827506,組織文化與制度
36,公司規模,學習成長,-0.013746867932469414,組織文化與制度
37,工作環境,學習成長,-0.024,組織文化與制度
38,產業前景,學習成長,-0.024,組織文化與制度
39,多元性,學習成長,-0.013746867932469414,組織文化與制度
40,馬力,學習成長,-0.013746867932469414,產品與服務
41,安全,學習成長,-0.013746867932469414,產品與服務
42,價錢,學習成長,-0.013746867932469414,產品與服務
43,面試,學習成長,-0.08459424692362989,招募資訊
44,學經歷,學習成長,-0.03554093266554554,招募資訊
45,徵才,學習成長,-0.040881648599347814,招募資訊
46,實習,學習成長,0.5727861638528923,招募資訊
47,工作,學習成長,-0.03726163914894399,招募資訊
48,離職,學習成長,-0.013746867932469414,招募資訊
49,畢業,學習成長,-0.026246206877004904,招募資訊
50,證照,學習成長,-0.026246206877004904,招募資訊
51,招募人員,學習成長,-0.045863091489359915,招募資訊
52,正向,學習成長,0.10361179857717731,情緒
53,負向,學習成長,-0.2580584533640129,情緒
54,成就感,薪資,-0.01294342497015828,成長價值
55,學習成長,薪資,-0.022597307314641282,成長價值
56,薪資,薪資,1.0,經濟報酬
57,福利,薪資,-0.022597307314641282,經濟報酬
58,管理制度,薪資,-0.018377261547332373,經濟報酬
59,工作氛圍,薪資,-0.01294342497015828,人際價值
60,同事互動,薪資,-0.018377261547332373,人際價值
61,主管風格,薪資,0.14311763995827162,人際價值
62,工作地點,薪資,-0.024302464739362956,組織文化與制度
63,公司規模,薪資,-0.01294342497015828,組織文化與制度
64,工作環境,薪資,0.21844063737486571,組織文化與制度
65,產業前景,薪資,-0.022597307314641282,組織文化與制度
66,多元性,薪資,-0.01294342497015828,組織文化與制度
67,馬力,薪資,-0.01294342497015828,產品與服務
68,安全,薪資,-0.01294342497015828,產品與服務
69,價錢,薪資,-0.01294342497015828,產品與服務
70,面試,薪資,0.12263585508865046,招募資訊
71,學經歷,薪資,-0.03346372407051273,招募資訊
72,徵才,薪資,-0.03849229903869321,招募資訊
73,實習,薪資,-0.01294342497015828,招募資訊
74,工作,薪資,0.28568288405398506,招募資訊
75,離職,薪資,0.40124617407490676,招募資訊
76,畢業,薪資,0.13344606059474956,招募資訊
77,證照,薪資,-0.024712233443472134,招募資訊
78,招募人員,薪資,0.1750031638254656,招募資訊
79,正向,薪資,0.09728407651935618,情緒
80,負向,薪資,-0.1915948276938636,情緒
81,成就感,福利,-0.013746867932469414,成長價值
82,學習成長,福利,-0.024,成長價值
83,薪資,福利,-0.022597307314641282,經濟報酬
84,福利,福利,1.0,經濟報酬
85,管理制度,福利,-0.019518001458970664,經濟報酬
86,工作氛圍,福利,-0.013746867932469414,人際價值
87,同事互動,福利,-0.019518001458970664,人際價值
88,主管風格,福利,-0.06579167011018013,人際價值
89,工作地點,福利,-0.02581100241827506,組織文化與制度
90,公司規模,福利,-0.013746867932469414,組織文化與制度
91,工作環境,福利,-0.024,組織文化與制度
92,產業前景,福利,0.3173333333333333,組織文化與制度
93,多元性,福利,0.5727861638528923,組織文化與制度
94,馬力,福利,-0.013746867932469414,產品與服務
95,安全,福利,-0.013746867932469414,產品與服務
96,價錢,福利,-0.013746867932469414,產品與服務
97,面試,福利,-0.08459424692362989,招募資訊
98,學經歷,福利,-0.03554093266554554,招募資訊
99,徵才,福利,-0.040881648599347814,招募資訊
100,實習,福利,-0.013746867932469414,招募資訊
101,工作,福利,-0.03726163914894399,招募資訊
102,離職,福利,-0.013746867932469414,招募資訊
103,畢業,福利,-0.026246206877004904,招募資訊
104,證照,福利,-0.026246206877004904,招募資訊
105,招募人員,福利,-0.045863091489359915,招募資訊
106,正向,福利,0.20879484109303603,情緒
107,負向,福利,0.07231536226614367,情緒
108,成就感,管理制度,-0.01117964118175896,成長價值
109,學習成長,管理制度,-0.019518001458970664,成長價值
110,薪資,管理制度,-0.018377261547332373,經濟報酬
111,福利,管理制度,-0.019518001458970664,經濟報酬
112,管理制度,管理制度,1.0,經濟報酬
113,工作氛圍,管理制度,-0.01117964118175896,人際價值
114,同事互動,管理制度,-0.015873015873015872,人際價值
115,主管風格,管理制度,0.06457509620970033,人際價值
116,工作地點,管理制度,-0.0209907992857245,組織文化與制度
117,公司規模,管理制度,-0.01117964118175896,組織文化與制度
