,item1,item2,value,class
0,成就感,成就感,0.9999999999999999,成長價值
1,學習成長,成就感,0.3022352624134936,成長價值
2,薪資,成就感,-0.01807117937810799,經濟報酬
3,福利,成就感,-0.01951428480627408,經濟報酬
4,管理制度,成就感,-0.02816063585180763,經濟報酬
5,工作氛圍,成就感,-0.013664058598604898,人際價值
6,同事互動,成就感,0.3210372312460869,人際價值
7,主管風格,成就感,-0.0364334296455162,人際價值
8,工作地點,成就感,-0.009615384615384573,組織文化與制度
9,工作環境,成就感,-0.019514284806274082,組織文化與制度
10,產業前景,成就感,-0.01366405859860489,組織文化與制度
11,品質,成就感,-0.009615384615384583,產品與服務
12,保養,成就感,-0.009615384615384581,產品與服務
13,車種,成就感,-0.009615384615384585,產品與服務
14,工學院,成就感,0.49273569135842044,科系專業
15,面試,成就感,0.0716768587818983,招募資訊
16,學經歷,成就感,0.20449902919372664,招募資訊
17,徵才,成就感,-0.036702459960399426,招募資訊
18,實習,成就感,-0.016816819849907825,招募資訊
19,工作,成就感,-0.034618089259262214,招募資訊
20,離職,成就感,-0.016816819849907846,招募資訊
21,新鮮人,成就感,-0.019514284806274082,招募資訊
22,畢業,成就感,-0.009615384615384569,招募資訊
23,證照,成就感,-0.02293123080329185,招募資訊
24,招募人員,成就感,-0.042086281146339645,招募資訊
25,正向,成就感,0.05737194205757032,情緒
26,負向,成就感,0.06496909104218468,情緒
27,成就感,學習成長,0.30223526241349363,成長價值
28,學習成長,學習成長,1.0,成長價值
29,薪資,學習成長,0.3024083430957868,經濟報酬
30,福利,學習成長,-0.06456653882953019,經濟報酬
31,管理制度,學習成長,0.15140865064441345,經濟報酬
32,工作氛圍,學習成長,-0.045210007890842376,人際價值
33,同事互動,學習成長,0.37936061166680224,人際價值
34,主管風格,學習成長,-0.005479390361874477,人際價值
35,工作地點,學習成長,-0.03181423814878874,組織文化與制度
36,工作環境,學習成長,0.10492062559798687,組織文化與制度
37,產業前景,學習成長,-0.04521000789084246,組織文化與制度
38,品質,學習成長,-0.0318142381487888,產品與服務
39,保養,學習成長,-0.031814238148788795,產品與服務
40,車種,學習成長,-0.03181423814878881,產品與服務
41,工學院,學習成長,0.2744077900255037,科系專業
42,面試,學習成長,-0.06337785489537268,招募資訊
43,學經歷,學習成長,0.13011961631930674,招募資訊
44,徵才,學習成長,0.04487878907889843,招募資訊
45,實習,學習成長,0.041731116305599184,招募資訊
46,工作,學習成長,0.18612783497558485,招募資訊
47,離職,學習成長,0.333848930444794,招募資訊
48,新鮮人,學習成長,0.10492062559798658,招募資訊
49,畢業,學習成長,-0.03181423814878871,招募資訊
50,證照,學習成長,-0.07587212233336081,招募資訊
51,招募人員,學習成長,-8.815802988756623e-18,招募資訊
52,正向,學習成長,0.17958736587918667,情緒
53,負向,學習成長,-0.3115658229841473,情緒
54,成就感,薪資,-0.01807117937810799,成長價值
55,學習成長,薪資,0.30240834309578685,成長價值
56,薪資,薪資,0.9999999999999999,經濟報酬
57,福利,薪資,-0.036675198681645316,經濟報酬
58,管理制度,薪資,-0.01730246066390625,經濟報酬
59,工作氛圍,薪資,-0.025680268012710294,人際價值
60,同事互動,薪資,0.006630310163313434,人際價值
61,主管風格,薪資,0.019512434895429,人際價值
62,工作地點,薪資,-0.018071179378108027,組織文化與制度
63,工作環境,薪資,-0.036675198681645295,組織文化與制度
64,產業前景,薪資,0.07802850665400447,組織文化與制度
65,品質,薪資,-0.018071179378107986,產品與服務
66,保養,薪資,-0.018071179378107982,產品與服務
67,車種,薪資,-0.018071179378107982,產品與服務
68,工學院,薪資,-0.03667519868164539,科系專業
69,面試,薪資,0.03153349906374997,招募資訊
70,學經歷,薪資,-0.059128618227340154,招募資訊
71,徵才,薪資,0.12480761565953145,招募資訊
72,實習,薪資,-0.031605575880009056,招募資訊
73,工作,薪資,0.44401229009416976,招募資訊
74,離職,薪資,-0.03160557588000902,招募資訊
75,新鮮人,薪資,0.11143618060961483,招募資訊
76,畢業,薪資,-0.018071179378108055,招募資訊
77,證照,薪資,-0.04309701606153666,招募資訊
78,招募人員,薪資,-0.018253169662871757,招募資訊
79,正向,薪資,0.19922514017990298,情緒
80,負向,薪資,-0.08237205389873584,情緒
81,成就感,福利,-0.019514284806274082,成長價值
82,學習成長,福利,-0.06456653882953017,成長價值
83,薪資,福利,-0.03667519868164532,經濟報酬
84,福利,福利,1.0,經濟報酬
85,管理制度,福利,-0.05715160550714656,經濟報酬
86,工作氛圍,福利,-0.027731010434690704,人際價值
87,同事互動,福利,-0.046538603160799864,人際價值
88,主管風格,福利,-0.07394112154748331,人際價值
89,工作地點,福利,-0.01951428480627406,組織文化與制度
90,工作環境,福利,0.22029702970297058,組織文化與制度
91,產業前景,福利,-0.027731010434690683,組織文化與制度
92,品質,福利,-0.019514284806274082,產品與服務
93,保養,福利,-0.019514284806274082,產品與服務
94,車種,福利,-0.019514284806274085,產品與服務
95,工學院,福利,-0.0396039603960396,科系專業
96,面試,福利,-0.05204212843296166,招募資訊
97,學經歷,福利,-0.06385043677268712,招募資訊
98,徵才,福利,0.09553782103190744,招募資訊
99,實習,福利,-0.03412949405703815,招募資訊
100,工作,福利,0.045008335748065405,招募資訊
101,離職,福利,-0.03412949405703819,招募資訊
102,新鮮人,福利,-0.0396039603960396,招募資訊
103,畢業,福利,-0.019514284806274054,招募資訊
104,證照,福利,-0.046538603160799955,招募資訊
105,招募人員,福利,0.021353375594891543,招募資訊
106,正向,福利,0.027946702373975806,情緒
107,負向,福利,0.056159443658648604,情緒
108,成就感,管理制度,-0.02816063585180763,成長價值
109,學習成長,管理制度,0.15140865064441345,成長價值
110,薪資,管理制度,-0.01730246066390625,經濟報酬
111,福利,管理制度,-0.05715160550714656,經濟報酬
112,管理制度,管理制度,1.0,經濟報酬
113,工作氛圍,管理制度,-0.04001801215911982,人際價值
114,同事互動,管理制度,-0.0671588361896667,人際價值
115,主管風格,管理制度,0.27524474513914493,人際價值
116,工作地點,管理制度,-0.028160635851807652,組織文化與制度
117,工作環境,管理制度,0.19288666858661938,組織文化與制度
118,產業前景,管理制度,-0.040018012159119654,組織文化與制度
119,品質,管理制度,-0.028160635851807628,產品與服務
120,保養,管理制度,-0.028160635851807624,產品與服務
121,車種,管理制度,-0.02816063585180763,產品與服務
122,工學院,管理制度,0.19288666858661938,科系專業
123,面試,管理制度,0.11491335284588426,招募資訊
124,學經歷,管理制度,0.02303529077269081,招募資訊
125,徵才,管理制度,-0.06659751094517181,招募資訊
126,實習,管理制度,0.453524444252939,招募資訊
127,工作,管理制度,0.009504957203775734,招募資訊
128,離職,管理制度,-0.04925152335778535,招募資訊
129,新鮮人,管理制度,0.06786753153973633,招募資訊
130,畢業,管理制度,-0.02816063585180765,招募資訊
131,證照,管理制度,0.10073825428450049,招募資訊
132,招募人員,管理制度,0.08217223301517515,招募資訊
133,正向,管理制度,0.48108742040446817,情緒
134,負向,管理制度,-0.18168768932800855,情緒
135,成就感,工作氛圍,-0.013664058598604898,成長價值
136,學習成長,工作氛圍,-0.045210007890842376,成長價值
137,薪資,工作氛圍,-0.025680268012710294,經濟報酬
138,福利,工作氛圍,-0.0277310104346907,經濟報酬
139,管理制度,工作氛圍,-0.04001801215911983,經濟報酬
140,工作氛圍,工作氛圍,1.0,人際價值
