,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,0.38454573525291835,成長價值
2,薪資,成就感,-0.05173182753754861,經濟報酬
3,福利,成就感,-0.043948084028904925,經濟報酬
4,管理制度,成就感,-0.02631578947368422,經濟報酬
5,工作氛圍,成就感,-0.02631578947368422,人際價值
6,主管風格,成就感,-0.0653435567695325,人際價值
7,公司規模,成就感,-0.02631578947368422,組織文化與制度
8,工作環境,成就感,-0.07664807349388716,組織文化與制度
9,面試,成就感,-0.09065240590479415,招募資訊
10,學經歷,成就感,-0.03771571432023572,招募資訊
11,徵才,成就感,0.5619514869490164,招募資訊
12,工作,成就感,0.3193331868292522,招募資訊
13,離職,成就感,-0.02631578947368422,招募資訊
14,招募人員,成就感,-0.046829290579084734,招募資訊
15,正向,成就感,0.7145728771601384,情緒
16,負向,成就感,0.05610545167252907,情緒
17,成就感,學習成長,0.38454573525291835,成長價值
18,學習成長,學習成長,1.0,成長價值
19,薪資,學習成長,-0.08639355873638202,經濟報酬
20,福利,學習成長,-0.07339449541284407,經濟報酬
21,管理制度,學習成長,-0.043948084028904925,經濟報酬
22,工作氛圍,學習成長,-0.04394808402890491,人際價值
23,主管風格,學習成長,-0.10912551669888758,人際價值
24,公司規模,學習成長,-0.04394808402890491,組織文化與制度
25,工作環境,學習成長,-0.014545950799249457,組織文化與制度
26,面試,學習成長,-0.15139198298079928,招募資訊
27,學經歷,學習成長,-0.06298626852192385,招募資訊
28,徵才,學習成長,0.17596392457629978,招募資訊
29,工作,學習成長,0.03010536886810742,招募資訊
30,離職,學習成長,-0.043948084028904925,招募資訊
31,招募人員,學習成長,-0.07820618870057755,招募資訊
32,正向,學習成長,0.23345029416524918,情緒
33,負向,學習成長,-0.08901274847548137,情緒
34,成就感,薪資,-0.05173182753754862,成長價值
35,學習成長,薪資,-0.08639355873638202,成長價值
36,薪資,薪資,0.9999999999999999,經濟報酬
37,福利,薪資,0.4751645730501015,經濟報酬
38,管理制度,薪資,0.28452505145651713,經濟報酬
39,工作氛圍,薪資,-0.051731827537548576,人際價值
40,主管風格,薪資,-0.00917521294004832,人際價值
41,公司規模,薪資,-0.051731827537548576,組織文化與制度
