,item1,item2,value,class
0,管理制度,管理制度,1.0,經濟報酬
1,主管風格,管理制度,-0.05150535271439549,人際價值
2,工學院,管理制度,-0.054840849710708156,科系專業
3,面試,管理制度,-0.05306076446255267,招募資訊
4,學經歷,管理制度,-0.02631578947368422,招募資訊
5,徵才,管理制度,-0.026315789473684195,招募資訊
6,工作,管理制度,-0.04394808402890494,招募資訊
7,離職,管理制度,-0.026315789473684202,招募資訊
8,招募人員,管理制度,-0.0691714463866075,招募資訊
9,正向,管理制度,0.37678070148251713,情緒
10,負向,管理制度,0.034177316568655754,情緒
11,管理制度,主管風格,-0.05150535271439549,經濟報酬
12,主管風格,主管風格,1.0,人際價值
13,工學院,主管風格,-0.10733469768527293,科系專業
14,面試,主管風格,0.7061848197019016,招募資訊
15,學經歷,主管風格,0.7519781496301761,招募資訊
16,徵才,主管風格,-0.05150535271439556,招募資訊
17,工作,主管風格,0.08171457264200613,招募資訊
18,離職,主管風格,-0.05150535271439551,招募資訊
19,招募人員,主管風格,0.39260951177856523,招募資訊
20,正向,主管風格,0.21452697343467883,情緒
21,負向,主管風格,0.11432444123761824,情緒
22,管理制度,工學院,-0.05484084971070815,經濟報酬
23,主管風格,工學院,-0.10733469768527291,人際價值
24,工學院,工學院,1.0,科系專業
25,面試,工學院,-0.11057610155819324,招募資訊
26,學經歷,工學院,-0.05484084971070816,招募資訊
27,徵才,工學院,-0.054840849710708184,招募資訊
28,工作,工學院,-0.09158571030950445,招募資訊
29,離職,工學院,-0.05484084971070818,招募資訊
30,招募人員,工學院,-0.14414999403128945,招募資訊
31,正向,工學院,0.025956793563904828,情緒
32,負向,工學院,-0.05503664775550853,情緒
33,管理制度,面試,-0.05306076446255267,經濟報酬
34,主管風格,面試,0.7061848197019016,人際價值
35,工學院,面試,-0.11057610155819324,科系專業
36,面試,面試,1.0,招募資訊
37,學經歷,面試,0.8338120129829705,招募資訊
38,徵才,面試,-0.053060764462552715,招募資訊
39,工作,面試,-0.08861291953905148,招募資訊
40,離職,面試,-0.05306076446255269,招募資訊
41,招募人員,面試,0.5080729771002865,招募資訊
42,正向,面試,0.409900586203144,情緒
43,負向,面試,0.13871902683875323,情緒
44,管理制度,學經歷,-0.026315789473684213,經濟報酬
45,主管風格,學經歷,0.7519781496301761,人際價值
46,工學院,學經歷,-0.054840849710708156,科系專業
47,面試,學經歷,0.8338120129829706,招募資訊
48,學經歷,學經歷,1.0,招募資訊
49,徵才,學經歷,-0.0263157894736842,招募資訊
50,工作,學經歷,-0.04394808402890496,招募資訊
51,離職,學經歷,-0.02631578947368421,招募資訊
52,招募人員,學經歷,0.38044295512634096,招募資訊
53,正向,學經歷,0.376780701482517,情緒
54,負向,學經歷,0.27652556132821393,情緒
55,管理制度,徵才,-0.026315789473684195,經濟報酬
56,主管風格,徵才,-0.051505352714395554,人際價值
57,工學院,徵才,-0.054840849710708184,科系專業
58,面試,徵才,-0.053060764462552715,招募資訊
59,學經歷,徵才,-0.0263157894736842,招募資訊
60,徵才,徵才,1.0,招募資訊
61,工作,徵才,-0.04394808402890491,招募資訊
62,離職,徵才,-0.026315789473684213,招募資訊
63,招募人員,徵才,-0.06917144638660747,招募資訊
64,正向,徵才,-0.10898615332138922,情緒
65,負向,徵才,0.15535143894843526,情緒
66,管理制度,工作,-0.04394808402890494,經濟報酬
67,主管風格,工作,0.08171457264200614,人際價值
68,工學院,工作,-0.09158571030950445,科系專業
69,面試,工作,-0.08861291953905148,招募資訊
70,學經歷,工作,-0.04394808402890495,招募資訊
71,徵才,工作,-0.04394808402890491,招募資訊
72,工作,工作,1.0,招募資訊
73,離職,工作,-0.04394808402890492,招募資訊
74,招募人員,工作,-0.11551819645158172,招募資訊
75,正向,工作,0.020801124539189704,情緒
76,負向,工作,0.208850107662335,情緒
77,管理制度,離職,-0.026315789473684202,經濟報酬
78,主管風格,離職,-0.05150535271439551,人際價值
79,工學院,離職,-0.05484084971070818,科系專業
80,面試,離職,-0.05306076446255268,招募資訊
81,學經歷,離職,-0.026315789473684206,招募資訊
82,徵才,離職,-0.026315789473684213,招募資訊
83,工作,離職,-0.04394808402890492,招募資訊
84,離職,離職,1.0,招募資訊
85,招募人員,離職,-0.06917144638660747,招募資訊
86,正向,離職,-0.1089861533213892,情緒
87,負向,離職,0.03417731656865577,情緒
88,管理制度,招募人員,-0.06917144638660748,經濟報酬
89,主管風格,招募人員,0.3926095117785652,人際價值
90,工學院,招募人員,-0.14414999403128945,科系專業
91,面試,招募人員,0.5080729771002865,招募資訊
92,學經歷,招募人員,0.380442955126341,招募資訊
93,徵才,招募人員,-0.06917144638660747,招募資訊
94,工作,招募人員,-0.11551819645158172,招募資訊
95,離職,招募人員,-0.06917144638660747,招募資訊
96,招募人員,招募人員,1.0,招募資訊
97,正向,招募人員,0.08594152041942482,情緒
98,負向,招募人員,-0.016333743270062106,情緒
99,管理制度,正向,0.3767807014825171,經濟報酬
100,主管風格,正向,0.2145269734346788,人際價值
101,工學院,正向,0.02595679356390483,科系專業
102,面試,正向,0.40990058620314396,招募資訊
103,學經歷,正向,0.3767807014825171,招募資訊
104,徵才,正向,-0.10898615332138922,招募資訊
105,工作,正向,0.020801124539189704,招募資訊
106,離職,正向,-0.1089861533213892,招募資訊
107,招募人員,正向,0.08594152041942482,招募資訊
108,正向,正向,1.0,情緒
109,負向,正向,0.05551484094782016,情緒
110,管理制度,負向,0.03417731656865576,經濟報酬
111,主管風格,負向,0.11432444123761826,人際價值
112,工學院,負向,-0.05503664775550853,科系專業
113,面試,負向,0.13871902683875323,招募資訊
114,學經歷,負向,0.27652556132821393,招募資訊
115,徵才,負向,0.15535143894843526,招募資訊
116,工作,負向,0.208850107662335,招募資訊
117,離職,負向,0.03417731656865577,招募資訊
