,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,0.036147201953390926,經濟報酬
2,福利,學習成長,-0.10434798389121018,經濟報酬
3,管理制度,學習成長,0.6469575001255029,經濟報酬
4,工作氛圍,學習成長,0.4858987147293245,人際價值
5,主管風格,學習成長,-0.10434798389121018,人際價值
6,工作地點,學習成長,-0.07657048647896106,組織文化與制度
7,公司規模,學習成長,-0.11043152607484644,組織文化與制度
8,工作環境,學習成長,-0.11043152607484642,組織文化與制度
9,工學院,學習成長,-0.07657048647896107,科系專業
10,面試,學習成長,-0.07808688094430305,招募資訊
11,學經歷,學習成長,0.6469575001255029,招募資訊
12,徵才,學習成長,-0.07657048647896106,招募資訊
13,實習,學習成長,-0.07657048647896104,招募資訊
14,工作,學習成長,0.4092607267613122,招募資訊
15,離職,學習成長,-0.07657048647896107,招募資訊
16,新鮮人,學習成長,0.18773359432723905,招募資訊
17,畢業,學習成長,-0.07657048647896107,招募資訊
18,招募人員,學習成長,0.21591346710467568,招募資訊
19,正向,學習成長,0.4594229188737665,情緒
20,負向,學習成長,0.43069040314741897,情緒
21,學習成長,薪資,0.036147201953390926,成長價值
22,薪資,薪資,1.0,經濟報酬
23,福利,薪資,0.12371791482634834,經濟報酬
24,管理制度,薪資,-0.12371791482634843,經濟報酬
25,工作氛圍,薪資,-0.13093073414159542,人際價值
26,主管風格,薪資,0.3711537444790455,人際價值
27,工作地點,薪資,-0.0907841299003204,組織文化與制度
28,公司規模,薪資,-0.13093073414159542,組織文化與制度
29,工作環境,薪資,-0.13093073414159542,組織文化與制度
30,工學院,薪資,-0.09078412990032038,科系專業
31,面試,薪資,0.23145502494313766,招募資訊
32,學經歷,薪資,-0.12371791482634846,招募資訊
33,徵才,薪資,-0.09078412990032042,招募資訊
34,實習,薪資,-0.0907841299003204,招募資訊
35,工作,薪資,0.16617502351099797,招募資訊
36,離職,薪資,-0.09078412990032038,招募資訊
37,新鮮人,薪資,0.2618614682831908,招募資訊
38,畢業,薪資,-0.09078412990032038,招募資訊
39,招募人員,薪資,0.3089571903266624,招募資訊
40,正向,薪資,0.12104550653376053,情緒
41,負向,薪資,0.45056355688958316,情緒
42,學習成長,福利,-0.1043479838912102,成長價值
43,薪資,福利,0.12371791482634834,經濟報酬
44,福利,福利,1.0,經濟報酬
45,管理制度,福利,-0.07142857142857141,經濟報酬
46,工作氛圍,福利,-0.07559289460184537,人際價值
47,主管風格,福利,-0.07142857142857141,人際價值
48,工作地點,福利,-0.05241424183609591,組織文化與制度
49,公司規模,福利,-0.07559289460184539,組織文化與制度
50,工作環境,福利,-0.07559289460184539,組織文化與制度
51,工學院,福利,-0.052414241836095915,科系專業
52,面試,福利,-2.6237703987485056e-17,招募資訊
53,學經歷,福利,-0.07142857142857141,招募資訊
54,徵才,福利,-0.05241424183609596,招募資訊
55,實習,福利,-0.052414241836095936,招募資訊
56,工作,福利,-0.13431767237933384,招募資訊
57,離職,福利,-0.0524142418360959,招募資訊
58,新鮮人,福利,-0.07559289460184544,招募資訊
59,畢業,福利,-0.052414241836095915,招募資訊
60,招募人員,福利,-0.12741179785940634,招募資訊
61,正向,福利,0.41931393468876726,情緒
62,負向,福利,-0.04335549847620601,情緒
63,學習成長,管理制度,0.646957500125503,成長價值
64,薪資,管理制度,-0.12371791482634843,經濟報酬
65,福利,管理制度,-0.07142857142857141,經濟報酬
66,管理制度,管理制度,1.0,經濟報酬
67,工作氛圍,管理制度,0.9449111825230685,人際價值
68,主管風格,管理制度,-0.07142857142857141,人際價值
69,工作地點,管理制度,-0.052414241836095894,組織文化與制度
70,公司規模,管理制度,-0.07559289460184544,組織文化與制度
71,工作環境,管理制度,-0.07559289460184543,組織文化與制度
72,工學院,管理制度,-0.052414241836095915,科系專業
73,面試,管理制度,-0.13363062095621234,招募資訊
74,學經歷,管理制度,0.7857142857142857,招募資訊
75,徵才,管理制度,-0.05241424183609591,招募資訊
76,實習,管理制度,-0.0524142418360959,招募資訊
77,工作,管理制度,0.2110706280246674,招募資訊
78,離職,管理制度,-0.0524142418360959,招募資訊
79,新鮮人,管理制度,-0.07559289460184547,招募資訊
80,畢業,管理制度,-0.052414241836095915,招募資訊
81,招募人員,管理制度,0.10192943828752513,招募資訊
82,正向,管理制度,0.4717281765248631,情緒
83,負向,管理制度,0.08671099695241198,情緒
84,學習成長,工作氛圍,0.48589871472932444,成長價值
85,薪資,工作氛圍,-0.13093073414159542,經濟報酬
86,福利,工作氛圍,-0.07559289460184539,經濟報酬
87,管理制度,工作氛圍,0.9449111825230686,經濟報酬
88,工作氛圍,工作氛圍,1.0,人際價值
89,主管風格,工作氛圍,-0.07559289460184544,人際價值
90,工作地點,工作氛圍,-0.05547001962252294,組織文化與制度
91,公司規模,工作氛圍,-0.08,組織文化與制度
92,工作環境,工作氛圍,-0.08,組織文化與制度
93,工學院,工作氛圍,-0.05547001962252291,科系專業
94,面試,工作氛圍,-0.14142135623730948,招募資訊
95,學經歷,工作氛圍,0.6047431568147632,招募資訊
96,徵才,工作氛圍,-0.055470019622522994,招募資訊
97,實習,工作氛圍,-0.05547001962252297,招募資訊
98,工作,工作氛圍,0.13199500146737042,招募資訊
99,離職,工作氛圍,-0.055470019622522924,招募資訊
100,新鮮人,工作氛圍,-0.08,招募資訊
101,畢業,工作氛圍,-0.05547001962252291,招募資訊
102,招募人員,工作氛圍,0.22922795323750236,招募資訊
103,正向,工作氛圍,0.3328201177351375,情緒
104,負向,工作氛圍,0.022941573387056168,情緒
105,學習成長,主管風格,-0.1043479838912102,成長價值
106,薪資,主管風格,0.3711537444790454,經濟報酬
107,福利,主管風格,-0.07142857142857141,經濟報酬
108,管理制度,主管風格,-0.07142857142857141,經濟報酬
109,工作氛圍,主管風格,-0.07559289460184544,人際價值
110,主管風格,主管風格,1.0,人際價值
111,工作地點,主管風格,-0.05241424183609594,組織文化與制度
112,公司規模,主管風格,-0.07559289460184546,組織文化與制度
113,工作環境,主管風格,-0.07559289460184544,組織文化與制度
114,工學院,主管風格,-0.05241424183609592,科系專業
115,面試,主管風格,0.8017837257372733,招募資訊
116,學經歷,主管風格,-0.07142857142857141,招募資訊
117,徵才,主管風格,-0.05241424183609594,招募資訊
118,實習,主管風格,-0.052414241836095915,招募資訊
119,工作,主管風格,0.5564589284286686,招募資訊
120,離職,主管風格,-0.052414241836095936,招募資訊
121,新鮮人,主管風格,-0.07559289460184546,招募資訊
122,畢業,主管風格,-0.05241424183609592,招募資訊
123,招募人員,主管風格,-0.12741179785940634,招募資訊
124,正向,主管風格,-2.9095749052352413e-18,情緒
125,負向,主管風格,0.08671099695241197,情緒
126,學習成長,工作地點,-0.07657048647896107,成長價值
127,薪資,工作地點,-0.0907841299003204,經濟報酬
128,福利,工作地點,-0.05241424183609591,經濟報酬
129,管理制度,工作地點,-0.0524142418360959,經濟報酬
130,工作氛圍,工作地點,-0.05547001962252294,人際價值
131,主管風格,工作地點,-0.052414241836095936,人際價值
132,工作地點,工作地點,1.0,組織文化與制度
133,公司規模,工作地點,-0.05547001962252294,組織文化與制度
134,工作環境,工作地點,-0.05547001962252294,組織文化與制度
135,工學院,工作地點,-0.038461538461538484,科系專業
136,面試,工作地點,-0.09805806756909205,招募資訊
137,學經歷,工作地點,-0.0524142418360959,招募資訊
138,徵才,工作地點,-0.03846153846153853,招募資訊
139,實習,工作地點,-0.038461538461538526,招募資訊
140,工作,工作地點,-0.09856222548132682,招募資訊
141,離職,工作地點,-0.0384615384615385,招募資訊
142,新鮮人,工作地點,-0.05547001962252294,招募資訊
143,畢業,工作地點,-0.038461538461538484,招募資訊
144,招募人員,工作地點,-0.0934946990008457,招募資訊
145,正向,工作地點,-0.11538461538461545,情緒
146,負向,工作地點,-0.1272569525951557,情緒
147,學習成長,公司規模,-0.11043152607484644,成長價值
148,薪資,公司規模,-0.1309307341415954,經濟報酬
149,福利,公司規模,-0.0755928946018454,經濟報酬
150,管理制度,公司規模,-0.07559289460184544,經濟報酬
151,工作氛圍,公司規模,-0.08,人際價值
152,主管風格,公司規模,-0.07559289460184547,人際價值
153,工作地點,公司規模,-0.05547001962252294,組織文化與制度
154,公司規模,公司規模,1.0,組織文化與制度
155,工作環境,公司規模,0.45999999999999996,組織文化與制度
156,工學院,公司規模,-0.05547001962252292,科系專業
157,面試,公司規模,-0.14142135623730948,招募資訊
158,學經歷,公司規模,-0.07559289460184543,招募資訊
159,徵才,公司規模,-0.055470019622522994,招募資訊
160,實習,公司規模,-0.05547001962252297,招募資訊
161,工作,公司規模,-0.14214846311870674,招募資訊
162,離職,公司規模,-0.05547001962252294,招募資訊
163,新鮮人,公司規模,0.46000000000000035,招募資訊
164,畢業,公司規模,-0.05547001962252292,招募資訊
165,招募人員,公司規模,-0.13483997249264837,招募資訊
166,正向,公司規模,0.0,情緒
167,負向,公司規模,-0.18353258709644943,情緒
168,學習成長,工作環境,-0.11043152607484642,成長價值
169,薪資,工作環境,-0.1309307341415954,經濟報酬
170,福利,工作環境,-0.0755928946018454,經濟報酬
171,管理制度,工作環境,-0.07559289460184543,經濟報酬
172,工作氛圍,工作環境,-0.08,人際價值
173,主管風格,工作環境,-0.07559289460184544,人際價值
174,工作地點,工作環境,-0.05547001962252294,組織文化與制度
175,公司規模,工作環境,0.45999999999999996,組織文化與制度
176,工作環境,工作環境,1.0,組織文化與制度
177,工學院,工作環境,-0.05547001962252291,科系專業
178,面試,工作環境,-0.14142135623730948,招募資訊
179,學經歷,工作環境,-0.07559289460184544,招募資訊
180,徵才,工作環境,-0.055470019622522994,招募資訊
181,實習,工作環境,-0.05547001962252297,招募資訊
182,工作,工作環境,-0.14214846311870674,招募資訊
183,離職,工作環境,-0.055470019622522924,招募資訊
184,新鮮人,工作環境,-0.08,招募資訊
185,畢業,工作環境,-0.05547001962252291,招募資訊
186,招募人員,工作環境,-0.13483997249264834,招募資訊
187,正向,工作環境,0.08320502943378434,情緒
188,負向,工作環境,-0.18353258709644943,情緒
189,學習成長,工學院,-0.07657048647896107,成長價值
190,薪資,工學院,-0.09078412990032038,經濟報酬
191,福利,工學院,-0.05241424183609591,經濟報酬
192,管理制度,工學院,-0.05241424183609591,經濟報酬
193,工作氛圍,工學院,-0.055470019622522904,人際價值
194,主管風格,工學院,-0.05241424183609592,人際價值
195,工作地點,工學院,-0.038461538461538484,組織文化與制度
196,公司規模,工學院,-0.05547001962252292,組織文化與制度
197,工作環境,工學院,-0.055470019622522904,組織文化與制度
198,工學院,工學院,0.9999999999999999,科系專業
199,面試,工學院,0.19611613513818404,招募資訊
200,學經歷,工學院,-0.05241424183609591,招募資訊
201,徵才,工學院,-0.03846153846153852,招募資訊
202,實習,工學院,-0.038461538461538505,招募資訊
203,工作,工學院,-0.09856222548132673,招募資訊
204,離職,工學院,-0.038461538461538484,招募資訊
205,新鮮人,工學院,-0.055470019622522904,招募資訊
206,畢業,工學院,0.9999999999999999,招募資訊
207,招募人員,工學院,0.41137667560372115,招募資訊
208,正向,工學院,0.0,情緒
209,負向,工學院,0.15907119074394452,情緒
210,學習成長,面試,-0.07808688094430304,成長價值
211,薪資,面試,0.23145502494313766,經濟報酬
212,福利,面試,-2.6237703987485053e-17,經濟報酬
213,管理制度,面試,-0.1336306209562123,經濟報酬
214,工作氛圍,面試,-0.1414213562373095,人際價值
215,主管風格,面試,0.8017837257372733,人際價值
216,工作地點,面試,-0.09805806756909205,組織文化與制度
217,公司規模,面試,-0.1414213562373095,組織文化與制度
218,工作環境,面試,-0.1414213562373095,組織文化與制度
219,工學院,面試,0.19611613513818402,科系專業
220,面試,面試,1.0,招募資訊
221,學經歷,面試,-3.736468840102584e-17,招募資訊
222,徵才,面試,0.19611613513818388,招募資訊
223,實習,面試,-0.09805806756909206,招募資訊
224,工作,面試,0.6102644348250781,招募資訊
225,離職,面試,-0.09805806756909205,招募資訊
226,新鮮人,面試,-0.1414213562373095,招募資訊
227,畢業,面試,0.19611613513818402,招募資訊
228,招募人員,面試,0.047673129462279654,招募資訊
229,正向,面試,0.19611613513818404,情緒
230,負向,面試,0.16222142113076254,情緒
231,學習成長,學經歷,0.646957500125503,成長價值
232,薪資,學經歷,-0.12371791482634846,經濟報酬
233,福利,學經歷,-0.07142857142857141,經濟報酬
234,管理制度,學經歷,0.7857142857142857,經濟報酬
235,工作氛圍,學經歷,0.6047431568147631,人際價值
236,主管風格,學經歷,-0.07142857142857141,人際價值
237,工作地點,學經歷,-0.052414241836095894,組織文化與制度
238,公司規模,學經歷,-0.07559289460184543,組織文化與制度
239,工作環境,學經歷,-0.07559289460184544,組織文化與制度
240,工學院,學經歷,-0.052414241836095915,科系專業
241,面試,學經歷,-3.736468840102584e-17,招募資訊
242,學經歷,學經歷,1.0,招募資訊
243,徵才,學經歷,0.41931393468876726,招募資訊
244,實習,學經歷,-0.0524142418360959,招募資訊
245,工作,學經歷,0.2110706280246674,招募資訊
246,離職,學經歷,-0.052414241836095894,招募資訊
247,新鮮人,學經歷,-0.07559289460184546,招募資訊
248,畢業,學經歷,-0.052414241836095915,招募資訊
249,招募人員,學經歷,-0.12741179785940632,招募資訊
250,正向,學經歷,0.4717281765248631,情緒
251,負向,學經歷,0.08671099695241198,情緒
