,item1,item2,value,class
0,薪資,薪資,0.9999999999999998,經濟報酬
1,工作氛圍,薪資,-0.05000000000000004,人際價值
2,主管風格,薪資,-0.04999999999999996,人際價值
3,工作地點,薪資,-0.050000000000000044,組織文化與制度
4,公司規模,薪資,-0.04999999999999996,組織文化與制度
5,工作環境,薪資,-0.050000000000000024,組織文化與制度
6,面試,薪資,-0.06846531968814572,招募資訊
7,徵才,薪資,-0.05000000000000001,招募資訊
8,招募人員,薪資,0.9999999999999994,招募資訊
9,正向,薪資,0.24057579331422133,情緒
10,負向,薪資,-0.09597148699373932,情緒
11,薪資,工作氛圍,-0.05000000000000004,經濟報酬
12,工作氛圍,工作氛圍,1.0,人際價值
13,主管風格,工作氛圍,-0.04999999999999997,人際價值
14,工作地點,工作氛圍,-0.049999999999999996,組織文化與制度
15,公司規模,工作氛圍,-0.04999999999999998,組織文化與制度
16,工作環境,工作氛圍,-0.049999999999999996,組織文化與制度
17,面試,工作氛圍,-0.06846531968814573,招募資訊
18,徵才,工作氛圍,-0.049999999999999996,招募資訊
19,招募人員,工作氛圍,-0.049999999999999996,招募資訊
20,正向,工作氛圍,0.8235094463448347,情緒
21,負向,工作氛圍,0.47985743496869604,情緒
22,薪資,主管風格,-0.04999999999999996,經濟報酬
23,工作氛圍,主管風格,-0.049999999999999975,人際價值
24,主管風格,主管風格,0.9999999999999999,人際價值
25,工作地點,主管風格,-0.04999999999999998,組織文化與制度
26,公司規模,主管風格,-0.04999999999999998,組織文化與制度
27,工作環境,主管風格,-0.04999999999999998,組織文化與制度
28,面試,主管風格,0.8900491559458948,招募資訊
29,徵才,主管風格,-0.04999999999999998,招募資訊
30,招募人員,主管風格,-0.04999999999999998,招募資訊
31,正向,主管風格,0.04626457563735031,情緒
32,負向,主管風格,-0.09597148699373928,情緒
33,薪資,工作地點,-0.050000000000000044,經濟報酬
34,工作氛圍,工作地點,-0.049999999999999996,人際價值
35,主管風格,工作地點,-0.049999999999999975,人際價值
36,工作地點,工作地點,1.0,組織文化與制度
37,公司規模,工作地點,-0.04999999999999999,組織文化與制度
38,工作環境,工作地點,-0.05,組織文化與制度
39,面試,工作地點,-0.06846531968814575,招募資訊
40,徵才,工作地點,-0.05,招募資訊
41,招募人員,工作地點,-0.05,招募資訊
42,正向,工作地點,0.0462645756373503,情緒
43,負向,工作地點,-0.09597148699373928,情緒
44,薪資,公司規模,-0.04999999999999996,經濟報酬
45,工作氛圍,公司規模,-0.04999999999999998,人際價值
46,主管風格,公司規模,-0.04999999999999998,人際價值
47,工作地點,公司規模,-0.04999999999999999,組織文化與制度
48,公司規模,公司規模,1.0,組織文化與制度
49,工作環境,公司規模,-0.04999999999999999,組織文化與制度
50,面試,公司規模,-0.06846531968814576,招募資訊
51,徵才,公司規模,-0.04999999999999998,招募資訊
52,招募人員,公司規模,-0.04999999999999999,招募資訊
53,正向,公司規模,0.046264575637350314,情緒
54,負向,公司規模,-0.0959714869937393,情緒
55,薪資,工作環境,-0.050000000000000024,經濟報酬
56,工作氛圍,工作環境,-0.049999999999999996,人際價值
57,主管風格,工作環境,-0.049999999999999975,人際價值
58,工作地點,工作環境,-0.05,組織文化與制度
59,公司規模,工作環境,-0.04999999999999999,組織文化與制度
60,工作環境,工作環境,1.0,組織文化與制度
61,面試,工作環境,-0.06846531968814575,招募資訊
62,徵才,工作環境,-0.05,招募資訊
63,招募人員,工作環境,-0.05,招募資訊
64,正向,工作環境,-0.14804664203952098,情緒
65,負向,工作環境,-0.09597148699373928,情緒
66,薪資,面試,-0.06846531968814572,經濟報酬
67,工作氛圍,面試,-0.06846531968814573,人際價值
68,主管風格,面試,0.8900491559458947,人際價值
69,工作地點,面試,-0.06846531968814575,組織文化與制度
70,公司規模,面試,-0.06846531968814576,組織文化與制度
71,工作環境,面試,-0.06846531968814575,組織文化與制度
72,面試,面試,1.0,招募資訊
73,徵才,面試,-0.06846531968814573,招募資訊
74,招募人員,面試,-0.06846531968814575,招募資訊
75,正向,面試,0.15204091013988433,情緒
76,負向,面試,9.683194946721199e-18,情緒
77,薪資,徵才,-0.05000000000000001,經濟報酬
78,工作氛圍,徵才,-0.049999999999999996,人際價值
79,主管風格,徵才,-0.049999999999999975,人際價值
80,工作地點,徵才,-0.05,組織文化與制度
81,公司規模,徵才,-0.049999999999999975,組織文化與制度
82,工作環境,徵才,-0.05,組織文化與制度
83,面試,徵才,-0.06846531968814573,招募資訊
84,徵才,徵才,1.0,招募資訊
85,招募人員,徵才,-0.05,招募資訊
86,正向,徵才,-0.14804664203952098,情緒
87,負向,徵才,-0.09597148699373928,情緒
88,薪資,招募人員,0.9999999999999993,經濟報酬
89,工作氛圍,招募人員,-0.049999999999999996,人際價值
90,主管風格,招募人員,-0.049999999999999975,人際價值
91,工作地點,招募人員,-0.05,組織文化與制度
92,公司規模,招募人員,-0.04999999999999999,組織文化與制度
93,工作環境,招募人員,-0.05,組織文化與制度
94,面試,招募人員,-0.06846531968814575,招募資訊
95,徵才,招募人員,-0.05,招募資訊
96,招募人員,招募人員,1.0,招募資訊
97,正向,招募人員,0.24057579331422144,情緒
98,負向,招募人員,-0.09597148699373928,情緒
99,薪資,正向,0.24057579331422135,經濟報酬
100,工作氛圍,正向,0.8235094463448347,人際價值
101,主管風格,正向,0.046264575637350314,人際價值
102,工作地點,正向,0.04626457563735031,組織文化與制度
103,公司規模,正向,0.046264575637350314,組織文化與制度
104,工作環境,正向,-0.148046642039521,組織文化與制度
105,面試,正向,0.15204091013988433,招募資訊
106,徵才,正向,-0.148046642039521,招募資訊
107,招募人員,正向,0.24057579331422144,招募資訊
108,正向,正向,1.0,情緒
109,負向,正向,0.40848737095267673,情緒
110,薪資,負向,-0.09597148699373932,經濟報酬
111,工作氛圍,負向,0.47985743496869604,人際價值
112,主管風格,負向,-0.0959714869937393,人際價值
113,工作地點,負向,-0.09597148699373928,組織文化與制度
114,公司規模,負向,-0.09597148699373931,組織文化與制度
115,工作環境,負向,-0.09597148699373928,組織文化與制度
116,面試,負向,9.683194946721199e-18,招募資訊
117,徵才,負向,-0.09597148699373928,招募資訊
118,招募人員,負向,-0.09597148699373928,招募資訊
119,正向,負向,0.4084873709526767,情緒
120,負向,負向,1.0,情緒
