,item1,item2,value,class
0,學習成長,學習成長,0.9999999999999999,成長價值
1,薪資,學習成長,-0.0842151921066519,經濟報酬
2,福利,學習成長,0.37605071654517713,經濟報酬
3,管理制度,學習成長,-0.06060606060606054,經濟報酬
4,工作氛圍,學習成長,-0.060606060606060524,人際價值
5,同事互動,學習成長,-0.04222003309207491,人際價值
6,主管風格,學習成長,-0.06060606060606053,人際價值
7,工作環境,學習成長,0.11847967401660187,組織文化與制度
8,變化性,學習成長,0.4336908741196557,組織文化與制度
9,工學院,學習成長,-0.04222003309207486,科系專業
10,理學院,學習成長,-0.08298826628866157,科系專業
11,文學院,學習成長,-0.06060606060606053,科系專業
12,面試,學習成長,0.023821680830387187,招募資訊
13,徵才,學習成長,-0.04222003309207491,招募資訊
14,實習,學習成長,-0.0573225152601512,招募資訊
15,工作,學習成長,-0.11456837051138268,招募資訊
16,出路,學習成長,-0.04222003309207486,招募資訊
17,能力,學習成長,-0.06060606060606058,招募資訊
18,招募人員,學習成長,-0.09456150270769174,招募資訊
19,正向,學習成長,0.20631465089212433,情緒
20,負向,學習成長,-0.1145683705113827,情緒
21,學習成長,薪資,-0.0842151921066519,成長價值
22,薪資,薪資,0.9999999999999999,經濟報酬
23,福利,薪資,0.34440236877569697,經濟報酬
24,管理制度,薪資,-0.0842151921066519,經濟報酬
25,工作氛圍,薪資,-0.08421519210665189,人際價值
26,同事互動,薪資,-0.058666875260371766,人際價值
27,主管風格,薪資,-0.08421519210665189,人際價值
28,工作環境,薪資,-0.009977788508041627,組織文化與制度
29,變化性,薪資,-0.10043924076694345,組織文化與制度
30,工學院,薪資,-0.05866687526037177,科系專業
31,理學院,薪資,0.03144992754643926,科系專業
32,文學院,薪資,0.18374223732360404,科系專業
33,面試,薪資,0.012036884564606429,招募資訊
34,徵才,薪資,-0.058666875260371766,招募資訊
35,實習,薪資,-0.07965253947205701,招募資訊
36,工作,薪資,0.4036246217204168,招募資訊
37,出路,薪資,0.688002446235269,招募資訊
38,能力,薪資,-0.0842151921066519,招募資訊
39,招募人員,薪資,0.007963515116421929,招募資訊
40,正向,薪資,0.47872223351010534,情緒
41,負向,薪資,0.06593071510174148,情緒
42,學習成長,福利,0.37605071654517713,成長價值
43,薪資,福利,0.34440236877569697,經濟報酬
44,福利,福利,0.9999999999999998,經濟報酬
45,管理制度,福利,0.14101901870444172,經濟報酬
46,工作氛圍,福利,-0.09401267913629426,人際價值
47,同事互動,福利,-0.06549210399944799,人際價值
48,主管風格,福利,0.14101901870444172,人際價值
49,工作環境,福利,0.1400280084028012,組織文化與制度
50,變化性,福利,0.5606210636530651,組織文化與制度
51,工學院,福利,-0.0654921039994479,科系專業
52,理學院,福利,2.9503062692762355e-17,科系專業
53,文學院,福利,0.37605071654517735,科系專業
54,面試,福利,0.2586668742035542,招募資訊
55,徵才,福利,-0.06549210399944802,招募資訊
56,實習,福利,-0.08891921336822606,招募資訊
57,工作,福利,-0.07898644934440131,招募資訊
58,出路,福利,-0.06549210399944795,招募資訊
59,能力,福利,-0.09401267913629426,招募資訊
60,招募人員,福利,0.09778978233974467,招募資訊
61,正向,福利,0.40425749778281034,情緒
62,負向,福利,0.11847967401660175,情緒
63,學習成長,管理制度,-0.06060606060606054,成長價值
64,薪資,管理制度,-0.0842151921066519,經濟報酬
65,福利,管理制度,0.14101901870444172,經濟報酬
66,管理制度,管理制度,1.0,經濟報酬
67,工作氛圍,管理制度,-0.06060606060606053,人際價值
68,同事互動,管理制度,-0.042220033092074886,人際價值
69,主管風格,管理制度,-0.06060606060606053,人際價值
70,工作環境,管理制度,-0.0789864493444011,組織文化與制度
71,變化性,管理制度,0.43369087411965546,組織文化與制度
72,工學院,管理制度,-0.04222003309207486,科系專業
73,理學院,管理制度,-0.08298826628866159,科系專業
74,文學院,管理制度,-0.060606060606060545,科系專業
75,面試,管理制度,-0.059554202075968024,招募資訊
76,徵才,管理制度,-0.0422200330920749,招募資訊
77,實習,管理制度,-0.0573225152601512,招募資訊
78,工作,管理制度,-0.11456837051138265,招募資訊
79,出路,管理制度,-0.04222003309207486,招募資訊
80,能力,管理制度,-0.060606060606060594,招募資訊
81,招募人員,管理制度,-0.09456150270769174,招募資訊
82,正向,管理制度,0.016287998754641368,情緒
83,負向,管理制度,-0.1145683705113827,情緒
84,學習成長,工作氛圍,-0.060606060606060524,成長價值
85,薪資,工作氛圍,-0.0842151921066519,經濟報酬
86,福利,工作氛圍,-0.09401267913629424,經濟報酬
87,管理制度,工作氛圍,-0.06060606060606053,經濟報酬
88,工作氛圍,工作氛圍,0.9999999999999999,人際價值
89,同事互動,工作氛圍,-0.0422200330920749,人際價值
90,主管風格,工作氛圍,-0.06060606060606046,人際價值
91,工作環境,工作氛圍,-0.07898644934440109,組織文化與制度
92,變化性,工作氛圍,-0.07228181235327591,組織文化與制度
93,工學院,工作氛圍,0.696630546019236,科系專業
94,理學院,工作氛圍,-0.08298826628866159,科系專業
95,文學院,工作氛圍,-0.060606060606060524,科系專業
96,面試,工作氛圍,-0.14293008498232332,招募資訊
97,徵才,工作氛圍,-0.0422200330920749,招募資訊
98,實習,工作氛圍,-0.05732251526015119,招募資訊
99,工作,工作氛圍,-0.11456837051138263,招募資訊
100,出路,工作氛圍,-0.04222003309207484,招募資訊
101,能力,工作氛圍,-0.06060606060606059,招募資訊
102,招募人員,工作氛圍,-0.09456150270769174,招募資訊
103,正向,工作氛圍,-0.17373865338284136,情緒
104,負向,工作氛圍,0.3309752925884384,情緒
105,學習成長,同事互動,-0.0422200330920749,成長價值
106,薪資,同事互動,-0.05866687526037177,經濟報酬
107,福利,同事互動,-0.06549210399944799,經濟報酬
108,管理制度,同事互動,-0.04222003309207489,經濟報酬
109,工作氛圍,同事互動,-0.04222003309207489,人際價值
110,同事互動,同事互動,1.0,人際價值
111,主管風格,同事互動,-0.04222003309207491,人際價值
112,工作環境,同事互動,-0.05502437333491092,組織文化與制度
113,變化性,同事互動,-0.05035371840692254,組織文化與制度
114,工學院,同事互動,-0.02941176470588236,科系專業
115,理學院,同事互動,-0.05781216125786006,科系專業
116,文學院,同事互動,-0.04222003309207489,科系專業
117,面試,同事互動,-0.09956946314381167,招募資訊
118,徵才,同事互動,-0.029411764705882366,招募資訊
119,實習,同事互動,-0.039932615104875134,招募資訊
120,工作,同事互動,-0.07981182650587865,招募資訊
121,出路,同事互動,-0.029411764705882356,招募資訊
122,能力,同事互動,0.6966305460192359,招募資訊
123,招募人員,同事互動,-0.06587443126365879,招募資訊
124,正向,同事互動,0.14372508790274854,情緒
125,負向,同事互動,-0.07981182650587863,情緒
126,學習成長,主管風格,-0.06060606060606053,成長價值
127,薪資,主管風格,-0.0842151921066519,經濟報酬
128,福利,主管風格,0.14101901870444175,經濟報酬
129,管理制度,主管風格,-0.06060606060606053,經濟報酬
130,工作氛圍,主管風格,-0.06060606060606046,人際價值
131,同事互動,主管風格,-0.04222003309207491,人際價值
132,主管風格,主管風格,0.9999999999999999,人際價值
133,工作環境,主管風格,-0.07898644934440105,組織文化與制度
134,變化性,主管風格,-0.07228181235327592,組織文化與制度
135,工學院,主管風格,-0.04222003309207479,科系專業
136,理學院,主管風格,0.49792959773197,科系專業
137,文學院,主管風格,0.46969696969697,科系專業
138,面試,主管風格,0.6908287440812295,招募資訊
139,徵才,主管風格,-0.04222003309207491,招募資訊
140,實習,主管風格,-0.05732251526015118,招募資訊
141,工作,主管風格,0.10820346103852797,招募資訊
142,出路,主管風格,-0.04222003309207486,招募資訊
143,能力,主管風格,0.46969696969696995,招募資訊
144,招募人員,主管風格,0.7328516459846116,招募資訊
145,正向,主管風格,-0.17373865338284136,情緒
146,負向,主管風格,0.5537471241383503,情緒
147,學習成長,工作環境,0.11847967401660185,成長價值
148,薪資,工作環境,-0.009977788508041626,經濟報酬
