,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,1.0,經濟報酬
2,福利,學習成長,-0.038461538461538484,經濟報酬
3,工作氛圍,學習成長,-0.03846153846153851,人際價值
4,同事互動,學習成長,-0.03846153846153848,人際價值
5,主管風格,學習成長,-0.0871737092426758,人際價值
6,工作環境,學習成長,-0.05547001962252296,組織文化與制度
7,面試,學習成長,-0.1291433786658593,招募資訊
8,學經歷,學習成長,-0.03846153846153851,招募資訊
9,徵才,學習成長,-0.0384615384615385,招募資訊
10,工作,學習成長,-0.03846153846153851,招募資訊
11,新鮮人,學習成長,-0.038461538461538526,招募資訊
12,畢業,學習成長,-0.03846153846153848,招募資訊
13,招募人員,學習成長,-0.06933752452815369,招募資訊
14,正向,學習成長,-0.07479575920067662,情緒
15,負向,學習成長,0.03058347099324426,情緒
16,學習成長,薪資,1.0,成長價值
17,薪資,薪資,1.0,經濟報酬
18,福利,薪資,-0.038461538461538484,經濟報酬
19,工作氛圍,薪資,-0.03846153846153851,人際價值
20,同事互動,薪資,-0.03846153846153848,人際價值
21,主管風格,薪資,-0.0871737092426758,人際價值
22,工作環境,薪資,-0.05547001962252296,組織文化與制度
23,面試,薪資,-0.1291433786658593,招募資訊
24,學經歷,薪資,-0.03846153846153851,招募資訊
25,徵才,薪資,-0.0384615384615385,招募資訊
26,工作,薪資,-0.03846153846153851,招募資訊
27,新鮮人,薪資,-0.038461538461538526,招募資訊
28,畢業,薪資,-0.03846153846153848,招募資訊
29,招募人員,薪資,-0.06933752452815369,招募資訊
30,正向,薪資,-0.07479575920067662,情緒
31,負向,薪資,0.03058347099324426,情緒
32,學習成長,福利,-0.038461538461538484,成長價值
33,薪資,福利,-0.038461538461538484,經濟報酬
34,福利,福利,0.9999999999999999,經濟報酬
35,工作氛圍,福利,-0.038461538461538484,人際價值
36,同事互動,福利,-0.03846153846153847,人際價值
37,主管風格,福利,0.24906774069335907,人際價值
38,工作環境,福利,-0.05547001962252292,組織文化與制度
39,面試,福利,0.3689810819024548,招募資訊
40,學經歷,福利,-0.03846153846153849,招募資訊
41,徵才,福利,-0.038461538461538484,招募資訊
42,工作,福利,-0.038461538461538484,招募資訊
43,新鮮人,福利,-0.038461538461538505,招募資訊
44,畢業,福利,-0.03846153846153848,招募資訊
45,招募人員,福利,-0.06933752452815366,招募資訊
46,正向,福利,-0.24308621740219888,情緒
47,負向,福利,0.030583470993244256,情緒
48,學習成長,工作氛圍,-0.03846153846153851,成長價值
49,薪資,工作氛圍,-0.03846153846153851,經濟報酬
50,福利,工作氛圍,-0.038461538461538484,經濟報酬
51,工作氛圍,工作氛圍,1.0,人際價值
52,同事互動,工作氛圍,-0.03846153846153848,人際價值
53,主管風格,工作氛圍,-0.08717370924267577,人際價值
54,工作環境,工作氛圍,0.6933752452815367,組織文化與制度
55,面試,工作氛圍,-0.1291433786658593,招募資訊
56,學經歷,工作氛圍,-0.03846153846153851,招募資訊
57,徵才,工作氛圍,-0.0384615384615385,招募資訊
58,工作,工作氛圍,1.0,招募資訊
59,新鮮人,工作氛圍,-0.038461538461538526,招募資訊
60,畢業,工作氛圍,-0.03846153846153848,招募資訊
61,招募人員,工作氛圍,-0.06933752452815369,招募資訊
62,正向,工作氛圍,0.09349469900084578,情緒
63,負向,工作氛圍,0.5260357010838014,情緒
64,學習成長,同事互動,-0.03846153846153848,成長價值
65,薪資,同事互動,-0.03846153846153848,經濟報酬
66,福利,同事互動,-0.03846153846153847,經濟報酬
67,工作氛圍,同事互動,-0.03846153846153848,人際價值
68,同事互動,同事互動,1.0,人際價值
69,主管風格,同事互動,-0.08717370924267566,人際價值
70,工作環境,同事互動,-0.0554700196225229,組織文化與制度
71,面試,同事互動,-0.12914337866585918,招募資訊
72,學經歷,同事互動,-0.03846153846153848,招募資訊
73,徵才,同事互動,-0.03846153846153848,招募資訊
74,工作,同事互動,-0.03846153846153848,招募資訊
75,新鮮人,同事互動,-0.03846153846153849,招募資訊
76,畢業,同事互動,-0.03846153846153848,招募資訊
77,招募人員,同事互動,-0.06933752452815364,招募資訊
78,正向,同事互動,-0.07479575920067658,情緒
79,負向,同事互動,-0.13456727237027472,情緒
80,學習成長,主管風格,-0.08717370924267578,成長價值
81,薪資,主管風格,-0.08717370924267578,經濟報酬
82,福利,主管風格,0.24906774069335907,經濟報酬
83,工作氛圍,主管風格,-0.08717370924267577,人際價值
84,同事互動,主管風格,-0.08717370924267566,人際價值
85,主管風格,主管風格,1.0,人際價值
86,工作環境,主管風格,-0.12572371141874256,組織文化與制度
87,面試,主管風格,0.6750149341239221,招募資訊
88,學經歷,主管風格,0.24906774069335924,招募資訊
89,徵才,主管風格,0.5853091906293936,招募資訊
90,工作,主管風格,-0.08717370924267577,招募資訊
91,新鮮人,主管風格,-0.08717370924267585,招募資訊
92,畢業,主管風格,-0.0871737092426757,招募資訊
93,招募人員,主管風格,0.0449013255066937,招募資訊
94,正向,主管風格,-0.22401625935962333,情緒
95,負向,主管風格,0.22973945764910247,情緒
96,學習成長,工作環境,-0.05547001962252296,成長價值
97,薪資,工作環境,-0.05547001962252296,經濟報酬
98,福利,工作環境,-0.05547001962252292,經濟報酬
99,工作氛圍,工作環境,0.6933752452815367,人際價值
100,同事互動,工作環境,-0.055470019622522904,人際價值
101,主管風格,工作環境,-0.12572371141874258,人際價值
102,工作環境,工作環境,1.0,組織文化與制度
103,面試,工作環境,-0.18625322946656703,招募資訊
104,學經歷,工作環境,-0.05547001962252296,招募資訊
105,徵才,工作環境,-0.05547001962252294,招募資訊
106,工作,工作環境,0.6933752452815367,招募資訊
107,新鮮人,工作環境,-0.05547001962252297,招募資訊
108,畢業,工作環境,-0.05547001962252291,招募資訊
109,招募人員,工作環境,-0.10000000000000002,招募資訊
110,正向,工作環境,0.013483997249264862,情緒
111,負向,工作環境,0.6395675825172848,情緒
112,學習成長,面試,-0.1291433786658593,成長價值
113,薪資,面試,-0.1291433786658593,經濟報酬
114,福利,面試,0.36898108190245477,經濟報酬
115,工作氛圍,面試,-0.1291433786658593,人際價值
116,同事互動,面試,-0.12914337866585918,人際價值
117,主管風格,面試,0.6750149341239221,人際價值
118,工作環境,面試,-0.18625322946656703,組織文化與制度
119,面試,面試,1.0,招募資訊
120,學經歷,面試,0.368981081902455,招募資訊
121,徵才,面試,0.3689810819024548,招募資訊
122,工作,面試,-0.1291433786658593,招募資訊
123,新鮮人,面試,-0.12914337866585932,招募資訊
124,畢業,面試,-0.12914337866585918,招募資訊
125,招募人員,面試,0.5155223315592479,招募資訊
126,正向,面試,-0.008969421549263883,情緒
127,負向,面試,0.3403472220170553,情緒
128,學習成長,學經歷,-0.03846153846153851,成長價值
129,薪資,學經歷,-0.03846153846153851,經濟報酬
130,福利,學經歷,-0.03846153846153849,經濟報酬
131,工作氛圍,學經歷,-0.03846153846153851,人際價值
132,同事互動,學經歷,-0.03846153846153848,人際價值
133,主管風格,學經歷,0.24906774069335924,人際價值
134,工作環境,學經歷,-0.05547001962252296,組織文化與制度
135,面試,學經歷,0.36898108190245493,招募資訊
136,學經歷,學經歷,0.9999999999999999,招募資訊
137,徵才,學經歷,-0.038461538461538505,招募資訊
138,工作,學經歷,-0.03846153846153851,招募資訊
139,新鮮人,學經歷,-0.038461538461538526,招募資訊
140,畢業,學經歷,-0.038461538461538484,招募資訊
141,招募人員,學經歷,0.554700196225229,招募資訊
142,正向,學經歷,-0.24308621740219896,情緒
143,負向,學經歷,0.3608849577202824,情緒
144,學習成長,徵才,-0.03846153846153849,成長價值
145,薪資,徵才,-0.03846153846153849,經濟報酬
146,福利,徵才,-0.038461538461538484,經濟報酬
147,工作氛圍,徵才,-0.03846153846153849,人際價值
148,同事互動,徵才,-0.03846153846153848,人際價值
149,主管風格,徵才,0.5853091906293935,人際價值
150,工作環境,徵才,-0.05547001962252293,組織文化與制度
151,面試,徵才,0.3689810819024549,招募資訊
152,學經歷,徵才,-0.038461538461538505,招募資訊
153,徵才,徵才,1.0,招募資訊
154,工作,徵才,-0.03846153846153849,招募資訊
155,新鮮人,徵才,-0.03846153846153852,招募資訊
156,畢業,徵才,-0.03846153846153848,招募資訊
157,招募人員,徵才,-0.06933752452815369,招募資訊
158,正向,徵才,-0.0747957592006766,情緒
159,負向,徵才,0.3608849577202823,情緒
160,學習成長,工作,-0.03846153846153851,成長價值
161,薪資,工作,-0.03846153846153851,經濟報酬
162,福利,工作,-0.038461538461538484,經濟報酬
163,工作氛圍,工作,1.0,人際價值
164,同事互動,工作,-0.03846153846153848,人際價值
165,主管風格,工作,-0.08717370924267577,人際價值
166,工作環境,工作,0.6933752452815367,組織文化與制度
167,面試,工作,-0.1291433786658593,招募資訊
168,學經歷,工作,-0.03846153846153851,招募資訊
169,徵才,工作,-0.0384615384615385,招募資訊
170,工作,工作,1.0,招募資訊
171,新鮮人,工作,-0.038461538461538526,招募資訊
172,畢業,工作,-0.03846153846153848,招募資訊
173,招募人員,工作,-0.06933752452815369,招募資訊
174,正向,工作,0.09349469900084578,情緒
175,負向,工作,0.5260357010838014,情緒
176,學習成長,新鮮人,-0.038461538461538526,成長價值
177,薪資,新鮮人,-0.038461538461538526,經濟報酬
178,福利,新鮮人,-0.038461538461538505,經濟報酬
179,工作氛圍,新鮮人,-0.038461538461538526,人際價值
180,同事互動,新鮮人,-0.038461538461538484,人際價值
181,主管風格,新鮮人,-0.08717370924267585,人際價值
182,工作環境,新鮮人,-0.05547001962252297,組織文化與制度
183,面試,新鮮人,-0.12914337866585932,招募資訊
184,學經歷,新鮮人,-0.038461538461538526,招募資訊
185,徵才,新鮮人,-0.03846153846153852,招募資訊
186,工作,新鮮人,-0.038461538461538526,招募資訊
187,新鮮人,新鮮人,1.0,招募資訊
188,畢業,新鮮人,-0.0384615384615385,招募資訊
189,招募人員,新鮮人,-0.0693375245281537,招募資訊
190,正向,新鮮人,-0.07479575920067665,情緒
