,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,創新,學習成長,-0.006621155339910656,成長價值
2,薪資,學習成長,0.06393767370106697,經濟報酬
3,福利,學習成長,0.01383540198536618,經濟報酬
4,管理制度,學習成長,0.127420581949365,經濟報酬
5,工作氛圍,學習成長,-0.004064746284708621,人際價值
6,同事互動,學習成長,0.013025512263310503,人際價值
7,主管風格,學習成長,0.1308392490508483,人際價值
8,工作地點,學習成長,0.05137604712873577,組織文化與制度
9,公司規模,學習成長,0.09850411848506459,組織文化與制度
10,工作環境,學習成長,-0.023925838007952956,組織文化與制度
11,產業前景,學習成長,-0.0034126807293473273,組織文化與制度
12,多元性,學習成長,-0.014835023506338446,組織文化與制度
13,變化性,學習成長,0.034960557739121975,組織文化與制度
14,工學院,學習成長,-0.011479651370811911,科系專業
15,面試,學習成長,0.027208965420661254,招募資訊
16,學經歷,學習成長,0.030627702885325323,招募資訊
17,徵才,學習成長,-0.011475630731076998,招募資訊
18,實習,學習成長,0.022929209796016613,招募資訊
19,工作,學習成長,0.04521230082920945,招募資訊
20,離職,學習成長,0.05927473584514612,招募資訊
21,新鮮人,學習成長,0.029244647103236876,招募資訊
22,畢業,學習成長,-0.01147965137081191,招募資訊
23,證照,學習成長,-0.026765911424529467,招募資訊
24,招募人員,學習成長,0.033826814843639606,招募資訊
25,正向,學習成長,0.10864578747533372,情緒
26,負向,學習成長,0.10539503762201403,情緒
27,學習成長,創新,-0.006621155339910656,成長價值
28,創新,創新,1.0,成長價值
29,薪資,創新,-0.0065906350889984875,經濟報酬
30,福利,創新,-0.006256911304106169,經濟報酬
31,管理制度,創新,-0.00689855984728151,經濟報酬
32,工作氛圍,創新,0.16890841039630233,人際價值
33,同事互動,創新,-0.005410071879670713,人際價值
34,主管風格,創新,-0.013670127825306981,人際價值
35,工作地點,創新,-0.0032188957006335957,組織文化與制度
36,公司規模,創新,-0.002894489494091702,組織文化與制度
37,工作環境,創新,-0.0036099343460205885,組織文化與制度
38,產業前景,創新,-0.004642390925198615,組織文化與制度
39,多元性,創新,-0.0022383107693762965,組織文化與制度
40,變化性,創新,-0.006140705534270231,組織文化與制度
41,工學院,創新,-0.0017320516735949323,科系專業
42,面試,創新,-0.015333906740336667,招募資訊
43,學經歷,創新,-0.00922667795715122,招募資訊
44,徵才,創新,-0.00713614263661187,招募資訊
45,實習,創新,-0.002719549460109052,招募資訊
46,工作,創新,-0.012782421694404748,招募資訊
47,離職,創新,0.28713335781389643,招募資訊
48,新鮮人,創新,-0.002835533369393074,招募資訊
49,畢業,創新,-0.0017320516735949306,招募資訊
50,證照,創新,-0.004038445086932223,招募資訊
51,招募人員,創新,-0.010134592431068522,招募資訊
