,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,創新,學習成長,-0.02372894989381247,成長價值
2,薪資,學習成長,-0.05200509674923438,經濟報酬
3,福利,學習成長,0.18257418583505547,經濟報酬
4,管理制度,學習成長,-0.07053456158585984,經濟報酬
5,工作氛圍,學習成長,-0.023728949893812485,人際價值
6,同事互動,學習成長,-0.03378686891997431,人際價值
7,主管風格,學習成長,0.1421777811479179,人際價值
8,公司規模,學習成長,-0.02372894989381248,組織文化與制度
9,工作環境,學習成長,-0.04166666666666669,組織文化與制度
10,產業前景,學習成長,-0.03378686891997433,組織文化與制度
11,變化性,學習成長,-0.023728949893812468,組織文化與制度
12,工學院,學習成長,-0.03608439182435156,科系專業
13,面試,學習成長,0.20732068643733761,招募資訊
14,徵才,學習成長,0.21821789023599295,招募資訊
15,實習,學習成長,0.05606410355475392,招募資訊
16,工作,學習成長,0.3064945403779973,招募資訊
17,離職,學習成長,-0.03378686891997433,招募資訊
18,出路,學習成長,-0.0337868689199743,招募資訊
19,能力,學習成長,-0.05157106231293964,招募資訊
20,招募人員,學習成長,0.24068120069671287,招募資訊
21,正向,學習成長,0.14772727272727268,情緒
22,負向,學習成長,0.027635981150940726,情緒
23,學習成長,創新,-0.023728949893812475,成長價值
24,創新,創新,1.0,成長價值
25,薪資,創新,-0.02961663203965078,經濟報酬
26,福利,創新,-0.025993762245501765,經濟報酬
27,管理制度,創新,-0.04016906586366945,經濟報酬
28,工作氛圍,創新,-0.013513513513513493,人際價值
29,同事互動,創新,-0.019241446072101098,人際價值
30,主管風格,創新,-0.06361889810330779,人際價值
31,公司規模,創新,-0.013513513513513499,組織文化與制度
32,工作環境,創新,-0.023728949893812502,組織文化與制度
33,產業前景,創新,-0.019241446072101133,組織文化與制度
34,變化性,創新,-0.013513513513513502,組織文化與制度
35,工學院,創新,-0.020549873413169644,科系專業
36,面試,創新,0.025827386447217555,招募資訊
37,徵才,創新,0.43495883620084075,招募資訊
38,實習,創新,-0.040635910379545594,招募資訊
39,工作,創新,-0.047334792187812204,招募資訊
40,離職,創新,-0.019241446072101126,招募資訊
41,出路,創新,-0.019241446072101064,招募資訊
42,能力,創新,-0.029369451686266257,招募資訊
43,招募人員,創新,-0.06450197253701546,招募資訊
44,正向,創新,-0.07765838147065886,情緒
45,負向,創新,-0.04983873371177341,情緒
46,學習成長,薪資,-0.05200509674923437,成長價值
47,創新,薪資,-0.02961663203965078,成長價值
48,薪資,薪資,1.0,經濟報酬
49,福利,薪資,0.26348037250184686,經濟報酬
50,管理制度,薪資,0.015131146385179548,經濟報酬
51,工作氛圍,薪資,-0.029616632039650818,人際價值
52,同事互動,薪資,-0.042170145288887094,人際價值
53,主管風格,薪資,-0.13942913469613422,人際價值
54,公司規模,薪資,-0.029616632039650797,組織文化與制度
55,工作環境,薪資,-0.05200509674923446,組織文化與制度
56,產業前景,薪資,-0.04217014528888705,組織文化與制度
57,變化性,薪資,-0.029616632039650773,組織文化與制度
58,工學院,薪資,-0.045037734911104466,科系專業
59,面試,薪資,-0.09501401638981821,招募資訊
60,徵才,薪資,0.18724930115325364,招募資訊
61,實習,薪資,-0.08905891159273539,招募資訊
62,工作,薪資,-0.10374038709458352,招募資訊
63,離職,薪資,0.35317496679442956,招募資訊
64,出路,薪資,-0.042170145288887094,招募資訊
65,能力,薪資,-0.06436699404108535,招募資訊
66,招募人員,薪資,-0.14136450779807372,招募資訊
67,正向,薪資,0.007091604102168337,情緒
68,負向,薪資,-0.05533265713031555,情緒
69,學習成長,福利,0.18257418583505544,成長價值
70,創新,福利,-0.025993762245501765,成長價值
71,薪資,福利,0.2634803725018468,經濟報酬
72,福利,福利,1.0,經濟報酬
73,管理制度,福利,0.3573586767948934,經濟報酬
74,工作氛圍,福利,-0.025993762245501786,人際價值
75,同事互動,福利,-0.037011660509880244,人際價值
76,主管風格,福利,0.0444994159489985,人際價值
77,公司規模,福利,-0.025993762245501775,組織文化與制度
78,工作環境,福利,-0.04564354645876386,組織文化與制度
79,產業前景,福利,-0.037011660509880244,組織文化與制度
80,變化性,福利,-0.02599376224550176,組織文化與制度
81,工學院,福利,-0.03952847075210477,科系專業
82,面試,福利,0.262594125885616,招募資訊
83,徵才,福利,-0.059761430466719855,招募資訊
84,實習,福利,-0.07816473428462192,招募資訊
85,工作,福利,0.07966900438104733,招募資訊
86,離職,福利,-0.037011660509880244,招募資訊
87,出路,福利,-0.03701166050988025,招募資訊
88,能力,福利,-0.056493268286603206,招募資訊
89,招募人員,福利,0.2248805388753832,招募資訊
90,正向,福利,0.41079191812887467,情緒
91,負向,福利,0.0555017843422455,情緒
92,學習成長,管理制度,-0.07053456158585984,成長價值
93,創新,管理制度,-0.04016906586366945,成長價值
94,薪資,管理制度,0.015131146385179548,經濟報酬
95,福利,管理制度,0.35735867679489336,經濟報酬
96,管理制度,管理制度,0.9999999999999998,經濟報酬
97,工作氛圍,管理制度,-0.0401690658636695,人際價值
98,同事互動,管理制度,-0.05719540767910319,人際價值
99,主管風格,管理制度,-0.10852212787632742,人際價值
100,公司規模,管理制度,0.3364159266082322,組織文化與制度
101,工作環境,管理制度,0.03967569089204602,組織文化與制度
102,產業前景,管理制度,0.21090806581669286,組織文化與制度
103,變化性,管理制度,0.33641592660823205,組織文化與制度
104,工學院,管理制度,-0.06108472217815265,科系專業
105,面試,管理制度,0.042498889264842264,招募資訊
106,徵才,管理制度,-0.09235141930792226,招募資訊
107,實習,管理制度,0.12186917373765982,招募資訊
108,工作,管理制度,-0.05825991232897359,招募資訊
109,離職,管理制度,-0.0571954076791031,招募資訊
110,出路,管理制度,-0.057195407679103166,招募資訊
111,能力,管理制度,-0.08730101449824629,招募資訊
112,招募人員,管理制度,-0.07938936860950184,招募資訊
113,正向,管理制度,0.06973303247692944,情緒
114,負向,管理制度,-0.07504773485735242,情緒
115,學習成長,工作氛圍,-0.02372894989381249,成長價值
116,創新,工作氛圍,-0.013513513513513493,成長價值
117,薪資,工作氛圍,-0.029616632039650814,經濟報酬
118,福利,工作氛圍,-0.025993762245501786,經濟報酬
119,管理制度,工作氛圍,-0.0401690658636695,經濟報酬
120,工作氛圍,工作氛圍,1.0,人際價值
121,同事互動,工作氛圍,-0.019241446072101095,人際價值
122,主管風格,工作氛圍,-0.06361889810330776,人際價值
123,公司規模,工作氛圍,-0.013513513513513497,組織文化與制度
124,工作環境,工作氛圍,0.27288292377884343,組織文化與制度
125,產業前景,工作氛圍,-0.019241446072101116,組織文化與制度
126,變化性,工作氛圍,-0.01351351351351349,組織文化與制度
127,工學院,工作氛圍,0.9041944301794643,科系專業
128,面試,工作氛圍,-0.06641327943570226,招募資訊
129,徵才,工作氛圍,-0.031068488300060048,招募資訊
130,實習,工作氛圍,-0.040635910379545635,招募資訊
131,工作,工作氛圍,-0.04733479218781228,招募資訊
132,離職,工作氛圍,-0.01924144607210111,招募資訊
133,出路,工作氛圍,-0.019241446072101095,招募資訊
134,能力,工作氛圍,-0.029369451686266243,招募資訊
135,招募人員,工作氛圍,-0.06450197253701556,招募資訊
136,正向,工作氛圍,-0.07765838147065893,情緒
137,負向,工作氛圍,-0.04983873371177348,情緒
138,學習成長,同事互動,-0.03378686891997431,成長價值
139,創新,同事互動,-0.019241446072101098,成長價值
140,薪資,同事互動,-0.042170145288887094,經濟報酬
141,福利,同事互動,-0.037011660509880244,經濟報酬
142,管理制度,同事互動,-0.05719540767910319,經濟報酬
143,工作氛圍,同事互動,-0.019241446072101098,人際價值
144,同事互動,同事互動,1.0,人際價值
145,主管風格,同事互動,0.21822713906897748,人際價值
146,公司規模,同事互動,-0.019241446072101098,組織文化與制度
147,工作環境,同事互動,-0.033786868919974344,組織文化與制度
148,產業前景,同事互動,-0.027397260273972594,組織文化與制度
149,變化性,同事互動,-0.019241446072101088,組織文化與制度
150,工學院,同事互動,-0.029260286799032625,科系專業
151,面試,同事互動,0.03677476349955147,招募資訊
152,徵才,同事互動,-0.04423739552038093,招募資訊
153,實習,同事互動,-0.057860132183748435,招募資訊
154,工作,同事互動,-0.06739844898997692,招募資訊
155,離職,同事互動,-0.027397260273972584,招募資訊
156,出路,同事互動,-0.027397260273972584,招募資訊
157,能力,同事互動,0.48090922339098885,招募資訊
158,招募人員,同事互動,0.12341299754682357,招募資訊
159,正向,同事互動,0.11978980798899967,情緒
160,負向,同事互動,-0.07096372871925044,情緒
161,學習成長,主管風格,0.14217778114791793,成長價值
162,創新,主管風格,-0.06361889810330779,成長價值
163,薪資,主管風格,-0.13942913469613422,經濟報酬
164,福利,主管風格,0.04449941594899849,經濟報酬
165,管理制度,主管風格,-0.10852212787632741,經濟報酬
166,工作氛圍,主管風格,-0.06361889810330774,人際價值
167,同事互動,主管風格,0.2182271390689775,人際價值
168,主管風格,主管風格,1.0,人際價值
169,公司規模,主管風格,-0.06361889810330774,組織文化與制度
170,工作環境,主管風格,0.07870555742116897,組織文化與制度
171,產業前景,主管風格,-0.09058485017957575,組織文化與制度
172,變化性,主管風格,-0.0636188981033078,組織文化與制度
173,工學院,主管風格,-0.09674466240041513,科系專業
174,面試,主管風格,0.43740864995847417,招募資訊
175,徵才,主管風格,-0.14626418136251418,招募資訊
176,實習,主管風格,-0.09813732744802575,招募資訊
177,工作,主管風格,0.2519641459552742,招募資訊
178,離職,主管風格,-0.09058485017957585,招募資訊
179,出路,主管風格,-0.09058485017957557,招募資訊
180,能力,主管風格,0.1759742210662747,招募資訊
181,招募人員,主管風格,0.8286012119861805,招募資訊
182,正向,主管風格,0.29220303722932467,情緒
183,負向,主管風格,0.3968514704685303,情緒
184,學習成長,公司規模,-0.02372894989381248,成長價值
185,創新,公司規模,-0.013513513513513499,成長價值
186,薪資,公司規模,-0.029616632039650793,經濟報酬
187,福利,公司規模,-0.025993762245501775,經濟報酬
188,管理制度,公司規模,0.3364159266082322,經濟報酬
189,工作氛圍,公司規模,-0.013513513513513497,人際價值
190,同事互動,公司規模,-0.0192414460721011,人際價值
191,主管風格,公司規模,-0.06361889810330776,人際價值
192,公司規模,公司規模,1.0,組織文化與制度
193,工作環境,公司規模,-0.023728949893812513,組織文化與制度
194,產業前景,公司規模,-0.019241446072101123,組織文化與制度
195,變化性,公司規模,-0.013513513513513499,組織文化與制度
196,工學院,公司規模,-0.02054987341316965,科系專業
197,面試,公司規模,-0.06641327943570222,招募資訊
198,徵才,公司規模,-0.031068488300060072,招募資訊
199,實習,公司規模,-0.04063591037954562,招募資訊
200,工作,公司規模,-0.047334792187812245,招募資訊
201,離職,公司規模,-0.019241446072101116,招募資訊
202,出路,公司規模,-0.01924144607210108,招募資訊
203,能力,公司規模,-0.029369451686266246,招募資訊
204,招募人員,公司規模,-0.06450197253701555,招募資訊
205,正向,公司規模,0.08412991325988038,情緒
206,負向,公司規模,-0.049838733711773456,情緒
207,學習成長,工作環境,-0.041666666666666685,成長價值
208,創新,工作環境,-0.023728949893812502,成長價值
209,薪資,工作環境,-0.05200509674923447,經濟報酬
210,福利,工作環境,-0.04564354645876385,經濟報酬
211,管理制度,工作環境,0.03967569089204602,經濟報酬
212,工作氛圍,工作環境,0.27288292377884343,人際價值
213,同事互動,工作環境,-0.033786868919974344,人際價值
214,主管風格,工作環境,0.07870555742116897,人際價值
215,公司規模,工作環境,-0.023728949893812513,組織文化與制度
216,工作環境,工作環境,0.9999999999999999,組織文化與制度
217,產業前景,工作環境,-0.03378686891997438,組織文化與制度
218,變化性,工作環境,-0.023728949893812502,組織文化與制度
219,工學院,工作環境,0.23454854685828527,科系專業
220,面試,工作環境,0.5042643779491498,招募資訊
221,徵才,工作環境,-0.05455447255899811,招募資訊
222,實習,工作環境,-0.0713543136151414,招募資訊
223,工作,工作環境,0.11168868844282949,招募資訊
224,離職,工作環境,-0.0337868689199744,招募資訊
225,出路,工作環境,-0.03378686891997433,招募資訊
226,能力,工作環境,-0.051571062312939696,招募資訊
227,招募人員,工作環境,0.2849240684718439,招募資訊
228,正向,工作環境,0.10037878787878804,情緒
229,負向,工作環境,0.3155107848065743,情緒
230,學習成長,產業前景,-0.03378686891997433,成長價值
231,創新,產業前景,-0.019241446072101133,成長價值
232,薪資,產業前景,-0.04217014528888705,經濟報酬
233,福利,產業前景,-0.03701166050988024,經濟報酬
234,管理制度,產業前景,0.21090806581669289,經濟報酬
235,工作氛圍,產業前景,-0.019241446072101116,人際價值
236,同事互動,產業前景,-0.027397260273972594,人際價值
237,主管風格,產業前景,-0.09058485017957575,人際價值
238,公司規模,產業前景,-0.019241446072101123,組織文化與制度
239,工作環境,產業前景,-0.03378686891997437,組織文化與制度
240,產業前景,產業前景,0.9999999999999998,組織文化與制度
241,變化性,產業前景,-0.019241446072101123,組織文化與制度
242,工學院,產業前景,-0.029260286799032656,科系專業
243,面試,產業前景,-0.09456367757027505,招募資訊
244,徵才,產業前景,-0.044237395520381015,招募資訊
245,實習,產業前景,-0.057860132183748386,招募資訊
246,工作,產業前景,-0.06739844898997686,招募資訊
247,離職,產業前景,-0.027397260273972636,招募資訊
248,出路,產業前景,-0.02739726027397253,招募資訊
249,能力,產業前景,-0.04181819333834693,招募資訊
250,招募人員,產業前景,-0.09184223073251982,招募資訊
251,正向,產業前景,-0.11057520737446129,情緒
252,負向,產業前景,-0.07096372871925036,情緒
253,學習成長,變化性,-0.02372894989381247,成長價值
254,創新,變化性,-0.013513513513513504,成長價值
255,薪資,變化性,-0.029616632039650773,經濟報酬
256,福利,變化性,-0.02599376224550176,經濟報酬
257,管理制度,變化性,0.33641592660823205,經濟報酬
258,工作氛圍,變化性,-0.01351351351351349,人際價值
259,同事互動,變化性,-0.019241446072101088,人際價值
260,主管風格,變化性,-0.0636188981033078,人際價值
261,公司規模,變化性,-0.013513513513513497,組織文化與制度
262,工作環境,變化性,-0.0237289498938125,組織文化與制度
263,產業前景,變化性,-0.019241446072101123,組織文化與制度
264,變化性,變化性,1.0,組織文化與制度
265,工學院,變化性,-0.02054987341316964,科系專業
266,面試,變化性,0.025827386447217555,招募資訊
267,徵才,變化性,-0.03106848830006009,招募資訊
