item1,item2,value,class
成就感,成就感,16,成長價值
學習成長,成就感,1,成長價值
創新,成就感,0,成長價值
薪資,成就感,1,經濟報酬
福利,成就感,0,經濟報酬
管理制度,成就感,0,經濟報酬
工作氛圍,成就感,3,人際價值
同事互動,成就感,0,人際價值
主管風格,成就感,2,人際價值
工作地點,成就感,0,組織文化與制度
公司規模,成就感,0,組織文化與制度
工作環境,成就感,0,組織文化與制度
產業前景,成就感,0,組織文化與制度
多元性,成就感,0,組織文化與制度
企業社會責任,成就感,0,組織文化與制度
企業永續目標,成就感,0,組織文化與制度
變化性,成就感,0,組織文化與制度
工學院,成就感,1,科系專業
理學院,成就感,0,科系專業
管理學院/商學院,成就感,0,科系專業
社會學院,成就感,0,科系專業
文學院,成就感,0,科系專業
面試,成就感,0,招募資訊
學經歷,成就感,1,招募資訊
徵才,成就感,0,招募資訊
實習,成就感,0,招募資訊
工作,成就感,6,招募資訊
離職,成就感,0,招募資訊
新鮮人,成就感,0,招募資訊
畢業,成就感,0,招募資訊
證照,成就感,0,招募資訊
招募人員,成就感,0,招募資訊
正向,成就感,52,情緒
負向,成就感,29,情緒
成就感,學習成長,1,成長價值
學習成長,學習成長,403,成長價值
創新,學習成長,1,成長價值
薪資,學習成長,55,經濟報酬
福利,學習成長,37,經濟報酬
管理制度,學習成長,97,經濟報酬
工作氛圍,學習成長,25,人際價值
同事互動,學習成長,45,人際價值
主管風格,學習成長,41,人際價值
工作地點,學習成長,7,組織文化與制度
公司規模,學習成長,27,組織文化與制度
工作環境,學習成長,19,組織文化與制度
產業前景,學習成長,11,組織文化與制度
多元性,學習成長,7,組織文化與制度
企業社會責任,學習成長,0,組織文化與制度
企業永續目標,學習成長,0,組織文化與制度
變化性,學習成長,10,組織文化與制度
工學院,學習成長,8,科系專業
理學院,學習成長,0,科系專業
管理學院/商學院,學習成長,0,科系專業
社會學院,學習成長,0,科系專業
文學院,學習成長,0,科系專業
面試,學習成長,7,招募資訊
學經歷,學習成長,3,招募資訊
徵才,學習成長,6,招募資訊
實習,學習成長,22,招募資訊
工作,學習成長,95,招募資訊
離職,學習成長,5,招募資訊
新鮮人,學習成長,11,招募資訊
畢業,學習成長,7,招募資訊
證照,學習成長,0,招募資訊
招募人員,學習成長,1,招募資訊
正向,學習成長,812,情緒
負向,學習成長,317,情緒
成就感,創新,0,成長價值
學習成長,創新,1,成長價值
創新,創新,11,成長價值
薪資,創新,4,經濟報酬
福利,創新,3,經濟報酬
管理制度,創新,2,經濟報酬
工作氛圍,創新,1,人際價值
同事互動,創新,3,人際價值
主管風格,創新,1,人際價值
工作地點,創新,0,組織文化與制度
公司規模,創新,1,組織文化與制度
工作環境,創新,1,組織文化與制度
產業前景,創新,3,組織文化與制度
多元性,創新,0,組織文化與制度
企業社會責任,創新,0,組織文化與制度
企業永續目標,創新,0,組織文化與制度
變化性,創新,0,組織文化與制度
工學院,創新,0,科系專業
理學院,創新,0,科系專業
管理學院/商學院,創新,0,科系專業
社會學院,創新,0,科系專業
文學院,創新,0,科系專業
面試,創新,0,招募資訊
學經歷,創新,0,招募資訊
徵才,創新,0,招募資訊
實習,創新,0,招募資訊
工作,創新,5,招募資訊
離職,創新,1,招募資訊
新鮮人,創新,1,招募資訊
畢業,創新,0,招募資訊
證照,創新,0,招募資訊
招募人員,創新,0,招募資訊
正向,創新,38,情緒
負向,創新,13,情緒
成就感,薪資,1,成長價值
學習成長,薪資,55,成長價值
創新,薪資,4,成長價值
薪資,薪資,1561,經濟報酬
福利,薪資,441,經濟報酬
管理制度,薪資,155,經濟報酬
工作氛圍,薪資,52,人際價值
同事互動,薪資,81,人際價值
主管風格,薪資,124,人際價值
工作地點,薪資,4,組織文化與制度
公司規模,薪資,80,組織文化與制度
工作環境,薪資,64,組織文化與制度
產業前景,薪資,26,組織文化與制度
多元性,薪資,5,組織文化與制度
企業社會責任,薪資,0,組織文化與制度
企業永續目標,薪資,0,組織文化與制度
