,item1,item2,value,class
0,成就感,成就感,0,成長價值
1,學習成長,成就感,0,成長價值
2,創新,成就感,0,成長價值
3,薪資,成就感,0,經濟報酬
4,福利,成就感,0,經濟報酬
5,管理制度,成就感,0,經濟報酬
6,工作氛圍,成就感,0,人際價值
7,同事互動,成就感,0,人際價值
8,主管風格,成就感,0,人際價值
9,工作地點,成就感,0,組織文化與制度
10,公司規模,成就感,0,組織文化與制度
11,工作環境,成就感,0,組織文化與制度
12,產業前景,成就感,0,組織文化與制度
13,多元性,成就感,0,組織文化與制度
14,企業社會責任,成就感,0,組織文化與制度
15,企業永續目標,成就感,0,組織文化與制度
16,變化性,成就感,0,組織文化與制度
17,工學院,成就感,0,科系專業
18,理學院,成就感,0,科系專業
19,管理學院/商學院,成就感,0,科系專業
20,社會學院,成就感,0,科系專業
21,文學院,成就感,0,科系專業
22,面試,成就感,0,招募資訊
23,學經歷,成就感,0,招募資訊
24,徵才,成就感,0,招募資訊
25,實習,成就感,0,招募資訊
26,工作,成就感,0,招募資訊
27,離職,成就感,0,招募資訊
28,新鮮人,成就感,0,招募資訊
29,畢業,成就感,0,招募資訊
30,證照,成就感,0,招募資訊
31,招募人員,成就感,0,招募資訊
32,正向,成就感,0,情緒
33,負向,成就感,0,情緒
34,成就感,學習成長,0,成長價值
35,學習成長,學習成長,1,成長價值
36,創新,學習成長,0,成長價值
37,薪資,學習成長,0,經濟報酬
38,福利,學習成長,0,經濟報酬
39,管理制度,學習成長,0,經濟報酬
40,工作氛圍,學習成長,1,人際價值
41,同事互動,學習成長,0,人際價值
42,主管風格,學習成長,0,人際價值
43,工作地點,學習成長,0,組織文化與制度
44,公司規模,學習成長,0,組織文化與制度
45,工作環境,學習成長,0,組織文化與制度
46,產業前景,學習成長,0,組織文化與制度
47,多元性,學習成長,0,組織文化與制度
48,企業社會責任,學習成長,0,組織文化與制度
49,企業永續目標,學習成長,0,組織文化與制度
50,變化性,學習成長,0,組織文化與制度
51,工學院,學習成長,0,科系專業
52,理學院,學習成長,0,科系專業
53,管理學院/商學院,學習成長,0,科系專業
54,社會學院,學習成長,0,科系專業
55,文學院,學習成長,0,科系專業
56,面試,學習成長,0,招募資訊
57,學經歷,學習成長,0,招募資訊
58,徵才,學習成長,0,招募資訊
59,實習,學習成長,0,招募資訊
60,工作,學習成長,2,招募資訊
61,離職,學習成長,0,招募資訊
62,新鮮人,學習成長,0,招募資訊
63,畢業,學習成長,0,招募資訊
64,證照,學習成長,0,招募資訊
65,招募人員,學習成長,0,招募資訊
66,正向,學習成長,2,情緒
67,負向,學習成長,0,情緒
68,成就感,創新,0,成長價值
69,學習成長,創新,0,成長價值
70,創新,創新,0,成長價值
71,薪資,創新,0,經濟報酬
72,福利,創新,0,經濟報酬
73,管理制度,創新,0,經濟報酬
74,工作氛圍,創新,0,人際價值
75,同事互動,創新,0,人際價值
76,主管風格,創新,0,人際價值
77,工作地點,創新,0,組織文化與制度
78,公司規模,創新,0,組織文化與制度
79,工作環境,創新,0,組織文化與制度
80,產業前景,創新,0,組織文化與制度
81,多元性,創新,0,組織文化與制度
82,企業社會責任,創新,0,組織文化與制度
83,企業永續目標,創新,0,組織文化與制度
84,變化性,創新,0,組織文化與制度
85,工學院,創新,0,科系專業
86,理學院,創新,0,科系專業
87,管理學院/商學院,創新,0,科系專業
88,社會學院,創新,0,科系專業
89,文學院,創新,0,科系專業
90,面試,創新,0,招募資訊
91,學經歷,創新,0,招募資訊
92,徵才,創新,0,招募資訊
93,實習,創新,0,招募資訊
94,工作,創新,0,招募資訊
95,離職,創新,0,招募資訊
96,新鮮人,創新,0,招募資訊
97,畢業,創新,0,招募資訊
98,證照,創新,0,招募資訊
99,招募人員,創新,0,招募資訊
100,正向,創新,0,情緒
101,負向,創新,0,情緒
102,成就感,薪資,0,成長價值
103,學習成長,薪資,0,成長價值
104,創新,薪資,0,成長價值
105,薪資,薪資,1,經濟報酬
106,福利,薪資,1,經濟報酬
107,管理制度,薪資,0,經濟報酬
108,工作氛圍,薪資,0,人際價值
109,同事互動,薪資,0,人際價值
110,主管風格,薪資,0,人際價值
111,工作地點,薪資,0,組織文化與制度
112,公司規模,薪資,0,組織文化與制度
113,工作環境,薪資,0,組織文化與制度
114,產業前景,薪資,0,組織文化與制度
115,多元性,薪資,0,組織文化與制度
116,企業社會責任,薪資,0,組織文化與制度
117,企業永續目標,薪資,0,組織文化與制度
118,變化性,薪資,0,組織文化與制度
119,工學院,薪資,0,科系專業
120,理學院,薪資,0,科系專業
121,管理學院/商學院,薪資,0,科系專業
122,社會學院,薪資,0,科系專業
123,文學院,薪資,0,科系專業
124,面試,薪資,0,招募資訊
125,學經歷,薪資,0,招募資訊
126,徵才,薪資,0,招募資訊
127,實習,薪資,0,招募資訊
128,工作,薪資,0,招募資訊
129,離職,薪資,0,招募資訊
130,新鮮人,薪資,0,招募資訊
131,畢業,薪資,0,招募資訊
132,證照,薪資,0,招募資訊
133,招募人員,薪資,0,招募資訊
134,正向,薪資,1,情緒
135,負向,薪資,1,情緒
136,成就感,福利,0,成長價值
137,學習成長,福利,0,成長價值
138,創新,福利,0,成長價值
139,薪資,福利,1,經濟報酬
140,福利,福利,1,經濟報酬
141,管理制度,福利,0,經濟報酬
142,工作氛圍,福利,0,人際價值
143,同事互動,福利,0,人際價值
144,主管風格,福利,0,人際價值
145,工作地點,福利,0,組織文化與制度
146,公司規模,福利,0,組織文化與制度
147,工作環境,福利,0,組織文化與制度
148,產業前景,福利,0,組織文化與制度
149,多元性,福利,0,組織文化與制度
150,企業社會責任,福利,0,組織文化與制度
151,企業永續目標,福利,0,組織文化與制度
152,變化性,福利,0,組織文化與制度
153,工學院,福利,0,科系專業
154,理學院,福利,0,科系專業
155,管理學院/商學院,福利,0,科系專業
156,社會學院,福利,0,科系專業
157,文學院,福利,0,科系專業
158,面試,福利,0,招募資訊
159,學經歷,福利,0,招募資訊
160,徵才,福利,0,招募資訊
161,實習,福利,0,招募資訊
162,工作,福利,0,招募資訊
163,離職,福利,0,招募資訊
164,新鮮人,福利,0,招募資訊
165,畢業,福利,0,招募資訊
166,證照,福利,0,招募資訊
167,招募人員,福利,0,招募資訊
168,正向,福利,1,情緒
169,負向,福利,1,情緒
170,成就感,管理制度,0,成長價值
171,學習成長,管理制度,0,成長價值
172,創新,管理制度,0,成長價值
173,薪資,管理制度,0,經濟報酬
174,福利,管理制度,0,經濟報酬
175,管理制度,管理制度,2,經濟報酬
176,工作氛圍,管理制度,0,人際價值
177,同事互動,管理制度,1,人際價值
178,主管風格,管理制度,0,人際價值
179,工作地點,管理制度,0,組織文化與制度
180,公司規模,管理制度,0,組織文化與制度
181,工作環境,管理制度,0,組織文化與制度
182,產業前景,管理制度,0,組織文化與制度
183,多元性,管理制度,0,組織文化與制度
184,企業社會責任,管理制度,0,組織文化與制度
185,企業永續目標,管理制度,0,組織文化與制度
186,變化性,管理制度,1,組織文化與制度
187,工學院,管理制度,0,科系專業
188,理學院,管理制度,0,科系專業
189,管理學院/商學院,管理制度,0,科系專業
190,社會學院,管理制度,0,科系專業
191,文學院,管理制度,0,科系專業
192,面試,管理制度,0,招募資訊
193,學經歷,管理制度,0,招募資訊
194,徵才,管理制度,0,招募資訊
195,實習,管理制度,0,招募資訊
196,工作,管理制度,1,招募資訊
197,離職,管理制度,0,招募資訊
198,新鮮人,管理制度,0,招募資訊
199,畢業,管理制度,0,招募資訊
200,證照,管理制度,0,招募資訊
201,招募人員,管理制度,0,招募資訊
202,正向,管理制度,4,情緒
203,負向,管理制度,2,情緒
204,成就感,工作氛圍,0,成長價值
205,學習成長,工作氛圍,1,成長價值
206,創新,工作氛圍,0,成長價值
207,薪資,工作氛圍,0,經濟報酬
208,福利,工作氛圍,0,經濟報酬
209,管理制度,工作氛圍,0,經濟報酬
210,工作氛圍,工作氛圍,5,人際價值
211,同事互動,工作氛圍,1,人際價值
212,主管風格,工作氛圍,0,人際價值
213,工作地點,工作氛圍,0,組織文化與制度
214,公司規模,工作氛圍,0,組織文化與制度
215,工作環境,工作氛圍,2,組織文化與制度
216,產業前景,工作氛圍,0,組織文化與制度
217,多元性,工作氛圍,0,組織文化與制度
218,企業社會責任,工作氛圍,0,組織文化與制度
219,企業永續目標,工作氛圍,0,組織文化與制度
220,變化性,工作氛圍,0,組織文化與制度
221,工學院,工作氛圍,0,科系專業
222,理學院,工作氛圍,0,科系專業
223,管理學院/商學院,工作氛圍,0,科系專業
224,社會學院,工作氛圍,0,科系專業
225,文學院,工作氛圍,0,科系專業
226,面試,工作氛圍,1,招募資訊
227,學經歷,工作氛圍,1,招募資訊
228,徵才,工作氛圍,0,招募資訊
229,實習,工作氛圍,0,招募資訊
230,工作,工作氛圍,5,招募資訊
231,離職,工作氛圍,0,招募資訊
232,新鮮人,工作氛圍,0,招募資訊
233,畢業,工作氛圍,0,招募資訊
234,證照,工作氛圍,0,招募資訊
235,招募人員,工作氛圍,0,招募資訊
236,正向,工作氛圍,12,情緒
237,負向,工作氛圍,4,情緒
238,成就感,同事互動,0,成長價值
239,學習成長,同事互動,0,成長價值
240,創新,同事互動,0,成長價值
241,薪資,同事互動,0,經濟報酬
242,福利,同事互動,0,經濟報酬
243,管理制度,同事互動,1,經濟報酬
244,工作氛圍,同事互動,1,人際價值
245,同事互動,同事互動,9,人際價值
246,主管風格,同事互動,0,人際價值
247,工作地點,同事互動,1,組織文化與制度
248,公司規模,同事互動,0,組織文化與制度
249,工作環境,同事互動,3,組織文化與制度
250,產業前景,同事互動,0,組織文化與制度
251,多元性,同事互動,0,組織文化與制度
252,企業社會責任,同事互動,0,組織文化與制度
253,企業永續目標,同事互動,0,組織文化與制度
254,變化性,同事互動,0,組織文化與制度
255,工學院,同事互動,0,科系專業
256,理學院,同事互動,0,科系專業
257,管理學院/商學院,同事互動,0,科系專業
258,社會學院,同事互動,0,科系專業
259,文學院,同事互動,0,科系專業
260,面試,同事互動,0,招募資訊
261,學經歷,同事互動,0,招募資訊
262,徵才,同事互動,0,招募資訊
263,實習,同事互動,0,招募資訊
264,工作,同事互動,5,招募資訊
265,離職,同事互動,0,招募資訊
266,新鮮人,同事互動,0,招募資訊
267,畢業,同事互動,0,招募資訊
268,證照,同事互動,0,招募資訊
269,招募人員,同事互動,0,招募資訊
270,正向,同事互動,28,情緒
271,負向,同事互動,3,情緒
272,成就感,主管風格,0,成長價值
273,學習成長,主管風格,0,成長價值
274,創新,主管風格,0,成長價值
275,薪資,主管風格,0,經濟報酬
276,福利,主管風格,0,經濟報酬
277,管理制度,主管風格,0,經濟報酬
278,工作氛圍,主管風格,0,人際價值
279,同事互動,主管風格,0,人際價值
280,主管風格,主管風格,0,人際價值
281,工作地點,主管風格,0,組織文化與制度
282,公司規模,主管風格,0,組織文化與制度
283,工作環境,主管風格,0,組織文化與制度
284,產業前景,主管風格,0,組織文化與制度
285,多元性,主管風格,0,組織文化與制度
286,企業社會責任,主管風格,0,組織文化與制度
287,企業永續目標,主管風格,0,組織文化與制度
288,變化性,主管風格,0,組織文化與制度
289,工學院,主管風格,0,科系專業
290,理學院,主管風格,0,科系專業
291,管理學院/商學院,主管風格,0,科系專業
