,item1,item2,value,class
0,成就感,成就感,1,成長價值
1,學習成長,成就感,1,成長價值
2,創新,成就感,0,成長價值
3,薪資,成就感,0,經濟報酬
4,福利,成就感,0,經濟報酬
5,管理制度,成就感,0,經濟報酬
6,工作氛圍,成就感,1,人際價值
7,同事互動,成就感,0,人際價值
8,主管風格,成就感,0,人際價值
9,工作地點,成就感,0,組織文化與制度
10,公司規模,成就感,0,組織文化與制度
11,工作環境,成就感,0,組織文化與制度
12,產業前景,成就感,0,組織文化與制度
13,多元性,成就感,0,組織文化與制度
14,企業社會責任,成就感,0,組織文化與制度
15,企業永續目標,成就感,0,組織文化與制度
16,變化性,成就感,0,組織文化與制度
17,工學院,成就感,0,科系專業
18,面試,成就感,0,招募資訊
19,徵才,成就感,0,招募資訊
20,實習,成就感,0,招募資訊
21,工作,成就感,0,招募資訊
22,離職,成就感,0,招募資訊
23,轉職,成就感,0,招募資訊
24,新鮮人,成就感,0,招募資訊
25,畢業,成就感,0,招募資訊
26,出路,成就感,0,招募資訊
27,能力,成就感,0,招募資訊
28,招募人員,成就感,0,招募資訊
29,正向,成就感,0,情緒
30,負向,成就感,1,情緒
31,成就感,學習成長,1,成長價值
32,學習成長,學習成長,11,成長價值
33,創新,學習成長,0,成長價值
34,薪資,學習成長,0,經濟報酬
35,福利,學習成長,0,經濟報酬
36,管理制度,學習成長,4,經濟報酬
37,工作氛圍,學習成長,1,人際價值
38,同事互動,學習成長,2,人際價值
39,主管風格,學習成長,0,人際價值
40,工作地點,學習成長,0,組織文化與制度
41,公司規模,學習成長,4,組織文化與制度
42,工作環境,學習成長,0,組織文化與制度
43,產業前景,學習成長,0,組織文化與制度
44,多元性,學習成長,0,組織文化與制度
45,企業社會責任,學習成長,0,組織文化與制度
46,企業永續目標,學習成長,0,組織文化與制度
47,變化性,學習成長,3,組織文化與制度
48,工學院,學習成長,0,科系專業
49,面試,學習成長,0,招募資訊
50,徵才,學習成長,0,招募資訊
51,實習,學習成長,0,招募資訊
52,工作,學習成長,6,招募資訊
53,離職,學習成長,0,招募資訊
54,轉職,學習成長,0,招募資訊
55,新鮮人,學習成長,0,招募資訊
56,畢業,學習成長,0,招募資訊
57,出路,學習成長,0,招募資訊
58,能力,學習成長,4,招募資訊
59,招募人員,學習成長,0,招募資訊
60,正向,學習成長,4,情緒
61,負向,學習成長,1,情緒
62,成就感,創新,0,成長價值
63,學習成長,創新,0,成長價值
64,創新,創新,0,成長價值
65,薪資,創新,0,經濟報酬
66,福利,創新,0,經濟報酬
67,管理制度,創新,0,經濟報酬
68,工作氛圍,創新,0,人際價值
69,同事互動,創新,0,人際價值
70,主管風格,創新,0,人際價值
71,工作地點,創新,0,組織文化與制度
72,公司規模,創新,0,組織文化與制度
73,工作環境,創新,0,組織文化與制度
74,產業前景,創新,0,組織文化與制度
75,多元性,創新,0,組織文化與制度
76,企業社會責任,創新,0,組織文化與制度
77,企業永續目標,創新,0,組織文化與制度
78,變化性,創新,0,組織文化與制度
79,工學院,創新,0,科系專業
80,面試,創新,0,招募資訊
81,徵才,創新,0,招募資訊
82,實習,創新,0,招募資訊
83,工作,創新,0,招募資訊
84,離職,創新,0,招募資訊
85,轉職,創新,0,招募資訊
86,新鮮人,創新,0,招募資訊
87,畢業,創新,0,招募資訊
88,出路,創新,0,招募資訊
89,能力,創新,0,招募資訊
90,招募人員,創新,0,招募資訊
91,正向,創新,0,情緒
92,負向,創新,0,情緒
93,成就感,薪資,0,成長價值
94,學習成長,薪資,0,成長價值
95,創新,薪資,0,成長價值
96,薪資,薪資,23,經濟報酬
97,福利,薪資,7,經濟報酬
98,管理制度,薪資,2,經濟報酬
99,工作氛圍,薪資,0,人際價值
100,同事互動,薪資,0,人際價值
101,主管風格,薪資,0,人際價值
102,工作地點,薪資,0,組織文化與制度
103,公司規模,薪資,3,組織文化與制度
104,工作環境,薪資,0,組織文化與制度
105,產業前景,薪資,0,組織文化與制度
106,多元性,薪資,0,組織文化與制度
107,企業社會責任,薪資,0,組織文化與制度
108,企業永續目標,薪資,0,組織文化與制度
109,變化性,薪資,3,組織文化與制度
110,工學院,薪資,0,科系專業
111,面試,薪資,0,招募資訊
112,徵才,薪資,0,招募資訊
113,實習,薪資,0,招募資訊
114,工作,薪資,0,招募資訊
115,離職,薪資,0,招募資訊
116,轉職,薪資,0,招募資訊
117,新鮮人,薪資,3,招募資訊
118,畢業,薪資,0,招募資訊
119,出路,薪資,0,招募資訊
120,能力,薪資,0,招募資訊
121,招募人員,薪資,0,招募資訊
122,正向,薪資,0,情緒
123,負向,薪資,0,情緒
124,成就感,福利,0,成長價值
125,學習成長,福利,0,成長價值
126,創新,福利,0,成長價值
127,薪資,福利,7,經濟報酬
128,福利,福利,9,經濟報酬
129,管理制度,福利,3,經濟報酬
130,工作氛圍,福利,0,人際價值
131,同事互動,福利,0,人際價值
132,主管風格,福利,2,人際價值
133,工作地點,福利,0,組織文化與制度
134,公司規模,福利,2,組織文化與制度
135,工作環境,福利,1,組織文化與制度
136,產業前景,福利,0,組織文化與制度
137,多元性,福利,0,組織文化與制度
138,企業社會責任,福利,0,組織文化與制度
139,企業永續目標,福利,0,組織文化與制度
140,變化性,福利,3,組織文化與制度
141,工學院,福利,0,科系專業
142,面試,福利,0,招募資訊
143,徵才,福利,0,招募資訊
144,實習,福利,0,招募資訊
145,工作,福利,2,招募資訊
146,離職,福利,0,招募資訊
147,轉職,福利,0,招募資訊
148,新鮮人,福利,1,招募資訊
149,畢業,福利,0,招募資訊
150,出路,福利,0,招募資訊
151,能力,福利,0,招募資訊
152,招募人員,福利,2,招募資訊
153,正向,福利,3,情緒
154,負向,福利,1,情緒
155,成就感,管理制度,0,成長價值
156,學習成長,管理制度,4,成長價值
157,創新,管理制度,0,成長價值
158,薪資,管理制度,2,經濟報酬
159,福利,管理制度,3,經濟報酬
160,管理制度,管理制度,10,經濟報酬
161,工作氛圍,管理制度,1,人際價值
162,同事互動,管理制度,1,人際價值
163,主管風格,管理制度,1,人際價值
164,工作地點,管理制度,0,組織文化與制度
165,公司規模,管理制度,4,組織文化與制度
166,工作環境,管理制度,0,組織文化與制度
167,產業前景,管理制度,1,組織文化與制度
168,多元性,管理制度,0,組織文化與制度
169,企業社會責任,管理制度,0,組織文化與制度
170,企業永續目標,管理制度,0,組織文化與制度
171,變化性,管理制度,3,組織文化與制度
172,工學院,管理制度,1,科系專業
173,面試,管理制度,0,招募資訊
174,徵才,管理制度,0,招募資訊
175,實習,管理制度,0,招募資訊
176,工作,管理制度,3,招募資訊
177,離職,管理制度,0,招募資訊
178,轉職,管理制度,0,招募資訊
179,新鮮人,管理制度,0,招募資訊
180,畢業,管理制度,1,招募資訊
181,出路,管理制度,0,招募資訊
182,能力,管理制度,3,招募資訊
183,招募人員,管理制度,2,招募資訊
184,正向,管理制度,6,情緒
185,負向,管理制度,3,情緒
186,成就感,工作氛圍,1,成長價值
187,學習成長,工作氛圍,1,成長價值
188,創新,工作氛圍,0,成長價值
189,薪資,工作氛圍,0,經濟報酬
190,福利,工作氛圍,0,經濟報酬
191,管理制度,工作氛圍,1,經濟報酬
192,工作氛圍,工作氛圍,9,人際價值
193,同事互動,工作氛圍,2,人際價值
194,主管風格,工作氛圍,2,人際價值
195,工作地點,工作氛圍,0,組織文化與制度
196,公司規模,工作氛圍,0,組織文化與制度
197,工作環境,工作氛圍,0,組織文化與制度
198,產業前景,工作氛圍,0,組織文化與制度
199,多元性,工作氛圍,1,組織文化與制度
200,企業社會責任,工作氛圍,0,組織文化與制度
201,企業永續目標,工作氛圍,0,組織文化與制度
202,變化性,工作氛圍,0,組織文化與制度
203,工學院,工作氛圍,0,科系專業
204,面試,工作氛圍,0,招募資訊
205,徵才,工作氛圍,0,招募資訊
206,實習,工作氛圍,0,招募資訊
207,工作,工作氛圍,3,招募資訊
208,離職,工作氛圍,0,招募資訊
209,轉職,工作氛圍,0,招募資訊
210,新鮮人,工作氛圍,0,招募資訊
211,畢業,工作氛圍,0,招募資訊
