,item1,item2,value,class
0,管理制度,管理制度,1.0,經濟報酬
1,工作氛圍,管理制度,-0.08333333333333331,人際價值
2,工作環境,管理制度,-0.12309149097933272,組織文化與制度
3,變化性,管理制度,-0.12309149097933272,組織文化與制度
4,工作,管理制度,-0.0833333333333333,招募資訊
5,正向,管理制度,-0.11136920927794088,情緒
6,負向,管理制度,-0.24504901470490165,情緒
7,管理制度,工作氛圍,-0.08333333333333331,經濟報酬
8,工作氛圍,工作氛圍,1.0,人際價值
9,工作環境,工作氛圍,-0.1230914909793327,組織文化與制度
10,變化性,工作氛圍,-0.1230914909793327,組織文化與制度
11,工作,工作氛圍,-0.0833333333333333,招募資訊
12,正向,工作氛圍,-0.2923441743545948,情緒
13,負向,工作氛圍,0.2100420126042014,情緒
14,管理制度,工作環境,-0.12309149097933272,經濟報酬
15,工作氛圍,工作環境,-0.1230914909793327,人際價值
16,工作環境,工作環境,1.0,組織文化與制度
17,變化性,工作環境,0.4090909090909091,組織文化與制度
18,工作,工作環境,0.6770032003863299,招募資訊
19,正向,工作環境,0.9047677332679314,情緒
20,負向,工作環境,0.6463596124937739,情緒
21,管理制度,變化性,-0.12309149097933272,經濟報酬
22,工作氛圍,變化性,-0.1230914909793327,人際價值
23,工作環境,變化性,0.4090909090909091,組織文化與制度
24,變化性,變化性,0.9999999999999999,組織文化與制度
25,工作,變化性,-0.12309149097933268,招募資訊
26,正向,變化性,0.5037911242060072,情緒
27,負向,變化性,0.3102526139970114,情緒
28,管理制度,工作,-0.0833333333333333,經濟報酬
29,工作氛圍,工作,-0.0833333333333333,人際價值
30,工作環境,工作,0.6770032003863299,組織文化與制度
31,變化性,工作,-0.12309149097933267,組織文化與制度
32,工作,工作,1.0,招募資訊
33,正向,工作,0.6125306510286748,情緒
34,負向,工作,0.6651330399133046,情緒
35,管理制度,正向,-0.11136920927794088,經濟報酬
36,工作氛圍,正向,-0.2923441743545948,人際價值
37,工作環境,正向,0.9047677332679315,組織文化與制度
38,變化性,正向,0.5037911242060071,組織文化與制度
39,工作,正向,0.6125306510286748,招募資訊
40,正向,正向,0.9999999999999999,情緒
41,負向,正向,0.6608300132632811,情緒
42,管理制度,負向,-0.24504901470490165,經濟報酬
43,工作氛圍,負向,0.2100420126042014,人際價值
44,工作環境,負向,0.6463596124937739,組織文化與制度
45,變化性,負向,0.31025261399701143,組織文化與制度
46,工作,負向,0.6651330399133046,招募資訊
47,正向,負向,0.6608300132632811,情緒
48,負向,負向,0.9999999999999998,情緒
