,item1,item2,value,class
0,成就感,成就感,0.9999999999999998,成長價值
1,學習成長,成就感,-0.021023740666670336,成長價值
2,創新,成就感,-0.004482457490675876,成長價值
3,薪資,成就感,-0.022945988499511575,經濟報酬
4,福利,成就感,-0.026706787208198073,經濟報酬
5,管理制度,成就感,-0.02803073239821411,經濟報酬
6,工作氛圍,成就感,0.15260339601792058,人際價值
7,同事互動,成就感,-0.028415853422939168,人際價值
8,主管風格,成就感,-0.023953523863486634,人際價值
9,工作地點,成就感,-0.01130040896355041,組織文化與制度
10,公司規模,成就感,-0.012197480407149611,組織文化與制度
11,工作環境,成就感,-0.01971458726616615,組織文化與制度
12,產業前景,成就感,-0.011067643244807572,組織文化與制度
13,變化性,成就感,-0.01287580501653792,組織文化與制度
14,工學院,成就感,-0.006349206349206345,科系專業
15,面試,成就感,-0.009007775376987012,招募資訊
16,學經歷,成就感,-0.008505726494259604,招募資訊
17,徵才,成就感,-0.006349206349206341,招募資訊
18,實習,成就感,-0.020612439161699452,招募資訊
19,工作,成就感,0.04093754001429693,招募資訊
20,新鮮人,成就感,-0.009007775376987026,招募資訊
21,畢業,成就感,-0.006349206349206343,招募資訊
22,招募人員,成就感,-0.011973686801784988,招募資訊
23,正向,成就感,0.0806196233152163,情緒
24,負向,成就感,-0.0058151153344647806,情緒
25,成就感,學習成長,-0.021023740666670336,成長價值
26,學習成長,學習成長,1.0,成長價值
27,創新,學習成長,-0.01484248875375161,成長價值
28,薪資,學習成長,-0.0393754749989261,經濟報酬
29,福利,學習成長,-0.02452726764471086,經濟報酬
30,管理制度,學習成長,0.01664342748298713,經濟報酬
31,工作氛圍,學習成長,0.05741533655720006,人際價值
32,同事互動,學習成長,0.03581713152470253,人際價值
33,主管風格,學習成長,-0.02649415868194494,人際價值
34,工作地點,學習成長,-0.03741835662762764,組織文化與制度
35,公司規模,學習成長,0.1425146764996721,組織文化與制度
36,工作環境,學習成長,-0.04218410043454755,組織文化與制度
37,產業前景,學習成長,0.03250294307263028,組織文化與制度
38,變化性,學習成長,-0.04263486972291329,組織文化與制度
39,工學院,學習成長,-0.02102374066667033,科系專業
40,面試,學習成長,-0.029826898527729514,招募資訊
41,學經歷,學習成長,-0.028164494609518163,招募資訊
42,徵才,學習成長,-0.021023740666670322,招募資訊
43,實習,學習成長,0.19922667681127537,招募資訊
44,工作,學習成長,0.10237204457593668,招募資訊
45,新鮮人,學習成長,0.1390146520667394,招募資訊
46,畢業,學習成長,0.0979856484643028,招募資訊
47,招募人員,學習成長,-0.039647740567784105,招募資訊
48,正向,學習成長,0.2151553946225942,情緒
49,負向,學習成長,0.02130230603403958,情緒
50,成就感,創新,-0.004482457490675875,成長價值
51,學習成長,創新,-0.01484248875375161,成長價值
52,創新,創新,1.0,成長價值
53,薪資,創新,-0.016199570839819214,經濟報酬
54,福利,創新,-0.01885464604379068,經濟報酬
55,管理制度,創新,-0.019789334209182174,經濟報酬
56,工作氛圍,創新,-0.013802479700200019,人際價值
57,同事互動,創新,-0.020061224667162234,人際價值
58,主管風格,創新,-0.016910877764020126,人際價值
59,工作地點,創新,-0.00797794244200287,組織文化與制度
60,公司規模,創新,-0.008611263268398001,組織文化與制度
61,工作環境,創新,-0.013918243400272538,組織文化與制度
62,產業前景,創新,0.405005599794594,組織文化與制度
63,變化性,創新,-0.009090151661565843,組織文化與制度
64,工學院,創新,-0.004482457490675877,科系專業
65,面試,創新,-0.0063593728085319405,招募資訊
66,學經歷,創新,-0.0060049327964588894,招募資訊
67,徵才,創新,-0.0044824574906758745,招募資訊
68,實習,創新,-0.014552115215630053,招募資訊
69,工作,創新,-0.020621520411995956,招募資訊
70,新鮮人,創新,-0.006359372808531951,招募資訊
71,畢業,創新,-0.004482457490675875,招募資訊
72,招募人員,創新,-0.008453267880067719,招募資訊
