,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,創新,學習成長,0.11734957446552464,成長價值
2,薪資,學習成長,0.024403383677549847,經濟報酬
3,福利,學習成長,0.05732896811900772,經濟報酬
4,管理制度,學習成長,-0.04046734801155042,經濟報酬
5,工作氛圍,學習成長,0.06540773383117436,人際價值
6,同事互動,學習成長,0.11010503238868716,人際價值
7,主管風格,學習成長,-0.08001228854511239,人際價值
8,工作地點,學習成長,0.022893323507639785,組織文化與制度
9,公司規模,學習成長,0.20631403896226158,組織文化與制度
10,工作環境,學習成長,-0.06804062281269123,組織文化與制度
11,產業前景,學習成長,-0.038249196111822814,組織文化與制度
12,多元性,學習成長,0.25874150077276664,組織文化與制度
13,變化性,學習成長,-0.03654088493868309,組織文化與制度
14,工學院,學習成長,-0.02950602506301755,科系專業
15,面試,學習成長,0.2670286961279066,招募資訊
16,學經歷,學習成長,0.034810495358523506,招募資訊
17,徵才,學習成長,-0.03414065521270036,招募資訊
18,實習,學習成長,0.12448271433475656,招募資訊
19,工作,學習成長,0.005633436084648891,招募資訊
20,離職,學習成長,0.0861763271681788,招募資訊
21,新鮮人,學習成長,-0.03414065521270041,招募資訊
22,畢業,學習成長,0.16663891234770398,招募資訊
23,正向,學習成長,0.2895002326820378,情緒
24,負向,學習成長,0.13121590114099743,情緒
25,學習成長,創新,0.11734957446552464,成長價值
26,創新,創新,0.9999999999999999,成長價值
27,薪資,創新,0.15825257162518386,經濟報酬
28,福利,創新,0.289068791778791,經濟報酬
29,管理制度,創新,0.1726256188559539,經濟報酬
30,工作氛圍,創新,-0.019506183110046246,人際價值
31,同事互動,創新,0.2285159144109023,人際價值
32,主管風格,創新,0.077680993452088,人際價值
33,工作地點,創新,-0.01653019583258202,組織文化與制度
34,公司規模,創新,-0.012244387999457542,組織文化與制度
35,工作環境,創新,-0.023102301275287243,組織文化與制度
36,產業前景,創新,-0.012987012987012932,組織文化與制度
37,多元性,創新,-0.008163265306122432,組織文化與制度
38,變化性,創新,-0.012406978328857898,組織文化與制度
39,工學院,創新,-0.01001838390454684,科系專業
40,面試,創新,-0.011592011799051114,招募資訊
41,學經歷,創新,-0.012307854147732703,招募資訊
42,徵才,創新,-0.011592011799051156,招募資訊
43,實習,創新,-0.010459884816382556,招募資訊
44,工作,創新,0.21411557871757603,招募資訊
45,離職,創新,0.40240508683262993,招募資訊
46,新鮮人,創新,-0.011592011799051108,招募資訊
47,畢業,創新,-0.011592011799051064,招募資訊
48,正向,創新,0.22728310844538088,情緒
49,負向,創新,0.028006777618218293,情緒
50,學習成長,薪資,0.024403383677549847,成長價值
51,創新,薪資,0.15825257162518386,成長價值
52,薪資,薪資,0.9999999999999999,經濟報酬
53,福利,薪資,0.5515302504720094,經濟報酬
54,管理制度,薪資,0.041068051905041175,經濟報酬
55,工作氛圍,薪資,0.05620864501301679,人際價值
56,同事互動,薪資,0.041337296354169356,人際價值
57,主管風格,薪資,0.006474051933084731,人際價值
58,工作地點,薪資,-0.05467451118429082,組織文化與制度
59,公司規模,薪資,0.11828271018441684,組織文化與制度
60,工作環境,薪資,-0.05456743941995124,組織文化與制度
61,產業前景,薪資,-0.04295524348292344,組織文化與制度
62,多元性,薪資,-0.02700043876069487,組織文化與制度
63,變化性,薪資,-0.041036747675265696,組織文化與制度
64,工學院,薪資,-0.03313634323424119,科系專業
65,面試,薪資,-0.038341202074957725,招募資訊
66,學經歷,薪資,-0.04070888911844885,招募資訊
67,徵才,薪資,-0.038341202074957656,招募資訊
68,實習,薪資,-0.034596631230010784,招募資訊
69,工作,薪資,-0.017952044804409654,招募資訊
70,離職,薪資,0.1184317452631215,招募資訊
71,新鮮人,薪資,0.0274246098175047,招募資訊
72,畢業,薪資,-0.03834120207495755,招募資訊
73,正向,薪資,0.06403805643135829,情緒
74,負向,薪資,0.06941669366616733,情緒
75,學習成長,福利,0.05732896811900773,成長價值
76,創新,福利,0.28906879177879097,成長價值
77,薪資,福利,0.5515302504720093,經濟報酬
78,福利,福利,1.0,經濟報酬
79,管理制度,福利,-0.007675352912348542,經濟報酬
80,工作氛圍,福利,0.0757951842729223,人際價值
81,同事互動,福利,0.08682122914013729,人際價值
82,主管風格,福利,-0.052047235417159575,人際價值
83,工作地點,福利,-0.05157264826483998,組織文化與制度
84,公司規模,福利,0.029196733076656045,組織文化與制度
85,工作環境,福利,-0.03498737510861631,組織文化與制度
86,產業前景,福利,-0.040518252752333415,組織文化與制度
87,多元性,福利,-0.025468616015752475,組織文化與制度
88,變化性,福利,-0.03870859945424705,組織文化與制度
89,工學院,福利,-0.03125641066350413,科系專業
90,面試,福利,-0.036165980926612926,招募資訊
91,學經歷,福利,-0.03839934138014495,招募資訊
92,徵才,福利,0.07549648518430449,招募資訊
93,實習,福利,-0.03263385176978724,招募資訊
94,工作,福利,0.012213408872082715,招募資訊
95,離職,福利,0.2260880371326794,招募資訊
96,新鮮人,福利,-0.03616598092661296,招募資訊
