,item1,item2,value,class
0,薪資,薪資,1.0,經濟報酬
1,福利,薪資,0.29728218384655924,經濟報酬
2,管理制度,薪資,-0.008115343414514939,經濟報酬
3,工作氛圍,薪資,-0.11322770341445965,人際價值
4,同事互動,薪資,0.0856737314234579,人際價值
5,主管風格,薪資,-0.018287923898986404,人際價值
6,公司規模,薪資,-0.11322770341445965,組織文化與制度
7,工作環境,薪資,-0.11322770341445962,組織文化與制度
8,社會學院,薪資,-0.11322770341445963,科系專業
9,工作,薪資,-0.1280228891247973,招募資訊
10,新鮮人,薪資,0.15097027121927936,招募資訊
11,能力,薪資,0.02719641466102109,招募資訊
12,招募人員,薪資,-0.045291081365783845,招募資訊
13,正向,薪資,-0.02065970679309437,情緒
14,負向,薪資,-0.20380986614602736,情緒
15,薪資,福利,0.29728218384655924,經濟報酬
16,福利,福利,0.9999999999999998,經濟報酬
17,管理制度,福利,0.3914116273780536,經濟報酬
18,工作氛圍,福利,0.5601120336112032,人際價值
19,同事互動,福利,0.6145226424892878,人際價值
20,主管風格,福利,0.2487822001675454,人際價值
21,公司規模,福利,0.5601120336112032,組織文化與制度
22,工作環境,福利,-0.09335200560186727,組織文化與制度
23,社會學院,福利,0.23338001400466837,科系專業
24,工作,福利,0.4855303805588611,招募資訊
25,新鮮人,福利,0.23338001400466837,招募資訊
26,能力,福利,0.5717718748968652,招募資訊
27,招募人員,福利,0.22404481344448143,招募資訊
28,正向,福利,0.5791272825304881,情緒
29,負向,福利,-0.1680336100833612,情緒
30,薪資,管理制度,-0.008115343414514937,經濟報酬
31,福利,管理制度,0.3914116273780536,經濟報酬
32,管理制度,管理制度,1.0,經濟報酬
33,工作氛圍,管理制度,0.5733821790809958,人際價值
34,同事互動,管理制度,0.4772345306443783,人際價值
35,主管風格,管理制度,0.6328321057687593,人際價值
36,公司規模,管理制度,0.5733821790809958,組織文化與制度
37,工作環境,管理制度,-0.09556369651349926,組織文化與制度
38,社會學院,管理制度,-0.09556369651349926,科系專業
39,工作,管理制度,0.39618615614333935,招募資訊
40,新鮮人,管理制度,0.5733821790809958,招募資訊
41,能力,管理制度,0.8263316678488002,招募資訊
42,招募人員,管理制度,0.49693122187019584,招募資訊
43,正向,管理制度,0.6742192216732669,情緒
44,負向,管理制度,-0.03822547860539972,情緒
45,薪資,工作氛圍,-0.11322770341445965,經濟報酬
46,福利,工作氛圍,0.5601120336112032,經濟報酬
47,管理制度,工作氛圍,0.5733821790809958,經濟報酬
48,工作氛圍,工作氛圍,1.0,人際價值
49,同事互動,工作氛圍,0.8911654477393953,人際價值
50,主管風格,工作氛圍,0.41275945824459337,人際價值
51,公司規模,工作氛圍,1.0,組織文化與制度
52,工作環境,工作氛圍,-0.03703703703703697,組織文化與制度
53,社會學院,工作氛圍,-0.037037037037036966,科系專業
54,工作,工作氛圍,0.8375315127160101,招募資訊
55,新鮮人,工作氛圍,-0.037037037037036966,招募資訊
56,能力,工作氛圍,0.6938886664887104,招募資訊
57,招募人員,工作氛圍,0.5555555555555555,招募資訊
58,正向,工作氛圍,0.8447295831715667,情緒
59,負向,工作氛圍,-0.06666666666666657,情緒
60,薪資,同事互動,0.08567373142345791,經濟報酬
61,福利,同事互動,0.6145226424892877,經濟報酬
62,管理制度,同事互動,0.4772345306443783,經濟報酬
63,工作氛圍,同事互動,0.8911654477393952,人際價值
64,同事互動,同事互動,1.0,人際價值
65,主管風格,同事互動,0.33404062586434957,人際價值
66,公司規模,同事互動,0.8911654477393952,組織文化與制度
67,工作環境,同事互動,-0.050443327230531854,組織文化與制度
68,社會學院,同事互動,-0.050443327230531854,科系專業
69,工作,同事互動,0.8212987125857037,招募資訊
70,新鮮人,同事互動,-0.05044332723053187,招募資訊
71,能力,同事互動,0.6058047645908212,招募資訊
72,招募人員,同事互動,0.47416727596699937,招募資訊
73,正向,同事互動,0.806881342789192,情緒
74,負向,同事互動,-0.09079798901495731,情緒
75,薪資,主管風格,-0.018287923898986404,經濟報酬
76,福利,主管風格,0.24878220016754543,經濟報酬
77,管理制度,主管風格,0.6328321057687594,經濟報酬
78,工作氛圍,主管風格,0.4127594582445934,人際價值
79,同事互動,主管風格,0.33404062586434957,人際價值
80,主管風格,主管風格,1.0,人際價值
81,公司規模,主管風格,0.4127594582445934,組織文化與制度
82,工作環境,主管風格,-0.0897303170096943,組織文化與制度
83,社會學院,主管風格,-0.0897303170096943,科系專業
84,工作,主管風格,0.21102672654165877,招募資訊
85,新鮮人,主管風格,0.4127594582445934,招募資訊
86,能力,主管風格,0.5948496901286529,招募資訊
87,招募人員,主管風格,0.7429670248402691,招募資訊
88,正向,主管風格,0.396210538693712,情緒
89,負向,主管風格,-0.16151457061744973,情緒
90,薪資,公司規模,-0.11322770341445965,經濟報酬
91,福利,公司規模,0.5601120336112032,經濟報酬
92,管理制度,公司規模,0.5733821790809958,經濟報酬
93,工作氛圍,公司規模,1.0,人際價值
94,同事互動,公司規模,0.8911654477393953,人際價值
95,主管風格,公司規模,0.41275945824459337,人際價值
96,公司規模,公司規模,1.0,組織文化與制度
97,工作環境,公司規模,-0.03703703703703697,組織文化與制度
98,社會學院,公司規模,-0.037037037037036966,科系專業
99,工作,公司規模,0.8375315127160101,招募資訊
100,新鮮人,公司規模,-0.037037037037036966,招募資訊
101,能力,公司規模,0.6938886664887104,招募資訊
102,招募人員,公司規模,0.5555555555555555,招募資訊
103,正向,公司規模,0.8447295831715667,情緒
104,負向,公司規模,-0.06666666666666657,情緒
105,薪資,工作環境,-0.1132277034144596,經濟報酬
106,福利,工作環境,-0.09335200560186727,經濟報酬
107,管理制度,工作環境,-0.09556369651349923,經濟報酬
108,工作氛圍,工作環境,-0.03703703703703697,人際價值
109,同事互動,工作環境,-0.05044332723053185,人際價值
110,主管風格,工作環境,-0.08973031700969429,人際價值
111,公司規模,工作環境,-0.03703703703703697,組織文化與制度
112,工作環境,工作環境,1.0,組織文化與制度
113,社會學院,工作環境,-0.037037037037036986,科系專業
114,工作,工作環境,-0.10050378152592117,招募資訊
115,新鮮人,工作環境,-0.03703703703703697,招募資訊
116,能力,工作環境,-0.05337605126836233,招募資訊
117,招募人員,工作環境,-0.0666666666666666,招募資訊
118,正向,工作環境,0.08785187664984286,情緒
119,負向,工作環境,-0.06666666666666664,情緒
120,薪資,社會學院,-0.11322770341445963,經濟報酬
121,福利,社會學院,0.2333800140046684,經濟報酬
122,管理制度,社會學院,-0.09556369651349926,經濟報酬
123,工作氛圍,社會學院,-0.037037037037036966,人際價值
124,同事互動,社會學院,-0.05044332723053185,人際價值
125,主管風格,社會學院,-0.0897303170096943,人際價值
126,公司規模,社會學院,-0.037037037037036966,組織文化與制度
127,工作環境,社會學院,-0.037037037037036986,組織文化與制度
128,社會學院,社會學院,1.0,科系專業
129,工作,社會學院,0.13400504203456146,招募資訊
130,新鮮人,社會學院,-0.037037037037036966,招募資訊
131,能力,社會學院,-0.053376051268362326,招募資訊
132,招募人員,社會學院,-0.06666666666666661,招募資訊
133,正向,社會學院,-0.10136754998058797,情緒
134,負向,社會學院,-0.0666666666666666,情緒
135,薪資,工作,-0.1280228891247973,經濟報酬
136,福利,工作,0.48553038055886116,經濟報酬
137,管理制度,工作,0.39618615614333935,經濟報酬
138,工作氛圍,工作,0.8375315127160101,人際價值
139,同事互動,工作,0.8212987125857036,人際價值
140,主管風格,工作,0.21102672654165877,人際價值
141,公司規模,工作,0.8375315127160101,組織文化與制度
142,工作環境,工作,-0.10050378152592117,組織文化與制度
143,社會學院,工作,0.13400504203456146,科系專業
144,工作,工作,1.0,招募資訊
145,新鮮人,工作,-0.1005037815259212,招募資訊
146,能力,工作,0.5310850045437948,招募資訊
147,招募人員,工作,0.38191436979850013,招募資訊
148,正向,工作,0.7518612707635381,情緒
149,負向,工作,-0.1809068067466581,情緒
150,薪資,新鮮人,0.1509702712192794,經濟報酬
151,福利,新鮮人,0.2333800140046684,經濟報酬
152,管理制度,新鮮人,0.5733821790809958,經濟報酬
153,工作氛圍,新鮮人,-0.037037037037036966,人際價值
154,同事互動,新鮮人,-0.05044332723053187,人際價值
155,主管風格,新鮮人,0.41275945824459337,人際價值
156,公司規模,新鮮人,-0.037037037037036966,組織文化與制度
157,工作環境,新鮮人,-0.03703703703703697,組織文化與制度
158,社會學院,新鮮人,-0.037037037037036966,科系專業
159,工作,新鮮人,-0.1005037815259212,招募資訊
160,新鮮人,新鮮人,0.9999999999999999,招募資訊
161,能力,新鮮人,0.6938886664887104,招募資訊
162,招募人員,新鮮人,-0.06666666666666662,招募資訊
163,正向,新鮮人,0.27707130328027396,情緒
164,負向,新鮮人,-0.06666666666666657,情緒
165,薪資,能力,0.027196414661021094,經濟報酬
166,福利,能力,0.5717718748968652,經濟報酬
167,管理制度,能力,0.8263316678488002,經濟報酬
168,工作氛圍,能力,0.6938886664887104,人際價值
169,同事互動,能力,0.6058047645908211,人際價值
170,主管風格,能力,0.5948496901286527,人際價值
171,公司規模,能力,0.6938886664887104,組織文化與制度
172,工作環境,能力,-0.05337605126836233,組織文化與制度
173,社會學院,能力,-0.053376051268362326,科系專業
174,工作,能力,0.5310850045437949,招募資訊
175,新鮮人,能力,0.6938886664887104,招募資訊
176,能力,能力,1.0,招募資訊
177,招募人員,能力,0.3522819383711921,招募資訊
178,正向,能力,0.8083435719799964,情緒
179,負向,能力,-0.09607689228305223,情緒
180,薪資,招募人員,-0.045291081365783845,經濟報酬
181,福利,招募人員,0.2240448134444814,經濟報酬
182,管理制度,招募人員,0.49693122187019584,經濟報酬
183,工作氛圍,招募人員,0.5555555555555555,人際價值
184,同事互動,招募人員,0.4741672759669994,人際價值
185,主管風格,招募人員,0.7429670248402692,人際價值
186,公司規模,招募人員,0.5555555555555555,組織文化與制度
187,工作環境,招募人員,-0.0666666666666666,組織文化與制度
188,社會學院,招募人員,-0.06666666666666661,科系專業
189,工作,招募人員,0.38191436979850013,招募資訊
190,新鮮人,招募人員,-0.06666666666666664,招募資訊
191,能力,招募人員,0.35228193837119215,招募資訊
192,招募人員,招募人員,1.0,招募資訊
193,正向,招募人員,0.3851966899262342,情緒
194,負向,招募人員,-0.12,情緒
195,薪資,正向,-0.02065970679309437,經濟報酬
196,福利,正向,0.579127282530488,經濟報酬
197,管理制度,正向,0.6742192216732669,經濟報酬
198,工作氛圍,正向,0.8447295831715667,人際價值
199,同事互動,正向,0.806881342789192,人際價值
200,主管風格,正向,0.396210538693712,人際價值
201,公司規模,正向,0.8447295831715667,組織文化與制度
202,工作環境,正向,0.08785187664984287,組織文化與制度
203,社會學院,正向,-0.10136754998058797,科系專業
204,工作,正向,0.7518612707635381,招募資訊
205,新鮮人,正向,0.27707130328027396,招募資訊
206,能力,正向,0.8083435719799964,招募資訊
207,招募人員,正向,0.3851966899262342,招募資訊
208,正向,正向,1.0,情緒
209,負向,正向,-0.18246158996505832,情緒
