,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,0.3088298031757344,經濟報酬
2,福利,學習成長,0.12762257587800857,經濟報酬
3,管理制度,學習成長,0.32335207317606235,經濟報酬
4,工作氛圍,學習成長,-0.06567054908729275,人際價值
5,同事互動,學習成長,0.04837550701059203,人際價值
6,主管風格,學習成長,0.3088298031757344,人際價值
7,工作環境,學習成長,0.25760736803141604,組織文化與制度
8,變化性,學習成長,-0.045995928132556124,組織文化與制度
9,管理學院/商學院,學習成長,-0.045995928132556124,科系專業
10,面試,學習成長,-0.04599592813255607,招募資訊
11,學經歷,學習成長,-0.06567054908729267,招募資訊
12,徵才,學習成長,0.12762257587800857,招募資訊
13,實習,學習成長,-0.04599592813255608,招募資訊
14,工作,學習成長,0.25331707858114033,招募資訊
15,畢業,學習成長,-0.04599592813255608,招募資訊
16,招募人員,學習成長,-0.045995928132556124,招募資訊
17,正向,學習成長,0.4530070414310237,情緒
18,負向,學習成長,0.016782913847809788,情緒
19,學習成長,薪資,0.30882980317573433,成長價值
20,薪資,薪資,1.0,經濟報酬
21,福利,薪資,-0.033314830232638475,經濟報酬
22,管理制度,薪資,0.35823729135745985,經濟報酬
23,工作氛圍,薪資,-0.02693862292201829,人際價值
24,同事互動,薪資,0.35823729135745985,人際價值
25,主管風格,薪資,1.0,人際價值
26,工作環境,薪資,-0.025507216374642358,組織文化與制度
27,變化性,薪資,-0.0188679245283019,組織文化與制度
28,管理學院/商學院,薪資,-0.0188679245283019,科系專業
29,面試,薪資,-0.018867924528301903,招募資訊
30,學經歷,薪資,-0.02693862292201829,招募資訊
31,徵才,薪資,0.5663521139548539,招募資訊
32,實習,薪資,-0.0188679245283019,招募資訊
33,工作,薪資,0.5076030097532753,招募資訊
34,畢業,薪資,-0.018867924528301872,招募資訊
35,招募人員,薪資,-0.0188679245283019,招募資訊
36,正向,薪資,0.5087254424369873,情緒
37,負向,薪資,0.09267589850270579,情緒
38,學習成長,福利,0.12762257587800857,成長價值
39,薪資,福利,-0.033314830232638475,經濟報酬
40,福利,福利,1.0,經濟報酬
41,管理制度,福利,0.6325345708624238,經濟報酬
42,工作氛圍,福利,-0.04756514941544939,人際價值
43,同事互動,福利,0.16781529431043904,人際價值
44,主管風格,福利,-0.03331483023263848,人際價值
45,工作環境,福利,-0.0450377349111045,組織文化與制度
46,變化性,福利,-0.0333148302326385,組織文化與制度
47,管理學院/商學院,福利,-0.0333148302326385,科系專業
48,面試,福利,-0.033314830232638565,招募資訊
49,學經歷,福利,-0.04756514941544943,招募資訊
50,徵才,福利,-0.058823529411764726,招募資訊
51,實習,福利,-0.033314830232638544,招募資訊
52,工作,福利,-0.10163858576990122,招募資訊
53,畢業,福利,-0.033314830232638475,招募資訊
54,招募人員,福利,-0.0333148302326385,招募資訊
55,正向,福利,0.13075782299380367,情緒
56,負向,福利,0.28145484319205777,情緒
57,學習成長,管理制度,0.32335207317606235,成長價值
58,薪資,管理制度,0.35823729135745985,經濟報酬
59,福利,管理制度,0.6325345708624237,經濟報酬
60,管理制度,管理制度,1.0,經濟報酬
61,工作氛圍,管理制度,-0.05219104319894308,人際價值
62,同事互動,管理制度,0.08215297450424924,人際價值
63,主管風格,管理制度,0.35823729135745985,人際價值
64,工作環境,管理制度,-0.04941782791003965,組織文化與制度
65,變化性,管理制度,-0.036554825648720424,組織文化與制度
66,管理學院/商學院,管理制度,-0.036554825648720424,科系專業
67,面試,管理制度,-0.03655482564872041,招募資訊
68,學經歷,管理制度,-0.05219104319894307,招募資訊
69,徵才,管理制度,0.16781529431043885,招募資訊
70,實習,管理制度,0.3582372913574599,招募資訊
71,工作,管理制度,0.10746793548971843,招募資訊
72,畢業,管理制度,-0.03655482564872041,招募資訊
73,招募人員,管理制度,-0.036554825648720424,招募資訊
74,正向,管理制度,0.4466424323538695,情緒
75,負向,管理制度,0.3346827275760733,情緒
76,學習成長,工作氛圍,-0.06567054908729275,成長價值
77,薪資,工作氛圍,-0.02693862292201829,經濟報酬
78,福利,工作氛圍,-0.047565149415449384,經濟報酬
79,管理制度,工作氛圍,-0.05219104319894308,經濟報酬
80,工作氛圍,工作氛圍,1.0,人際價值
81,同事互動,工作氛圍,-0.05219104319894309,人際價值
82,主管風格,工作氛圍,-0.02693862292201829,人際價值
83,工作環境,工作氛圍,-0.03641785203646149,組織文化與制度
84,變化性,工作氛圍,-0.026938622922018287,組織文化與制度
85,管理學院/商學院,工作氛圍,-0.026938622922018287,科系專業
86,面試,工作氛圍,0.7004041959724745,招募資訊
87,學經歷,工作氛圍,-0.03846153846153851,招募資訊
88,徵才,工作氛圍,0.38052119532359585,招募資訊
89,實習,工作氛圍,-0.02693862292201829,招募資訊
90,工作,工作氛圍,-0.08218572681484533,招募資訊
91,畢業,工作氛圍,-0.02693862292201829,招募資訊
92,招募人員,工作氛圍,-0.026938622922018287,招募資訊
93,正向,工作氛圍,0.10573176159496561,情緒
94,負向,工作氛圍,-0.010585418994988183,情緒
95,學習成長,同事互動,0.04837550701059203,成長價值
96,薪資,同事互動,0.35823729135745985,經濟報酬
97,福利,同事互動,0.16781529431043904,經濟報酬
98,管理制度,同事互動,0.08215297450424924,經濟報酬
99,工作氛圍,同事互動,-0.05219104319894309,人際價值
100,同事互動,同事互動,1.0,人際價值
101,主管風格,同事互動,0.35823729135745985,人際價值
102,工作環境,同事互動,-0.04941782791003965,組織文化與制度
103,變化性,同事互動,-0.036554825648720424,組織文化與制度
