,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.05597045539726738,經濟報酬
2,福利,學習成長,-0.050669459193814013,經濟報酬
3,管理制度,學習成長,-0.04420536728310916,經濟報酬
4,工作氛圍,學習成長,-0.024390243902438984,人際價值
5,同事互動,學習成長,-0.04708816093480117,人際價值
6,主管風格,學習成長,-0.05410017808004589,人際價值
7,工作地點,學習成長,-0.03290969660539169,組織文化與制度
8,公司規模,學習成長,-0.01714229740350894,組織文化與制度
9,工作環境,學習成長,-0.03715615485399805,組織文化與制度
10,產業前景,學習成長,-0.017142297403508953,組織文化與制度
11,多元性,學習成長,-0.017142297403508915,組織文化與制度
12,變化性,學習成長,-0.032909696605391676,組織文化與制度
13,工學院,學習成長,-0.03005565448891438,科系專業
14,面試,學習成長,-0.01714229740350896,招募資訊
15,學經歷,學習成長,-0.01714229740350893,招募資訊
16,工作,學習成長,-0.05741061666394999,招募資訊
17,新鮮人,學習成長,-0.01714229740350893,招募資訊
18,畢業,學習成長,0.48780487804878003,招募資訊
19,招募人員,學習成長,-0.01714229740350895,招募資訊
20,正向,學習成長,-0.030318533517563626,情緒
21,負向,學習成長,0.04265818065886011,情緒
22,學習成長,薪資,-0.05597045539726739,成長價值
23,薪資,薪資,1.0,經濟報酬
24,福利,薪資,0.6903869743208706,經濟報酬
25,管理制度,薪資,-0.03381399201713406,經濟報酬
26,工作氛圍,薪資,0.027985227698633597,人際價值
27,同事互動,薪資,-0.10805737826496584,人際價值
28,主管風格,薪資,0.12414847577275058,人際價值
29,工作地點,薪資,-0.07552079894557653,組織文化與制度
30,公司規模,薪資,-0.03933794988142138,組織文化與制度
31,工作環境,薪資,0.042632761613787894,組織文化與制度
32,產業前景,薪資,-0.039337949881421364,組織文化與制度
33,多元性,薪資,0.07867589976284267,組織文化與制度
34,變化性,薪資,0.2869790359931909,組織文化與制度
35,工學院,薪資,-0.06897137542930584,科系專業
36,面試,薪資,0.0786758997628427,招募資訊
37,學經歷,薪資,0.07867589976284271,招募資訊
38,工作,薪資,0.18444332582492326,招募資訊
39,新鮮人,薪資,0.07867589976284271,招募資訊
40,畢業,薪資,-0.055970455397267325,招募資訊
41,招募人員,薪資,-0.03933794988142137,招募資訊
42,正向,薪資,0.41520342066262345,情緒
43,負向,薪資,0.5329648862190729,情緒
44,學習成長,福利,-0.050669459193814013,成長價值
45,薪資,福利,0.6903869743208706,經濟報酬
46,福利,福利,0.9999999999999998,經濟報酬
47,管理制度,福利,0.06887575815124616,經濟報酬
48,工作氛圍,福利,-0.050669459193813896,人際價值
49,同事互動,福利,0.04891159880445183,人際價值
50,主管風格,福利,0.2154147366637896,人際價值
51,工作地點,福利,-0.06836817769833534,組織文化與制度
52,公司規模,福利,-0.03561222848978811,組織文化與制度
53,工作環境,福利,-0.07718997315912123,組織文化與制度
54,產業前景,福利,-0.03561222848978813,組織文化與制度
55,多元性,福利,-0.03561222848978806,組織文化與制度
56,變化性,福利,0.14699158205142096,組織文化與制度
57,工學院,福利,-0.062439054105446215,科系專業
58,面試,福利,0.1513519710815996,招募資訊
59,學經歷,福利,-0.03561222848978808,招募資訊
60,工作,福利,0.19380978635228274,招募資訊
61,新鮮人,福利,-0.03561222848978808,招募資訊
62,畢業,福利,-0.0506694591938139,招募資訊
63,招募人員,福利,0.15135197108159962,招募資訊
64,正向,福利,0.6090259735092239,情緒
65,負向,福利,0.4332540408104806,情緒
66,學習成長,管理制度,-0.04420536728310916,成長價值
67,薪資,管理制度,-0.03381399201713406,經濟報酬
68,福利,管理制度,0.06887575815124616,經濟報酬
69,管理制度,管理制度,0.9999999999999999,經濟報酬
70,工作氛圍,管理制度,-0.04420536728310917,人際價值
71,同事互動,管理制度,0.14223921233528417,人際價值
72,主管風格,管理制度,0.0036315647380189544,人際價值
73,工作地點,管理制度,0.16303293095081517,組織文化與制度
74,公司規模,管理制度,-0.031069043664734498,組織文化與制度
75,工作環境,管理制度,0.03741253353228437,組織文化與制度
76,產業前景,管理制度,0.2589086972061209,組織文化與制度
77,多元性,管理制度,-0.031069043664734498,組織文化與制度
78,變化性,管理制度,0.0516933683502584,組織文化與制度
79,工學院,管理制度,-0.05447347107028429,科系專業
80,面試,管理制度,-0.031069043664734473,招募資訊
81,學經歷,管理制度,-0.03106904366473451,招募資訊
82,工作,管理制度,-0.006936810214584529,招募資訊
83,新鮮人,管理制度,-0.03106904366473451,招募資訊
84,畢業,管理制度,-0.04420536728310917,招募資訊
85,招募人員,管理制度,-0.03106904366473448,招募資訊
86,正向,管理制度,0.19321100303653882,情緒
87,負向,管理制度,-0.002863501566289592,情緒
88,學習成長,工作氛圍,-0.024390243902438984,成長價值
89,薪資,工作氛圍,0.027985227698633593,經濟報酬
90,福利,工作氛圍,-0.050669459193813896,經濟報酬
91,管理制度,工作氛圍,-0.04420536728310917,經濟報酬
92,工作氛圍,工作氛圍,1.0,人際價值
93,同事互動,工作氛圍,-0.04708816093480113,人際價值
94,主管風格,工作氛圍,-0.05410017808004591,人際價值
95,工作地點,工作氛圍,-0.03290969660539159,組織文化與制度
96,公司規模,工作氛圍,-0.017142297403508967,組織文化與制度
97,工作環境,工作氛圍,-0.03715615485399806,組織文化與制度
98,產業前景,工作氛圍,-0.01714229740350895,組織文化與制度
99,多元性,工作氛圍,-0.017142297403509005,組織文化與制度
100,變化性,工作氛圍,-0.03290969660539166,組織文化與制度
101,工學院,工作氛圍,-0.03005565448891439,科系專業
102,面試,工作氛圍,-0.01714229740350894,招募資訊
103,學經歷,工作氛圍,-0.01714229740350901,招募資訊
104,工作,工作氛圍,0.18371397332463985,招募資訊
105,新鮮人,工作氛圍,-0.01714229740350901,招募資訊
106,畢業,工作氛圍,-0.02439024390243907,招募資訊
107,招募人員,工作氛圍,-0.01714229740350894,招募資訊
108,正向,工作氛圍,-0.07139525634781115,情緒
109,負向,工作氛圍,0.10901535057264249,情緒
110,學習成長,同事互動,-0.04708816093480117,成長價值
111,薪資,同事互動,-0.10805737826496584,經濟報酬
112,福利,同事互動,0.04891159880445183,經濟報酬
113,管理制度,同事互動,0.14223921233528414,經濟報酬
114,工作氛圍,同事互動,-0.04708816093480113,人際價值
115,同事互動,同事互動,0.9999999999999998,人際價值
116,主管風格,同事互動,0.17407765595569777,人際價值
117,工作地點,同事互動,0.0889503169700271,組織文化與制度
118,公司規模,同事互動,-0.03309516961607478,組織文化與制度
119,工作環境,同事互動,-0.07173421497882158,組織文化與制度
120,產業前景,同事互動,-0.033095169616074775,組織文化與制度
121,多元性,同事互動,-0.0330951696160748,組織文化與制度
122,變化性,同事互動,-0.06353594069287656,組織文化與制度
123,工學院,同事互動,-0.058025885318565895,科系專業
124,面試,同事互動,-0.03309516961607476,招募資訊
125,學經歷,同事互動,-0.033095169616074824,招募資訊
126,工作,同事互動,0.022167554926073686,招募資訊
127,新鮮人,同事互動,-0.033095169616074824,招募資訊
128,畢業,同事互動,0.23544080467400533,招募資訊
129,招募人員,同事互動,0.3640468657768224,招募資訊
130,正向,同事互動,0.009440871517559714,情緒
131,負向,同事互動,-0.06405506046960155,情緒
132,學習成長,主管風格,-0.05410017808004589,成長價值
133,薪資,主管風格,0.1241484757727506,經濟報酬
134,福利,主管風格,0.2154147366637896,經濟報酬
135,管理制度,主管風格,0.0036315647380189544,經濟報酬
136,工作氛圍,主管風格,-0.05410017808004591,人際價值
137,同事互動,主管風格,0.17407765595569777,人際價值
138,主管風格,主管風格,1.0,人際價值
139,工作地點,主管風格,-0.07299723832339083,組織文化與制度
140,公司規模,主管風格,-0.03802345503146867,組織文化與制度
141,工作環境,主管風格,-0.08241633836921348,組織文化與制度
142,產業前景,主管風格,-0.038023455031468666,組織文化與制度
143,多元性,主管風格,-0.03802345503146866,組織文化與制度
144,變化性,主管風格,0.06326427321360538,組織文化與制度
145,工學院,主管風格,-0.06666666666666664,科系專業
146,面試,主管風格,-0.03802345503146866,招募資訊
147,學經歷,主管風格,-0.03802345503146867,招募資訊
148,工作,主管風格,0.34807061518196747,招募資訊
149,新鮮人,主管風格,-0.038023455031468686,招募資訊
150,畢業,主管風格,-0.05410017808004589,招募資訊
151,招募人員,主管風格,-0.038023455031468686,招募資訊
152,正向,主管風格,0.1959643560388782,情緒
153,負向,主管風格,0.2908701860830367,情緒
154,學習成長,工作地點,-0.03290969660539168,成長價值
155,薪資,工作地點,-0.07552079894557653,經濟報酬
156,福利,工作地點,-0.06836817769833534,經濟報酬
157,管理制度,工作地點,0.16303293095081517,經濟報酬
158,工作氛圍,工作地點,-0.03290969660539159,人際價值
159,同事互動,工作地點,0.0889503169700271,人際價值
160,主管風格,工作地點,-0.07299723832339083,人際價值
161,工作地點,工作地點,1.0,組織文化與制度
162,公司規模,工作地點,-0.023130060073423782,組織文化與制度
163,工作環境,工作地點,-0.050134709113989116,組織文化與制度
164,產業前景,工作地點,-0.02313006007342375,組織文化與制度
165,多元性,工作地點,-0.02313006007342374,組織文化與制度
166,變化性,工作地點,-0.044404973357015994,組織文化與制度
167,工學院,工作地點,-0.04055402129077265,科系專業
168,面試,工作地點,-0.02313006007342377,招募資訊
169,學經歷,工作地點,-0.02313006007342375,招募資訊
170,工作,工作地點,0.05267552342033253,招募資訊
171,新鮮人,工作地點,-0.02313006007342375,招募資訊
172,畢業,工作地點,-0.03290969660539157,招募資訊
173,招募人員,工作地點,-0.02313006007342378,招募資訊
174,正向,工作地點,0.003431054214180393,情緒
175,負向,工作地點,-0.08569832890018406,情緒
176,學習成長,公司規模,-0.01714229740350894,成長價值
177,薪資,公司規模,-0.03933794988142138,經濟報酬
178,福利,公司規模,-0.03561222848978811,經濟報酬
179,管理制度,公司規模,-0.031069043664734494,經濟報酬
180,工作氛圍,公司規模,-0.017142297403508967,人際價值
181,同事互動,公司規模,-0.03309516961607478,人際價值
182,主管風格,公司規模,-0.03802345503146868,人際價值
183,工作地點,公司規模,-0.023130060073423785,組織文化與制度
184,公司規模,公司規模,1.0,組織文化與制度
185,工作環境,公司規模,-0.02611461613200078,組織文化與制度
186,產業前景,公司規模,-0.012048192771084355,組織文化與制度
187,多元性,公司規模,-0.01204819277108435,組織文化與制度
188,變化性,公司規模,-0.02313006007342378,組織文化與制度
189,工學院,公司規模,-0.02112414168414926,科系專業
190,面試,公司規模,-0.012048192771084347,招募資訊
191,學經歷,公司規模,-0.012048192771084357,招募資訊
192,工作,公司規模,-0.040350144463863334,招募資訊
193,新鮮人,公司規模,-0.012048192771084357,招募資訊
194,畢業,公司規模,-0.017142297403508967,招募資訊
195,招募人員,公司規模,-0.012048192771084336,招募資訊
196,正向,公司規模,-0.07904915278189345,情緒
197,負向,公司規模,-0.0632945480029946,情緒
198,學習成長,工作環境,-0.03715615485399805,成長價值
199,薪資,工作環境,0.042632761613787894,經濟報酬
200,福利,工作環境,-0.07718997315912123,經濟報酬
201,管理制度,工作環境,0.03741253353228437,經濟報酬
202,工作氛圍,工作環境,-0.037156154853998064,人際價值
203,同事互動,工作環境,-0.07173421497882158,人際價值
204,主管風格,工作環境,-0.08241633836921348,人際價值
205,工作地點,工作環境,-0.050134709113989116,組織文化與制度
206,公司規模,工作環境,-0.026114616132000775,組織文化與制度
207,工作環境,工作環境,1.0,組織文化與制度
208,產業前景,工作環境,-0.026114616132000775,組織文化與制度
209,多元性,工作環境,0.3394900097160103,組織文化與制度
210,變化性,工作環境,0.09024247640518056,組織文化與制度
211,工學院,工作環境,-0.04578685464956296,科系專業
212,面試,工作環境,-0.026114616132000768,招募資訊
213,學經歷,工作環境,0.3394900097160107,招募資訊
214,工作,工作環境,-0.08745946828419898,招募資訊
215,新鮮人,工作環境,-0.026114616132000782,招募資訊
216,畢業,工作環境,-0.03715615485399804,招募資訊
217,招募人員,工作環境,-0.026114616132000768,招募資訊
218,正向,工作環境,-0.02532853316284947,情緒
219,負向,工作環境,0.13237801830074902,情緒
220,學習成長,產業前景,-0.017142297403508953,成長價值
221,薪資,產業前景,-0.03933794988142136,經濟報酬
222,福利,產業前景,-0.03561222848978813,經濟報酬
223,管理制度,產業前景,0.2589086972061209,經濟報酬
224,工作氛圍,產業前景,-0.01714229740350895,人際價值
225,同事互動,產業前景,-0.033095169616074775,人際價值
226,主管風格,產業前景,-0.03802345503146867,人際價值
227,工作地點,產業前景,-0.02313006007342375,組織文化與制度
228,公司規模,產業前景,-0.012048192771084355,組織文化與制度
229,工作環境,產業前景,-0.02611461613200078,組織文化與制度
230,產業前景,產業前景,1.0,組織文化與制度
231,多元性,產業前景,-0.012048192771084336,組織文化與制度
232,變化性,產業前景,-0.02313006007342378,組織文化與制度
233,工學院,產業前景,-0.02112414168414926,科系專業
234,面試,產業前景,-0.012048192771084348,招募資訊
235,學經歷,產業前景,-0.012048192771084343,招募資訊
236,工作,產業前景,-0.04035014446386333,招募資訊
237,新鮮人,產業前景,-0.012048192771084345,招募資訊
238,畢業,產業前景,-0.017142297403508953,招募資訊
239,招募人員,產業前景,-0.01204819277108435,招募資訊
240,正向,產業前景,0.03643134867339438,情緒
241,負向,產業前景,0.12325780400583163,情緒
242,學習成長,多元性,-0.017142297403508918,成長價值
243,薪資,多元性,0.07867589976284267,經濟報酬
244,福利,多元性,-0.03561222848978806,經濟報酬
245,管理制度,多元性,-0.031069043664734494,經濟報酬
246,工作氛圍,多元性,-0.017142297403509005,人際價值
247,同事互動,多元性,-0.0330951696160748,人際價值
248,主管風格,多元性,-0.03802345503146865,人際價值
249,工作地點,多元性,-0.023130060073423737,組織文化與制度
250,公司規模,多元性,-0.01204819277108435,組織文化與制度
251,工作環境,多元性,0.3394900097160103,組織文化與制度
252,產業前景,多元性,-0.012048192771084336,組織文化與制度
253,多元性,多元性,1.0,組織文化與制度
254,變化性,多元性,-0.023130060073423775,組織文化與制度
255,工學院,多元性,-0.02112414168414925,科系專業
256,面試,多元性,-0.01204819277108433,招募資訊
257,學經歷,多元性,0.9999999999999997,招募資訊
258,工作,多元性,-0.040350144463863355,招募資訊
259,新鮮人,多元性,-0.012048192771084383,招募資訊
260,畢業,多元性,-0.017142297403508977,招募資訊
261,招募人員,多元性,-0.01204819277108433,招募資訊
262,正向,多元性,-0.021308902054249526,情緒
