,item1,item2,value,class
0,薪資,薪資,1.0,經濟報酬
1,公司規模,薪資,-0.1561737618886061,組織文化與制度
2,工學院,薪資,-0.23426064283290912,科系專業
3,面試,薪資,-0.3067191794659486,招募資訊
4,正向,薪資,-0.3123475237772121,情緒
5,負向,薪資,0.2825289656088067,情緒
6,薪資,公司規模,-0.1561737618886061,經濟報酬
7,公司規模,公司規模,1.0,組織文化與制度
8,工學院,公司規模,-0.16666666666666666,科系專業
9,面試,公司規模,0.5091750772173156,招募資訊
10,正向,公司規模,-0.33333333333333326,情緒
11,負向,公司規模,0.2010075630518424,情緒
12,薪資,工學院,-0.23426064283290912,經濟報酬
13,公司規模,工學院,-0.16666666666666666,組織文化與制度
14,工學院,工學院,1.0,科系專業
15,面試,工學院,-0.32732683535398854,招募資訊
16,正向,工學院,0.5,情緒
17,負向,工學院,-0.45226701686664533,情緒
18,薪資,面試,-0.3067191794659487,經濟報酬
19,公司規模,面試,0.5091750772173156,組織文化與制度
20,工學院,面試,-0.3273268353539885,科系專業
21,面試,面試,1.0,招募資訊
22,正向,面試,-0.4364357804719848,情緒
23,負向,面試,0.3947710169758613,情緒
24,薪資,正向,-0.31234752377721203,經濟報酬
25,公司規模,正向,-0.33333333333333326,組織文化與制度
26,工學院,正向,0.5,科系專業
27,面試,正向,-0.4364357804719848,招募資訊
28,正向,正向,1.0,情緒
29,負向,正向,-0.4522670168666454,情緒
30,薪資,負向,0.2825289656088067,經濟報酬
31,公司規模,負向,0.20100756305184242,組織文化與制度
32,工學院,負向,-0.45226701686664533,科系專業
33,面試,負向,0.39477101697586137,招募資訊
34,正向,負向,-0.45226701686664533,情緒
35,負向,負向,1.0,情緒
