,item1,item2,value,class
0,學習成長,學習成長,0.9999999999999998,成長價值
1,薪資,學習成長,0.44723241722490875,經濟報酬
2,福利,學習成長,-0.038575837490522985,經濟報酬
3,管理制度,學習成長,-0.038575837490522985,經濟報酬
4,工作氛圍,學習成長,-0.022511258444537403,人際價值
5,同事互動,學習成長,-0.0237691344270764,人際價值
6,主管風格,學習成長,-0.034199278402838464,人際價值
7,公司規模,學習成長,-0.023769134427076403,組織文化與制度
8,工作環境,學習成長,-0.023769134427076406,組織文化與制度
9,產業前景,學習成長,-0.016666666666666653,組織文化與制度
10,變化性,學習成長,-0.04264014327112207,組織文化與制度
11,面試,學習成長,-0.032331040305678176,招募資訊
12,學經歷,學習成長,-0.029361010975735177,招募資訊
13,徵才,學習成長,-0.029361010975735177,招募資訊
14,工作,學習成長,-0.05135300187611006,招募資訊
15,正向,學習成長,0.053708615552957445,情緒
16,負向,學習成長,-0.11001442906807543,情緒
17,學習成長,薪資,0.4472324172249087,成長價值
18,薪資,薪資,1.0,經濟報酬
19,福利,薪資,0.3399823864379199,經濟報酬
20,管理制度,薪資,-0.12345729116460777,經濟報酬
21,工作氛圍,薪資,-0.07204455350973929,人際價值
22,同事互動,薪資,-0.07607023309384262,人際價值
23,主管風格,薪資,0.018943380760602098,人際價值
24,公司規模,薪資,0.10240223685709585,組織文化與制度
25,工作環境,薪資,-0.07607023309384262,組織文化與制度
26,產業前景,薪資,-0.05333964609104417,組織文化與制度
27,變化性,薪資,-0.1364646090811842,組織文化與制度
28,面試,薪資,-0.1034715748596095,招募資訊
29,學經歷,薪資,-0.09396635605925865,招募資訊
30,徵才,薪資,-0.09396635605925867,招募資訊
31,工作,薪資,-0.16434905674706637,招募資訊
32,正向,薪資,0.13052632426856337,情緒
33,負向,薪資,-0.0541673604129178,情緒
34,學習成長,福利,-0.038575837490522985,成長價值
35,薪資,福利,0.3399823864379199,經濟報酬
36,福利,福利,1.0,經濟報酬
37,管理制度,福利,0.1285714285714286,經濟報酬
38,工作氛圍,福利,-0.05210343884781832,人際價值
39,同事互動,福利,-0.05501485601695773,人際價值
40,主管風格,福利,-0.07915594835766301,人際價值
41,公司規模,福利,-0.05501485601695772,組織文化與制度
42,工作環境,福利,-0.05501485601695773,組織文化與制度
43,產業前景,福利,-0.038575837490522985,組織文化與制度
44,變化性,福利,-0.09869275424396537,組織文化與制度
45,面試,福利,-0.07483181740388341,招募資訊
46,學經歷,福利,-0.06795753527744536,招募資訊
47,徵才,福利,-0.06795753527744533,招募資訊
48,工作,福利,-0.11885910330140075,招募資訊
49,正向,福利,0.007649925509213042,情緒
50,負向,福利,0.050926784848112944,情緒
51,學習成長,管理制度,-0.038575837490522985,成長價值
52,薪資,管理制度,-0.12345729116460775,經濟報酬
53,福利,管理制度,0.1285714285714286,經濟報酬
54,管理制度,管理制度,1.0,經濟報酬
55,工作氛圍,管理制度,0.37167119711443714,人際價值
56,同事互動,管理制度,-0.05501485601695772,人際價值
57,主管風格,管理制度,0.16226969413320905,人際價值
58,公司規模,管理制度,-0.05501485601695772,組織文化與制度
59,工作環境,管理制度,-0.05501485601695773,組織文化與制度
60,產業前景,管理制度,-0.038575837490522985,組織文化與制度
61,變化性,管理制度,-0.09869275424396537,組織文化與制度
62,面試,管理制度,-0.07483181740388341,招募資訊
63,學經歷,管理制度,-0.06795753527744533,招募資訊
64,徵才,管理制度,-0.06795753527744533,招募資訊
65,工作,管理制度,0.02614900272630815,招募資訊
66,正向,管理制度,0.27985977487871,情緒
67,負向,管理制度,0.15278035454433891,情緒
68,學習成長,工作氛圍,-0.022511258444537403,成長價值
69,薪資,工作氛圍,-0.07204455350973929,經濟報酬
70,福利,工作氛圍,-0.052103438847818324,經濟報酬
71,管理制度,工作氛圍,0.3716711971144372,經濟報酬
72,工作氛圍,工作氛圍,1.0,人際價值
73,同事互動,工作氛圍,-0.03210438768545213,人際價值
74,主管風格,工作氛圍,-0.04619212768457902,人際價值
75,公司規模,工作氛圍,-0.03210438768545213,組織文化與制度
76,工作環境,工作氛圍,-0.03210438768545213,組織文化與制度
77,產業前景,工作氛圍,-0.022511258444537406,組織文化與制度
78,變化性,工作氛圍,-0.0575929971172999,組織文化與制度
79,面試,工作氛圍,-0.04366874424611262,招募資訊
80,學經歷,工作氛圍,-0.03965719837606043,招募資訊
81,徵才,工作氛圍,-0.03965719837606043,招募資訊
82,工作,工作氛圍,0.21270780827301075,招募資訊
83,正向,工作氛圍,0.4129365732941935,情緒
84,負向,工作氛圍,0.04953126490759349,情緒
85,學習成長,同事互動,-0.0237691344270764,成長價值
86,薪資,同事互動,-0.07607023309384262,經濟報酬
87,福利,同事互動,-0.05501485601695773,經濟報酬
88,管理制度,同事互動,-0.05501485601695773,經濟報酬
89,工作氛圍,同事互動,-0.03210438768545213,人際價值
90,同事互動,同事互動,0.9999999999999999,人際價值
91,主管風格,同事互動,-0.04877323473996473,人際價值
92,公司規模,同事互動,-0.03389830508474574,組織文化與制度
93,工作環境,同事互動,-0.03389830508474574,組織文化與制度
94,產業前景,同事互動,-0.0237691344270764,組織文化與制度
95,變化性,同事互動,-0.0608111578440659,組織文化與制度
96,面試,同事互動,-0.04610885059157347,招募資訊
97,學經歷,同事互動,-0.04187314900782693,招募資訊
98,徵才,同事互動,-0.041873149007826946,招募資訊
99,工作,同事互動,0.3735086198771139,招募資訊
100,正向,同事互動,0.19640112353390965,情緒
101,負向,同事互動,0.23534529780934332,情緒
102,學習成長,主管風格,-0.034199278402838464,成長價值
103,薪資,主管風格,0.018943380760602098,經濟報酬
104,福利,主管風格,-0.07915594835766301,經濟報酬
105,管理制度,主管風格,0.16226969413320905,經濟報酬
106,工作氛圍,主管風格,-0.046192127684579025,人際價值
107,同事互動,主管風格,-0.04877323473996472,人際價值
108,主管風格,主管風格,1.0,人際價值
109,公司規模,主管風格,0.3231226801522663,組織文化與制度
110,工作環境,主管風格,-0.04877323473996471,組織文化與制度
111,產業前景,主管風格,-0.034199278402838464,組織文化與制度
112,變化性,主管風格,0.13488924710510736,組織文化與制度
113,面試,主管風格,0.10227708798322356,招募資訊
114,學經歷,主管風格,-0.06024752331287776,招募資訊
115,徵才,主管風格,-0.060247523312877825,招募資訊
116,工作,主管風格,0.05532142165145105,招募資訊
117,正向,主管風格,0.19639586887215318,情緒
118,負向,主管風格,-0.05643621132042657,情緒
119,學習成長,公司規模,-0.023769134427076403,成長價值
120,薪資,公司規模,0.10240223685709585,經濟報酬
121,福利,公司規模,-0.05501485601695773,經濟報酬
122,管理制度,公司規模,-0.05501485601695773,經濟報酬
123,工作氛圍,公司規模,-0.03210438768545213,人際價值
124,同事互動,公司規模,-0.03389830508474574,人際價值
125,主管風格,公司規模,0.3231226801522663,人際價值
126,公司規模,公司規模,0.9999999999999999,組織文化與制度
127,工作環境,公司規模,-0.03389830508474576,組織文化與制度
128,產業前景,公司規模,-0.02376913442707641,組織文化與制度
129,變化性,公司規模,-0.06081115784406595,組織文化與制度
130,面試,公司規模,-0.04610885059157344,招募資訊
131,學經歷,公司規模,-0.04187314900782693,招募資訊
132,徵才,公司規模,-0.041873149007826946,招募資訊
133,工作,公司規模,-0.07323698428963009,招募資訊
134,正向,公司規模,0.07659643817822478,情緒
135,負向,公司規模,0.23534529780934332,情緒
136,學習成長,工作環境,-0.02376913442707641,成長價值
137,薪資,工作環境,-0.07607023309384262,經濟報酬
138,福利,工作環境,-0.05501485601695773,經濟報酬
139,管理制度,工作環境,-0.05501485601695773,經濟報酬
140,工作氛圍,工作環境,-0.03210438768545213,人際價值
141,同事互動,工作環境,-0.03389830508474574,人際價值
142,主管風格,工作環境,-0.04877323473996471,人際價值
143,公司規模,工作環境,-0.03389830508474576,組織文化與制度
144,工作環境,工作環境,0.9999999999999999,組織文化與制度
145,產業前景,工作環境,-0.02376913442707641,組織文化與制度
146,變化性,工作環境,-0.060811157844065884,組織文化與制度
147,面試,工作環境,-0.04610885059157343,招募資訊
148,學經歷,工作環境,-0.041873149007826946,招募資訊
149,徵才,工作環境,-0.04187314900782693,招募資訊
150,工作,工作環境,0.15013581779374158,招募資訊
151,正向,工作環境,0.2563034662117522,情緒
152,負向,工作環境,0.07844843260311445,情緒
153,學習成長,產業前景,-0.016666666666666653,成長價值
154,薪資,產業前景,-0.05333964609104416,經濟報酬
155,福利,產業前景,-0.03857583749052299,經濟報酬
156,管理制度,產業前景,-0.03857583749052299,經濟報酬
157,工作氛圍,產業前景,-0.022511258444537406,人際價值
158,同事互動,產業前景,-0.0237691344270764,人際價值
159,主管風格,產業前景,-0.034199278402838464,人際價值
160,公司規模,產業前景,-0.023769134427076406,組織文化與制度
161,工作環境,產業前景,-0.023769134427076406,組織文化與制度
162,產業前景,產業前景,0.9999999999999998,組織文化與制度
163,變化性,產業前景,-0.04264014327112208,組織文化與制度
164,面試,產業前景,-0.032331040305678155,招募資訊
165,學經歷,產業前景,-0.02936101097573518,招募資訊
166,徵才,產業前景,-0.02936101097573518,招募資訊
167,工作,產業前景,-0.051353001876110076,招募資訊
168,正向,產業前景,0.2217201821545167,情緒
169,負向,產業前景,-2.6718245792080597e-18,情緒
170,學習成長,變化性,-0.042640143271122075,成長價值
171,薪資,變化性,-0.1364646090811842,經濟報酬
172,福利,變化性,-0.09869275424396537,經濟報酬
173,管理制度,變化性,-0.09869275424396537,經濟報酬
174,工作氛圍,變化性,-0.057592997117299906,人際價值
175,同事互動,變化性,-0.0608111578440659,人際價值
176,主管風格,變化性,0.13488924710510736,人際價值
177,公司規模,變化性,-0.06081115784406595,組織文化與制度
178,工作環境,變化性,-0.06081115784406588,組織文化與制度
179,產業前景,變化性,-0.04264014327112208,組織文化與制度
180,變化性,變化性,0.9999999999999998,組織文化與制度
181,面試,變化性,0.057441674614106,招募資訊
182,學經歷,變化性,-0.07511746287541993,招募資訊
183,徵才,變化性,0.17944727242461486,招募資訊
184,工作,變化性,0.2693330209601432,招募資訊
185,正向,變化性,0.06576821101334177,情緒
186,負向,變化性,-0.28146186104120613,情緒
187,學習成長,面試,-0.03233104030567817,成長價值
188,薪資,面試,-0.1034715748596095,經濟報酬
189,福利,面試,-0.07483181740388341,經濟報酬
190,管理制度,面試,-0.07483181740388341,經濟報酬
191,工作氛圍,面試,-0.043668744246112626,人際價值
192,同事互動,面試,-0.04610885059157347,人際價值
193,主管風格,面試,0.10227708798322356,人際價值
194,公司規模,面試,-0.04610885059157344,組織文化與制度
195,工作環境,面試,-0.04610885059157342,組織文化與制度
196,產業前景,面試,-0.032331040305678155,組織文化與制度
197,變化性,面試,0.057441674614106,組織文化與制度
198,面試,面試,0.9999999999999999,招募資訊
199,學經歷,面試,0.3290809701476105,招募資訊
200,徵才,面試,-0.056956321756317166,招募資訊
201,工作,面試,0.10293835035539302,招募資訊
