,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.07513375122084127,經濟報酬
2,福利,學習成長,-0.0367777086497974,經濟報酬
3,管理制度,學習成長,0.23543819208716243,經濟報酬
4,工作氛圍,學習成長,-0.05051424338837482,人際價值
5,同事互動,學習成長,-0.005504059984822823,人際價值
6,主管風格,學習成長,0.0377394172182668,人際價值
7,工作地點,學習成長,-0.023798038192903524,組織文化與制度
8,工作環境,學習成長,0.02091192398039319,組織文化與制度
9,產業前景,學習成長,-0.040224656346245384,組織文化與制度
10,多元性,學習成長,0.1298485982349637,組織文化與制度
11,變化性,學習成長,-0.01878379399400152,組織文化與制度
12,工學院,學習成長,-0.026635609894351493,科系專業
13,面試,學習成長,-0.02663560989435152,招募資訊
14,學經歷,學習成長,-0.032709874889652844,招募資訊
15,徵才,學習成長,0.07337817652869864,招募資訊
16,實習,學習成長,-0.04822099692309606,招募資訊
17,工作,學習成長,-0.027909196569411664,招募資訊
18,離職,學習成長,-0.02663560989435152,招募資訊
19,新鮮人,學習成長,0.24071422071163018,招募資訊
20,畢業,學習成長,-0.018783793994001475,招募資訊
21,招募人員,學習成長,-0.026635609894351493,招募資訊
22,正向,學習成長,0.13832209903788306,情緒
23,負向,學習成長,0.05447428843546987,情緒
24,學習成長,薪資,-0.07513375122084129,成長價值
25,薪資,薪資,1.0,經濟報酬
26,福利,薪資,0.4193744578464871,經濟報酬
27,管理制度,薪資,-0.0549957497294765,經濟報酬
28,工作氛圍,薪資,0.09861066583863312,人際價值
29,同事互動,薪資,-0.060170168009423645,人際價值
30,主管風格,薪資,-0.10111907591771635,人際價值
31,工作地點,薪資,-0.03613322509782908,組織文化與制度
32,工作環境,薪資,0.10391287875513047,組織文化與制度
33,產業前景,薪資,-0.06107421756618239,組織文化與制度
34,多元性,薪資,-0.040441589349896855,組織文化與制度
35,變化性,薪資,-0.028519958287103766,組織文化與制度
36,工學院,薪資,0.040441589349897,科系專業
37,面試,薪資,0.2022079467494847,招募資訊
38,學經歷,薪資,-0.049664315298985316,招募資訊
39,徵才,薪資,-0.05750303581221308,招募資訊
40,實習,薪資,-0.036607642237996084,招募資訊
41,工作,薪資,-0.05982396920191583,招募資訊
42,離職,薪資,-0.04044158934989691,招募資訊
43,新鮮人,薪資,0.046781838674768615,招募資訊
44,畢業,薪資,0.0855598748613108,招募資訊
45,招募人員,薪資,0.36397430414907267,招募資訊
46,正向,薪資,0.2656039826430293,情緒
47,負向,薪資,0.20011744567765102,情緒
48,學習成長,福利,-0.0367777086497974,成長價值
49,薪資,福利,0.4193744578464871,經濟報酬
50,福利,福利,0.9999999999999999,經濟報酬
51,管理制度,福利,0.114104574099556,經濟報酬
52,工作氛圍,福利,-0.05516523006803626,人際價值
53,同事互動,福利,-0.06251267436751366,人際價值
54,主管風格,福利,-0.07273092383560083,人際價值
55,工作地點,福利,-0.025989189662525256,組織文化與制度
56,工作環境,福利,0.2179928185813297,組織文化與制度
57,產業前景,福利,-0.04392825217013948,組織文化與制度
58,多元性,福利,-0.02908802447118338,組織文化與制度
59,變化性,福利,-0.020513270074399806,組織文化與制度
60,工學院,福利,-0.029088024471183627,科系專業
61,面試,福利,-0.02908802447118349,招募資訊
62,學經歷,福利,-0.03572156391438013,招募資訊
63,徵才,福利,-0.041359643371119297,招募資訊
64,實習,福利,-0.001097100792328352,招募資訊
65,工作,福利,-0.08665562161237467,招募資訊
66,離職,福利,-0.02908802447118345,招募資訊
67,新鮮人,福利,-0.03364831328475215,招募資訊
68,畢業,福利,-0.020513270074399723,招募資訊
69,招募人員,福利,0.31269626306522313,招募資訊
70,正向,福利,0.25025543522375543,情緒
71,負向,福利,0.08222179567734766,情緒
72,學習成長,管理制度,0.23543819208716243,成長價值
73,薪資,管理制度,-0.0549957497294765,經濟報酬
74,福利,管理制度,0.114104574099556,經濟報酬
75,管理制度,管理制度,1.0,經濟報酬
76,工作氛圍,管理制度,0.10147802621509303,人際價值
77,同事互動,管理制度,-0.044812807531908694,人際價值
78,主管風格,管理制度,-0.022311829914342215,人際價值
79,工作地點,管理制度,-0.03316401192055177,組織文化與制度
80,工作環境,管理制度,-0.004816865526920716,組織文化與制度
81,產業前景,管理制度,-0.05605550221214353,組織文化與制度
82,多元性,管理制度,-0.03711834046517541,組織文化與制度
83,變化性,管理制度,-0.026176358020805902,組織文化與制度
84,工學院,管理制度,-0.0371183404651754,科系專業
85,面試,管理制度,-0.0371183404651754,招募資訊
86,學經歷,管理制度,-0.04558319773953814,招募資訊
87,徵才,管理制度,-0.05277777889963994,招募資訊
88,實習,管理制度,-0.06719888857289602,招募資訊
89,工作,管理制度,0.08818556260423109,招募資訊
90,離職,管理制度,-0.037118340465175384,招募資訊
91,新鮮人,管理制度,0.20167653970246957,招募資訊
92,畢業,管理制度,0.12294956040075461,招募資訊
93,招募人員,管理制度,0.0686126899507787,招募資訊
94,正向,管理制度,0.02014696112953032,情緒
95,負向,管理制度,0.12496226625607239,情緒
96,學習成長,工作氛圍,-0.05051424338837482,成長價值
97,薪資,工作氛圍,0.09861066583863312,經濟報酬
98,福利,工作氛圍,-0.05516523006803627,經濟報酬
99,管理制度,工作氛圍,0.10147802621509303,經濟報酬
100,工作氛圍,工作氛圍,0.9999999999999999,人際價值
101,同事互動,工作氛圍,-0.04382501872557918,人際價值
102,主管風格,工作氛圍,-0.050988605611157437,人際價值
103,工作地點,工作氛圍,-0.018219932759982856,組織文化與制度
104,工作環境,工作氛圍,0.10396301918981599,組織文化與制度
105,產業前景,工作氛圍,-0.030796258413458295,組織文化與制度
106,多元性,工作氛圍,-0.020392396102672555,組織文化與制度
107,變化性,工作氛圍,-0.014380994801921617,組織文化與制度
108,工學院,工作氛圍,-0.02039239610267256,科系專業
109,面試,工作氛圍,-0.020392396102672558,招募資訊
110,學經歷,工作氛圍,0.19915062428394162,招募資訊
111,徵才,工作氛圍,-0.028995514326684103,招募資訊
112,實習,工作氛圍,-0.036918308746144435,招募資訊
113,工作,工作氛圍,0.12209978480650119,招募資訊
114,離職,工作氛圍,-0.020392396102672503,招募資訊
115,新鮮人,工作氛圍,0.1347967066298072,招募資訊
116,畢業,工作氛圍,0.37185143702111406,招募資訊
117,招募人員,工作氛圍,-0.020392396102672555,招募資訊
118,正向,工作氛圍,0.2055317337837523,情緒
119,負向,工作氛圍,0.340854659318808,情緒
120,學習成長,同事互動,-0.005504059984822823,成長價值
121,薪資,同事互動,-0.06017016800942364,經濟報酬
122,福利,同事互動,-0.06251267436751366,經濟報酬
123,管理制度,同事互動,-0.0448128075319087,經濟報酬
124,工作氛圍,同事互動,-0.04382501872557918,人際價值
125,同事互動,同事互動,0.9999999999999998,人際價值
126,主管風格,同事互動,0.10933709615400516,人際價值
127,工作地點,同事互動,-0.020646641411955973,組織文化與制度
128,工作環境,同事互動,-0.011672235444231412,組織文化與制度
129,產業前景,同事互動,0.04921513523590369,組織文化與制度
130,多元性,同事互動,0.14398344818754702,組織文化與制度
131,變化性,同事互動,-0.016296396190583953,組織文化與制度
132,工學院,同事互動,-0.0231084546473841,科系專業
133,面試,同事互動,-0.02310845464738398,招募資訊
134,學經歷,同事互動,-0.028378350013657568,招募資訊
135,徵才,同事互動,-0.032857420208110825,招募資訊
136,實習,同事互動,-0.04183544979329768,招募資訊
137,工作,同事互動,0.03243060344435458,招募資訊
138,離職,同事互動,-0.023108454647383994,招募資訊
139,新鮮人,同事互動,-0.026731293569694527,招募資訊
140,畢業,同事互動,-0.016296396190583904,招募資訊
141,招募人員,同事互動,-0.023108454647384008,招募資訊
142,正向,同事互動,0.015565843354507055,情緒
143,負向,同事互動,-0.01191713567126633,情緒
144,學習成長,主管風格,0.037739417218266805,成長價值
145,薪資,主管風格,-0.10111907591771635,經濟報酬
146,福利,主管風格,-0.07273092383560083,經濟報酬
147,管理制度,主管風格,-0.022311829914342215,經濟報酬
148,工作氛圍,主管風格,-0.050988605611157437,人際價值
149,同事互動,主管風格,0.10933709615400516,人際價值
150,主管風格,主管風格,1.0,人際價值
151,工作地點,主管風格,-0.024021517543237673,組織文化與制度
152,工作環境,主管風格,-0.06908171172726728,組織文化與制度
153,產業前景,主管風格,-0.04060239252747213,組織文化與制度
154,多元性,主管風格,-0.026885735923509693,組織文化與制度
155,變化性,主管風格,-0.018960186268211852,組織文化與制度
156,工學院,主管風格,-0.02688573592350963,科系專業
157,面試,主管風格,0.14159820919715052,招募資訊
158,學經歷,主管風格,-0.03301704229272187,招募資訊
159,徵才,主管風格,0.08155361306019646,招募資訊
160,實習,主管風格,-0.04867382404176388,招募資訊
161,工作,主管風格,-0.06451776052608871,招募資訊
162,離職,主管風格,-0.026885735923509645,招募資訊
163,新鮮人,主管風格,0.16379733550986483,招募資訊
164,畢業,主管風格,-0.018960186268211807,招募資訊
165,招募人員,主管風格,-0.026885735923509603,招募資訊
166,正向,主管風格,0.012306716397678002,情緒
167,負向,主管風格,-0.02317451908454463,情緒
168,學習成長,工作地點,-0.023798038192903524,成長價值
169,薪資,工作地點,-0.036133225097829076,經濟報酬
170,福利,工作地點,-0.02598918966252526,經濟報酬
171,管理制度,工作地點,-0.03316401192055177,經濟報酬
172,工作氛圍,工作地點,-0.018219932759982856,人際價值
173,同事互動,工作地點,-0.020646641411955973,人際價值
174,主管風格,工作地點,-0.02402151754323767,人際價值
