,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.06303578296313003,經濟報酬
2,福利,學習成長,-0.05600876294531368,經濟報酬
3,管理制度,學習成長,0.20344711469278987,經濟報酬
4,工作氛圍,學習成長,-0.04384821657704932,人際價值
5,同事互動,學習成長,0.6093459019769236,人際價值
6,主管風格,學習成長,0.15379156298021626,人際價值
7,工作地點,學習成長,-0.04384821657704932,組織文化與制度
8,公司規模,學習成長,-0.04384821657704932,組織文化與制度
9,工作環境,學習成長,-0.06303578296313003,組織文化與制度
10,產業前景,學習成長,0.47986004404518956,組織文化與制度
11,面試,學習成長,-0.04384821657704932,招募資訊
12,徵才,學習成長,-0.04384821657704932,招募資訊
13,工作,學習成長,0.2826708782050322,招募資訊
14,新鮮人,學習成長,-0.04384821657704932,招募資訊
15,正向,學習成長,-0.07456739309394517,情緒
16,負向,學習成長,0.5196963568704933,情緒
17,學習成長,薪資,-0.06303578296313003,成長價值
18,薪資,薪資,1.0,經濟報酬
19,福利,薪資,0.6515837655350016,經濟報酬
20,管理制度,薪資,0.12909944487358058,經濟報酬
21,工作氛圍,薪資,-0.046373889576016826,人際價值
22,同事互動,薪資,-0.06666666666666667,人際價值
23,主管風格,薪資,-0.09759000729485331,人際價值
24,工作地點,薪資,-0.046373889576016826,組織文化與制度
25,公司規模,薪資,-0.046373889576016826,組織文化與制度
26,工作環境,薪資,-0.06666666666666667,組織文化與制度
27,產業前景,薪資,-0.08304547985373997,組織文化與制度
28,面試,薪資,-0.046373889576016826,招募資訊
29,徵才,薪資,-0.046373889576016826,招募資訊
30,工作,薪資,-0.09151617004789103,招募資訊
31,新鮮人,薪資,-0.046373889576016826,招募資訊
32,正向,薪資,0.45807367994953724,情緒
33,負向,薪資,0.04088164859934782,情緒
34,學習成長,福利,-0.05600876294531367,成長價值
35,薪資,福利,0.6515837655350015,經濟報酬
36,福利,福利,0.9999999999999998,經濟報酬
37,管理制度,福利,0.22941573387056174,經濟報酬
38,工作氛圍,福利,-0.041204282171516456,人際價值
39,同事互動,福利,-0.059234887775909226,人際價值
40,主管風格,福利,-0.086710996952412,人際價值
41,工作地點,福利,-0.041204282171516456,組織文化與制度
42,公司規模,福利,-0.041204282171516456,組織文化與制度
43,工作環境,福利,-0.059234887775909226,組織文化與制度
44,產業前景,福利,-0.07378784519149227,組織文化與制度
45,面試,福利,-0.041204282171516456,招募資訊
46,徵才,福利,-0.041204282171516456,招募資訊
47,工作,福利,-0.08131425093701776,招募資訊
48,新鮮人,福利,-0.041204282171516456,招募資訊
49,正向,福利,0.7648193830647314,情緒
50,負向,福利,-0.012108099334382623,情緒
51,學習成長,管理制度,0.20344711469278984,成長價值
52,薪資,管理制度,0.12909944487358055,經濟報酬
53,福利,管理制度,0.22941573387056174,經濟報酬
54,管理制度,管理制度,1.0,經濟報酬
55,工作氛圍,管理制度,-0.08980265101338744,人際價值
56,同事互動,管理制度,0.12909944487358055,人際價值
57,主管風格,管理制度,-0.18898223650461363,人際價值
58,工作地點,管理制度,-0.08980265101338744,組織文化與制度
59,公司規模,管理制度,-0.08980265101338744,組織文化與制度
60,工作環境,管理制度,-0.12909944487358055,組織文化與制度
61,產業前景,管理制度,0.05360562674188975,組織文化與制度
62,面試,管理制度,-0.08980265101338744,招募資訊
63,徵才,管理制度,-0.08980265101338744,招募資訊
64,工作,管理制度,-0.0354440602504168,招募資訊
65,新鮮人,管理制度,-0.08980265101338744,招募資訊
66,正向,管理制度,0.34117533341932765,情緒
67,負向,管理制度,0.1319449534923149,情緒
68,學習成長,工作氛圍,-0.04384821657704932,成長價值
69,薪資,工作氛圍,-0.04637388957601682,經濟報酬
70,福利,工作氛圍,-0.041204282171516456,經濟報酬
71,管理制度,工作氛圍,-0.08980265101338744,經濟報酬
72,工作氛圍,工作氛圍,0.9999999999999999,人際價值
73,同事互動,工作氛圍,-0.04637388957601682,人際價值
74,主管風格,工作氛圍,0.47519096331149147,人際價值
75,工作地點,工作氛圍,-0.032258064516129024,組織文化與制度
76,公司規模,工作氛圍,-0.032258064516129024,組織文化與制度
77,工作環境,工作氛圍,-0.04637388957601682,組織文化與制度
78,產業前景,工作氛圍,-0.05776712868787001,組織文化與制度
79,面試,工作氛圍,-0.032258064516129024,招募資訊
80,徵才,工作氛圍,-0.032258064516129024,招募資訊
81,工作,工作氛圍,-0.06365941146331315,招募資訊
82,新鮮人,工作氛圍,-0.032258064516129024,招募資訊
83,正向,工作氛圍,-0.01750768537224685,情緒
84,負向,工作氛圍,0.18010490049400948,情緒
85,學習成長,同事互動,0.6093459019769236,成長價值
86,薪資,同事互動,-0.06666666666666667,經濟報酬
87,福利,同事互動,-0.05923488777590923,經濟報酬
88,管理制度,同事互動,0.12909944487358058,經濟報酬
89,工作氛圍,同事互動,-0.046373889576016826,人際價值
