,item1,item2,value,class
0,學習成長,學習成長,0.9999999999999998,成長價值
1,薪資,學習成長,0.011322770341445972,經濟報酬
2,福利,學習成長,-0.10613372610104643,經濟報酬
3,管理制度,學習成長,0.17499999999999993,經濟報酬
4,同事互動,學習成長,-0.08553989227683016,人際價值
5,主管風格,學習成長,0.1047134770729238,人際價值
6,工作地點,學習成長,-0.04822428221704121,組織文化與制度
7,公司規模,學習成長,-0.04822428221704122,組織文化與制度
8,工作環境,學習成長,-0.04822428221704119,組織文化與制度
9,產業前景,學習成長,0.10750164544594146,組織文化與制度
10,實習,學習成長,-0.06531005162761629,招募資訊
11,工作,學習成長,-0.16035674514745457,招募資訊
12,新鮮人,學習成長,0.4822428221704121,招募資訊
13,正向,學習成長,0.06730654983755455,情緒
14,負向,學習成長,0.15641237740115502,情緒
15,學習成長,薪資,0.01132277034144597,成長價值
16,薪資,薪資,1.0,經濟報酬
17,福利,薪資,0.030901572157476298,經濟報酬
18,管理制度,薪資,0.011322770341445963,經濟報酬
19,同事互動,薪資,-0.09685485552825748,人際價值
20,主管風格,薪資,-0.14227759830611808,人際價值
21,工作地點,薪資,-0.05460324724246337,組織文化與制度
22,公司規模,薪資,-0.05460324724246338,組織文化與制度
23,工作環境,薪資,-0.05460324724246342,組織文化與制度
24,產業前景,薪資,-0.06955522529782544,組織文化與制度
25,實習,薪資,-0.07394907155674772,招募資訊
26,工作,薪資,-0.1815682598006407,招募資訊
27,新鮮人,薪資,-0.054603247242463404,招募資訊
28,正向,薪資,0.023815518946428683,情緒
29,負向,薪資,-0.03719144998532984,情緒
30,學習成長,福利,-0.10613372610104643,成長價值
31,薪資,福利,0.030901572157476298,經濟報酬
32,福利,福利,1.0,經濟報酬
33,管理制度,福利,-0.10613372610104643,經濟報酬
34,同事互動,福利,-0.09078667497622109,人際價值
35,主管風格,福利,-0.13336357793695092,人際價值
36,工作地點,福利,0.2705346316128452,組織文化與制度
37,公司規模,福利,-0.05118222760243018,組織文化與制度
38,工作環境,福利,-0.0511822276024302,組織文化與制度
39,產業前景,福利,-0.06519742967526493,組織文化與制度
40,實習,福利,0.22115101989670088,招募資訊
41,工作,福利,-0.17019258867935258,招募資訊
42,新鮮人,福利,-0.05118222760243018,招募資訊
43,正向,福利,0.19070580202271162,情緒
44,負向,福利,0.07470282789858465,情緒
45,學習成長,管理制度,0.17499999999999993,成長價值
46,薪資,管理制度,0.011322770341445965,經濟報酬
47,福利,管理制度,-0.10613372610104643,經濟報酬
48,管理制度,管理制度,0.9999999999999998,經濟報酬
49,同事互動,管理制度,-0.08553989227683018,人際價值
50,主管風格,管理制度,-0.12565617248750865,人際價值
51,工作地點,管理制度,-0.04822428221704121,組織文化與制度
52,公司規模,管理制度,-0.04822428221704122,組織文化與制度
53,工作環境,管理制度,-0.04822428221704119,組織文化與制度
54,產業前景,管理制度,-0.06142951168339513,組織文化與制度
55,實習,管理制度,-0.06531005162761629,招募資訊
56,工作,管理制度,-0.013363062095621218,招募資訊
57,新鮮人,管理制度,-0.04822428221704122,招募資訊
58,正向,管理制度,-0.11778646221572045,情緒
59,負向,管理制度,-0.18769485288138604,情緒
60,學習成長,同事互動,-0.08553989227683016,成長價值
61,薪資,同事互動,-0.09685485552825748,經濟報酬
62,福利,同事互動,-0.0907866749762211,經濟報酬
63,管理制度,同事互動,-0.08553989227683019,經濟報酬
64,同事互動,同事互動,1.0,人際價值
65,主管風格,同事互動,0.15525777884500414,人際價值
66,工作地點,同事互動,-0.04125099905973162,組織文化與制度
67,公司規模,同事互動,-0.04125099905973165,組織文化與制度
68,工作環境,同事互動,-0.04125099905973161,組織文化與制度
69,產業前景,同事互動,-0.05254673812015903,組織文化與制度
70,實習,同事互動,-0.055866147808205084,招募資訊
71,工作,同事互動,0.19813298130565885,招募資訊
72,新鮮人,同事互動,-0.041250999059731626,招募資訊
73,正向,同事互動,0.3346485856903407,情緒
74,負向,同事互動,0.06020774061145969,情緒
75,學習成長,主管風格,0.10471347707292382,成長價值
76,薪資,主管風格,-0.14227759830611808,經濟報酬
77,福利,主管風格,-0.13336357793695092,經濟報酬
78,管理制度,主管風格,-0.12565617248750865,經濟報酬
79,同事互動,主管風格,0.15525777884500414,人際價值
80,主管風格,主管風格,1.0,人際價值
81,工作地點,主管風格,-0.06059678724350827,組織文化與制度
82,公司規模,主管風格,0.3837796525422191,組織文化與制度
83,工作環境,主管風格,-0.06059678724350829,組織文化與制度
84,產業前景,主管風格,-0.07718997315912124,組織文化與制度
85,實習,主管風格,0.31914598770786023,招募資訊
86,工作,主管風格,-0.07836039099693788,招募資訊
87,新鮮人,主管風格,-0.06059678724350827,招募資訊
88,正向,主管風格,0.336537361721256,情緒
89,負向,主管風格,0.2325744713078266,情緒
90,學習成長,工作地點,-0.04822428221704121,成長價值
91,薪資,工作地點,-0.05460324724246338,經濟報酬
92,福利,工作地點,0.27053463161284524,經濟報酬
93,管理制度,工作地點,-0.04822428221704121,經濟報酬
94,同事互動,工作地點,-0.041250999059731626,人際價值
95,主管風格,工作地點,-0.06059678724350827,人際價值
96,工作地點,工作地點,0.9999999999999999,組織文化與制度
97,公司規模,工作地點,-0.023255813953488372,組織文化與制度
98,工作環境,工作地點,-0.02325581395348838,組織文化與制度
99,產業前景,工作地點,-0.029623941078750778,組織文化與制度
100,實習,工作地點,-0.03149530361299697,招募資訊
101,工作,工作地點,-0.07733088933397005,招募資訊
102,新鮮人,工作地點,-0.023255813953488382,招募資訊
103,正向,工作地點,0.18866270941325436,情緒
104,負向,工作地點,0.3658294195565354,情緒
105,學習成長,公司規模,-0.04822428221704122,成長價值
106,薪資,公司規模,-0.05460324724246338,經濟報酬
107,福利,公司規模,-0.05118222760243017,經濟報酬
108,管理制度,公司規模,-0.04822428221704122,經濟報酬
109,同事互動,公司規模,-0.04125099905973165,人際價值
110,主管風格,公司規模,0.3837796525422191,人際價值
111,工作地點,公司規模,-0.023255813953488372,組織文化與制度
112,公司規模,公司規模,0.9999999999999998,組織文化與制度
113,工作環境,公司規模,-0.0232558139534884,組織文化與制度
114,產業前景,公司規模,-0.029623941078750795,組織文化與制度
115,實習,公司規模,-0.03149530361299694,招募資訊
116,工作,公司規模,-0.07733088933397009,招募資訊
117,新鮮人,公司規模,-0.023255813953488382,招募資訊
118,正向,公司規模,0.18866270941325436,情緒
119,負向,公司規模,-0.13200030602555402,情緒
120,學習成長,工作環境,-0.0482242822170412,成長價值
121,薪資,工作環境,-0.05460324724246342,經濟報酬
122,福利,工作環境,-0.05118222760243019,經濟報酬
123,管理制度,工作環境,-0.0482242822170412,經濟報酬
124,同事互動,工作環境,-0.04125099905973161,人際價值
125,主管風格,工作環境,-0.060596787243508296,人際價值
126,工作地點,工作環境,-0.02325581395348838,組織文化與制度
127,公司規模,工作環境,-0.023255813953488396,組織文化與制度
128,工作環境,工作環境,1.0,組織文化與制度
129,產業前景,工作環境,-0.029623941078750774,組織文化與制度
130,實習,工作環境,-0.03149530361299697,招募資訊
131,工作,工作環境,-0.07733088933397005,招募資訊
132,新鮮人,工作環境,-0.023255813953488375,招募資訊
133,正向,工作環境,-0.07911662007652602,情緒
134,負向,工作環境,-0.13200030602555404,情緒
135,學習成長,產業前景,0.10750164544594144,成長價值
136,薪資,產業前景,-0.06955522529782544,經濟報酬
137,福利,產業前景,-0.06519742967526491,經濟報酬
138,管理制度,產業前景,-0.061429511683395124,經濟報酬
139,同事互動,產業前景,-0.052546738120159024,人際價值
140,主管風格,產業前景,-0.07718997315912124,人際價值
141,工作地點,產業前景,-0.029623941078750778,組織文化與制度
142,公司規模,產業前景,-0.029623941078750795,組織文化與制度
143,工作環境,產業前景,-0.029623941078750774,組織文化與制度
144,產業前景,產業前景,1.0,組織文化與制度
145,實習,產業前景,-0.040119645795017894,招募資訊
146,工作,產業前景,0.44327864472960515,招募資訊
147,新鮮人,產業前景,0.2962394107875077,招募資訊
148,正向,產業前景,0.21189868509277268,情緒
149,負向,產業前景,0.25462090307228435,情緒
150,學習成長,實習,-0.06531005162761627,成長價值
151,薪資,實習,-0.07394907155674772,經濟報酬
152,福利,實習,0.22115101989670088,經濟報酬
153,管理制度,實習,-0.06531005162761627,經濟報酬
154,同事互動,實習,-0.05586614780820508,人際價值
155,主管風格,實習,0.31914598770786023,人際價值
156,工作地點,實習,-0.03149530361299696,組織文化與制度
157,公司規模,實習,-0.03149530361299694,組織文化與制度
158,工作環境,實習,-0.03149530361299697,組織文化與制度
159,產業前景,實習,-0.04011964579501789,組織文化與制度
160,實習,實習,1.0,招募資訊
161,工作,實習,-0.10472907304416755,招募資訊
162,新鮮人,實習,-0.03149530361299696,招募資訊
163,正向,實習,0.17491597932303654,情緒
164,負向,實習,-0.17876775775718343,情緒
165,學習成長,工作,-0.16035674514745457,成長價值
166,薪資,工作,-0.18156825980064073,經濟報酬
167,福利,工作,-0.1701925886793526,經濟報酬
168,管理制度,工作,-0.01336306209562122,經濟報酬
169,同事互動,工作,0.19813298130565885,人際價值
170,主管風格,工作,-0.07836039099693788,人際價值
171,工作地點,工作,-0.07733088933397005,組織文化與制度
172,公司規模,工作,-0.07733088933397007,組織文化與制度
173,工作環境,工作,-0.07733088933397005,組織文化與制度
174,產業前景,工作,0.44327864472960515,組織文化與制度
175,實習,工作,-0.10472907304416755,招募資訊
176,工作,工作,0.9999999999999998,招募資訊
177,新鮮人,工作,-0.07733088933397006,招募資訊
178,正向,工作,0.1821328749965563,情緒
179,負向,工作,0.06688474597553201,情緒
180,學習成長,新鮮人,0.48224282217041203,成長價值
181,薪資,新鮮人,-0.05460324724246342,經濟報酬
182,福利,新鮮人,-0.05118222760243017,經濟報酬
183,管理制度,新鮮人,-0.04822428221704122,經濟報酬
184,同事互動,新鮮人,-0.041250999059731626,人際價值
185,主管風格,新鮮人,-0.060596787243508275,人際價值
186,工作地點,新鮮人,-0.023255813953488386,組織文化與制度
187,公司規模,新鮮人,-0.023255813953488382,組織文化與制度
188,工作環境,新鮮人,-0.023255813953488372,組織文化與制度
189,產業前景,新鮮人,0.2962394107875077,組織文化與制度
190,實習,新鮮人,-0.03149530361299696,招募資訊
191,工作,新鮮人,-0.07733088933397005,招募資訊
192,新鮮人,新鮮人,1.0,招募資訊
193,正向,新鮮人,-0.1683763965731195,情緒
194,負向,新鮮人,0.19988617769583897,情緒
195,學習成長,正向,0.06730654983755456,成長價值
196,薪資,正向,0.02381551894642868,經濟報酬
197,福利,正向,0.19070580202271162,經濟報酬
198,管理制度,正向,-0.11778646221572046,經濟報酬
199,同事互動,正向,0.3346485856903407,人際價值
200,主管風格,正向,0.336537361721256,人際價值
201,工作地點,正向,0.18866270941325436,組織文化與制度
202,公司規模,正向,0.18866270941325436,組織文化與制度
203,工作環境,正向,-0.07911662007652602,組織文化與制度
204,產業前景,正向,0.21189868509277268,組織文化與制度
205,實習,正向,0.17491597932303657,招募資訊
206,工作,正向,0.18213287499655634,招募資訊
207,新鮮人,正向,-0.16837639657311948,招募資訊
208,正向,正向,1.0,情緒
209,負向,正向,0.4339335840378145,情緒
210,學習成長,負向,0.15641237740115502,成長價值
