,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,-0.014623884514353085,成長價值
2,薪資,成就感,-0.01914204293970379,經濟報酬
3,福利,成就感,-0.019702760155977543,經濟報酬
4,管理制度,成就感,-0.020353067845595974,經濟報酬
5,工作氛圍,成就感,0.3273268353539887,人際價值
6,同事互動,成就感,-0.01749732471331881,人際價值
7,主管風格,成就感,-0.018898223650461336,人際價值
8,工作地點,成就感,-0.004464285714285698,組織文化與制度
9,公司規模,成就感,-0.007470178808339952,組織文化與制度
10,工作環境,成就感,-0.011432491812230928,組織文化與制度
11,產業前景,成就感,-0.010072787050317247,組織文化與制度
12,多元性,成就感,-0.0044642857142857045,組織文化與制度
13,變化性,成就感,-0.008988968316207754,組織文化與制度
14,工學院,成就感,-0.0063275932944069305,科系專業
15,面試,成就感,-0.004464285714285697,招募資訊
16,徵才,成就感,-0.006327593294406933,招募資訊
17,工作,成就感,0.14222362690695572,招募資訊
18,離職,成就感,-0.010072787050317238,招募資訊
19,新鮮人,成就感,-0.006327593294406909,招募資訊
20,正向,成就感,0.02491518944735112,情緒
21,負向,成就感,0.05660848048985757,情緒
22,成就感,學習成長,-0.014623884514353085,成長價值
23,學習成長,學習成長,1.0,成長價值
24,薪資,學習成長,0.010777344474782001,經濟報酬
25,福利,學習成長,-0.06454131916624307,經濟報酬
26,管理制度,學習成長,0.046973147832751146,經濟報酬
27,工作氛圍,學習成長,0.04839976392428331,人際價值
28,同事互動,學習成長,0.05580852520647311,人際價值
29,主管風格,學習成長,0.11220436871744963,人際價值
30,工作地點,學習成長,-0.01462388451435312,組織文化與制度
31,公司規模,學習成長,0.06729370783195443,組織文化與制度
32,工作環境,學習成長,-0.03744998655403096,組織文化與制度
33,產業前景,學習成長,0.21447356776155982,組織文化與制度
34,多元性,學習成長,-0.014623884514353109,組織文化與制度
35,變化性,學習成長,-0.029445614141305903,組織文化與制度
36,工學院,學習成長,-0.020727614564429262,科系專業
37,面試,學習成長,-0.01462388451435312,招募資訊
38,徵才,學習成長,-0.02072761456442929,招募資訊
39,工作,學習成長,0.2384041697258101,招募資訊
40,離職,學習成長,-0.032995933501778395,招募資訊
41,新鮮人,學習成長,-0.020727614564429214,招募資訊
42,正向,學習成長,0.09142554268571329,情緒
43,負向,學習成長,0.2604764755459929,情緒
44,成就感,薪資,-0.01914204293970379,成長價值
45,學習成長,薪資,0.010777344474782001,成長價值
46,薪資,薪資,1.0,經濟報酬
47,福利,薪資,0.3445275124354075,經濟報酬
48,管理制度,薪資,-0.012892194973678007,經濟報酬
49,工作氛圍,薪資,-0.05847990715152514,人際價值
50,同事互動,薪資,-0.01949671591249846,人際價值
51,主管風格,薪資,-0.08103213632668166,人際價值
52,工作地點,薪資,-0.019142042939703733,組織文化與制度
53,公司規模,薪資,0.14814228492310322,組織文化與制度
54,工作環境,薪資,0.08023267297971444,組織文化與制度
55,產業前景,薪資,0.139018693734799,組織文化與制度
56,多元性,薪資,0.11545044648008877,組織文化與制度
57,變化性,薪資,-0.038543056718316766,組織文化與制度
58,工學院,薪資,-0.02713156601042025,科系專業
59,面試,薪資,-0.019142042939703726,招募資訊
60,徵才,薪資,-0.027131566010420237,招募資訊
61,工作,薪資,-0.08248175077212228,招募資訊
62,離職,薪資,0.01754604872380954,招募資訊
63,新鮮人,薪資,0.0682528457449633,招募資訊
64,正向,薪資,0.04423503733487762,情緒
65,負向,薪資,-0.07650697609730056,情緒
66,成就感,福利,-0.019702760155977543,成長價值
67,學習成長,福利,-0.06454131916624307,成長價值
68,薪資,福利,0.3445275124354075,經濟報酬
69,福利,福利,1.0,經濟報酬
70,管理制度,福利,-0.021776145837775936,經濟報酬
71,工作氛圍,福利,-0.06019292654288469,人際價值
72,同事互動,福利,0.12599544169586158,人際價值
73,主管風格,福利,0.07298004491997602,人際價值
74,工作地點,福利,-0.01970276015597757,組織文化與制度
75,公司規模,福利,-0.03296902366978937,組織文化與制度
76,工作環境,福利,-0.050456368292190135,組織文化與制度
77,產業前景,福利,0.06668313367115801,組織文化與制度
78,多元性,福利,-0.01970276015597756,組織文化與制度
79,變化性,福利,-0.03967207703959865,組織文化與制度
80,工學院,福利,-0.02792631588191684,科系專業
81,面試,福利,-0.019702760155977578,招募資訊
82,徵才,福利,-0.027926315881916873,招募資訊
83,工作,福利,-0.10788462336424755,招募資訊
84,離職,福利,-0.04445542244743872,招募資訊
85,新鮮人,福利,0.14661315838006286,招募資訊
86,正向,福利,0.13639412176476215,情緒
87,負向,福利,-0.08717330764070116,情緒
88,成就感,管理制度,-0.020353067845595978,成長價值
89,學習成長,管理制度,0.046973147832751146,成長價值
90,薪資,管理制度,-0.012892194973678009,經濟報酬
91,福利,管理制度,-0.02177614583777594,經濟報酬
92,管理制度,管理制度,1.0,經濟報酬
93,工作氛圍,管理制度,0.032031940574934546,人際價值
