,item1,item2,value,class
0,薪資,薪資,1.0,經濟報酬
1,福利,薪資,0.8167174646274056,經濟報酬
2,管理制度,薪資,-0.18181818181818177,經濟報酬
3,工作氛圍,薪資,-0.12309149097933272,人際價值
4,主管風格,薪資,-0.18181818181818196,人際價值
5,公司規模,薪資,-0.18181818181818188,組織文化與制度
6,工作環境,薪資,-0.12309149097933275,組織文化與制度
7,工學院,薪資,-0.12309149097933277,科系專業
8,管理學院/商學院,薪資,-0.12309149097933272,科系專業
9,文學院,薪資,-0.12309149097933277,科系專業
10,實習,薪資,-0.12309149097933277,招募資訊
11,工作,薪資,-0.04494665749754946,招募資訊
12,離職,薪資,-0.12309149097933272,招募資訊
13,招募人員,薪資,-0.18181818181818196,招募資訊
14,正向,薪資,0.08618128166583651,情緒
15,負向,薪資,0.015151515151515164,情緒
16,薪資,福利,0.8167174646274055,經濟報酬
17,福利,福利,1.0,經濟報酬
18,管理制度,福利,-0.17094086468945688,經濟報酬
19,工作氛圍,福利,-0.11572751247156896,人際價值
20,主管風格,福利,-0.17094086468945693,人際價值
21,公司規模,福利,-0.17094086468945693,組織文化與制度
22,工作環境,福利,-0.11572751247156896,組織文化與制度
23,工學院,福利,-0.11572751247156896,科系專業
24,管理學院/商學院,福利,-0.11572751247156896,科系專業
25,文學院,福利,-0.11572751247156896,科系專業
26,實習,福利,-0.11572751247156896,招募資訊
27,工作,福利,-0.3169328455231938,招募資訊
28,離職,福利,-0.11572751247156896,招募資訊
29,招募人員,福利,-0.17094086468945693,招募資訊
30,正向,福利,0.291691675598474,情緒
31,負向,福利,-0.17094086468945688,情緒
32,薪資,管理制度,-0.18181818181818177,經濟報酬
33,福利,管理制度,-0.1709408646894569,經濟報酬
34,管理制度,管理制度,0.9999999999999999,經濟報酬
35,工作氛圍,管理制度,0.6770032003863299,人際價值
36,主管風格,管理制度,-0.18181818181818185,人際價值
37,公司規模,管理制度,-0.18181818181818185,組織文化與制度
38,工作環境,管理制度,-0.12309149097933272,組織文化與制度
39,工學院,管理制度,0.6770032003863293,科系專業
40,管理學院/商學院,管理制度,0.6770032003863299,科系專業
41,文學院,管理制度,-0.12309149097933268,科系專業
42,實習,管理制度,0.6770032003863293,招募資訊
43,工作,管理制度,0.10112997936948624,招募資訊
44,離職,管理制度,0.6770032003863299,招募資訊
45,招募人員,管理制度,-0.18181818181818185,招募資訊
46,正向,管理制度,-0.36196138299651337,情緒
47,負向,管理制度,0.40909090909090906,情緒
48,薪資,工作氛圍,-0.12309149097933272,經濟報酬
49,福利,工作氛圍,-0.11572751247156894,經濟報酬
50,管理制度,工作氛圍,0.6770032003863299,經濟報酬
51,工作氛圍,工作氛圍,1.0,人際價值
52,主管風格,工作氛圍,-0.12309149097933275,人際價值
53,公司規模,工作氛圍,-0.12309149097933275,組織文化與制度
54,工作環境,工作氛圍,-0.08333333333333333,組織文化與制度
55,工學院,工作氛圍,-0.0833333333333333,科系專業
56,管理學院/商學院,工作氛圍,1.0,科系專業
