,item1,item2,value,class
0,學習成長,學習成長,0.9999999999999998,成長價值
1,薪資,學習成長,-0.060192926542884585,經濟報酬
2,福利,學習成長,-0.10189636042253351,經濟報酬
3,管理制度,學習成長,-0.0869565217391304,經濟報酬
4,同事互動,學習成長,-0.0869565217391304,人際價值
5,產業前景,學習成長,0.6922186552431728,組織文化與制度
6,工學院,學習成長,0.6922186552431728,科系專業
7,面試,學習成長,-0.06019292654288457,招募資訊
8,學經歷,學習成長,-0.06019292654288457,招募資訊
9,工作,學習成長,-0.08695652173913043,招募資訊
10,招募人員,學習成長,-0.0869565217391304,招募資訊
11,正向,學習成長,0.20273268971298358,情緒
12,負向,學習成長,-0.027753993393094787,情緒
13,學習成長,薪資,-0.06019292654288458,成長價值
14,薪資,薪資,0.9999999999999999,經濟報酬
15,福利,薪資,0.370306448325764,經濟報酬
16,管理制度,薪資,-0.06019292654288464,經濟報酬
17,同事互動,薪資,-0.06019292654288458,人際價值
18,產業前景,薪資,-0.041666666666666644,組織文化與制度
19,工學院,薪資,-0.041666666666666644,科系專業
20,面試,薪資,-0.04166666666666666,招募資訊
21,學經歷,薪資,-0.04166666666666666,招募資訊
22,工作,薪資,-0.06019292654288463,招募資訊
23,招募人員,薪資,-0.06019292654288461,招募資訊
24,正向,薪資,-0.17860862707794,情緒
25,負向,薪資,0.14088676788410398,情緒
26,學習成長,福利,-0.10189636042253351,成長價值
27,薪資,福利,0.370306448325764,經濟報酬
28,福利,福利,1.0,經濟報酬
29,管理制度,福利,-0.10189636042253351,經濟報酬
30,同事互動,福利,-0.10189636042253353,人際價值
31,產業前景,福利,-0.07053456158585981,組織文化與制度
32,工學院,福利,-0.07053456158585981,科系專業
33,面試,福利,-0.07053456158585981,招募資訊
34,學經歷,福利,-0.07053456158585981,招募資訊
35,工作,福利,-0.10189636042253353,招募資訊
36,招募人員,福利,-0.10189636042253351,招募資訊
37,正向,福利,0.5615144766278841,情緒
38,負向,福利,-0.16803217013704164,情緒
39,學習成長,管理制度,-0.0869565217391304,成長價值
40,薪資,管理制度,-0.060192926542884634,經濟報酬
41,福利,管理制度,-0.10189636042253351,經濟報酬
42,管理制度,管理制度,0.9999999999999998,經濟報酬
43,同事互動,管理制度,-0.0869565217391304,人際價值
44,產業前景,管理制度,-0.060192926542884585,組織文化與制度
45,工學院,管理制度,-0.060192926542884585,科系專業
46,面試,管理制度,-0.06019292654288461,招募資訊
47,學經歷,管理制度,-0.06019292654288461,招募資訊
48,工作,管理制度,-0.08695652173913045,招募資訊
49,招募人員,管理制度,-0.0869565217391304,招募資訊
50,正向,管理制度,-0.1658722006742593,情緒
51,負向,管理制度,-0.027753993393094825,情緒
52,學習成長,同事互動,-0.0869565217391304,成長價值
53,薪資,同事互動,-0.060192926542884585,經濟報酬
54,福利,同事互動,-0.10189636042253353,經濟報酬
55,管理制度,同事互動,-0.0869565217391304,經濟報酬
56,同事互動,同事互動,0.9999999999999998,人際價值
57,產業前景,同事互動,-0.060192926542884585,組織文化與制度
58,工學院,同事互動,-0.060192926542884585,科系專業
59,面試,同事互動,-0.06019292654288457,招募資訊
60,學經歷,同事互動,-0.06019292654288457,招募資訊
61,工作,同事互動,-0.08695652173913043,招募資訊
62,招募人員,同事互動,-0.08695652173913042,招募資訊
63,正向,同事互動,0.018430244519362145,情緒
64,負向,同事互動,-0.027753993393094808,情緒
65,學習成長,產業前景,0.6922186552431727,成長價值
66,薪資,產業前景,-0.041666666666666644,經濟報酬
67,福利,產業前景,-0.07053456158585981,經濟報酬
68,管理制度,產業前景,-0.06019292654288459,經濟報酬
69,同事互動,產業前景,-0.06019292654288459,人際價值
70,產業前景,產業前景,0.9999999999999999,組織文化與制度
71,工學院,產業前景,0.9999999999999999,科系專業
72,面試,產業前景,-0.041666666666666644,招募資訊
73,學經歷,產業前景,-0.041666666666666644,招募資訊
74,工作,產業前景,-0.06019292654288459,招募資訊
75,招募人員,產業前景,-0.060192926542884606,招募資訊
76,正向,產業前景,0.20412414523193145,情緒
77,負向,產業前景,-0.17931043185249596,情緒
78,學習成長,工學院,0.6922186552431727,成長價值
79,薪資,工學院,-0.041666666666666644,經濟報酬
80,福利,工學院,-0.07053456158585981,經濟報酬
81,管理制度,工學院,-0.06019292654288459,經濟報酬
82,同事互動,工學院,-0.06019292654288459,人際價值
83,產業前景,工學院,0.9999999999999999,組織文化與制度
84,工學院,工學院,1.0,科系專業
85,面試,工學院,-0.04166666666666667,招募資訊
86,學經歷,工學院,-0.04166666666666667,招募資訊
87,工作,工學院,-0.06019292654288463,招募資訊
88,招募人員,工學院,-0.06019292654288459,招募資訊
89,正向,工學院,0.20412414523193145,情緒
90,負向,工學院,-0.17931043185249596,情緒
91,學習成長,面試,-0.06019292654288458,成長價值
92,薪資,面試,-0.04166666666666666,經濟報酬
93,福利,面試,-0.07053456158585981,經濟報酬
94,管理制度,面試,-0.060192926542884606,經濟報酬
95,同事互動,面試,-0.06019292654288458,人際價值
96,產業前景,面試,-0.041666666666666644,組織文化與制度
97,工學院,面試,-0.04166666666666667,科系專業
98,面試,面試,1.0,招募資訊
99,學經歷,面試,-0.041666666666666644,招募資訊
100,工作,面試,-0.060192926542884606,招募資訊
101,招募人員,面試,0.6922186552431727,招募資訊
102,正向,面試,0.07654655446197432,情緒
103,負向,面試,0.4610839676207038,情緒
104,學習成長,學經歷,-0.06019292654288458,成長價值
105,薪資,學經歷,-0.04166666666666666,經濟報酬
106,福利,學經歷,-0.07053456158585981,經濟報酬
107,管理制度,學經歷,-0.060192926542884606,經濟報酬
108,同事互動,學經歷,-0.06019292654288458,人際價值
109,產業前景,學經歷,-0.041666666666666644,組織文化與制度
110,工學院,學經歷,-0.04166666666666667,科系專業
111,面試,學經歷,-0.041666666666666644,招募資訊
112,學經歷,學經歷,1.0,招募資訊
113,工作,學經歷,-0.0601929265428846,招募資訊
114,招募人員,學經歷,-0.06019292654288458,招募資訊
115,正向,學經歷,-0.05103103630798286,情緒
116,負向,學經歷,-0.179310431852496,情緒
117,學習成長,工作,-0.08695652173913043,成長價值
118,薪資,工作,-0.06019292654288462,經濟報酬
119,福利,工作,-0.10189636042253353,經濟報酬
120,管理制度,工作,-0.08695652173913043,經濟報酬
121,同事互動,工作,-0.08695652173913043,人際價值
122,產業前景,工作,-0.060192926542884585,組織文化與制度
123,工學院,工作,-0.06019292654288462,科系專業
124,面試,工作,-0.0601929265428846,招募資訊
125,學經歷,工作,-0.0601929265428846,招募資訊
126,工作,工作,1.0,招募資訊
127,招募人員,工作,-0.08695652173913043,招募資訊
128,正向,工作,-0.0737209780774486,情緒
129,負向,工作,-0.02775399339309483,情緒
130,學習成長,招募人員,-0.0869565217391304,成長價值
131,薪資,招募人員,-0.06019292654288461,經濟報酬
132,福利,招募人員,-0.10189636042253351,經濟報酬
133,管理制度,招募人員,-0.0869565217391304,經濟報酬
134,同事互動,招募人員,-0.08695652173913042,人際價值
135,產業前景,招募人員,-0.06019292654288461,組織文化與制度
136,工學院,招募人員,-0.060192926542884585,科系專業
137,面試,招募人員,0.6922186552431728,招募資訊
138,學經歷,招募人員,-0.060192926542884585,招募資訊
139,工作,招募人員,-0.08695652173913043,招募資訊
140,招募人員,招募人員,0.9999999999999998,招募資訊
141,正向,招募人員,0.11058146711617285,情緒
142,負向,招募人員,0.43481256315848543,情緒
143,學習成長,正向,0.20273268971298355,成長價值
144,薪資,正向,-0.17860862707794,經濟報酬
145,福利,正向,0.5615144766278841,經濟報酬
146,管理制度,正向,-0.1658722006742593,經濟報酬
147,同事互動,正向,0.018430244519362145,人際價值
148,產業前景,正向,0.20412414523193145,組織文化與制度
149,工學院,正向,0.20412414523193145,科系專業
150,面試,正向,0.07654655446197431,招募資訊
151,學經歷,正向,-0.05103103630798286,招募資訊
152,工作,正向,-0.0737209780774486,招募資訊
153,招募人員,正向,0.11058146711617287,招募資訊
154,正向,正向,1.0,情緒
155,負向,正向,-0.10196156833495074,情緒
156,學習成長,負向,-0.027753993393094784,成長價值
157,薪資,負向,0.14088676788410398,經濟報酬
158,福利,負向,-0.1680321701370416,經濟報酬
159,管理制度,負向,-0.02775399339309483,經濟報酬
160,同事互動,負向,-0.02775399339309481,人際價值
161,產業前景,負向,-0.17931043185249596,組織文化與制度
162,工學院,負向,-0.17931043185249596,科系專業
163,面試,負向,0.4610839676207038,招募資訊
164,學經歷,負向,-0.17931043185249598,招募資訊
165,工作,負向,-0.02775399339309483,招募資訊
166,招募人員,負向,0.43481256315848543,招募資訊
167,正向,負向,-0.10196156833495074,情緒
168,負向,負向,1.0,情緒
