,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,0.09603019912124057,經濟報酬
2,福利,學習成長,0.030443603046779236,經濟報酬
3,管理制度,學習成長,-0.022017674075364323,經濟報酬
4,工作氛圍,學習成長,0.07926362667131095,人際價值
5,同事互動,學習成長,0.3404349923883463,人際價值
6,主管風格,學習成長,0.07659538863030813,人際價值
7,工作地點,學習成長,-0.05684222968701126,組織文化與制度
8,公司規模,學習成長,0.2840336737681878,組織文化與制度
9,工作環境,學習成長,0.18669663135706163,組織文化與制度
10,產業前景,學習成長,-0.077059072166023,組織文化與制度
11,多元性,學習成長,-0.029742834698855664,組織文化與制度
12,變化性,學習成長,0.2188222838558667,組織文化與制度
13,工學院,學習成長,0.10833258527206367,科系專業
14,面試,學習成長,0.2375590019675468,招募資訊
15,學經歷,學習成長,-0.05196603168040091,招募資訊
16,徵才,學習成長,0.21882228385586663,招募資訊
17,工作,學習成長,0.09900994315209515,招募資訊
18,離職,學習成長,0.19157291222344386,招募資訊
19,新鮮人,學習成長,0.2671887597501242,招募資訊
20,畢業,學習成長,0.3108040137892046,招募資訊
21,招募人員,學習成長,-0.029742834698855664,招募資訊
22,正向,學習成長,0.2873126456250358,情緒
23,負向,學習成長,0.06969743838506794,情緒
24,學習成長,薪資,0.09603019912124057,成長價值
25,薪資,薪資,1.0,經濟報酬
26,福利,薪資,0.3197230231084153,經濟報酬
27,管理制度,薪資,0.09249309033985689,經濟報酬
28,工作氛圍,薪資,-0.007816317493508973,人際價值
29,同事互動,薪資,0.023546523292137758,人際價值
30,主管風格,薪資,0.15905573334463635,人際價值
31,工作地點,薪資,-0.06726367686127388,組織文化與制度
32,公司規模,薪資,0.1384969168816178,組織文化與制度
33,工作環境,薪資,-0.07678510596773093,組織文化與制度
34,產業前景,薪資,0.06757613421354976,組織文化與制度
35,多元性,薪資,-0.035195882236464415,組織文化與制度
36,變化性,薪資,-0.035195882236464394,組織文化與制度
37,工學院,薪資,-0.035726271326841835,科系專業
38,面試,薪資,-0.061493477331202064,招募資訊
39,學經歷,薪資,0.16691086704183405,招募資訊
40,徵才,薪資,-0.03519588223646442,招募資訊
41,工作,薪資,-0.053335128560683294,招募資訊
42,離職,薪資,-0.021650728739834042,招募資訊
43,新鮮人,薪資,0.21619541513348497,招募資訊
44,畢業,薪資,0.019639100021369916,招募資訊
45,招募人員,薪資,-0.035195882236464394,招募資訊
46,正向,薪資,0.14144402584626797,情緒
47,負向,薪資,0.054161017065065487,情緒
48,學習成長,福利,0.03044360304677924,成長價值
49,薪資,福利,0.3197230231084153,經濟報酬
50,福利,福利,1.0,經濟報酬
51,管理制度,福利,0.032006697486669164,經濟報酬
52,工作氛圍,福利,-0.09602009246000744,人際價值
53,同事互動,福利,-0.0062882367991021,人際價值
54,主管風格,福利,0.15803854882657964,人際價值
55,工作地點,福利,-0.05902180622947818,組織文化與制度
56,公司規模,福利,-0.005187118742080322,組織文化與制度
57,工作環境,福利,-0.08274315273050355,組織文化與制度
58,產業前景,福利,0.19003289315519997,組織文化與制度
59,多元性,福利,-0.03088330341679744,組織文化與制度
60,變化性,福利,-0.030883303416797462,組織文化與制度
61,工學院,福利,-0.10326631747595566,科系專業
62,面試,福利,-0.05395863373488315,招募資訊
63,學經歷,福利,-0.05395863373488317,招募資訊
64,徵才,福利,-0.030883303416797424,招募資訊
65,工作,福利,-0.09398347358133796,招募資訊
66,離職,福利,-0.06258114671915672,招募資訊
67,新鮮人,福利,0.11547250083356665,招募資訊
68,畢業,福利,-0.043865069369867817,招募資訊
69,招募人員,福利,-0.030883303416797462,招募資訊
70,正向,福利,0.3135417198644975,情緒
71,負向,福利,0.10791784938720277,情緒
72,學習成長,管理制度,-0.02201767407536432,成長價值
73,薪資,管理制度,0.09249309033985689,經濟報酬
74,福利,管理制度,0.03200669748666916,經濟報酬
75,管理制度,管理制度,0.9999999999999998,經濟報酬
76,工作氛圍,管理制度,0.023148148148148123,人際價值
77,同事互動,管理制度,-0.014553057798168649,人際價值
78,主管風格,管理制度,-0.10182907806098757,人際價值
79,工作地點,管理制度,0.14001086146610953,組織文化與制度
80,公司規模,管理制度,0.12304824436954331,組織文化與制度
81,工作環境,管理制度,-0.05266112404863079,組織文化與制度
82,產業前景,管理制度,-0.02459401788291638,組織文化與制度
83,多元性,管理制度,-0.031269948932768986,組織文化與制度
84,變化性,管理制度,-0.03126994893276897,組織文化與制度
85,工學院,管理制度,-0.007468511915803626,科系專業
86,面試,管理制度,0.04682929057908447,招募資訊
87,學經歷,管理制度,0.04682929057908455,招募資訊
88,徵才,管理制度,-0.031269948932769,招募資訊
89,工作,管理制度,-0.047385848583370214,招募資訊
90,離職,管理制度,0.11315113470699334,招募資訊
91,新鮮人,管理制度,-0.07440246945181493,招募資訊
92,畢業,管理制度,-0.044414240944901436,招募資訊
93,招募人員,管理制度,-0.03126994893276897,招募資訊
94,正向,管理制度,0.05892150735341654,情緒
95,負向,管理制度,0.2040890831283833,情緒
96,學習成長,工作氛圍,0.07926362667131095,成長價值
97,薪資,工作氛圍,-0.007816317493508973,經濟報酬
98,福利,工作氛圍,-0.09602009246000744,經濟報酬
99,管理制度,工作氛圍,0.023148148148148123,經濟報酬
100,工作氛圍,工作氛圍,1.0,人際價值
101,同事互動,工作氛圍,0.10914793348626499,人際價值
102,主管風格,工作氛圍,0.0748132002080725,人際價值
103,工作地點,工作氛圍,-0.051223485902235244,組織文化與制度
104,公司規模,工作氛圍,-0.04501765037910126,組織文化與制度
105,工作環境,工作氛圍,-0.009574749827023794,組織文化與制度
106,產業前景,工作氛圍,-0.06944193284588149,組織文化與制度
107,多元性,工作氛圍,-0.026802813370944895,組織文化與制度
108,變化性,工作氛圍,-0.02680281337094491,組織文化與制度
109,工學院,工作氛圍,0.10455916682125171,科系專業
110,面試,工作氛圍,0.1560976352636157,招募資訊
111,學經歷,工作氛圍,0.15609763526361575,招募資訊
112,徵才,工作氛圍,-0.026802813370944895,招募資訊
113,工作,工作氛圍,0.27965418836087363,招募資訊
114,離職,工作氛圍,0.1222032254835532,招募資訊
115,新鮮人,工作氛圍,0.054663038780924995,招募資訊
116,畢業,工作氛圍,0.20938142159739204,招募資訊
117,招募人員,工作氛圍,-0.026802813370944895,招募資訊
118,正向,工作氛圍,0.13495714547338566,情緒
119,負向,工作氛圍,0.23530877852476062,情緒
120,學習成長,同事互動,0.3404349923883463,成長價值
121,薪資,同事互動,0.023546523292137758,經濟報酬
122,福利,同事互動,-0.006288236799102099,經濟報酬
123,管理制度,同事互動,-0.014553057798168649,經濟報酬
124,工作氛圍,同事互動,0.10914793348626499,人際價值
125,同事互動,同事互動,1.0,人際價值
126,主管風格,同事互動,0.08247363262207373,人際價值
127,工作地點,同事互動,-0.06373668900698655,組織文化與制度
128,公司規模,同事互動,-0.05601485200586117,組織文化與制度
129,工作環境,同事互動,0.09405577415408567,組織文化與制度
130,產業前景,同事互動,0.04661357732463268,組織文化與制度
131,多元性,同事互動,-0.03335037727804604,組織文化與制度
132,變化性,同事互動,0.1720177354341324,組織文化與制度
133,工學院,同事互動,0.11738486042316273,科系專業
134,面試,同事互動,0.06133584352001902,招募資訊
135,學經歷,同事互動,-0.05826905134401811,招募資訊
136,徵才,同事互動,0.17201773543413218,招募資訊
137,工作,同事互動,0.1773425619196385,招募資訊
138,離職,同事互動,0.24453420799290773,招募資訊
139,新鮮人,同事互動,0.269679368989993,招募資訊
140,畢業,同事互動,0.24432521987145162,招募資訊
141,招募人員,同事互動,-0.03335037727804605,招募資訊
142,正向,同事互動,0.24910207267214582,情緒
143,負向,同事互動,0.059511296346710096,情緒
144,學習成長,主管風格,0.07659538863030813,成長價值
145,薪資,主管風格,0.15905573334463632,經濟報酬
146,福利,主管風格,0.15803854882657967,經濟報酬
147,管理制度,主管風格,-0.10182907806098757,經濟報酬
148,工作氛圍,主管風格,0.07481320020807251,人際價值
149,同事互動,主管風格,0.08247363262207373,人際價值
150,主管風格,主管風格,1.0,人際價值
151,工作地點,主管風格,-0.05365070068623019,組織文化與制度
152,公司規模,主管風格,-0.04715080286992194,組織文化與制度
153,工作環境,主管風格,0.00859581210901621,組織文化與制度
154,產業前景,主管風格,0.23118520850513313,組織文化與制度
155,多元性,主管風格,-0.028072859400041405,組織文化與制度
156,變化性,主管風格,-0.0280728594000415,組織文化與制度
157,工學院,主管風格,-0.02849590713788327,科系專業
158,面試,主管風格,0.08758622729237658,招募資訊
159,學經歷,主管風格,0.22422074186848417,招募資訊
160,徵才,主管風格,-0.028072859400041447,招募資訊
