item1,item2,value,class
成就感,成就感,1.0,成長價值
學習成長,成就感,0.0002615545980620868,成長價值
創新,成就感,-0.002940735783083391,成長價值
薪資,成就感,-0.01080769838128823,經濟報酬
福利,成就感,-0.015717724498757475,經濟報酬
管理制度,成就感,-0.01963072337395897,經濟報酬
工作氛圍,成就感,0.03896813780684155,人際價值
同事互動,成就感,-0.015541182458823629,人際價值
主管風格,成就感,0.00460450190594191,人際價值
工作地點,成就感,-0.006016086355213623,組織文化與制度
公司規模,成就感,-0.008274189682989872,組織文化與制度
工作環境,成就感,-0.012659869934767053,組織文化與制度
產業前景,成就感,-0.0074003979257556834,組織文化與制度
多元性,成就感,-0.0037651412254278397,組織文化與制度
變化性,成就感,-0.00882748042772914,組織文化與制度
工學院,成就感,0.021116699981648588,科系專業
管理學院/商學院,成就感,-0.0008855443991529009,科系專業
面試,成就感,-0.006789781267026773,招募資訊
學經歷,成就感,0.02182691245398193,招募資訊
徵才,成就感,-0.006254806636865854,招募資訊
實習,成就感,-0.007487426970030019,招募資訊
工作,成就感,0.023638984156545438,招募資訊
離職,成就感,-0.006176990466485339,招募資訊
新鮮人,成就感,-0.005746634712734209,招募資訊
畢業,成就感,-0.0043639330884056,招募資訊
招募人員,成就感,-0.004396291721724283,招募資訊
正向,成就感,0.06220183212523075,情緒
負向,成就感,0.05960269076805694,情緒
成就感,學習成長,0.0002615545980620867,成長價值
學習成長,學習成長,0.9999999999999998,成長價值
創新,學習成長,0.0035511340308370634,成長價值
薪資,學習成長,0.004081953553490659,經濟報酬
福利,學習成長,0.007184959948631485,經濟報酬
管理制度,學習成長,0.09933666542387537,經濟報酬
工作氛圍,學習成長,0.03777691647557479,人際價值
同事互動,學習成長,0.0483916517541736,人際價值
主管風格,學習成長,0.02164627098400654,人際價值
工作地點,學習成長,0.008543337871636518,組織文化與制度
公司規模,學習成長,0.057336244821560425,組織文化與制度
工作環境,學習成長,-0.006043572767295675,組織文化與制度
產業前景,學習成長,0.022298611456273758,組織文化與制度
多元性,學習成長,0.06924043417103792,組織文化與制度
變化性,學習成長,0.0064530284389744804,組織文化與制度
工學院,學習成長,0.018690216247633916,科系專業
管理學院/商學院,學習成長,-0.0035727202752352163,科系專業
面試,學習成長,0.01120692248789007,招募資訊
學經歷,學習成長,-0.005924379419754541,招募資訊
徵才,學習成長,0.015595447266954634,招募資訊
實習,學習成長,0.05856198514598133,招募資訊
工作,學習成長,0.05824700998082303,招募資訊
離職,學習成長,0.010697140268625503,招募資訊
新鮮人,學習成長,0.05436901227438136,招募資訊
畢業,學習成長,0.05014186399746611,招募資訊
招募人員,學習成長,-0.008683163399526947,招募資訊
正向,學習成長,0.15795659321285108,情緒
負向,學習成長,0.06758294909101566,情緒
成就感,創新,-0.002940735783083391,成長價值
學習成長,創新,0.003551134030837064,成長價值
創新,創新,1.0,成長價值
薪資,創新,0.015500253316064068,經濟報酬
福利,創新,0.018958988056383505,經濟報酬
管理制度,創新,0.00316998600336624,經濟報酬
工作氛圍,創新,0.009019942483015004,人際價值
同事互動,創新,0.029073070384888138,人際價值
主管風格,創新,-0.0028981388574786412,人際價值
工作地點,創新,-0.005699983474553436,組織文化與制度
公司規模,創新,0.012030176864480704,組織文化與制度
工作環境,創新,0.0020215360266179097,組織文化與制度
產業前景,創新,0.077105904507954,組織文化與制度
多元性,創新,-0.0035673096257503012,組織文化與制度
變化性,創新,-0.008363658629400292,組織文化與制度
工學院,創新,-0.0062120894095051326,科系專業
管理學院/商學院,創新,-0.0008390152905269695,科系專業
面試,創新,-0.006433026178945329,招募資訊
學經歷,創新,-0.005335942339288151,招募資訊
徵才,創新,-0.005926160690124666,招募資訊
實習,創新,-0.007094015523748468,招募資訊
工作,創新,0.025041994054078563,招募資訊
離職,創新,0.03627444511636513,招募資訊
新鮮人,創新,0.036248784627413586,招募資訊
畢業,創新,-0.004134639202180377,招募資訊
招募人員,創新,-0.0041652976176826464,招募資訊
正向,創新,0.05168785599510509,情緒
負向,創新,0.01750970848206354,情緒
成就感,薪資,-0.010807698381288228,成長價值
學習成長,薪資,0.00408195355349066,成長價值
創新,薪資,0.015500253316064068,成長價值
薪資,薪資,1.0,經濟報酬
福利,薪資,0.34875621654695094,經濟報酬
管理制度,薪資,0.037844853919119445,經濟報酬
工作氛圍,薪資,0.025445314935046596,人際價值
同事互動,薪資,0.016510822824101625,人際價值
主管風格,薪資,0.04581643876630162,人際價值
工作地點,薪資,-0.024079440012077413,組織文化與制度
公司規模,薪資,0.093118608804265,組織文化與制度
工作環境,薪資,0.007629360431538924,組織文化與制度
產業前景,薪資,0.022436913154262703,組織文化與制度
多元性,薪資,0.010162208115276714,組織文化與制度
變化性,薪資,0.04215792874974557,組織文化與制度
工學院,薪資,-0.019270994231898035,科系專業
管理學院/商學院,薪資,-0.004978239697267641,科系專業
面試,薪資,0.019121499609339856,招募資訊
學經歷,薪資,0.08468402095439827,招募資訊
徵才,薪資,0.03200419467551607,招募資訊
實習,薪資,-0.008554333860720673,招募資訊
工作,薪資,0.004864406125654969,招募資訊
離職,薪資,0.031885318464219034,招募資訊
新鮮人,薪資,0.12518189874575736,招募資訊
畢業,薪資,0.0006057588437563724,招募資訊
招募人員,薪資,0.06464571099555404,招募資訊
正向,薪資,0.17598050796856038,情緒
負向,薪資,0.14128348744589864,情緒
成就感,福利,-0.015717724498757475,成長價值
學習成長,福利,0.007184959948631486,成長價值
創新,福利,0.018958988056383505,成長價值
薪資,福利,0.34875621654695094,經濟報酬
福利,福利,1.0,經濟報酬
管理制度,福利,0.06360666281998602,經濟報酬
工作氛圍,福利,0.0019442946015773095,人際價值
同事互動,福利,0.036948706882051,人際價值
主管風格,福利,0.05814154684549179,人際價值
