,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.04545454545454541,經濟報酬
2,福利,學習成長,-0.04545454545454541,經濟報酬
3,管理制度,學習成長,-0.08257228238447706,經濟報酬
4,同事互動,學習成長,-0.082572282384477,人際價值
5,主管風格,學習成長,-0.11872936802173265,人際價值
6,產業前景,學習成長,-0.045454545454545435,組織文化與制度
7,多元性,學習成長,-0.04545454545454544,組織文化與制度
8,變化性,學習成長,-0.06579516949597691,組織文化與制度
9,面試,學習成長,-0.045454545454545435,招募資訊
10,實習,學習成長,-0.06579516949597693,招募資訊
11,工作,學習成長,-0.13238067846429907,招募資訊
12,離職,學習成長,-0.04545454545454544,招募資訊
13,畢業,學習成長,-0.04545454545454544,招募資訊
14,正向,學習成長,-0.10238681251044149,情緒
15,負向,學習成長,-0.1427248064296126,情緒
16,學習成長,薪資,-0.04545454545454541,成長價值
17,薪資,薪資,1.0,經濟報酬
18,福利,薪資,1.0,經濟報酬
19,管理制度,薪資,-0.08257228238447706,經濟報酬
20,同事互動,薪資,0.23395480008935154,人際價值
21,主管風格,薪資,0.2713814126211034,人際價值
22,產業前景,薪資,-0.045454545454545435,組織文化與制度
23,多元性,薪資,-0.04545454545454544,組織文化與制度
24,變化性,薪資,0.6908492797077577,組織文化與制度
25,面試,薪資,-0.045454545454545435,招募資訊
26,實習,薪資,-0.06579516949597693,招募資訊
27,工作,薪資,0.24821377212056078,招募資訊
28,離職,薪資,-0.04545454545454544,招募資訊
29,畢業,薪資,-0.04545454545454544,招募資訊
30,正向,薪資,0.2743966575279832,情緒
31,負向,薪資,0.006487491201346026,情緒
32,學習成長,福利,-0.04545454545454541,成長價值
33,薪資,福利,1.0,經濟報酬
34,福利,福利,1.0,經濟報酬
35,管理制度,福利,-0.08257228238447706,經濟報酬
36,同事互動,福利,0.23395480008935154,人際價值
37,主管風格,福利,0.2713814126211034,人際價值
38,產業前景,福利,-0.04545454545454545,組織文化與制度
39,多元性,福利,-0.04545454545454545,組織文化與制度
40,變化性,福利,0.6908492797077577,組織文化與制度
41,面試,福利,-0.04545454545454544,招募資訊
42,實習,福利,-0.06579516949597691,招募資訊
43,工作,福利,0.24821377212056078,招募資訊
44,離職,福利,-0.04545454545454545,招募資訊
45,畢業,福利,-0.04545454545454545,招募資訊
46,正向,福利,0.27439665752798315,情緒
47,負向,福利,0.006487491201346026,情緒
48,學習成長,管理制度,-0.08257228238447706,成長價值
49,薪資,管理制度,-0.08257228238447706,經濟報酬
50,福利,管理制度,-0.08257228238447706,經濟報酬
51,管理制度,管理制度,1.0,經濟報酬
52,同事互動,管理制度,-0.15,人際價值
53,主管風格,管理制度,0.020541200750444022,人際價值
54,產業前景,管理制度,-0.08257228238447707,組織文化與制度
55,多元性,管理制度,-0.08257228238447707,組織文化與制度
56,變化性,管理制度,-0.11952286093343936,組織文化與制度
57,面試,管理制度,-0.08257228238447706,招募資訊
58,實習,管理制度,-0.11952286093343936,招募資訊
59,工作,管理制度,-0.010020060200702549,招募資訊
60,離職,管理制度,-0.08257228238447707,招募資訊
61,畢業,管理制度,-0.08257228238447707,招募資訊
62,正向,管理制度,-0.1859948814912911,情緒
63,負向,管理制度,0.011785113019775797,情緒
64,學習成長,同事互動,-0.08257228238447702,成長價值
65,薪資,同事互動,0.23395480008935154,經濟報酬
66,福利,同事互動,0.23395480008935154,經濟報酬
67,管理制度,同事互動,-0.15,經濟報酬
68,同事互動,同事互動,1.0,人際價值
69,主管風格,同事互動,-0.0975707035646091,人際價值
70,產業前景,同事互動,-0.08257228238447703,組織文化與制度
71,多元性,同事互動,0.867008965037009,組織文化與制度
72,變化性,同事互動,0.3386481059780782,組織文化與制度
73,面試,同事互動,-0.082572282384477,招募資訊
74,實習,同事互動,-0.11952286093343935,招募資訊
75,工作,同事互動,0.5661334013396928,招募資訊
76,離職,同事互動,-0.08257228238447702,招募資訊
77,畢業,同事互動,-0.08257228238447702,招募資訊
78,正向,同事互動,0.44142785207266416,情緒
79,負向,同事互動,-0.168919953283453,情緒
80,學習成長,主管風格,-0.11872936802173265,成長價值
81,薪資,主管風格,0.2713814126211034,經濟報酬
82,福利,主管風格,0.2713814126211034,經濟報酬
83,管理制度,主管風格,0.020541200750444022,經濟報酬
84,同事互動,主管風格,-0.0975707035646091,人際價值
85,主管風格,主管風格,1.0,人際價值
86,產業前景,主管風格,0.2713814126211033,組織文化與制度
87,多元性,主管風格,-0.1187293680217327,組織文化與制度
88,變化性,主管風格,0.11048143863155321,組織文化與制度
89,面試,主管風格,-0.1187293680217327,招募資訊
90,實習,主管風格,-0.17186001564908274,招募資訊
91,工作,主管風格,0.22228999356329823,招募資訊
92,離職,主管風格,0.2713814126211034,招募資訊
93,畢業,主管風格,-0.1187293680217327,招募資訊
94,正向,主管風格,0.4003944992832503,情緒
95,負向,主管風格,0.40669502564188864,情緒
96,學習成長,產業前景,-0.045454545454545435,成長價值
97,薪資,產業前景,-0.045454545454545435,經濟報酬
98,福利,產業前景,-0.04545454545454545,經濟報酬
99,管理制度,產業前景,-0.08257228238447707,經濟報酬
100,同事互動,產業前景,-0.08257228238447702,人際價值
101,主管風格,產業前景,0.2713814126211034,人際價值
102,產業前景,產業前景,1.0,組織文化與制度
103,多元性,產業前景,-0.04545454545454546,組織文化與制度
104,變化性,產業前景,-0.06579516949597691,組織文化與制度
105,面試,產業前景,-0.04545454545454544,招募資訊
106,實習,產業前景,-0.06579516949597693,招募資訊
107,工作,產業前景,0.24821377212056073,招募資訊
108,離職,產業前景,-0.04545454545454545,招募資訊
109,畢業,產業前景,-0.04545454545454545,招募資訊
110,正向,產業前景,-0.10238681251044153,情緒
111,負向,產業前景,0.006487491201346032,情緒
112,學習成長,多元性,-0.04545454545454544,成長價值
113,薪資,多元性,-0.04545454545454544,經濟報酬
114,福利,多元性,-0.04545454545454545,經濟報酬
115,管理制度,多元性,-0.08257228238447707,經濟報酬
116,同事互動,多元性,0.867008965037009,人際價值
117,主管風格,多元性,-0.11872936802173271,人際價值
118,產業前景,多元性,-0.04545454545454546,組織文化與制度
119,多元性,多元性,1.0,組織文化與制度
120,變化性,多元性,-0.0657951694959769,組織文化與制度
121,面試,多元性,-0.04545454545454544,招募資訊
122,實習,多元性,-0.06579516949597691,招募資訊
123,工作,多元性,0.6288082227054204,招募資訊
124,離職,多元性,-0.04545454545454545,招募資訊
125,畢業,多元性,-0.04545454545454545,招募資訊
126,正向,多元性,0.4627883925471957,情緒
127,負向,多元性,-0.14272480642961255,情緒
128,學習成長,變化性,-0.06579516949597693,成長價值
129,薪資,變化性,0.6908492797077577,經濟報酬
130,福利,變化性,0.6908492797077577,經濟報酬
131,管理制度,變化性,-0.11952286093343936,經濟報酬
132,同事互動,變化性,0.33864810597807815,人際價值
133,主管風格,變化性,0.11048143863155321,人際價值
134,產業前景,變化性,-0.06579516949597691,組織文化與制度
135,多元性,變化性,-0.0657951694959769,組織文化與制度
136,變化性,變化性,1.0,組織文化與制度
137,面試,變化性,-0.06579516949597694,招募資訊
138,實習,變化性,-0.09523809523809532,招募資訊
139,工作,變化性,0.08383383833392818,招募資訊
140,離職,變化性,-0.06579516949597693,招募資訊
141,畢業,變化性,-0.06579516949597695,招募資訊
142,正向,變化性,0.19266554974173108,情緒
143,負向,變化性,0.009390602830316862,情緒
144,學習成長,面試,-0.045454545454545435,成長價值
145,薪資,面試,-0.045454545454545435,經濟報酬
146,福利,面試,-0.04545454545454544,經濟報酬
147,管理制度,面試,-0.08257228238447706,經濟報酬
148,同事互動,面試,-0.082572282384477,人際價值
149,主管風格,面試,-0.1187293680217327,人際價值
150,產業前景,面試,-0.04545454545454544,組織文化與制度
151,多元性,面試,-0.04545454545454544,組織文化與制度
152,變化性,面試,-0.06579516949597694,組織文化與制度
153,面試,面試,1.0,招募資訊
154,實習,面試,-0.06579516949597691,招募資訊
155,工作,面試,-0.13238067846429907,招募資訊
156,離職,面試,-0.04545454545454544,招募資訊
157,畢業,面試,0.9999999999999999,招募資訊
158,正向,面試,0.27439665752798315,情緒
159,負向,面試,-0.14272480642961255,情緒
160,學習成長,實習,-0.06579516949597693,成長價值
161,薪資,實習,-0.06579516949597693,經濟報酬
162,福利,實習,-0.06579516949597693,經濟報酬
163,管理制度,實習,-0.11952286093343936,經濟報酬
164,同事互動,實習,-0.11952286093343933,人際價值
165,主管風格,實習,-0.17186001564908274,人際價值
166,產業前景,實習,-0.06579516949597693,組織文化與制度
167,多元性,實習,-0.06579516949597691,組織文化與制度
168,變化性,實習,-0.09523809523809532,組織文化與制度
169,面試,實習,-0.06579516949597693,招募資訊
170,實習,實習,1.0,招募資訊
171,工作,實習,-0.19162020190612142,招募資訊
172,離職,實習,-0.06579516949597693,招募資訊
173,畢業,實習,-0.06579516949597693,招募資訊
174,正向,實習,-0.14820426903210074,情緒
175,負向,實習,-0.20659326226697078,情緒
176,學習成長,工作,-0.13238067846429907,成長價值
177,薪資,工作,0.24821377212056076,經濟報酬
178,福利,工作,0.2482137721205608,經濟報酬
179,管理制度,工作,-0.010020060200702549,經濟報酬
180,同事互動,工作,0.5661334013396928,人際價值
181,主管風格,工作,0.22228999356329823,人際價值
182,產業前景,工作,0.24821377212056076,組織文化與制度
183,多元性,工作,0.6288082227054204,組織文化與制度
184,變化性,工作,0.08383383833392818,組織文化與制度
185,面試,工作,-0.13238067846429907,招募資訊
186,實習,工作,-0.19162020190612142,招募資訊
187,工作,工作,1.0,招募資訊
188,離職,工作,-0.13238067846429907,招募資訊
189,畢業,工作,-0.13238067846429907,招募資訊
190,正向,工作,0.42193713152557694,情緒
191,負向,工作,-0.14406680115488865,情緒
192,學習成長,離職,-0.04545454545454544,成長價值
193,薪資,離職,-0.04545454545454544,經濟報酬
194,福利,離職,-0.04545454545454545,經濟報酬
195,管理制度,離職,-0.08257228238447707,經濟報酬
196,同事互動,離職,-0.08257228238447702,人際價值
197,主管風格,離職,0.27138141262110343,人際價值
198,產業前景,離職,-0.04545454545454545,組織文化與制度
199,多元性,離職,-0.04545454545454545,組織文化與制度
200,變化性,離職,-0.06579516949597693,組織文化與制度
201,面試,離職,-0.04545454545454544,招募資訊
202,實習,離職,-0.06579516949597693,招募資訊
203,工作,離職,-0.13238067846429907,招募資訊
204,離職,離職,1.0,招募資訊
205,畢業,離職,-0.04545454545454544,招募資訊
