,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.008498106195598992,經濟報酬
2,福利,學習成長,0.35869867928194077,經濟報酬
3,管理制度,學習成長,0.4737115329745535,經濟報酬
4,工作氛圍,學習成長,-0.09204186279594093,人際價值
5,同事互動,學習成長,-0.10767013884536343,人際價值
6,公司規模,學習成長,0.42339256886132803,組織文化與制度
7,工作環境,學習成長,0.07538670747990116,組織文化與制度
8,多元性,學習成長,-0.0638668054366123,組織文化與制度
9,工學院,學習成長,-0.1547312948520396,科系專業
10,面試,學習成長,-0.0638668054366123,招募資訊
11,實習,學習成長,-0.06386680543661229,招募資訊
12,工作,學習成長,-0.1288948255175266,招募資訊
13,離職,學習成長,-0.0638668054366123,招募資訊
14,能力,學習成長,-0.0638668054366123,招募資訊
15,正向,學習成長,0.4432040756028476,情緒
16,負向,學習成長,-0.24669204927427588,情緒
17,學習成長,薪資,-0.008498106195598994,成長價值
18,薪資,薪資,1.0,經濟報酬
19,福利,薪資,0.44033493598709933,經濟報酬
20,管理制度,薪資,0.11144179967299829,經濟報酬
21,工作氛圍,薪資,0.3906214533256396,人際價值
22,同事互動,薪資,0.7477316863150747,人際價值
23,公司規模,薪資,0.39062145332563925,組織文化與制度
24,工作環境,薪資,0.0559331706997967,組織文化與制度
25,多元性,薪資,0.6160177257954772,組織文化與制度
26,工學院,薪資,-0.17909250925426998,科系專業
27,面試,薪資,0.6160177257954772,招募資訊
28,實習,薪資,-0.07392212709545723,招募資訊
29,工作,薪資,-0.1680048343078574,招募資訊
30,離職,薪資,0.6160177257954772,招募資訊
31,能力,薪資,0.6160177257954772,招募資訊
32,正向,薪資,0.37998743701356763,情緒
33,負向,薪資,0.10637457525993166,情緒
34,學習成長,福利,0.35869867928194077,成長價值
35,薪資,福利,0.44033493598709933,經濟報酬
36,福利,福利,1.0,經濟報酬
37,管理制度,福利,0.2565749812494095,經濟報酬
38,工作氛圍,福利,0.1362631250826666,人際價值
39,同事互動,福利,-3.5393901985578874e-17,人際價值
40,公司規模,福利,-0.13626312508266658,組織文化與制度
41,工作環境,福利,0.21462701107409712,組織文化與制度
42,多元性,福利,0.28365431446558736,組織文化與制度
