,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.06295959365199723,經濟報酬
2,福利,學習成長,-0.040599897147057494,經濟報酬
3,管理制度,學習成長,0.1940861853429557,經濟報酬
4,工作氛圍,學習成長,-0.05050762722761054,人際價值
5,同事互動,學習成長,0.4262989200441038,人際價值
6,主管風格,學習成長,-0.019847104650936143,人際價值
7,工作環境,學習成長,-0.038237446412805555,組織文化與制度
8,變化性,學習成長,0.8931197092921255,組織文化與制度
9,安全,學習成長,-0.019847104650936122,產品與服務
10,保養,學習成長,-0.01984710465093612,產品與服務
11,徵才,學習成長,-0.028276731790777897,招募資訊
12,工作,學習成長,-0.06065769825774624,招募資訊
13,正向,學習成長,-0.08645490821446775,情緒
14,負向,學習成長,0.029282341834612882,情緒
15,學習成長,薪資,-0.06295959365199723,成長價值
16,薪資,薪資,0.9999999999999999,經濟報酬
17,福利,薪資,0.15782606380188263,經濟報酬
18,管理制度,薪資,-0.08979461482786308,經濟報酬
19,工作氛圍,薪資,-0.11871774829887131,人際價值
20,同事互動,薪資,-0.09542971299648732,人際價值
21,主管風格,薪資,-0.046650450709019915,人際價值
22,工作環境,薪資,-0.0898767926351029,組織文化與制度
23,變化性,薪資,-0.046650450709019846,組織文化與制度
24,安全,薪資,-0.04665045070901987,產品與服務
25,保養,薪資,-0.04665045070901985,產品與服務
26,徵才,薪資,0.1099215906768247,招募資訊
27,工作,薪資,0.008773871011843954,招募資訊
28,正向,薪資,0.43421174221575753,情緒
29,負向,薪資,-0.0006859211009676046,情緒
30,學習成長,福利,-0.040599897147057494,成長價值
31,薪資,福利,0.15782606380188263,經濟報酬
32,福利,福利,1.0,經濟報酬
33,管理制度,福利,-0.10382899602469876,經濟報酬
34,工作氛圍,福利,-0.07655590023509531,人際價值
35,同事互動,福利,0.20384615384615384,人際價值
36,主管風格,福利,-0.030082841879809374,人際價值
37,工作環境,福利,-0.05795762528363838,組織文化與制度
38,變化性,福利,-0.03008284187980933,組織文化與制度
39,安全,福利,-0.03008284187980935,產品與服務
40,保養,福利,-0.030082841879809342,產品與服務
41,徵才,福利,-0.04285987635479247,招募資訊
42,工作,福利,-0.09194066225649183,招募資訊
43,正向,福利,0.3480353663443113,情緒
44,負向,福利,0.0009883101229332197,情緒
45,學習成長,管理制度,0.1940861853429557,成長價值
46,薪資,管理制度,-0.08979461482786308,經濟報酬
47,福利,管理制度,-0.10382899602469876,經濟報酬
48,管理制度,管理制度,1.0,經濟報酬
49,工作氛圍,管理制度,0.24218763139523494,人際價值
50,同事互動,管理制度,0.04542518576080568,人際價值
51,主管風格,管理制度,-0.05075640813669355,人際價值
52,工作環境,管理制度,-0.0977873332341078,組織文化與制度
53,變化性,管理制度,0.24109293864929374,組織文化與制度
54,安全,管理制度,-0.05075640813669347,產品與服務
55,保養,管理制度,-0.050756408136693444,產品與服務
56,徵才,管理制度,-0.07231409138948856,招募資訊
57,工作,管理制度,0.11246506904026314,招募資訊
58,正向,管理制度,-0.1590492810472645,情緒
