,item1,item2,value,class
0,薪資,薪資,0.9999999999999999,經濟報酬
1,同事互動,薪資,0.9999999999999999,人際價值
2,公司規模,薪資,-0.9999999999999999,組織文化與制度
3,工作環境,薪資,0.9999999999999999,組織文化與制度
4,變化性,薪資,0.9999999999999999,組織文化與制度
5,正向,薪資,0.9999999999999999,情緒
6,負向,薪資,0.9999999999999999,情緒
7,薪資,同事互動,0.9999999999999999,經濟報酬
8,同事互動,同事互動,0.9999999999999999,人際價值
9,公司規模,同事互動,-0.9999999999999999,組織文化與制度
10,工作環境,同事互動,0.9999999999999999,組織文化與制度
11,變化性,同事互動,0.9999999999999999,組織文化與制度
12,正向,同事互動,0.9999999999999999,情緒
13,負向,同事互動,0.9999999999999999,情緒
14,薪資,公司規模,-0.9999999999999999,經濟報酬
15,同事互動,公司規模,-0.9999999999999999,人際價值
16,公司規模,公司規模,0.9999999999999999,組織文化與制度
17,工作環境,公司規模,-0.9999999999999999,組織文化與制度
18,變化性,公司規模,-0.9999999999999999,組織文化與制度
19,正向,公司規模,-0.9999999999999999,情緒
20,負向,公司規模,-0.9999999999999999,情緒
21,薪資,工作環境,0.9999999999999999,經濟報酬
22,同事互動,工作環境,0.9999999999999999,人際價值
23,公司規模,工作環境,-0.9999999999999999,組織文化與制度
24,工作環境,工作環境,0.9999999999999999,組織文化與制度
25,變化性,工作環境,0.9999999999999999,組織文化與制度
26,正向,工作環境,0.9999999999999999,情緒
27,負向,工作環境,0.9999999999999999,情緒
28,薪資,變化性,0.9999999999999999,經濟報酬
29,同事互動,變化性,0.9999999999999999,人際價值
30,公司規模,變化性,-0.9999999999999999,組織文化與制度
31,工作環境,變化性,0.9999999999999999,組織文化與制度
32,變化性,變化性,0.9999999999999999,組織文化與制度
33,正向,變化性,0.9999999999999999,情緒
34,負向,變化性,0.9999999999999999,情緒
35,薪資,正向,0.9999999999999999,經濟報酬
36,同事互動,正向,0.9999999999999999,人際價值
37,公司規模,正向,-0.9999999999999999,組織文化與制度
38,工作環境,正向,0.9999999999999999,組織文化與制度
39,變化性,正向,0.9999999999999999,組織文化與制度
40,正向,正向,0.9999999999999999,情緒
41,負向,正向,0.9999999999999999,情緒
42,薪資,負向,0.9999999999999999,經濟報酬
43,同事互動,負向,0.9999999999999999,人際價值
44,公司規模,負向,-0.9999999999999999,組織文化與制度
45,工作環境,負向,0.9999999999999999,組織文化與制度
46,變化性,負向,0.9999999999999999,組織文化與制度
47,正向,負向,0.9999999999999999,情緒
48,負向,負向,0.9999999999999999,情緒
