,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,創新,學習成長,-0.06303578296313003,成長價值
2,薪資,學習成長,-0.12027743919891289,經濟報酬
3,福利,學習成長,0.29971402002909997,經濟報酬
4,管理制度,學習成長,-0.04384821657704932,經濟報酬
5,同事互動,學習成長,-0.06303578296313003,人際價值
6,主管風格,學習成長,-0.06303578296313003,人際價值
7,公司規模,學習成長,-0.04384821657704932,組織文化與制度
8,工作環境,學習成長,-0.08137884587711594,組織文化與制度
9,管理學院/商學院,學習成長,-0.04384821657704932,科系專業
10,面試,學習成長,0.2731550595068968,招募資訊
11,徵才,學習成長,-0.06303578296313003,招募資訊
12,實習,學習成長,0.4238660935781434,招募資訊
13,工作,學習成長,-0.06303578296313003,招募資訊
14,招募人員,學習成長,-0.06303578296313003,招募資訊
15,正向,學習成長,0.07717188931380417,情緒
16,負向,學習成長,-0.09227493778812977,情緒
17,學習成長,創新,-0.06303578296313003,成長價值
18,創新,創新,1.0,成長價值
19,薪資,創新,-0.1272054628286961,經濟報酬
20,福利,創新,-0.12403473458920845,經濟報酬
21,管理制度,創新,-0.046373889576016826,經濟報酬
22,同事互動,創新,-0.06666666666666667,人際價值
23,主管風格,創新,0.4666666666666667,人際價值
24,公司規模,創新,0.6956083436402524,組織文化與制度
25,工作環境,創新,-0.08606629658238704,組織文化與制度
26,管理學院/商學院,創新,-0.046373889576016826,科系專業
27,面試,創新,0.4666666666666667,招募資訊
28,徵才,創新,-0.06666666666666667,招募資訊
29,實習,創新,-0.046373889576016826,招募資訊
30,工作,創新,-0.06666666666666667,招募資訊
31,招募人員,創新,0.4666666666666667,招募資訊
32,正向,創新,-0.12732254778734187,情緒
33,負向,創新,-0.09759000729485331,情緒
34,學習成長,薪資,-0.12027743919891289,成長價值
35,創新,薪資,-0.1272054628286961,成長價值
36,薪資,薪資,1.0,經濟報酬
37,福利,薪資,0.14200106238229268,經濟報酬
38,管理制度,薪資,0.19466739886057416,經濟報酬
39,同事互動,薪資,-0.1272054628286961,人際價值
40,主管風格,薪資,-0.1272054628286961,人際價值
41,公司規模,薪資,-0.08848518130026099,組織文化與制度
42,工作環境,薪資,0.4269760205378604,組織文化與制度
43,管理學院/商學院,薪資,-0.08848518130026099,科系專業
44,面試,薪資,-0.1272054628286961,招募資訊
45,徵才,薪資,-0.1272054628286961,招募資訊
46,實習,薪資,-0.08848518130026099,招募資訊
47,工作,薪資,-0.1272054628286961,招募資訊
48,招募人員,薪資,-0.1272054628286961,招募資訊
49,正向,薪資,0.2952677921459055,情緒
50,負向,薪資,0.11172583840857882,情緒
51,學習成長,福利,0.29971402002909997,成長價值
52,創新,福利,-0.12403473458920845,成長價值
53,薪資,福利,0.14200106238229265,經濟報酬
54,福利,福利,1.0,經濟報酬
55,管理制度,福利,-0.08627959628145761,經濟報酬
56,同事互動,福利,0.20672455764868075,人際價值
57,主管風格,福利,-0.12403473458920845,人際價值
58,公司規模,福利,-0.08627959628145761,組織文化與制度
59,工作環境,福利,0.48038446141526137,組織文化與制度
60,管理學院/商學院,福利,-0.08627959628145761,科系專業
61,面試,福利,-0.12403473458920845,招募資訊
62,徵才,福利,-0.12403473458920845,招募資訊
63,實習,福利,-0.08627959628145761,招募資訊
64,工作,福利,-0.12403473458920845,招募資訊
65,招募人員,福利,-0.12403473458920845,招募資訊
66,正向,福利,0.7349548573326907,情緒
67,負向,福利,0.060522753266880246,情緒
68,學習成長,管理制度,-0.04384821657704932,成長價值
69,創新,管理制度,-0.04637388957601682,成長價值
70,薪資,管理制度,0.1946673988605742,經濟報酬
