,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.03692874926207881,經濟報酬
2,福利,學習成長,0.2152358972468315,經濟報酬
3,管理制度,學習成長,-0.03038182146645442,經濟報酬
4,工作氛圍,學習成長,0.353566528713737,人際價值
5,同事互動,學習成長,0.043739262782713784,人際價值
6,主管風格,學習成長,-0.02849686743028864,人際價值
7,工作地點,學習成長,-0.018287923898986435,組織文化與制度
8,公司規模,學習成長,-0.010500363581383652,組織文化與制度
9,工作環境,學習成長,-0.02374187598019972,組織文化與制度
10,產業前景,學習成長,-0.010500363581383652,組織文化與制度
11,變化性,學習成長,-0.02249195353718004,組織文化與制度
12,面試,學習成長,-0.018287923898986383,招募資訊
13,徵才,學習成長,-0.01828792389898641,招募資訊
14,工作,學習成長,-0.0596515088168366,招募資訊
15,離職,學習成長,-0.010500363581383603,招募資訊
16,新鮮人,學習成長,-0.01050036358138363,招募資訊
17,正向,學習成長,0.21520989768164228,情緒
18,負向,學習成長,-0.09101789278869489,情緒
19,學習成長,薪資,-0.03692874926207881,成長價值
20,薪資,薪資,1.0,經濟報酬
21,福利,薪資,-0.00673322470874649,經濟報酬
22,管理制度,薪資,0.19263311651196735,經濟報酬
23,工作氛圍,薪資,-0.03365494945011744,人際價值
24,同事互動,薪資,0.02213888351997878,人際價值
25,主管風格,薪資,0.03939444850783028,人際價值
26,工作地點,薪資,-0.033654949450117384,組織文化與制度
27,公司規模,薪資,-0.01932363714390276,組織文化與制度
28,工作環境,薪資,0.12463650275014972,組織文化與制度
29,產業前景,薪資,-0.01932363714390276,組織文化與制度
30,變化性,薪資,-0.04139155234401105,組織文化與制度
31,面試,薪資,-0.033654949450117454,招募資訊
32,徵才,薪資,0.07439515141604915,招募資訊
33,工作,薪資,-0.05942741305698862,招募資訊
34,離職,薪資,-0.019323637143902752,招募資訊
35,新鮮人,薪資,-0.01932363714390275,招募資訊
36,正向,薪資,0.13356179464226944,情緒
37,負向,薪資,0.12689486729800353,情緒
38,學習成長,福利,0.2152358972468315,成長價值
39,薪資,福利,-0.00673322470874649,經濟報酬
40,福利,福利,1.0,經濟報酬
41,管理制度,福利,0.12642566633095734,經濟報酬
42,工作氛圍,福利,0.19615484917414197,人際價值
43,同事互動,福利,-0.027635406831150358,人際價值
44,主管風格,福利,0.3688227706677789,人際價值
45,工作地點,福利,-0.02680376821013113,組織文化與制度
46,公司規模,福利,-0.015389899537645597,組織文化與制度
47,工作環境,福利,-0.03479737471360678,組織文化與制度
48,產業前景,福利,-0.0153898995376456,組織文化與制度
49,變化性,福利,0.2412469440537148,組織文化與制度
50,面試,福利,-0.02680376821013115,招募資訊
51,徵才,福利,0.12183531004605111,招募資訊
52,工作,福利,-0.018166954915934556,招募資訊
53,離職,福利,-0.015389899537645696,招募資訊
54,新鮮人,福利,-0.015389899537645657,招募資訊
55,正向,福利,0.5686535969434845,情緒
56,負向,福利,0.12578795310630533,情緒
57,學習成長,管理制度,-0.03038182146645442,成長價值
58,薪資,管理制度,0.19263311651196732,經濟報酬
59,福利,管理制度,0.12642566633095736,經濟報酬
60,管理制度,管理制度,1.0,經濟報酬
61,工作氛圍,管理制度,-0.027688418538073613,人際價值
62,同事互動,管理制度,-0.06408623603365868,人際價值
63,主管風格,管理制度,0.2881364502089976,人際價值
64,工作地點,管理制度,-0.027688418538073606,組織文化與制度
65,公司規模,管理制度,-0.015897838554512444,組織文化與制度
66,工作環境,管理制度,-0.03594585162590508,組織文化與制度
67,產業前景,管理制度,-0.015897838554512444,組織文化與制度
68,變化性,管理制度,-0.03405343475378651,組織文化與制度
69,面試,管理制度,-0.027688418538073613,招募資訊
70,徵才,管理制度,0.2321567400500023,招募資訊
71,工作,管理制度,0.030766314836629463,招募資訊
72,離職,管理制度,-0.01589783855451245,招募資訊
73,新鮮人,管理制度,-0.015897838554512444,招募資訊
74,正向,管理制度,0.21516178064484917,情緒
75,負向,管理制度,0.13122677336296037,情緒
76,學習成長,工作氛圍,0.353566528713737,成長價值
77,薪資,工作氛圍,-0.03365494945011744,經濟報酬
78,福利,工作氛圍,0.19615484917414197,經濟報酬
79,管理制度,工作氛圍,-0.02768841853807361,經濟報酬
80,工作氛圍,工作氛圍,1.0,人際價值
81,同事互動,工作氛圍,-0.038575837490522964,人際價值
82,主管風格,工作氛圍,-0.02597056905574368,人際價值
83,工作地點,工作氛圍,-0.016666666666666736,組織文化與制度
84,公司規模,工作氛圍,-0.009569487529386949,組織文化與制度
85,工作環境,工作氛圍,-0.02163711612039572,組織文化與制度
86,產業前景,工作氛圍,-0.009569487529386947,組織文化與制度
87,變化性,工作氛圍,-0.020498001542269686,組織文化與制度
88,面試,工作氛圍,-0.016666666666666663,招募資訊
89,徵才,工作氛圍,-0.0166666666666667,招募資訊
90,工作,工作氛圍,0.10354913455774745,招募資訊
91,離職,工作氛圍,-0.009569487529386902,招募資訊
92,新鮮人,工作氛圍,-0.009569487529386928,招募資訊
93,正向,工作氛圍,0.2282062226819873,情緒
94,負向,工作氛圍,0.06478498029005694,情緒
95,學習成長,同事互動,0.043739262782713784,成長價值
96,薪資,同事互動,0.022138883519978784,經濟報酬
97,福利,同事互動,-0.02763540683115036,經濟報酬
98,管理制度,同事互動,-0.06408623603365868,經濟報酬
99,工作氛圍,同事互動,-0.038575837490522964,人際價值
100,同事互動,同事互動,1.0,人際價值
101,主管風格,同事互動,0.006557474954819664,人際價值
102,工作地點,同事互動,0.11829923497093667,組織文化與制度
103,公司規模,同事互動,0.24806946917841619,組織文化與制度
104,工作環境,同事互動,0.07211547721935027,組織文化與制度
105,產業前景,同事互動,-0.022149059748073005,組織文化與制度
106,變化性,同事互動,-0.04744365458250515,組織文化與制度
107,面試,同事互動,-0.038575837490523006,招募資訊
108,徵才,同事互動,-0.03857583749052297,招募資訊
109,工作,同事互動,0.05692154786452153,招募資訊
110,離職,同事互動,-0.022149059748072974,招募資訊
111,新鮮人,同事互動,-0.022149059748072956,招募資訊
112,正向,同事互動,0.1421501131171179,情緒
113,負向,同事互動,0.030269895265969838,情緒
114,學習成長,主管風格,-0.02849686743028864,成長價值
115,薪資,主管風格,0.03939444850783028,經濟報酬
116,福利,主管風格,0.3688227706677789,經濟報酬
117,管理制度,主管風格,0.2881364502089976,經濟報酬
118,工作氛圍,主管風格,-0.025970569055743676,人際價值
119,同事互動,主管風格,0.006557474954819665,人際價值
120,主管風格,主管風格,1.0,人際價值
