,item1,item2,value,class
0,創新,創新,0.9999999999999998,成長價值
1,薪資,創新,-0.13987572123604708,經濟報酬
2,福利,創新,-0.19364916731037082,經濟報酬
3,管理制度,創新,-0.14907119849998596,經濟報酬
4,工作氛圍,創新,-0.10000000000000003,人際價值
5,同事互動,創新,-0.10000000000000003,人際價值
6,主管風格,創新,-0.13987572123604705,人際價值
7,公司規模,創新,-0.10000000000000003,組織文化與制度
8,工作環境,創新,-0.1,組織文化與制度
9,徵才,創新,-0.1,招募資訊
10,實習,創新,-0.10000000000000003,招募資訊
11,工作,創新,-0.10000000000000003,招募資訊
12,離職,創新,-0.14907119849998596,招募資訊
13,新鮮人,創新,-0.10000000000000003,招募資訊
14,招募人員,創新,-0.13987572123604705,招募資訊
15,正向,創新,-0.26311740579210874,情緒
16,負向,創新,-0.2205643866281423,情緒
17,創新,薪資,-0.13987572123604708,成長價值
18,薪資,薪資,1.0,經濟報酬
19,福利,薪資,0.0601929265428846,經濟報酬
20,管理制度,薪資,-0.20851441405707483,經濟報酬
21,工作氛圍,薪資,0.8858795678282978,人際價值
22,同事互動,薪資,-0.13987572123604716,人際價值
23,主管風格,薪資,-0.19565217391304351,人際價值
24,公司規模,薪資,-0.13987572123604716,組織文化與制度
25,工作環境,薪資,0.37300192329612547,組織文化與制度
26,徵才,薪資,0.37300192329612547,招募資訊
27,實習,薪資,-0.13987572123604716,招募資訊
28,工作,薪資,-0.1398757212360472,招募資訊
29,離職,薪資,0.9383148632568364,招募資訊
30,新鮮人,薪資,-0.13987572123604716,招募資訊
31,招募人員,薪資,-0.19565217391304351,招募資訊
32,正向,薪資,0.3066978075410739,情緒
33,負向,薪資,0.6341718324267314,情緒
34,創新,福利,-0.19364916731037082,成長價值
35,薪資,福利,0.0601929265428846,經濟報酬
36,福利,福利,1.0,經濟報酬
37,管理制度,福利,-0.2886751345948128,經濟報酬
38,工作氛圍,福利,-0.19364916731037085,人際價值
39,同事互動,福利,-0.19364916731037085,人際價值
40,主管風格,福利,0.060192926542884606,人際價值
41,公司規模,福利,-0.19364916731037085,組織文化與制度
42,工作環境,福利,0.5163977794943223,組織文化與制度
43,徵才,福利,0.5163977794943223,招募資訊
44,實習,福利,-0.19364916731037085,招募資訊
45,工作,福利,-0.19364916731037085,招募資訊
46,離職,福利,0.2405626121623441,招募資訊
47,新鮮人,福利,0.5163977794943224,招募資訊
48,招募人員,福利,0.060192926542884606,招募資訊
49,正向,福利,0.42460388780422337,情緒
50,負向,福利,0.09491579957524991,情緒
51,創新,管理制度,-0.14907119849998596,成長價值
52,薪資,管理制度,-0.20851441405707483,經濟報酬
53,福利,管理制度,-0.2886751345948128,經濟報酬
54,管理制度,管理制度,1.0,經濟報酬
55,工作氛圍,管理制度,-0.149071198499986,人際價值
56,同事互動,管理制度,0.6708203932499371,人際價值
57,主管風格,管理制度,0.5560384374855327,人際價值
58,公司規模,管理制度,0.6708203932499371,組織文化與制度
59,工作環境,管理制度,-0.14907119849998596,組織文化與制度
60,徵才,管理制度,-0.14907119849998596,招募資訊
61,實習,管理制度,0.6708203932499371,招募資訊
62,工作,管理制度,-0.149071198499986,招募資訊
63,離職,管理制度,-0.22222222222222224,招募資訊
64,新鮮人,管理制度,-0.149071198499986,招募資訊
65,招募人員,管理制度,0.5560384374855327,招募資訊
66,正向,管理制度,0.3268602252303066,情緒
67,負向,管理制度,-0.32879797461071464,情緒
68,創新,工作氛圍,-0.10000000000000002,成長價值
69,薪資,工作氛圍,0.8858795678282978,經濟報酬
70,福利,工作氛圍,-0.19364916731037085,經濟報酬
71,管理制度,工作氛圍,-0.149071198499986,經濟報酬
72,工作氛圍,工作氛圍,1.0,人際價值
73,同事互動,工作氛圍,-0.10000000000000005,人際價值
74,主管風格,工作氛圍,-0.13987572123604713,人際價值
75,公司規模,工作氛圍,-0.10000000000000005,組織文化與制度
76,工作環境,工作氛圍,-0.10000000000000002,組織文化與制度
77,徵才,工作氛圍,-0.10000000000000002,招募資訊
78,實習,工作氛圍,-0.10000000000000005,招募資訊
79,工作,工作氛圍,-0.10000000000000005,招募資訊
80,離職,工作氛圍,0.6708203932499374,招募資訊
81,新鮮人,工作氛圍,-0.10000000000000005,招募資訊
82,招募人員,工作氛圍,-0.13987572123604713,招募資訊
83,正向,工作氛圍,0.21926450482675724,情緒
84,負向,工作氛圍,0.5881716976750464,情緒
85,創新,同事互動,-0.10000000000000002,成長價值
86,薪資,同事互動,-0.13987572123604713,經濟報酬
87,福利,同事互動,-0.19364916731037085,經濟報酬
88,管理制度,同事互動,0.6708203932499371,經濟報酬
89,工作氛圍,同事互動,-0.10000000000000005,人際價值
90,同事互動,同事互動,1.0,人際價值
91,主管風格,同事互動,0.885879567828298,人際價值
92,公司規模,同事互動,1.0,組織文化與制度
93,工作環境,同事互動,-0.10000000000000002,組織文化與制度
94,徵才,同事互動,-0.10000000000000002,招募資訊
95,實習,同事互動,1.0,招募資訊
96,工作,同事互動,-0.10000000000000005,招募資訊
97,離職,同事互動,-0.14907119849998604,招募資訊
98,新鮮人,同事互動,-0.10000000000000005,招募資訊
99,招募人員,同事互動,0.885879567828298,招募資訊
100,正向,同事互動,0.7016464154456236,情緒
101,負向,同事互動,-0.22056438662814243,情緒
102,創新,主管風格,-0.13987572123604705,成長價值
103,薪資,主管風格,-0.1956521739130435,經濟報酬
104,福利,主管風格,0.06019292654288461,經濟報酬
105,管理制度,主管風格,0.5560384374855327,經濟報酬
106,工作氛圍,主管風格,-0.13987572123604713,人際價值
107,同事互動,主管風格,0.8858795678282979,人際價值
