,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,0.4234788387573939,經濟報酬
2,福利,學習成長,-0.15681251204679503,經濟報酬
3,管理制度,學習成長,-0.15681251204679508,經濟報酬
4,工作氛圍,學習成長,-0.20059523941139704,人際價值
5,主管風格,學習成長,-0.18632102821336116,人際價值
6,尺寸,學習成長,-0.10653312363426533,產品與服務
7,學經歷,學習成長,-0.10653312363426527,招募資訊
8,實習,學習成長,-0.13797661494548222,招募資訊
9,工作,學習成長,0.08746584032663103,招募資訊
10,正向,學習成長,0.09671280007665965,情緒
11,負向,學習成長,0.2251084110211082,情緒
12,學習成長,薪資,0.42347883875739384,成長價值
13,薪資,薪資,1.0,經濟報酬
14,福利,薪資,0.2842676218074808,經濟報酬
15,管理制度,薪資,-0.21320071635561047,經濟報酬
16,工作氛圍,薪資,0.5757575757575761,人際價值
17,主管風格,薪資,0.042220033092074886,人際價值
18,尺寸,薪資,-0.14484136487558036,產品與服務
19,學經歷,薪資,-0.14484136487558033,招募資訊
20,實習,薪資,-0.1875916198442168,招募資訊
21,工作,薪資,0.3567530340063381,招募資訊
22,正向,薪資,-0.17596831451161435,情緒
23,負向,薪資,-0.46062843495992106,情緒
24,學習成長,福利,-0.15681251204679503,成長價值
25,薪資,福利,0.2842676218074808,經濟報酬
26,福利,福利,0.9999999999999999,經濟報酬
27,管理制度,福利,-0.16666666666666666,經濟報酬
28,工作氛圍,福利,0.2842676218074808,人際價值
29,主管風格,福利,0.14852213144650117,人際價值
30,尺寸,福利,-0.11322770341445963,產品與服務
31,學經歷,福利,0.6793662204867573,招募資訊
32,實習,福利,0.6232502388407515,招募資訊
33,工作,福利,-0.27888667551135854,招募資訊
34,正向,福利,0.2229657804267582,情緒
35,負向,福利,-0.17400313053091127,情緒
36,學習成長,管理制度,-0.15681251204679508,成長價值
37,薪資,管理制度,-0.21320071635561047,經濟報酬
38,福利,管理制度,-0.16666666666666666,經濟報酬
39,管理制度,管理制度,0.9999999999999999,經濟報酬
40,工作氛圍,管理制度,-0.21320071635561047,人際價值
41,主管風格,管理制度,0.1485221314465011,人際價值
42,尺寸,管理制度,-0.11322770341445955,產品與服務
43,學經歷,管理制度,-0.11322770341445956,招募資訊
44,實習,管理制度,-0.14664711502135327,招募資訊
45,工作,管理制度,-0.27888667551135854,招募資訊
46,正向,管理制度,0.350747338799988,情緒
47,負向,管理制度,0.04350078263272783,情緒
48,學習成長,工作氛圍,-0.20059523941139706,成長價值
49,薪資,工作氛圍,0.5757575757575761,經濟報酬
50,福利,工作氛圍,0.2842676218074808,經濟報酬
51,管理制度,工作氛圍,-0.21320071635561047,經濟報酬
52,工作氛圍,工作氛圍,1.0,人際價值
53,主管風格,工作氛圍,0.04222003309207492,人際價值
54,尺寸,工作氛圍,-0.1448413648755804,產品與服務
55,學經歷,工作氛圍,-0.14484136487558033,招募資訊
56,實習,工作氛圍,-0.1875916198442168,招募資訊
57,工作,工作氛圍,0.3567530340063381,招募資訊
58,正向,工作氛圍,-0.00861772156375995,情緒
59,負向,工作氛圍,-0.5595553471660787,情緒
60,學習成長,主管風格,-0.18632102821336116,成長價值
61,薪資,主管風格,0.04222003309207489,經濟報酬
62,福利,主管風格,0.14852213144650117,經濟報酬
63,管理制度,主管風格,0.14852213144650112,經濟報酬
64,工作氛圍,主管風格,0.04222003309207493,人際價值
65,主管風格,主管風格,1.0,人際價值
66,尺寸,主管風格,0.8072073527955754,產品與服務
67,學經歷,主管風格,-0.1345345587992625,招募資訊
68,實習,主管風格,-0.17424273674761284,招募資訊
69,工作,主管風格,0.33136674783180553,招募資訊
70,正向,主管風格,-0.19869211769168812,情緒
71,負向,主管風格,-0.5642457288417874,情緒
72,學習成長,尺寸,-0.10653312363426534,成長價值
73,薪資,尺寸,-0.14484136487558036,經濟報酬
74,福利,尺寸,-0.11322770341445962,經濟報酬
75,管理制度,尺寸,-0.11322770341445955,經濟報酬
76,工作氛圍,尺寸,-0.1448413648755804,人際價值
77,主管風格,尺寸,0.8072073527955754,人際價值
78,尺寸,尺寸,1.0,產品與服務
79,學經歷,尺寸,-0.07692307692307696,招募資訊
80,實習,尺寸,-0.09962709627734363,招募資訊
81,工作,尺寸,0.5683985600588055,招募資訊
82,正向,尺寸,-0.19266610380902652,情緒
83,負向,尺寸,-0.5270278274231857,情緒
84,學習成長,學經歷,-0.10653312363426527,成長價值
85,薪資,學經歷,-0.14484136487558033,經濟報酬
86,福利,學經歷,0.6793662204867573,經濟報酬
