,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.0036563202226302842,經濟報酬
2,福利,學習成長,-0.03949674503809179,經濟報酬
3,管理制度,學習成長,0.0750455772263195,經濟報酬
4,工作氛圍,學習成長,-0.06044767522981368,人際價值
5,同事互動,學習成長,-0.04453933234174826,人際價值
6,主管風格,學習成長,-0.060447675229813584,人際價值
7,工作環境,學習成長,-0.051817744397510385,組織文化與制度
8,變化性,學習成長,-0.020639720264100728,組織文化與制度
9,面試,學習成長,-0.029330324103338582,招募資訊
10,學經歷,學習成長,-0.020639720264100766,招募資訊
11,實習,學習成長,0.2889560836974105,招募資訊
12,工作,學習成長,0.06544657455157248,招募資訊
13,離職,學習成長,-0.036097823573122856,招募資訊
14,正向,學習成長,0.1764050191864446,情緒
15,負向,學習成長,-0.07820548279910614,情緒
16,學習成長,薪資,-0.0036563202226302842,成長價值
17,薪資,薪資,0.9999999999999998,經濟報酬
18,福利,薪資,0.6323627913953745,經濟報酬
19,管理制度,薪資,0.11767439517398808,經濟報酬
20,工作氛圍,薪資,0.051133643554914475,人際價值
21,同事互動,薪資,0.1984909607271209,人際價值
22,主管風格,薪資,-0.036167699099817485,人際價值
23,工作環境,薪資,-0.06842294432824865,組織文化與制度
24,變化性,薪資,0.1515992612462171,組織文化與制度
25,面試,薪資,-0.038729341784098245,招募資訊
26,學經歷,薪資,0.6881584443086706,招募資訊
27,實習,薪資,0.1515992612462171,招募資訊
28,工作,薪資,0.2697756847702604,招募資訊
29,離職,薪資,-0.047665513067631664,招募資訊
30,正向,薪資,0.22540448454631687,情緒
31,負向,薪資,0.4071995207579408,情緒
32,學習成長,福利,-0.039496745038091786,成長價值
33,薪資,福利,0.6323627913953745,經濟報酬
34,福利,福利,1.0,經濟報酬
35,管理制度,福利,0.026761191584640645,經濟報酬
36,工作氛圍,福利,-0.05388897911973969,人際價值
37,同事互動,福利,0.23824034338258368,人際價值
38,主管風格,福利,0.04041673433980481,人際價值
39,工作環境,福利,0.11548853348177204,組織文化與制度
40,變化性,福利,-0.018400268498676868,組織文化與制度
41,面試,福利,-0.026147924087582503,招募資訊
42,學經歷,福利,0.7544110084457535,招募資訊
43,實習,福利,-0.018400268498676917,招募資訊
44,工作,福利,0.04913304224378084,招募資訊
45,離職,福利,-0.03218113605534709,招募資訊
46,正向,福利,0.2684345991237212,情緒
47,負向,福利,0.4246583543842108,情緒
48,學習成長,管理制度,0.07504557722631951,成長價值
49,薪資,管理制度,0.11767439517398808,經濟報酬
50,福利,管理制度,0.026761191584640645,經濟報酬
51,管理制度,管理制度,0.9999999999999999,經濟報酬
52,工作氛圍,管理制度,0.07679359793340575,人際價值
53,同事互動,管理制度,0.10059272856535226,人際價值
54,主管風格,管理制度,-0.04266310996300327,人際價值
55,工作環境,管理制度,0.11703112783668088,組織文化與制度
56,變化性,管理制度,0.2097679850738178,組織文化與制度
57,面試,管理制度,0.29809333217663286,招募資訊
58,學經歷,管理制度,-0.03496133084563636,招募資訊
59,實習,管理制度,-0.03496133084563636,招募資訊
60,工作,管理制度,0.13419777184773915,招募資訊
61,離職,管理制度,-0.06114559386458562,招募資訊
62,正向,管理制度,0.2335526219598923,情緒
63,負向,管理制度,0.1746210791835083,情緒
64,學習成長,工作氛圍,-0.06044767522981368,成長價值
65,薪資,工作氛圍,0.05113364355491448,經濟報酬
66,福利,工作氛圍,-0.053888979119739694,經濟報酬
67,管理制度,工作氛圍,0.07679359793340575,經濟報酬
68,工作氛圍,工作氛圍,1.0,人際價值
69,同事互動,工作氛圍,0.07216323113600802,人際價值
70,主管風格,工作氛圍,0.27835051546391737,人際價值
71,工作環境,工作氛圍,0.08395581319478193,組織文化與制度
72,變化性,工作氛圍,-0.02816063585180758,組織文化與制度
73,面試,工作氛圍,0.22260019263510342,招募資訊
