,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,0.015113535401037213,經濟報酬
2,福利,學習成長,-0.06452768280074425,經濟報酬
3,管理制度,學習成長,0.3949638047842773,經濟報酬
4,工作氛圍,學習成長,0.0659358663958341,人際價值
5,同事互動,學習成長,-0.07494048707249355,人際價值
6,主管風格,學習成長,0.0969562368566689,人際價值
7,工作地點,學習成長,-0.03821937097476447,組織文化與制度
8,公司規模,學習成長,0.20764128317575023,組織文化與制度
9,工作環境,學習成長,-0.06950196480436088,組織文化與制度
10,產業前景,學習成長,-0.03300258805442391,組織文化與制度
11,變化性,學習成長,0.04006532358722986,組織文化與制度
12,面試,學習成長,-0.026868507379621723,招募資訊
13,學經歷,學習成長,-0.042856049604515646,招募資訊
14,徵才,學習成長,0.0710895924419155,招募資訊
15,實習,學習成長,0.051808636709891165,招募資訊
16,工作,學習成長,-0.01813433341221939,招募資訊
17,離職,學習成長,-0.033002588054423895,招募資訊
18,新鮮人,學習成長,0.04721203568896748,招募資訊
19,畢業,學習成長,-0.01894423055076901,招募資訊
20,招募人員,學習成長,-0.018944230550769024,招募資訊
21,正向,學習成長,0.0996099861785852,情緒
22,負向,學習成長,0.0037253496501162505,情緒
23,學習成長,薪資,0.015113535401037213,成長價值
24,薪資,薪資,1.0,經濟報酬
25,福利,薪資,0.36190983020825485,經濟報酬
26,管理制度,薪資,0.10485930278321817,經濟報酬
27,工作氛圍,薪資,0.001091160712982052,人際價值
28,同事互動,薪資,0.024324866365833853,人際價值
29,主管風格,薪資,0.2538178401324445,人際價值
30,工作地點,薪資,0.009250099696056295,組織文化與制度
31,公司規模,薪資,0.09427222347918515,組織文化與制度
32,工作環境,薪資,-0.04089888513532454,組織文化與制度
33,產業前景,薪資,-0.0437833339171112,組織文化與制度
34,變化性,薪資,0.12634570375395493,組織文化與制度
35,面試,薪資,0.13294797687861268,招募資訊
36,學經歷,薪資,0.373402752770981,招募資訊
37,徵才,薪資,-0.03564547206165703,招募資訊
38,實習,薪資,-0.048046113830027895,招募資訊
39,工作,薪資,0.050592958194985174,招募資訊
40,離職,薪資,0.1633000021773333,招募資訊
41,新鮮人,薪資,-0.04378333391711113,招募資訊
42,畢業,薪資,-0.02513262204283018,招募資訊
43,招募人員,薪資,0.21260839728123915,招募資訊
44,正向,薪資,0.2617280907642676,情緒
45,負向,薪資,0.10813734719110514,情緒
46,學習成長,福利,-0.06452768280074425,成長價值
47,薪資,福利,0.3619098302082549,經濟報酬
48,福利,福利,1.0,經濟報酬
49,管理制度,福利,0.04880520582669447,經濟報酬
50,工作氛圍,福利,0.01986095562265584,人際價值
51,同事互動,福利,0.11025931986444536,人際價值
52,主管風格,福利,-0.06304862065241756,人際價值
53,工作地點,福利,0.051445574098050395,組織文化與制度
54,公司規模,福利,-0.03410286604468274,組織文化與制度
55,工作環境,福利,0.04491473172084189,組織文化與制度
56,產業前景,福利,-0.03410286604468275,組織文化與制度
57,變化性,福利,0.0076127212034877555,組織文化與制度
58,面試,福利,-0.02776428037936812,招募資訊
59,學經歷,福利,0.03729249141455009,招募資訊
60,徵才,福利,-0.0277642803793681,招募資訊
61,實習,福利,-0.037423147972581984,招募資訊
62,工作,福利,0.008744408925286797,招募資訊
63,離職,福利,-0.03410286604468275,招募資訊
64,新鮮人,福利,-0.03410286604468276,招募資訊
65,畢業,福利,-0.019575814955089896,招募資訊
66,招募人員,福利,-0.019575814955089896,招募資訊
67,正向,福利,0.4243422054066767,情緒
68,負向,福利,-0.00047439892540500486,情緒
69,學習成長,管理制度,0.39496380478427734,成長價值
