,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.04850712500726662,經濟報酬
2,福利,學習成長,-0.07725027141102858,經濟報酬
3,管理制度,學習成長,-0.08553571990445118,經濟報酬
4,工作氛圍,學習成長,-0.03921568627450979,人際價值
5,同事互動,學習成長,-0.07338831872481184,人際價值
6,主管風格,學習成長,-0.06084221967950339,人際價值
7,工作環境,學習成長,-0.060842219679503394,組織文化與制度
8,工學院,學習成長,-0.027461751819054483,科系專業
9,面試,學習成長,-0.027461751819054508,招募資訊
10,徵才,學習成長,-0.02746175181905452,招募資訊
11,實習,學習成長,-0.027461751819054508,招募資訊
12,工作,學習成長,-0.07725027141102861,招募資訊
13,正向,學習成長,-0.03412323807787144,情緒
14,負向,學習成長,-0.014750134868747919,情緒
15,學習成長,薪資,-0.048507125007266616,成長價值
16,薪資,薪資,1.0,經濟報酬
17,福利,薪資,0.38676339191429654,經濟報酬
18,管理制度,薪資,-0.10580184237878976,經濟報酬
19,工作氛圍,薪資,-0.04850712500726661,人際價值
20,同事互動,薪資,0.3101524845336156,人際價值
21,主管風格,薪資,-0.0752576694706878,人際價值
22,工作環境,薪資,0.42332439077261874,組織文化與制度
23,工學院,薪資,-0.03396831102433787,科系專業
24,面試,薪資,-0.03396831102433789,招募資訊
25,徵才,薪資,-0.033968311024337894,招募資訊
26,實習,薪資,-0.03396831102433789,招募資訊
27,工作,薪資,-0.09555330859059095,招募資訊
28,正向,薪資,0.16492429911304063,情緒
29,負向,薪資,0.017569171838386605,情緒
30,學習成長,福利,-0.07725027141102858,成長價值
31,薪資,福利,0.38676339191429654,經濟報酬
32,福利,福利,0.9999999999999999,經濟報酬
33,管理制度,福利,0.0866547093794876,經濟報酬
34,工作氛圍,福利,0.2151971846450081,人際價值
35,同事互動,福利,0.1290770734528705,人際價值
36,主管風格,福利,-0.006420642245304765,人際價值
37,工作環境,福利,0.22044205042212978,組織文化與制度
38,工學院,福利,-0.05409640842682881,科系專業
39,面試,福利,0.35549068394773226,招募資訊
40,徵才,福利,-0.05409640842682882,招募資訊
41,實習,福利,0.35549068394773226,招募資訊
42,工作,福利,0.012422360248447204,招募資訊
43,正向,福利,0.3286249988996931,情緒
44,負向,福利,-0.0046120673031716216,情緒
45,學習成長,管理制度,-0.08553571990445118,成長價值
46,薪資,管理制度,-0.10580184237878976,經濟報酬
47,福利,管理制度,0.08665470937948759,經濟報酬
48,管理制度,管理制度,0.9999999999999999,經濟報酬
49,工作氛圍,管理制度,0.1411339378423444,人際價值
50,同事互動,管理制度,-0.0540242082691721,人際價值
51,主管風格,管理制度,0.04312966711696919,人際價值
52,工作環境,管理制度,-0.044788500467621783,組織文化與制度
53,工學院,管理制度,0.2575635420357336,科系專業
54,面試,管理制度,-0.05989849814784503,招募資訊
55,徵才,管理制度,-0.059898498147845085,招募資訊
56,實習,管理制度,-0.05989849814784503,招募資訊
57,工作,管理制度,0.34180468699686783,招募資訊
58,正向,管理制度,0.05706167460872652,情緒
