,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,創新,學習成長,-0.020251325872393703,成長價值
2,薪資,學習成長,-0.075061280381106,經濟報酬
3,福利,學習成長,-0.07011500502024845,經濟報酬
4,管理制度,學習成長,0.2774745820049294,經濟報酬
5,工作氛圍,學習成長,0.02279211529192759,人際價值
6,同事互動,學習成長,-0.035451483867683334,人際價值
7,主管風格,學習成長,0.11413324409875038,人際價值
8,工作地點,學習成長,-0.02025132587239366,組織文化與制度
9,公司規模,學習成長,-0.027285132425642004,組織文化與制度
10,工作環境,學習成長,-0.046267876830806916,組織文化與制度
11,產業前景,學習成長,-0.020251325872393658,組織文化與制度
12,變化性,學習成長,-0.027285132425642004,組織文化與制度
13,馬力,學習成長,-0.02025132587239368,產品與服務
14,保養,學習成長,-0.020251325872393675,產品與服務
15,面試,學習成長,-0.028791635517399543,招募資訊
16,工作,學習成長,-0.010813051877865987,招募資訊
17,離職,學習成長,-0.02879163551739963,招募資訊
18,新鮮人,學習成長,-0.020251325872393724,招募資訊
19,招募人員,學習成長,-0.027285132425642004,招募資訊
20,正向,學習成長,0.2292341821279426,情緒
21,負向,學習成長,-0.021672209743772625,情緒
22,學習成長,創新,-0.020251325872393703,成長價值
23,創新,創新,0.9999999999999999,成長價值
24,薪資,創新,-0.03901565486785366,經濟報酬
25,福利,創新,-0.036444659923712375,經濟報酬
26,管理制度,創新,-0.04415107856883484,經濟報酬
27,工作氛圍,創新,-0.03554093266554549,人際價值
28,同事互動,創新,-0.01842711517991868,人際價值
29,主管風格,創新,-0.031074810201465384,人際價值
30,工作地點,創新,-0.010526315789473715,組織文化與制度
31,公司規模,創新,-0.014182376111059372,組織文化與制度
32,工作環境,創新,-0.02404930351219408,組織文化與制度
33,產業前景,創新,-0.01052631578947371,組織文化與制度
34,變化性,創新,-0.014182376111059389,組織文化與制度
35,馬力,創新,-0.010526315789473726,產品與服務
36,保養,創新,-0.010526315789473726,產品與服務
37,面試,創新,-0.01496543236039252,招募資訊
38,工作,創新,-0.035596194033583994,招募資訊
39,離職,創新,-0.014965432360392493,招募資訊
40,新鮮人,創新,-0.0105263157894737,招募資訊
41,招募人員,創新,-0.014182376111059372,招募資訊
42,正向,創新,-0.034563468453419184,情緒
43,負向,創新,0.04459578705875517,情緒
44,學習成長,薪資,-0.075061280381106,成長價值
45,創新,薪資,-0.03901565486785365,成長價值
46,薪資,薪資,1.0,經濟報酬
47,福利,薪資,0.4295045624081505,經濟報酬
48,管理制度,薪資,0.10566817782178901,經濟報酬
49,工作氛圍,薪資,-0.07151166389776588,人際價值
50,同事互動,薪資,0.05659131818635875,人際價值
51,主管風格,薪資,0.20073947385989058,人際價值
52,工作地點,薪資,-0.03901565486785355,組織文化與制度
53,公司規模,薪資,-0.052566795697742495,組織文化與制度
54,工作環境,薪資,-0.0891384359361827,組織文化與制度
55,產業前景,薪資,-0.03901565486785357,組織文化與制度
56,變化性,薪資,-0.05256679569774264,組織文化與制度
57,馬力,薪資,0.3890418156823111,產品與服務
58,保養,薪資,-0.03901565486785352,產品與服務
59,面試,薪資,0.1727468862944255,招募資訊
60,工作,薪資,0.1347144556392761,招募資訊
61,離職,薪資,0.09667486297210968,招募資訊
62,新鮮人,薪資,-0.03901565486785369,招募資訊
63,招募人員,薪資,0.4280439078244742,招募資訊
64,正向,薪資,0.3671284276691303,情緒
65,負向,薪資,-0.2731094101549983,情緒
66,學習成長,福利,-0.07011500502024845,成長價值
67,創新,福利,-0.036444659923712375,成長價值
68,薪資,福利,0.4295045624081505,經濟報酬
69,福利,福利,0.9999999999999998,經濟報酬
70,管理制度,福利,0.08007044003205113,經濟報酬
71,工作氛圍,福利,-0.07617463559017619,人際價值
72,同事互動,福利,-0.06379914488018543,人際價值
73,主管風格,福利,0.0712599384673206,人際價值
74,工作地點,福利,0.13015949972754468,組織文化與制度
75,公司規模,福利,-0.04910282805638551,組織文化與制度
76,工作環境,福利,-0.08326452535088538,組織文化與制度
77,產業前景,福利,-0.03644465992371235,組織文化與制度
78,變化性,福利,0.10054388602021795,組織文化與制度
79,馬力,福利,0.6299719786813166,產品與服務
80,保養,福利,-0.03644465992371242,產品與服務
81,面試,福利,-0.05181395883365333,招募資訊
82,工作,福利,-0.12324266268258259,招募資訊
83,離職,福利,0.06661794707184003,招募資訊
84,新鮮人,福利,-0.03644465992371238,招募資訊
85,招募人員,福利,0.2501906000968214,招募資訊
86,正向,福利,0.38071587102332993,情緒
87,負向,福利,-0.012667798179253299,情緒
88,學習成長,管理制度,0.2774745820049294,成長價值
89,創新,管理制度,-0.04415107856883484,成長價值
90,薪資,管理制度,0.10566817782178903,經濟報酬
91,福利,管理制度,0.08007044003205113,經濟報酬
92,管理制度,管理制度,1.0,經濟報酬
93,工作氛圍,管理制度,-0.14907119849998599,人際價值
94,同事互動,管理制度,0.08759512475469845,人際價值
95,主管風格,管理制度,0.021328152011684212,人際價值
96,工作地點,管理制度,-0.044151078568834996,組織文化與制度
97,公司規模,管理制度,0.06741733541233469,組織文化與制度
98,工作環境,管理制度,0.028243951524544144,組織文化與制度
99,產業前景,管理制度,-0.04415107856883497,組織文化與制度
100,變化性,管理制度,-0.05948588418735414,組織文化與制度
101,馬力,管理制度,-0.044151078568835045,產品與服務
102,保養,管理制度,-0.044151078568835045,產品與服務
103,面試,管理制度,0.13809465581169722,招募資訊
104,工作,管理制度,0.20273773637914574,招募資訊
105,離職,管理制度,0.3389596097196197,招募資訊
106,新鮮人,管理制度,-0.0441510785688348,招募資訊
107,招募人員,管理制度,0.19432055501202353,招募資訊
108,正向,管理制度,0.23448675157707985,情緒
109,負向,管理制度,-0.35989192875848647,情緒
110,學習成長,工作氛圍,0.02279211529192759,成長價值
111,創新,工作氛圍,-0.03554093266554549,成長價值
112,薪資,工作氛圍,-0.07151166389776588,經濟報酬
113,福利,工作氛圍,-0.07617463559017619,經濟報酬
114,管理制度,工作氛圍,-0.14907119849998599,經濟報酬
115,工作氛圍,工作氛圍,1.0,人際價值
116,同事互動,工作氛圍,0.10369516947304253,人際價值
117,主管風格,工作氛圍,0.12399711410469479,人際價值
118,工作地點,工作氛圍,0.2487865286588197,組織文化與制度
119,公司規模,工作氛圍,-0.04788521306805733,組織文化與制度
120,工作環境,工作氛圍,-0.08119979429411514,組織文化與制度
121,產業前景,工作氛圍,-0.035540932665545415,組織文化與制度
122,變化性,工作氛圍,-0.04788521306805733,組織文化與制度
123,馬力,工作氛圍,-0.03554093266554539,產品與服務
124,保養,工作氛圍,0.24878652865881984,產品與服務
125,面試,工作氛圍,-0.05052911526399106,招募資訊
126,工作,工作氛圍,0.03162804838243265,招募資訊
127,離職,工作氛圍,-0.05052911526399121,招募資訊
128,新鮮人,工作氛圍,-0.035540932665545526,招募資訊
129,招募人員,工作氛圍,-0.04788521306805733,招募資訊
130,正向,工作氛圍,0.09478873670958683,情緒
131,負向,工作氛圍,-0.041718309694942814,情緒
132,學習成長,同事互動,-0.035451483867683334,成長價值
133,創新,同事互動,-0.018427115179918685,成長價值
134,薪資,同事互動,0.05659131818635875,經濟報酬
135,福利,同事互動,-0.06379914488018543,經濟報酬
136,管理制度,同事互動,0.08759512475469845,經濟報酬
137,工作氛圍,同事互動,0.10369516947304254,人際價值
138,同事互動,同事互動,0.9999999999999999,人際價值
139,主管風格,同事互動,-0.054398815143768736,人際價值
140,工作地點,同事互動,-0.018427115179918616,組織文化與制度
141,公司規模,同事互動,-0.024827326421724773,組織文化與制度
142,工作環境,同事互動,-0.04210013215252233,組織文化與制度
143,產業前景,同事互動,-0.01842711517991863,組織文化與制度
144,變化性,同事互動,-0.024827326421724773,組織文化與制度
145,馬力,同事互動,-0.018427115179918598,產品與服務
146,保養,同事互動,-0.018427115179918598,產品與服務
147,面試,同事互動,-0.02619812585311226,招募資訊
148,工作,同事互動,0.2525350394580823,招募資訊
149,離職,同事互動,0.3929718877966832,招募資訊
150,新鮮人,同事互動,-0.018427115179918702,招募資訊
151,招募人員,同事互動,-0.024827326421724773,招募資訊
152,正向,同事互動,0.15682161217198473,情緒
153,負向,同事互動,-0.43837625196046115,情緒
154,學習成長,主管風格,0.11413324409875038,成長價值
155,創新,主管風格,-0.03107481020146538,成長價值
156,薪資,主管風格,0.2007394738598906,經濟報酬
157,福利,主管風格,0.0712599384673206,經濟報酬
158,管理制度,主管風格,0.021328152011684212,經濟報酬
159,工作氛圍,主管風格,0.12399711410469479,人際價值
160,同事互動,主管風格,-0.054398815143768736,人際價值
161,主管風格,主管風格,0.9999999999999999,人際價值
162,工作地點,主管風格,-0.031074810201465332,組織文化與制度
163,公司規模,主管風格,-0.041867891356411835,組織文化與制度
164,工作環境,主管風格,0.05292437775550872,組織文化與制度
165,產業前景,主管風格,-0.031074810201465335,組織文化與制度
166,變化性,主管風格,-0.041867891356411883,組織文化與制度
167,馬力,主管風格,0.240123533374959,產品與服務
168,保養,主管風格,-0.031074810201465304,產品與服務
169,面試,主管風格,0.14860396501726916,招募資訊
170,工作,主管風格,0.1845250933046153,招募資訊
171,離職,主管風格,-0.04417955716729604,招募資訊
172,新鮮人,主管風格,-0.0310748102014654,招募資訊
173,招募人員,主管風格,0.3235246150268182,招募資訊
174,正向,主管風格,0.5187621267743078,情緒
175,負向,主管風格,-0.18246748859019962,情緒
176,學習成長,工作地點,-0.02025132587239366,成長價值
177,創新,工作地點,-0.010526315789473713,成長價值
178,薪資,工作地點,-0.03901565486785355,經濟報酬
179,福利,工作地點,0.1301594997275447,經濟報酬
180,管理制度,工作地點,-0.044151078568834996,經濟報酬
181,工作氛圍,工作地點,0.2487865286588197,人際價值
182,同事互動,工作地點,-0.018427115179918612,人際價值
183,主管風格,工作地點,-0.031074810201465332,人際價值
184,工作地點,工作地點,0.9999999999999999,組織文化與制度
185,公司規模,工作地點,-0.014182376111059363,組織文化與制度
186,工作環境,工作地點,-0.02404930351219406,組織文化與制度
187,產業前景,工作地點,-0.010526315789473729,組織文化與制度
188,變化性,工作地點,-0.014182376111059398,組織文化與制度
189,馬力,工作地點,-0.010526315789473741,產品與服務
190,保養,工作地點,-0.010526315789473741,產品與服務
191,面試,工作地點,-0.014965432360392552,招募資訊
192,工作,工作地點,-0.035596194033583994,招募資訊
193,離職,工作地點,-0.014965432360392533,招募資訊
194,新鮮人,工作地點,-0.010526315789473705,招募資訊
195,招募人員,工作地點,-0.014182376111059344,招募資訊
196,正向,工作地點,0.14962454955794444,情緒
197,負向,工作地點,0.01055570005610904,情緒
198,學習成長,公司規模,-0.027285132425642008,成長價值
199,創新,公司規模,-0.014182376111059372,成長價值
200,薪資,公司規模,-0.0525667956977425,經濟報酬
201,福利,公司規模,-0.049102828056385515,經濟報酬
202,管理制度,公司規模,0.06741733541233469,經濟報酬
203,工作氛圍,公司規模,-0.04788521306805733,人際價值
204,同事互動,公司規模,-0.024827326421724777,人際價值
205,主管風格,公司規模,-0.041867891356411835,人際價值
206,工作地點,公司規模,-0.014182376111059361,組織文化與制度
207,公司規模,公司規模,1.0,組織文化與制度
208,工作環境,公司規模,-0.032402245423801074,組織文化與制度
209,產業前景,公司規模,-0.014182376111059365,組織文化與制度
210,變化性,公司規模,-0.01910828025477707,組織文化與制度
211,馬力,公司規模,-0.014182376111059344,產品與服務
212,保養,公司規模,-0.014182376111059347,產品與服務
213,面試,公司規模,-0.020163312087971987,招募資訊
214,工作,公司規模,0.27513704348906276,招募資訊
215,離職,公司規模,-0.020163312087972052,招募資訊
216,新鮮人,公司規模,-0.014182376111059386,招募資訊
217,招募人員,公司規模,-0.01910828025477707,招募資訊
218,正向,公司規模,0.2350461160216666,情緒
219,負向,公司規模,0.011870013208091204,情緒
220,學習成長,工作環境,-0.046267876830806916,成長價值
221,創新,工作環境,-0.024049303512194076,成長價值
