,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.05587188893096695,經濟報酬
2,福利,學習成長,-0.06755205840825663,經濟報酬
3,管理制度,學習成長,-0.10642937034003348,經濟報酬
4,工作氛圍,學習成長,0.8926170394411512,人際價值
5,同事互動,學習成長,0.36502208829380417,人際價值
6,主管風格,學習成長,0.3250898182283707,人際價值
7,公司規模,學習成長,-0.04882299663520687,組織文化與制度
8,工作環境,學習成長,-0.03944637622786628,組織文化與制度
9,產業前景,學習成長,-0.039446376227866266,組織文化與制度
10,變化性,學習成長,-0.027606712560035617,組織文化與制度
11,工學院,學習成長,-0.027606712560035628,科系專業
12,學經歷,學習成長,-0.02760671256003562,招募資訊
13,工作,學習成長,-0.045868396152992194,招募資訊
14,離職,學習成長,-0.027606712560035603,招募資訊
15,新鮮人,學習成長,-0.027606712560035628,招募資訊
16,正向,學習成長,-0.06380603697577188,情緒
17,負向,學習成長,0.06294311005396527,情緒
18,學習成長,薪資,-0.05587188893096696,成長價值
19,薪資,薪資,1.0,經濟報酬
20,福利,薪資,0.6208359972278787,經濟報酬
21,管理制度,薪資,0.28307847901829036,經濟報酬
22,工作氛圍,薪資,-0.041303093541636575,人際價值
23,同事互動,薪資,-0.09637388493048538,人際價值
24,主管風格,薪資,0.48637501269012745,人際價值
25,公司規模,薪資,0.46803104179764576,組織文化與制度
26,工作環境,薪資,0.10491859671528449,組織文化與制度
27,產業前景,薪資,-0.05901671065234753,組織文化與制度
28,變化性,薪資,-0.041303093541636596,組織文化與制度
29,工學院,薪資,-0.04130309354163663,科系專業
30,學經歷,薪資,0.18815853724523346,招募資訊
31,工作,薪資,0.312624341169319,招募資訊
32,離職,薪資,-0.041303093541636575,招募資訊
33,新鮮人,薪資,0.18815853724523357,招募資訊
34,正向,薪資,0.3245701496402763,情緒
35,負向,薪資,0.1666098099657623,情緒
36,學習成長,福利,-0.06755205840825663,成長價值
37,薪資,福利,0.6208359972278789,經濟報酬
38,福利,福利,0.9999999999999999,經濟報酬
39,管理制度,福利,0.32315764877696235,經濟報酬
40,工作氛圍,福利,-0.04993761694389224,人際價值
41,同事互動,福利,0.21639634009019976,人際價值
42,主管風格,福利,0.48560476232070043,人際價值
43,公司規模,福利,0.5425102745518978,組織文化與制度
44,工作環境,福利,0.1834825207246492,組織文化與制度
45,產業前景,福利,-0.07135431361514136,組織文化與制度
46,變化性,福利,0.30675964694105257,組織文化與制度
47,工學院,福利,-0.04993761694389228,科系專業
48,學經歷,福利,-0.04993761694389227,招募資訊
49,工作,福利,0.5096794114491284,招募資訊
50,離職,福利,-0.04993761694389224,招募資訊
51,新鮮人,福利,-0.04993761694389228,招募資訊
52,正向,福利,0.38582708242646313,情緒
53,負向,福利,0.25148725653948256,情緒
54,學習成長,管理制度,-0.10642937034003348,成長價值
55,薪資,管理制度,0.28307847901829036,經濟報酬
56,福利,管理制度,0.3231576487769623,經濟報酬
57,管理制度,管理制度,1.0,經濟報酬
58,工作氛圍,管理制度,-0.07867753037960162,人際價值
59,同事互動,管理制度,0.1606332911916867,人際價值
60,主管風格,管理制度,0.114398564029276,人際價值
61,公司規模,管理制度,0.29567825884200605,組織文化與制度
62,工作環境,管理制度,-0.11241988546386857,組織文化與制度
63,產業前景,管理制度,-0.1124198854638685,組織文化與制度
64,變化性,管理制度,0.16718975205665348,組織文化與制度
65,工學院,管理制度,0.4130570344929086,科系專業
66,學經歷,管理制度,-0.07867753037960162,招募資訊
67,工作,管理制度,0.2777848236503402,招募資訊
68,離職,管理制度,0.16718975205665346,招募資訊
69,新鮮人,管理制度,-0.07867753037960162,招募資訊
70,正向,管理制度,0.6409983601199466,情緒
71,負向,管理制度,0.11901452707083518,情緒
72,學習成長,工作氛圍,0.8926170394411512,成長價值
73,薪資,工作氛圍,-0.041303093541636575,經濟報酬
74,福利,工作氛圍,-0.04993761694389224,經濟報酬
75,管理制度,工作氛圍,-0.07867753037960164,經濟報酬
76,工作氛圍,工作氛圍,0.9999999999999998,人際價值
77,同事互動,工作氛圍,0.4285714285714286,人際價值
78,主管風格,工作氛圍,0.3868589716493314,人際價值
79,公司規模,工作氛圍,-0.0360922251885651,組織文化與制度
80,工作環境,工作氛圍,-0.029160592175990215,組織文化與制度
81,產業前景,工作氛圍,-0.029160592175990215,組織文化與制度
82,變化性,工作氛圍,-0.020408163265306138,組織文化與制度
83,工學院,工作氛圍,-0.02040816326530613,科系專業
84,學經歷,工作氛圍,-0.020408163265306135,招募資訊
85,工作,工作氛圍,-0.033908047376967225,招募資訊
86,離職,工作氛圍,-0.02040816326530612,招募資訊
87,新鮮人,工作氛圍,-0.020408163265306138,招募資訊
88,正向,工作氛圍,-0.028301030419654545,情緒
89,負向,工作氛圍,0.010737800400040411,情緒
90,學習成長,同事互動,0.36502208829380417,成長價值
91,薪資,同事互動,-0.09637388493048538,經濟報酬
92,福利,同事互動,0.21639634009019978,經濟報酬
93,管理制度,同事互動,0.16063329119168668,經濟報酬
94,工作氛圍,同事互動,0.42857142857142855,人際價值
95,同事互動,同事互動,1.0,人際價值
96,主管風格,同事互動,0.28721347895177646,人際價值
97,公司規模,同事互動,0.19650211491552108,組織文化與制度
98,工作環境,同事互動,-0.06804138174397718,組織文化與制度
99,產業前景,同事互動,-0.06804138174397714,組織文化與制度
100,變化性,同事互動,0.4285714285714287,組織文化與制度
101,工學院,同事互動,-0.04761904761904764,科系專業
102,學經歷,同事互動,-0.04761904761904763,招募資訊
103,工作,同事互動,0.3164751088516942,招募資訊
104,離職,同事互動,0.42857142857142855,招募資訊
105,新鮮人,同事互動,-0.04761904761904764,招募資訊
106,正向,同事互動,0.33017868822930313,情緒
107,負向,同事互動,0.42593274920160307,情緒
108,學習成長,主管風格,0.3250898182283707,成長價值
109,薪資,主管風格,0.48637501269012745,經濟報酬
110,福利,主管風格,0.48560476232070043,經濟報酬
111,管理制度,主管風格,0.114398564029276,經濟報酬
112,工作氛圍,主管風格,0.3868589716493314,人際價值
113,同事互動,主管風格,0.28721347895177646,人際價值
114,主管風格,主管風格,1.0,人際價值
115,公司規模,主管風格,0.4250131159402673,組織文化與制度
116,工作環境,主管風格,0.2386964811240629,組織文化與制度
117,產業前景,主管風格,-0.07537783614444092,組織文化與制度
118,變化性,主管風格,0.3868589716493314,組織文化與制度
119,工學院,主管風格,-0.052753496133999794,科系專業
120,學經歷,主管風格,0.3868589716493315,招募資訊
121,工作,主管風格,0.09495377045310402,招募資訊
122,離職,主管風格,-0.05275349613399975,招募資訊
123,新鮮人,主管風格,-0.052753496133999794,招募資訊
124,正向,主管風格,0.21946780992822393,情緒
125,負向,主管風格,0.16653821449601072,情緒
126,學習成長,公司規模,-0.048822996635206874,成長價值
127,薪資,公司規模,0.46803104179764576,經濟報酬
128,福利,公司規模,0.5425102745518978,經濟報酬
129,管理制度,公司規模,0.295678258842006,經濟報酬
130,工作氛圍,公司規模,-0.0360922251885651,人際價值
131,同事互動,公司規模,0.19650211491552108,人際價值
132,主管風格,公司規模,0.42501311594026736,人際價值
133,公司規模,公司規模,1.0,組織文化與制度
134,工作環境,公司規模,-0.051571062312939675,組織文化與制度
135,產業前景,公司規模,0.3781877902948906,組織文化與制度
136,變化性,公司規模,0.5654448612875197,組織文化與制度
137,工學院,公司規模,-0.0360922251885651,科系專業
138,學經歷,公司規模,-0.03609222518856509,招募資訊
139,工作,公司規模,0.18989558613354782,招募資訊
140,離職,公司規模,-0.0360922251885651,招募資訊
141,新鮮人,公司規模,-0.0360922251885651,招募資訊
142,正向,公司規模,0.2502545549287777,情緒
143,負向,公司規模,0.27219006297117826,情緒
144,學習成長,工作環境,-0.03944637622786628,成長價值
145,薪資,工作環境,0.1049185967152845,經濟報酬
146,福利,工作環境,0.18348252072464918,經濟報酬
147,管理制度,工作環境,-0.11241988546386857,經濟報酬
148,工作氛圍,工作環境,-0.02916059217599021,人際價值
149,同事互動,工作環境,-0.06804138174397717,人際價值
150,主管風格,工作環境,0.2386964811240629,人際價值
