,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,-0.035649738093459005,成長價值
2,薪資,成就感,-0.04984974667247283,經濟報酬
3,福利,成就感,-0.03881263929104978,經濟報酬
4,管理制度,成就感,-0.07113885596009588,經濟報酬
5,工作氛圍,成就感,-0.03504370619377268,人際價值
6,同事互動,成就感,-0.045232522189883884,人際價值
7,主管風格,成就感,0.08022019779482371,人際價值
8,工作地點,成就感,-0.017108846438373713,組織文化與制度
9,公司規模,成就感,-0.03191749451475915,組織文化與制度
10,工作環境,成就感,-0.03281482729109566,組織文化與制度
11,產業前景,成就感,-0.012059436448110545,組織文化與制度
12,工學院,成就感,0.08401407600790475,科系專業
13,面試,成就感,-0.02021309888612346,招募資訊
14,學經歷,成就感,-0.012059436448110503,招募資訊
15,徵才,成就感,-0.012059436448110496,招募資訊
16,實習,成就感,-0.02731367882918936,招募資訊
17,工作,成就感,0.11299053268098841,招募資訊
18,離職,成就感,-0.01710884643837372,招募資訊
19,新鮮人,成就感,-0.012059436448110498,招募資訊
20,畢業,成就感,-0.01205943644811049,招募資訊
21,招募人員,成就感,-0.01205943644811051,招募資訊
22,正向,成就感,0.33526782752805095,情緒
23,負向,成就感,0.3158074997391415,情緒
24,成就感,學習成長,-0.035649738093459005,成長價值
25,學習成長,學習成長,0.9999999999999998,成長價值
26,薪資,學習成長,0.08662160143768503,經濟報酬
27,福利,學習成長,0.003613014102913857,經濟報酬
28,管理制度,學習成長,-0.06537316022092136,經濟報酬
29,工作氛圍,學習成長,-0.054369490200950214,人際價值
30,同事互動,學習成長,0.18731914105597278,人際價值
31,主管風格,學習成長,0.12445975987263012,人際價值
32,工作地點,學習成長,-0.026543974933393777,組織文化與制度
33,公司規模,學習成長,-0.04951924592860124,組織文化與制度
34,工作環境,學習成長,-0.05091143673514002,組織文化與制度
35,產業前景,學習成長,-0.01870993348046726,組織文化與制度
36,工學院,學習成長,-0.043813738874086613,科系專業
37,面試,學習成長,-0.03136014997224275,招募資訊
38,學經歷,學習成長,-0.018709933480467216,招募資訊
39,徵才,學習成長,0.5762659511983899,招募資訊
40,實習,學習成長,0.09238084327702437,招募資訊
41,工作,學習成長,-0.009287532062652053,招募資訊
42,離職,學習成長,-0.026543974933393815,招募資訊
43,新鮮人,學習成長,-0.01870993348046721,招募資訊
44,畢業,學習成長,-0.01870993348046718,招募資訊
45,招募人員,學習成長,-0.01870993348046722,招募資訊
46,正向,學習成長,0.28725992957384944,情緒
47,負向,學習成長,-0.009422460510132106,情緒
48,成就感,薪資,-0.04984974667247283,成長價值
49,學習成長,薪資,0.08662160143768503,成長價值
50,薪資,薪資,0.9999999999999998,經濟報酬
51,福利,薪資,0.48107698591346615,經濟報酬
52,管理制度,薪資,-0.13335951667938542,經濟報酬
53,工作氛圍,薪資,0.10712747924597757,人際價值
54,同事互動,薪資,-0.018116343083111785,人際價值
55,主管風格,薪資,0.10044017476769623,人際價值
56,工作地點,薪資,0.06124300821952862,組織文化與制度
57,公司規模,薪資,0.1754175222312256,組織文化與制度
58,工作環境,薪資,0.0317121261232686,組織文化與制度
59,產業前景,薪資,-0.026162476756911607,組織文化與制度
60,工學院,薪資,-0.06126563336654195,科系專業
61,面試,薪資,0.049113712727543085,招募資訊
62,學經歷,薪資,-0.026162476756911707,招募資訊
63,徵才,薪資,-0.026162476756911756,招募資訊
64,實習,薪資,0.06636667554573403,招募資訊
65,工作,薪資,0.030032305943790572,招募資訊
66,離職,薪資,-0.03711697467850227,招募資訊
67,新鮮人,薪資,-0.026162476756911728,招募資訊
68,畢業,薪資,-0.02616247675691177,招募資訊
69,招募人員,薪資,-0.026162476756911707,招募資訊
70,正向,薪資,0.06998131067824863,情緒
71,負向,薪資,-0.022128278617485928,情緒
72,成就感,福利,-0.038812639291049784,成長價值
73,學習成長,福利,0.003613014102913857,成長價值
74,薪資,福利,0.4810769859134662,經濟報酬
75,福利,福利,1.0,經濟報酬
76,管理制度,福利,-0.08750294552786822,經濟報酬
77,工作氛圍,福利,-0.0021524813614217024,人際價值
78,同事互動,福利,-0.07640343207850582,人際價值
79,主管風格,福利,0.059101947855099514,人際價值
80,工作地點,福利,-0.028898998408897546,組織文化與制度
81,公司規模,福利,0.2635730622160238,組織文化與制度
82,工作環境,福利,0.05139722508688676,組織文化與制度
83,產業前景,福利,-0.02036990839689083,組織文化與制度
84,工學院,福利,-0.047700963144640555,科系專業
85,面試,福利,-0.03414247212125253,招募資訊
86,學經歷,福利,-0.0203699083968909,招募資訊
87,徵才,福利,-0.020369908396890922,招募資訊
88,實習,福利,0.0027681748054813886,招募資訊
89,工作,福利,-0.07710046664758333,招募資訊
