,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,0.30256410256410227,經濟報酬
2,福利,學習成長,-0.05058079865486045,經濟報酬
3,管理制度,學習成長,-0.05719042754717329,經濟報酬
4,工作氛圍,學習成長,0.5686678156684399,人際價值
5,同事互動,學習成長,-0.05719042754717317,人際價值
6,主管風格,學習成長,-0.03739787960033829,人際價值
7,工作地點,學習成長,-0.026246206877004945,組織文化與制度
8,公司規模,學習成長,-0.026246206877004907,組織文化與制度
9,工作環境,學習成長,-0.06052275326688024,組織文化與制度
10,產業前景,學習成長,-0.026246206877004893,組織文化與制度
11,變化性,學習成長,-0.037397879600338295,組織文化與制度
12,實習,學習成長,-0.026246206877004925,招募資訊
13,工作,學習成長,-0.1282051282051282,招募資訊
14,正向,學習成長,0.06171650251010683,情緒
15,負向,學習成長,0.1604727953866647,情緒
16,學習成長,薪資,0.30256410256410227,成長價值
17,薪資,薪資,1.0,經濟報酬
18,福利,薪資,0.17871882191384034,經濟報酬
19,管理制度,薪資,-0.057190427547173225,經濟報酬
20,工作氛圍,薪資,0.5686678156684399,人際價值
21,同事互動,薪資,-0.05719042754717319,人際價值
22,主管風格,薪資,-0.037397879600338295,人際價值
23,工作地點,薪資,-0.02624620687700489,組織文化與制度
24,公司規模,薪資,-0.026246206877004918,組織文化與制度
25,工作環境,薪資,-0.060522753266880246,組織文化與制度
26,產業前景,薪資,-0.026246206877004904,組織文化與制度
27,變化性,薪資,-0.03739787960033831,組織文化與制度
28,實習,薪資,-0.026246206877004914,招募資訊
29,工作,薪資,-0.1282051282051282,招募資訊
30,正向,薪資,0.13943357974505613,情緒
31,負向,薪資,0.026581383284907667,情緒
32,學習成長,福利,-0.050580798654860454,成長價值
33,薪資,福利,0.17871882191384034,經濟報酬
34,福利,福利,0.9999999999999998,經濟報酬
35,管理制度,福利,-0.06267597918289403,經濟報酬
36,工作氛圍,福利,-0.02876367228582461,人際價值
37,同事互動,福利,-0.06267597918289394,人際價值
38,主管風格,福利,-0.040984983393974175,人際價值
