,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,創新,學習成長,-0.00796496044759804,成長價值
2,薪資,學習成長,-0.05074765471214918,經濟報酬
3,福利,學習成長,-0.04633456156102379,經濟報酬
4,管理制度,學習成長,0.006375364757458994,經濟報酬
5,工作氛圍,學習成長,-0.03063942103784225,人際價值
6,同事互動,學習成長,0.06781871080763943,人際價值
7,主管風格,學習成長,-0.04354747663291458,人際價值
8,工作地點,學習成長,-0.013836471703526042,組織文化與制度
9,公司規模,學習成長,0.06463032507099119,組織文化與制度
10,工作環境,學習成長,-0.033495063008473124,組織文化與制度
11,產業前景,學習成長,-0.021261743210854844,組織文化與制度
12,變化性,學習成長,-0.025527547040594033,組織文化與制度
13,工學院,學習成長,-0.016000668486336564,科系專業
14,面試,學習成長,0.14389116977304284,招募資訊
15,學經歷,學習成長,-0.01600066848633655,招募資訊
16,徵才,學習成長,-0.016983875776490222,招募資訊
17,實習,學習成長,0.036196272833711074,招募資訊
18,工作,學習成長,0.14380010973595234,招募資訊
19,離職,學習成長,-0.013836471703526032,招募資訊
20,新鮮人,學習成長,-0.016000668486336585,招募資訊
21,招募人員,學習成長,-0.007964960447598035,招募資訊
22,正向,學習成長,0.16606022899876646,情緒
23,負向,學習成長,0.04096021918918905,情緒
24,學習成長,創新,-0.00796496044759804,成長價值
25,創新,創新,0.9999999999999999,成長價值
26,薪資,創新,-0.01873930309621573,經濟報酬
27,福利,創新,-0.017109704829658155,經濟報酬
28,管理制度,創新,-0.017225819604185583,經濟報酬
29,工作氛圍,創新,-0.011314047925514017,人際價值
30,同事互動,創新,-0.015049336585047523,人際價值
31,主管風格,創新,-0.016080533540482847,人際價值
32,工作地點,創新,-0.0051093166473467205,組織文化與制度
33,公司規模,創新,-0.009351449833685627,組織文化與制度
34,工作環境,創新,-0.012368534890979997,組織文化與制度
35,產業前景,創新,-0.007851205196419218,組織文化與制度
36,變化性,創新,-0.009426414757686708,組織文化與制度
37,工學院,創新,-0.005908477509124059,科系專業
38,面試,創新,-0.006271540975231085,招募資訊
39,學經歷,創新,-0.005908477509124059,招募資訊
40,徵才,創新,-0.006271540975231125,招募資訊
41,實習,創新,-0.008441681406580052,招募資訊
42,工作,創新,-0.02126191252436279,招募資訊
43,離職,創新,-0.0051093166473466746,招募資訊
44,新鮮人,創新,-0.005908477509124067,招募資訊
45,招募人員,創新,-0.002941176470588241,招募資訊
46,正向,創新,0.04643745343707988,情緒
47,負向,創新,0.060404036519692374,情緒
48,學習成長,薪資,-0.05074765471214918,成長價值
49,創新,薪資,-0.018739303096215732,成長價值
50,薪資,薪資,0.9999999999999999,經濟報酬
51,福利,薪資,0.44207214670390393,經濟報酬
52,管理制度,薪資,0.059553498897408026,經濟報酬
53,工作氛圍,薪資,-0.01721694652104787,人際價值
54,同事互動,薪資,0.062246634473494496,人際價值
55,主管風格,薪資,0.009132886063065898,人際價值
56,工作地點,薪資,-0.03255331131151786,組織文化與制度
57,公司規模,薪資,0.07647176814017116,組織文化與制度
58,工作環境,薪資,0.055350727940649026,組織文化與制度
59,產業前景,薪資,0.007996854759400058,組織文化與制度
60,變化性,薪資,0.0862277232288722,組織文化與制度
61,工學院,薪資,-0.03764505529942061,科系專業
62,面試,薪資,0.09521800715922925,招募資訊
63,學經歷,薪資,0.07697069342470858,招募資訊
64,徵才,薪資,0.04114749851427159,招募資訊
65,實習,薪資,-0.03393578454622675,招募資訊
66,工作,薪資,-0.06778330368888812,招募資訊
67,離職,薪資,-0.03255331131151785,招募資訊
68,新鮮人,薪資,0.07697069342470865,招募資訊
69,招募人員,薪資,0.057333343996755624,招募資訊
70,正向,薪資,0.18524309065462946,情緒
71,負向,薪資,0.1151008320002541,情緒
72,學習成長,福利,-0.04633456156102379,成長價值
73,創新,福利,-0.017109704829658155,成長價值
74,薪資,福利,0.442072146703904,經濟報酬
75,福利,福利,0.9999999999999999,經濟報酬
76,管理制度,福利,0.015844169440510886,經濟報酬
77,工作氛圍,福利,-0.012884028718518629,人際價值
78,同事互動,福利,0.035669004556537806,人際價值
79,主管風格,福利,0.11197021560372057,人際價值
80,工作地點,福利,-0.02972242590390277,組織文化與制度
81,公司規模,福利,0.01122645343140446,組織文化與制度
82,工作環境,福利,0.062448448780044276,組織文化與制度
83,產業前景,福利,-0.0036932193945328064,組織文化與制度
84,變化性,福利,0.015726631014708975,組織文化與制度
85,工學院,福利,-0.03437138409908767,科系專業
86,面試,福利,0.04176091081028769,招募資訊
87,學經歷,福利,0.07620071003099624,招募資訊
88,徵才,福利,0.041760910810287676,招募資訊
89,實習,福利,-0.02038436575380839,招募資訊
90,工作,福利,-0.07471479606430892,招募資訊
91,離職,福利,-0.02972242590390273,招募資訊
92,新鮮人,福利,0.02091466296595421,招募資訊
93,招募人員,福利,0.20305668561990545,招募資訊
94,正向,福利,0.29954409395150683,情緒
95,負向,福利,0.04235548818562014,情緒
96,學習成長,管理制度,0.006375364757458994,成長價值
97,創新,管理制度,-0.017225819604185583,成長價值
98,薪資,管理制度,0.059553498897408026,經濟報酬
99,福利,管理制度,0.015844169440510886,經濟報酬
100,管理制度,管理制度,1.0,經濟報酬
101,工作氛圍,管理制度,0.15969593756843575,人際價值
102,同事互動,管理制度,0.13727903658291946,人際價值
103,主管風格,管理制度,0.18780895323985702,人際價值
104,工作地點,管理制度,-0.029924136735070966,組織文化與制度
105,公司規模,管理制度,-0.008078482351813744,組織文化與制度
106,工作環境,管理制度,0.00724397712720321,組織文化與制度
107,產業前景,管理制度,-0.045982771092246875,組織文化與制度
108,變化性,管理制度,-0.017556279100471108,組織文化與制度
109,工學院,管理制度,0.02439627473950132,科系專業
110,面試,管理制度,0.005019907075685027,招募資訊
111,學經歷,管理制度,-0.03460464502056957,招募資訊
112,徵才,管理制度,0.08852177599317465,招募資訊
113,實習,管理制度,-0.049441059562356435,招募資訊
114,工作,管理制度,0.05839326309660943,招募資訊
115,離職,管理制度,-0.029924136735070973,招募資訊
116,新鮮人,管理制度,-0.03460464502056961,招募資訊
117,招募人員,管理制度,-0.01722581960418565,招募資訊
118,正向,管理制度,0.2092154010124517,情緒
119,負向,管理制度,0.1801952052193739,情緒
120,學習成長,工作氛圍,-0.030639421037842254,成長價值
121,創新,工作氛圍,-0.011314047925514019,成長價值
122,薪資,工作氛圍,-0.017216946521047865,經濟報酬
123,福利,工作氛圍,-0.012884028718518629,經濟報酬
124,管理制度,工作氛圍,0.15969593756843578,經濟報酬
125,工作氛圍,工作氛圍,1.0,人際價值
126,同事互動,工作氛圍,0.09633495977441951,人際價值
127,主管風格,工作氛圍,0.06676161033888736,人際價值
128,工作地點,工作氛圍,-0.01965439816100043,組織文化與制度
129,公司規模,工作氛圍,0.05986121304879832,組織文化與制度
130,工作環境,工作氛圍,0.01784212005693,組織文化與制度
131,產業前景,工作氛圍,0.0617519560520955,組織文化與制度
132,變化性,工作氛圍,-0.036261308833641696,組織文化與制度
133,工學院,工作氛圍,-0.022728591219717438,科系專業
134,面試,工作氛圍,0.06156955950913689,招募資訊
135,學經歷,工作氛圍,-0.02272859121971742,招募資訊
136,徵才,工作氛圍,-0.024125215154600598,招募資訊
137,實習,工作氛圍,0.030443681176902177,招募資訊
138,工作,工作氛圍,0.13275117113456492,招募資訊
139,離職,工作氛圍,0.11997372210777338,招募資訊
140,新鮮人,工作氛圍,-0.022728591219717452,招募資訊
141,招募人員,工作氛圍,-0.011314047925514029,招募資訊
142,正向,工作氛圍,0.17147820244255216,情緒
143,負向,工作氛圍,0.3867456323906504,情緒
144,學習成長,同事互動,0.06781871080763943,成長價值
145,創新,同事互動,-0.015049336585047523,成長價值
146,薪資,同事互動,0.062246634473494496,經濟報酬
147,福利,同事互動,0.035669004556537806,經濟報酬
148,管理制度,同事互動,0.13727903658291943,經濟報酬
149,工作氛圍,同事互動,0.09633495977441954,人際價值
150,同事互動,同事互動,0.9999999999999999,人際價值
151,主管風格,同事互動,0.1743442737010157,人際價值
152,工作地點,同事互動,0.06671967813813298,組織文化與制度
153,公司規模,同事互動,-0.0478492594758092,組織文化與制度
154,工作環境,同事互動,0.08899734821766807,組織文化與制度
155,產業前景,同事互動,0.08213912275529223,組織文化與制度
156,變化性,同事互動,-0.048232838082753554,組織文化與制度
157,工學院,同事互動,-0.03023234669159699,科系專業
158,面試,同事互動,0.19588307796918014,招募資訊
159,學經歷,同事互動,-0.030232346691596947,招募資訊
160,徵才,同事互動,0.08189650870725106,招募資訊
161,實習,同事互動,0.04049454341499631,招募資訊
162,工作,同事互動,0.17657845093249822,招募資訊
163,離職,同事互動,-0.026143220821472444,招募資訊
164,新鮮人,同事互動,-0.03023234669159701,招募資訊
165,招募人員,同事互動,-0.015049336585047536,招募資訊
166,正向,同事互動,0.3946720662683894,情緒
167,負向,同事互動,0.15900718251196058,情緒
