,item1,item2,value,class
0,薪資,薪資,1.0,經濟報酬
1,福利,薪資,1.0,經濟報酬
2,管理制度,薪資,-0.1924500897298752,經濟報酬
3,工作氛圍,薪資,-0.1924500897298752,人際價值
4,同事互動,薪資,-0.1924500897298752,人際價值
5,主管風格,薪資,-0.12309149097933272,人際價值
6,工作地點,薪資,-0.08333333333333331,組織文化與制度
7,工作環境,薪資,-0.08333333333333331,組織文化與制度
8,產業前景,薪資,-0.0833333333333333,組織文化與制度
9,變化性,薪資,-0.12309149097933272,組織文化與制度
10,工學院,薪資,-0.08333333333333336,科系專業
11,面試,薪資,-0.0833333333333333,招募資訊
12,工作,薪資,-0.17766726362967533,招募資訊
13,能力,薪資,-0.0833333333333333,招募資訊
14,招募人員,薪資,-0.12309149097933272,招募資訊
15,正向,薪資,0.2208630521496931,情緒
16,負向,薪資,-0.19245008972987523,情緒
17,薪資,福利,1.0,經濟報酬
18,福利,福利,1.0,經濟報酬
19,管理制度,福利,-0.1924500897298752,經濟報酬
20,工作氛圍,福利,-0.1924500897298752,人際價值
21,同事互動,福利,-0.1924500897298752,人際價值
22,主管風格,福利,-0.12309149097933272,人際價值
23,工作地點,福利,-0.08333333333333331,組織文化與制度
24,工作環境,福利,-0.08333333333333331,組織文化與制度
25,產業前景,福利,-0.0833333333333333,組織文化與制度
26,變化性,福利,-0.12309149097933272,組織文化與制度
27,工學院,福利,-0.08333333333333336,科系專業
28,面試,福利,-0.0833333333333333,招募資訊
29,工作,福利,-0.17766726362967533,招募資訊
30,能力,福利,-0.0833333333333333,招募資訊
31,招募人員,福利,-0.12309149097933272,招募資訊
32,正向,福利,0.2208630521496931,情緒
33,負向,福利,-0.19245008972987523,情緒
34,薪資,管理制度,-0.1924500897298752,經濟報酬
35,福利,管理制度,-0.1924500897298752,經濟報酬
36,管理制度,管理制度,1.0,經濟報酬
37,工作氛圍,管理制度,-0.4444444444444445,人際價值
38,同事互動,管理制度,-0.08333333333333337,人際價值
39,主管風格,管理制度,0.6396021490668314,人際價值
40,工作地點,管理制度,-0.19245008972987526,組織文化與制度
41,工作環境,管理制度,-0.19245008972987526,組織文化與制度
42,產業前景,管理制度,0.4330127018922193,組織文化與制度
43,變化性,管理制度,0.17766726362967547,組織文化與制度
44,工學院,管理制度,-0.19245008972987526,科系專業
45,面試,管理制度,-0.19245008972987523,招募資訊
46,工作,管理制度,-0.14360673947588817,招募資訊
47,能力,管理制度,-0.19245008972987523,招募資訊
48,招募人員,管理制度,0.6396021490668314,招募資訊
49,正向,管理制度,-0.04250511420422255,情緒
50,負向,管理制度,-0.08333333333333337,情緒
51,薪資,工作氛圍,-0.1924500897298752,經濟報酬
52,福利,工作氛圍,-0.1924500897298752,經濟報酬
53,管理制度,工作氛圍,-0.4444444444444445,經濟報酬
54,工作氛圍,工作氛圍,1.0,人際價值
55,同事互動,工作氛圍,-0.08333333333333338,人際價值
56,主管風格,工作氛圍,-0.28426762180748066,人際價值
57,工作地點,工作氛圍,-0.19245008972987526,組織文化與制度
58,工作環境,工作氛圍,0.4330127018922193,組織文化與制度
59,產業前景,工作氛圍,-0.19245008972987523,組織文化與制度
60,變化性,工作氛圍,-0.28426762180748066,組織文化與制度
61,工學院,工作氛圍,-0.1924500897298753,科系專業
62,面試,工作氛圍,0.4330127018922193,招募資訊
63,工作,工作氛圍,0.3897897214345537,招募資訊
64,能力,工作氛圍,0.4330127018922193,招募資訊
65,招募人員,工作氛圍,-0.28426762180748066,招募資訊
