,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,0.06170527026694513,經濟報酬
2,福利,學習成長,0.030556567206271354,經濟報酬
3,管理制度,學習成長,0.11726771261394031,經濟報酬
4,工作氛圍,學習成長,-0.07245829894591926,人際價值
5,同事互動,學習成長,-0.04521252610552978,人際價值
6,主管風格,學習成長,-0.11666139997801077,人際價值
7,工作地點,學習成長,0.3888428366267933,組織文化與制度
8,公司規模,學習成長,-0.012375327795836397,組織文化與制度
9,工作環境,學習成長,-0.04123135942905183,組織文化與制度
10,產業前景,學習成長,0.05022621608519851,組織文化與制度
11,多元性,學習成長,0.19316480857752383,組織文化與制度
12,變化性,學習成長,0.09057287368239882,組織文化與制度
13,工學院,學習成長,-0.04773249298367361,科系專業
14,理學院,學習成長,0.19316480857752344,科系專業
15,管理學院/商學院,學習成長,0.22461920115303957,科系專業
16,社會學院,學習成長,-0.033593879752612826,科系專業
17,面試,學習成長,-0.07656291181181321,招募資訊
18,徵才,學習成長,-0.07245829894591935,招募資訊
19,實習,學習成長,0.08760144406016951,招募資訊
20,工作,學習成長,0.0802461217049862,招募資訊
21,新鮮人,學習成長,-0.033593879752612826,招募資訊
22,畢業,學習成長,-0.03359387975261271,招募資訊
23,出路,學習成長,-0.04773249298367331,招募資訊
24,能力,學習成長,0.11336467083622515,招募資訊
25,招募人員,學習成長,-0.12037676701812439,招募資訊
26,正向,學習成長,0.029509291983936665,情緒
27,負向,學習成長,-0.16158319218260458,情緒
28,學習成長,薪資,0.06170527026694513,成長價值
29,薪資,薪資,1.0,經濟報酬
30,福利,薪資,0.11351252888573095,經濟報酬
31,管理制度,薪資,-0.06993715069546538,經濟報酬
32,工作氛圍,薪資,0.30131468192682725,人際價值
33,同事互動,薪資,0.05473597399323645,人際價值
34,主管風格,薪資,-0.06015455674634922,人際價值
35,工作地點,薪資,-0.0390449372985724,組織文化與制度
36,公司規模,薪資,-0.07257051172272447,組織文化與制度
37,工作環境,薪資,-0.0239324365538291,組織文化與制度
38,產業前景,薪資,-0.06693931416921436,組織文化與制度
39,多元性,薪資,-0.030781066527827618,組織文化與制度
40,變化性,薪資,0.3932411950570452,組織文化與制度
41,工學院,薪資,-0.04373585465237155,科系專業
42,理學院,薪資,-0.030781066527827534,科系專業
43,管理學院/商學院,薪資,0.15977819438493338,科系專業
44,社會學院,薪資,0.22493856308797142,科系專業
45,面試,薪資,-0.0701523045089879,招募資訊
46,徵才,薪資,-0.06639137059404672,招募資訊
47,實習,薪資,0.06511135259543056,招募資訊
48,工作,薪資,0.04918201972770936,招募資訊
49,新鮮人,薪資,0.22493856308797142,招募資訊
50,畢業,薪資,-0.03078106652782756,招募資訊
51,出路,薪資,-0.04373585465237134,招募資訊
52,能力,薪資,-0.04373585465237132,招募資訊
53,招募人員,薪資,-0.05939103081351411,招募資訊
54,正向,薪資,0.15586889052881867,情緒
55,負向,薪資,0.10819319273742307,情緒
56,學習成長,福利,0.030556567206271354,成長價值
57,薪資,福利,0.11351252888573095,經濟報酬
58,福利,福利,0.9999999999999999,經濟報酬
59,管理制度,福利,0.07304416665596919,經濟報酬
60,工作氛圍,福利,0.008628387846605471,人際價值
61,同事互動,福利,0.025336193219021648,人際價值
62,主管風格,福利,-0.07165412265610392,人際價值
63,工作地點,福利,-0.0405950182313218,組織文化與制度
64,公司規模,福利,-0.07545155531721312,組織文化與制度
65,工作環境,福利,0.0854893407401004,組織文化與制度
66,產業前景,福利,-0.06959679966474923,組織文化與制度
67,多元性,福利,-0.03200307244243879,組織文化與制度
68,變化性,福利,0.08628387846605373,組織文化與制度
69,工學院,福利,-0.04547216463427084,科系專業
70,理學院,福利,-0.032003072442438676,科系專業
71,管理學院/商學院,福利,0.3028676308279963,科系專業
72,社會學院,福利,-0.0320030724424388,科系專業
73,面試,福利,0.025528070913703575,招募資訊
74,徵才,福利,-0.0690271027728432,招募資訊
75,實習,福利,0.03224326565407322,招募資訊
76,工作,福利,-0.04320868801853179,招募資訊
77,新鮮人,福利,-0.0320030724424388,招募資訊
78,畢業,福利,-0.032003072442438704,招募資訊
79,出路,福利,-0.04547216463427057,招募資訊
80,能力,福利,-0.04547216463427054,招募資訊
81,招募人員,福利,-0.07167277238512476,招募資訊
82,正向,福利,0.5862159341605611,情緒
83,負向,福利,0.01924144607210111,情緒
84,學習成長,管理制度,0.11726771261394031,成長價值
85,薪資,管理制度,-0.06993715069546538,經濟報酬
86,福利,管理制度,0.07304416665596918,經濟報酬
87,管理制度,管理制度,1.0,經濟報酬
88,工作氛圍,管理制度,0.1190808188403167,人際價值
89,同事互動,管理制度,-0.0651650439048789,人際價值
90,主管風格,管理制度,0.24126277810423488,人際價值
91,工作地點,管理制度,0.3565252142572697,組織文化與制度
92,公司規模,管理制度,0.02366615333035942,組織文化與制度
93,工作環境,管理制度,0.14929213942086011,組織文化與制度
94,產業前景,管理制度,-0.076404122331906,組織文化與制度
95,多元性,管理制度,-0.03513332040650444,組織文化與制度
96,變化性,管理制度,0.054127644927416556,組織文化與制度
97,工學院,管理制度,-0.04991983605782237,科系專業
98,理學院,管理制度,-0.03513332040650447,科系專業
99,管理學院/商學院,管理制度,0.09086720768195265,科系專業
100,社會學院,管理制度,-0.03513332040650444,科系專業
101,面試,管理制度,0.33172441196641667,招募資訊
102,徵才,管理制度,0.1190808188403167,招募資訊
103,實習,管理制度,-0.0047592614618055295,招募資訊
104,工作,管理制度,0.02919074883258686,招募資訊
105,新鮮人,管理制度,-0.03513332040650444,招募資訊
106,畢業,管理制度,-0.03513332040650446,招募資訊
107,出路,管理制度,-0.04991983605782227,招募資訊
108,能力,管理制度,-0.04991983605782227,招募資訊
109,招募人員,管理制度,0.16186247531914832,招募資訊
110,正向,管理制度,0.12189018021756971,情緒
111,負向,管理制度,0.2655521743658111,情緒
112,學習成長,工作氛圍,-0.07245829894591926,成長價值
113,薪資,工作氛圍,0.3013146819268273,經濟報酬
114,福利,工作氛圍,0.008628387846605471,經濟報酬
115,管理制度,工作氛圍,0.11908081884031671,經濟報酬
116,工作氛圍,工作氛圍,0.9999999999999998,人際價值
117,同事互動,工作氛圍,-0.07021769313006097,人際價值
118,主管風格,工作氛圍,-0.07000212336530887,人際價值
119,工作地點,工作氛圍,-0.025569678021610073,組織文化與制度
120,公司規模,工作氛圍,-0.04752484565217598,組織文化與制度
121,工作環境,工作氛圍,-0.06403470880982928,組織文化與制度
122,產業前景,工作氛圍,-0.04383709716846676,組織文化與制度
123,多元性,工作氛圍,-0.020157849256095074,組織文化與制度
124,變化性,工作氛圍,-0.043478260869565404,組織文化與制度
125,工學院,工作氛圍,-0.02864165750631028,科系專業
126,理學院,工作氛圍,-0.020157849256095137,科系專業
127,管理學院/商學院,工作氛圍,-0.033177032191748064,科系專業
128,社會學院,工作氛圍,-0.02015784925609506,科系專業
129,面試,工作氛圍,-0.04594121447940809,招募資訊
130,徵才,工作氛圍,-0.043478260869565404,招募資訊
131,實習,工作氛圍,-0.07645793998993576,招募資訊
132,工作,工作氛圍,0.06699312309016885,招募資訊
133,新鮮人,工作氛圍,-0.02015784925609506,招募資訊
134,畢業,工作氛圍,-0.02015784925609512,招募資訊
135,出路,工作氛圍,-0.028641657506310318,招募資訊
136,能力,工作氛圍,-0.028641657506310318,招募資訊
137,招募人員,工作氛圍,-0.07223151185146137,招募資訊
138,正向,工作氛圍,-0.04791281965459981,情緒
139,負向,工作氛圍,0.5575040903982786,情緒
140,學習成長,同事互動,-0.045212526105529775,成長價值
141,薪資,同事互動,0.05473597399323645,經濟報酬
142,福利,同事互動,0.025336193219021648,經濟報酬
143,管理制度,同事互動,-0.06516504390487889,經濟報酬
144,工作氛圍,同事互動,-0.07021769313006097,人際價值
145,同事互動,同事互動,0.9999999999999998,人際價值
146,主管風格,同事互動,0.17904710970141585,人際價值
147,工作地點,同事互動,-0.041295207509385035,組織文化與制度
148,公司規模,同事互動,-0.07675295564533374,組織文化與制度
149,工作環境,同事互動,0.08119477214335374,組織文化與制度
150,產業前景,同事互動,0.10297776908192725,組織文化與制度
151,多元性,同事互動,-0.03255506648420964,組織文化與制度
152,變化性,同事互動,-0.07021769313006103,組織文化與制度
153,工學院,同事互動,0.40789801301587386,科系專業
154,理學院,同事互動,-0.0325550664842097,科系專業
155,管理學院/商學院,同事互動,0.20945353673516698,科系專業
156,社會學院,同事互動,-0.03255506648420962,科系專業
157,面試,同事互動,-0.07419538030775978,招募資訊
158,徵才,同事互動,0.15958566620468365,招募資訊
159,實習,同事互動,-0.04770822194363261,招募資訊
160,工作,同事互動,0.13032502316782407,招募資訊
161,新鮮人,同事互動,-0.03255506648420962,招募資訊
162,畢業,同事互動,-0.03255506648420969,招募資訊
163,出路,同事互動,-0.04625647570283107,招募資訊
164,能力,同事互動,0.18082076865652108,招募資訊
165,招募人員,同事互動,0.20149395166747705,招募資訊
166,正向,同事互動,0.13182047497214927,情緒
167,負向,同事互動,-0.0284702917369745,情緒
168,學習成長,主管風格,-0.11666139997801077,成長價值
169,薪資,主管風格,-0.06015455674634922,經濟報酬
170,福利,主管風格,-0.07165412265610392,經濟報酬
171,管理制度,主管風格,0.24126277810423488,經濟報酬
172,工作氛圍,主管風格,-0.07000212336530887,人際價值
173,同事互動,主管風格,0.17904710970141585,人際價值
174,主管風格,主管風格,0.9999999999999998,人際價值
175,工作地點,主管風格,-0.04116843037143907,組織文化與制度
176,公司規模,主管風格,0.14095296248157793,組織文化與制度
177,工作環境,主管風格,0.11000516215024084,組織文化與制度
178,產業前景,主管風格,-0.020431014227444647,組織文化與制度
179,多元性,主管風格,-0.03245512175930258,組織文化與制度
180,變化性,主管風格,-0.07000212336530857,組織文化與制度
181,工學院,主管風格,-0.046114467369303816,科系專業
182,理學院,主管風格,-0.03245512175930257,科系專業
183,管理學院/商學院,主管風格,0.022491217730010924,科系專業
184,社會學院,主管風格,-0.032455121759302576,科系專業
185,面試,主管風格,0.34647980566134806,招募資訊
186,徵才,主管風格,0.0626334788005395,招募資訊
187,實習,主管風格,-0.035634505034223794,招募資訊
188,工作,主管風格,0.17172797622864094,招募資訊
189,新鮮人,主管風格,-0.032455121759302576,招募資訊
190,畢業,主管風格,-0.03245512175930256,招募資訊
191,出路,主管風格,0.08494770304871714,招募資訊
192,能力,主管風格,0.21600987346673856,招募資訊
193,招募人員,主管風格,0.9854577963430953,招募資訊
194,正向,主管風格,0.06902177120454031,情緒
195,負向,主管風格,-0.008216098971099909,情緒
196,學習成長,工作地點,0.3888428366267933,成長價值
197,薪資,工作地點,-0.0390449372985724,經濟報酬
198,福利,工作地點,-0.0405950182313218,經濟報酬
199,管理制度,工作地點,0.35652521425726974,經濟報酬
