,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,-0.22222222222222215,經濟報酬
2,福利,學習成長,-0.16666666666666663,經濟報酬
3,管理制度,學習成長,-0.24019223070763068,經濟報酬
4,同事互動,學習成長,-0.2581988897471611,人際價值
5,主管風格,學習成長,-0.2581988897471611,人際價值
6,公司規模,學習成長,-0.16666666666666663,組織文化與制度
7,保養,學習成長,-0.16666666666666666,產品與服務
8,變速箱,學習成長,0.6454972243679029,產品與服務
9,工作,學習成長,-0.2581988897471611,招募資訊
10,正向,學習成長,-0.5537622117093332,情緒
11,負向,學習成長,0.25695283474741387,情緒
12,學習成長,薪資,-0.22222222222222218,成長價值
13,薪資,薪資,0.9999999999999998,經濟報酬
14,福利,薪資,0.9444444444444444,經濟報酬
15,管理制度,薪資,0.6138245895861671,經濟報酬
16,同事互動,薪資,0.5594309277855155,人際價值
17,主管風格,薪資,0.5594309277855155,人際價值
18,公司規模,薪資,0.9444444444444444,組織文化與制度
19,保養,薪資,-0.22222222222222218,產品與服務
20,變速箱,薪資,-0.34426518632954806,產品與服務
21,工作,薪資,0.5594309277855155,招募資訊
22,正向,薪資,0.5097129448688179,情緒
23,負向,薪資,0.3426037796632184,情緒
24,學習成長,福利,-0.16666666666666663,成長價值
25,薪資,福利,0.9444444444444445,經濟報酬
26,福利,福利,0.9999999999999999,經濟報酬
27,管理制度,福利,0.3202563076101741,經濟報酬
28,同事互動,福利,0.6454972243679028,人際價值
29,主管風格,福利,0.6454972243679028,人際價值
30,公司規模,福利,0.9999999999999999,組織文化與制度
31,保養,福利,-0.16666666666666663,產品與服務
32,變速箱,福利,-0.25819888974716104,產品與服務
33,工作,福利,0.6454972243679028,招募資訊
34,正向,福利,0.6943003487719288,情緒
35,負向,福利,0.2569528347474138,情緒
36,學習成長,管理制度,-0.2401922307076307,成長價值
37,薪資,管理制度,0.6138245895861671,經濟報酬
38,福利,管理制度,0.3202563076101741,經濟報酬
39,管理制度,管理制度,1.0,經濟報酬
40,同事互動,管理制度,0.06201736729460422,人際價值
41,主管風格,管理制度,0.06201736729460422,人際價值
42,公司規模,管理制度,0.3202563076101741,組織文化與制度
43,保養,管理制度,-0.24019223070763063,產品與服務
44,變速箱,管理制度,-0.37210420376762526,產品與服務
45,工作,管理制度,0.06201736729460422,招募資訊
46,正向,管理制度,-0.1985064245429926,情緒
47,負向,管理制度,0.3703084473877832,情緒
48,學習成長,同事互動,-0.2581988897471611,成長價值
49,薪資,同事互動,0.5594309277855156,經濟報酬
50,福利,同事互動,0.6454972243679028,經濟報酬
51,管理制度,同事互動,0.06201736729460422,經濟報酬
52,同事互動,同事互動,1.0,人際價值
53,主管風格,同事互動,1.0,人際價值
54,公司規模,同事互動,0.6454972243679028,組織文化與制度
55,保養,同事互動,-0.2581988897471611,產品與服務
56,變速箱,同事互動,-0.3999999999999999,產品與服務
57,工作,同事互動,1.0,招募資訊
58,正向,同事互動,0.5524257727735901,情緒
59,負向,同事互動,-0.240500395353234,情緒
60,學習成長,主管風格,-0.2581988897471611,成長價值
61,薪資,主管風格,0.5594309277855156,經濟報酬
62,福利,主管風格,0.6454972243679028,經濟報酬
63,管理制度,主管風格,0.06201736729460422,經濟報酬
64,同事互動,主管風格,1.0,人際價值
65,主管風格,主管風格,1.0,人際價值
66,公司規模,主管風格,0.6454972243679028,組織文化與制度
67,保養,主管風格,-0.2581988897471611,產品與服務
68,變速箱,主管風格,-0.3999999999999999,產品與服務
69,工作,主管風格,1.0,招募資訊
70,正向,主管風格,0.5524257727735901,情緒
71,負向,主管風格,-0.240500395353234,情緒
72,學習成長,公司規模,-0.16666666666666663,成長價值
73,薪資,公司規模,0.9444444444444445,經濟報酬
74,福利,公司規模,0.9999999999999999,經濟報酬
75,管理制度,公司規模,0.3202563076101741,經濟報酬
76,同事互動,公司規模,0.6454972243679028,人際價值
77,主管風格,公司規模,0.6454972243679028,人際價值
78,公司規模,公司規模,0.9999999999999999,組織文化與制度
79,保養,公司規模,-0.16666666666666663,產品與服務
80,變速箱,公司規模,-0.25819888974716104,產品與服務
81,工作,公司規模,0.6454972243679028,招募資訊
82,正向,公司規模,0.6943003487719288,情緒
83,負向,公司規模,0.2569528347474138,情緒
84,學習成長,保養,-0.16666666666666666,成長價值
85,薪資,保養,-0.22222222222222215,經濟報酬
86,福利,保養,-0.16666666666666663,經濟報酬
87,管理制度,保養,-0.24019223070763066,經濟報酬
88,同事互動,保養,-0.2581988897471611,人際價值
89,主管風格,保養,-0.2581988897471611,人際價值
90,公司規模,保養,-0.16666666666666663,組織文化與制度
91,保養,保養,1.0,產品與服務
92,變速箱,保養,0.6454972243679029,產品與服務
93,工作,保養,-0.2581988897471611,招募資訊
94,正向,保養,0.04824443511104034,情緒
95,負向,保養,0.25695283474741387,情緒
96,學習成長,變速箱,0.6454972243679028,成長價值
97,薪資,變速箱,-0.34426518632954806,經濟報酬
98,福利,變速箱,-0.25819888974716104,經濟報酬
99,管理制度,變速箱,-0.37210420376762526,經濟報酬
100,同事互動,變速箱,-0.3999999999999999,人際價值
101,主管風格,變速箱,-0.3999999999999999,人際價值
102,公司規模,變速箱,-0.25819888974716104,組織文化與制度
103,保養,變速箱,0.6454972243679028,產品與服務
104,變速箱,變速箱,0.9999999999999999,產品與服務
105,工作,變速箱,-0.3999999999999999,招募資訊
106,正向,變速箱,-0.3915723859953978,情緒
107,負向,變速箱,0.3980696198950081,情緒
108,學習成長,工作,-0.2581988897471611,成長價值
109,薪資,工作,0.5594309277855156,經濟報酬
110,福利,工作,0.6454972243679028,經濟報酬
111,管理制度,工作,0.06201736729460422,經濟報酬
112,同事互動,工作,1.0,人際價值
113,主管風格,工作,1.0,人際價值
114,公司規模,工作,0.6454972243679028,組織文化與制度
115,保養,工作,-0.2581988897471611,產品與服務
116,變速箱,工作,-0.3999999999999999,產品與服務
117,工作,工作,1.0,招募資訊
118,正向,工作,0.5524257727735901,情緒
119,負向,工作,-0.240500395353234,情緒
120,學習成長,正向,-0.5537622117093332,成長價值
121,薪資,正向,0.5097129448688179,經濟報酬
122,福利,正向,0.6943003487719289,經濟報酬
123,管理制度,正向,-0.1985064245429926,經濟報酬
124,同事互動,正向,0.5524257727735902,人際價值
125,主管風格,正向,0.5524257727735902,人際價值
126,公司規模,正向,0.6943003487719289,組織文化與制度
127,保養,正向,0.04824443511104034,產品與服務
128,變速箱,正向,-0.39157238599539773,產品與服務
129,工作,正向,0.5524257727735902,招募資訊
130,正向,正向,0.9999999999999998,情緒
131,負向,正向,-0.10267572613345599,情緒
132,學習成長,負向,0.25695283474741387,成長價值
133,薪資,負向,0.3426037796632184,經濟報酬
134,福利,負向,0.2569528347474138,經濟報酬
135,管理制度,負向,0.3703084473877832,經濟報酬
136,同事互動,負向,-0.240500395353234,人際價值
137,主管風格,負向,-0.240500395353234,人際價值
138,公司規模,負向,0.2569528347474138,組織文化與制度
139,保養,負向,0.25695283474741387,產品與服務
140,變速箱,負向,0.3980696198950081,產品與服務
141,工作,負向,-0.240500395353234,招募資訊
142,正向,負向,-0.10267572613345598,情緒
143,負向,負向,1.0,情緒
