,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,-0.0372760841198471,成長價值
2,薪資,成就感,0.17785117427974442,經濟報酬
3,福利,成就感,-0.027461751819054497,經濟報酬
4,管理制度,成就感,-0.07051666440925401,經濟報酬
5,工作氛圍,成就感,-0.049547873987628846,人際價值
6,同事互動,成就感,-0.042240953777711435,人際價值
7,主管風格,成就感,-0.05847053462046867,人際價值
8,公司規模,成就感,-0.01923076923076924,組織文化與制度
9,工作環境,成就感,-0.03396831102433788,組織文化與制度
10,產業前景,成就感,-0.027461751819054515,組織文化與制度
11,學經歷,成就感,-0.019230769230769235,招募資訊
12,工作,成就感,0.1736509118181006,招募資訊
13,新鮮人,成就感,-0.027461751819054497,招募資訊
14,畢業,成就感,-0.027461751819054515,招募資訊
15,正向,成就感,0.2710843378268457,情緒
16,負向,成就感,0.04844551682449843,情緒
17,成就感,學習成長,-0.0372760841198471,成長價值
18,學習成長,學習成長,1.0,成長價值
19,薪資,學習成長,-0.10089920702335534,經濟報酬
20,福利,學習成長,-0.05323066168604283,經濟報酬
21,管理制度,學習成長,0.07029587620144781,經濟報酬
22,工作氛圍,學習成長,0.07363176865306781,人際價值
23,同事互動,學習成長,0.20742432242195935,人際價值
24,主管風格,學習成長,0.03683443838306081,人際價值
25,公司規模,學習成長,-0.03727608411984706,組織文化與制度
26,工作環境,學習成長,-0.06584269219592206,組織文化與制度
27,產業前景,學習成長,-0.05323066168604286,組織文化與制度
28,學經歷,學習成長,-0.03727608411984706,招募資訊
29,工作,學習成長,0.1536264836483601,招募資訊
30,新鮮人,學習成長,-0.05323066168604284,招募資訊
31,畢業,學習成長,-0.05323066168604279,招募資訊
32,正向,學習成長,0.08645467492438465,情緒
33,負向,學習成長,0.1650039312826727,情緒
34,成就感,薪資,0.1778511742797444,成長價值
35,學習成長,薪資,-0.10089920702335534,成長價值
36,薪資,薪資,0.9999999999999998,經濟報酬
37,福利,薪資,0.08981987867886594,經濟報酬
38,管理制度,薪資,-0.0704419936349132,經濟報酬
39,工作氛圍,薪資,-0.03539187723944474,人際價值
40,同事互動,薪資,-0.030172569078364343,人際價值
41,主管風格,薪資,0.1912411254934915,人際價值
42,公司規模,薪資,0.17785117427974445,組織文化與制度
43,工作環境,薪資,0.04341880276029777,組織文化與制度
44,產業前景,薪資,-0.07433369269975117,組織文化與制度
45,學經歷,薪資,-0.052054002228217884,招募資訊
46,工作,薪資,-0.11550120770353556,招募資訊
47,新鮮人,薪資,-0.0743336926997511,招募資訊
48,畢業,薪資,-0.07433369269975112,招募資訊
49,正向,薪資,0.047291628020169806,情緒
50,負向,薪資,0.17250196847657528,情緒
51,成就感,福利,-0.027461751819054497,成長價值
52,學習成長,福利,-0.05323066168604283,成長價值
53,薪資,福利,0.08981987867886594,經濟報酬
54,福利,福利,1.0,經濟報酬
55,管理制度,福利,-0.1006985791299533,經濟報酬
56,工作氛圍,福利,0.5542468245138261,人際價值
57,同事互動,福利,0.2060952146889575,人際價值
58,主管風格,福利,0.1930858230845878,人際價值
59,公司規模,福利,0.7002746713858896,組織文化與制度
60,工作環境,福利,0.37997247922358834,組織文化與制度
61,產業前景,福利,-0.03921568627450981,組織文化與制度
