,item1,item2,value,class
0,成就感,成就感,1.0,成長價值
1,學習成長,成就感,0.28351931770112915,成長價值
2,薪資,成就感,-0.026163122337515523,經濟報酬
3,福利,成就感,-0.032983294153447605,經濟報酬
4,管理制度,成就感,-0.046264575637350244,經濟報酬
5,工作氛圍,成就感,0.315697244040141,人際價值
6,同事互動,成就感,-0.029781901610640468,人際價值
7,主管風格,成就感,-0.026356340805554403,人際價值
8,公司規模,成就感,-0.046107118592415015,組織文化與制度
9,工作環境,成就感,-0.01950685786602169,組織文化與制度
10,產業前景,成就感,-0.024058581793215173,組織文化與制度
11,多元性,成就感,-0.019506857866021708,組織文化與制度
12,變化性,成就感,-0.059014426856489256,組織文化與制度
13,工學院,成就感,-0.03890712068110739,科系專業
14,社會學院,成就感,-0.013698630136986249,科系專業
15,文學院,成就感,-0.013698630136986235,科系專業
16,實習,成就感,-0.013698630136986242,招募資訊
17,工作,成就感,-0.04088434416671897,招募資訊
18,離職,成就感,-0.013698630136986231,招募資訊
19,新鮮人,成就感,-0.01369863013698626,招募資訊
20,畢業,成就感,-0.01950685786602169,招募資訊
21,能力,成就感,-0.02646692524652181,招募資訊
22,招募人員,成就感,-0.029781901610640468,招募資訊
23,正向,成就感,-0.06196296028030431,情緒
24,負向,成就感,0.157553080562113,情緒
25,成就感,學習成長,0.2835193177011292,成長價值
26,學習成長,學習成長,1.0,成長價值
27,薪資,學習成長,-0.05657418736666411,經濟報酬
28,福利,學習成長,-0.0713218796799059,經濟報酬
29,管理制度,學習成長,0.3229890020183905,經濟報酬
30,工作氛圍,學習成長,0.03638871412240101,人際價值
31,同事互動,學習成長,0.1625315780017697,人際價值
32,主管風格,學習成長,-0.05699199597805673,人際價值
33,公司規模,學習成長,0.22459971642840534,組織文化與制度
34,工作環境,學習成長,-0.042180922353627574,組織文化與制度
35,產業前景,學習成長,-0.05202340518027134,組織文化與制度
36,多元性,學習成長,-0.042180922353627574,組織文化與制度
37,變化性,學習成長,0.14219473258203935,組織文化與制度
38,工學院,學習成長,-0.08413134743302982,科系專業
39,社會學院,學習成長,-0.02962142125235683,科系專業
40,文學院,學習成長,-0.029621421252356752,科系專業
41,實習,學習成長,-0.029621421252356787,招募資訊
42,工作,學習成長,0.34294075616320957,招募資訊
43,離職,學習成長,-0.0296214212523567,招募資訊
44,新鮮人,學習成長,-0.029621421252356842,招募資訊
45,畢業,學習成長,-0.042180922353627574,招募資訊
46,能力,學習成長,0.34611201000542063,招募資訊
47,招募人員,學習成長,-0.064399304491267,招募資訊
48,正向,學習成長,0.07585476793005297,情緒
49,負向,學習成長,-0.02557215297894459,情緒
50,成就感,薪資,-0.026163122337515523,成長價值
51,學習成長,薪資,-0.0565741873666641,成長價值
52,薪資,薪資,1.0,經濟報酬
53,福利,薪資,0.45496428670518585,經濟報酬
54,管理制度,薪資,0.056943807057884065,經濟報酬
55,工作氛圍,薪資,-0.06299505508225649,人際價值
56,同事互動,薪資,-0.05688069007566201,人際價值
57,主管風格,薪資,-0.05033818432714313,人際價值
