,item1,item2,value,class
0,學習成長,學習成長,1.0,成長價值
1,薪資,學習成長,0.20979985529194278,經濟報酬
2,福利,學習成長,0.10163807197936749,經濟報酬
3,管理制度,學習成長,0.1881534348298418,經濟報酬
4,工作氛圍,學習成長,-0.03206138769946133,人際價值
5,同事互動,學習成長,0.1835236269387829,人際價值
6,主管風格,學習成長,0.07020467239764087,人際價值
7,公司規模,學習成長,-0.01840144248630423,組織文化與制度
8,工作環境,學習成長,-0.043048510205617105,組織文化與制度
9,產業前景,學習成長,-0.026100448781661505,組織文化與制度
10,變化性,學習成長,-0.018401442486304327,組織文化與制度
11,工學院,學習成長,0.19132650089704403,科系專業
12,面試,學習成長,-0.03206138769946134,招募資訊
13,徵才,學習成長,-0.026100448781661456,招募資訊
14,實習,學習成長,-0.018401442486304227,招募資訊
15,工作,學習成長,0.0030617210555264024,招募資訊
16,離職,學習成長,-0.02610044878166154,招募資訊
17,畢業,學習成長,0.17677122129398018,招募資訊
18,招募人員,學習成長,0.10717639226265638,招募資訊
19,正向,學習成長,0.2539177782770242,情緒
20,負向,學習成長,0.11860294428458705,情緒
21,學習成長,薪資,0.20979985529194278,成長價值
22,薪資,薪資,1.0,經濟報酬
23,福利,薪資,0.33161388223376526,經濟報酬
24,管理制度,薪資,0.03459098299920682,經濟報酬
25,工作氛圍,薪資,0.1521548843086506,人際價值
26,同事互動,薪資,0.3287409651283788,人際價值
27,主管風格,薪資,-0.00648983283333039,人際價值
28,公司規模,薪資,-0.024113062769691076,組織文化與制度
29,工作環境,薪資,-0.023821929568210633,組織文化與制度
30,產業前景,薪資,-0.03420176218564013,組織文化與制度
31,變化性,薪資,0.08732838949023287,組織文化與制度
32,工學院,薪資,-0.05995294074005361,科系專業
33,面試,薪資,-0.042012915816567686,招募資訊
34,徵才,薪資,0.04483203962171729,招募資訊
35,實習,薪資,-0.02411306276969108,招募資訊
36,工作,薪資,0.04264156506578561,招募資訊
37,離職,薪資,0.12386584142907546,招募資訊
38,畢業,薪資,-0.0342017621856401,招募資訊
39,招募人員,薪資,0.007561617726866893,招募資訊
40,正向,薪資,0.31153299718640276,情緒
41,負向,薪資,0.23719980435864194,情緒
42,學習成長,福利,0.10163807197936749,成長價值
43,薪資,福利,0.33161388223376526,經濟報酬
44,福利,福利,1.0,經濟報酬
45,管理制度,福利,0.02822872685726532,經濟報酬
46,工作氛圍,福利,-0.03891874056732744,人際價值
47,同事互動,福利,0.10337249675356894,人際價值
48,主管風格,福利,0.3018816767687428,人際價值
49,公司規模,福利,-0.02233717931682362,組織文化與制度
50,工作環境,福利,0.12410754997544789,組織文化與制度
51,產業前景,福利,-0.031682864271073606,組織文化與制度
52,變化性,福利,-0.022337179316823646,組織文化與制度
53,工學院,福利,-0.055537515108398446,科系專業
54,面試,福利,-0.03891874056732744,招募資訊
55,徵才,福利,-0.03168286427107359,招募資訊
56,實習,福利,-0.022337179316823632,招募資訊
57,工作,福利,0.051102809952887705,招募資訊
58,離職,福利,-0.0316828642710736,招募資訊
59,畢業,福利,-0.0316828642710736,招募資訊
60,招募人員,福利,0.05634229904879955,招募資訊
61,正向,福利,0.33690665408812803,情緒
62,負向,福利,0.10975928866968562,情緒
63,學習成長,管理制度,0.1881534348298418,成長價值
64,薪資,管理制度,0.03459098299920682,經濟報酬
65,福利,管理制度,0.02822872685726532,經濟報酬
66,管理制度,管理制度,1.0,經濟報酬
67,工作氛圍,管理制度,0.11225264419531433,人際價值
68,同事互動,管理制度,0.03440255634167653,人際價值
69,主管風格,管理制度,0.09517905019270795,人際價值
70,公司規模,管理制度,-0.029735416831155482,組織文化與制度
71,工作環境,管理制度,0.054346342170125954,組織文化與制度
72,產業前景,管理制度,-0.042176461143226616,組織文化與制度
73,變化性,管理制度,0.11150781311683282,組織文化與制度
74,工學院,管理制度,-0.07393194718506867,科系專業
