,item1,item2,value,class
0,薪資,薪資,0.9999999999999999,經濟報酬
1,管理制度,薪資,-0.9999999999999999,經濟報酬
2,離職,薪資,0.9999999999999999,招募資訊
3,正向,薪資,0.9999999999999999,情緒
4,負向,薪資,-0.9999999999999999,情緒
5,薪資,管理制度,-0.9999999999999999,經濟報酬
6,管理制度,管理制度,0.9999999999999999,經濟報酬
7,離職,管理制度,-0.9999999999999999,招募資訊
8,正向,管理制度,-0.9999999999999999,情緒
9,負向,管理制度,0.9999999999999999,情緒
10,薪資,離職,0.9999999999999999,經濟報酬
11,管理制度,離職,-0.9999999999999999,經濟報酬
12,離職,離職,0.9999999999999999,招募資訊
13,正向,離職,0.9999999999999999,情緒
14,負向,離職,-0.9999999999999999,情緒
15,薪資,正向,0.9999999999999999,經濟報酬
16,管理制度,正向,-0.9999999999999999,經濟報酬
17,離職,正向,0.9999999999999999,招募資訊
18,正向,正向,0.9999999999999999,情緒
19,負向,正向,-0.9999999999999999,情緒
20,薪資,負向,-0.9999999999999999,經濟報酬
21,管理制度,負向,0.9999999999999999,經濟報酬
22,離職,負向,-0.9999999999999999,招募資訊
23,正向,負向,-0.9999999999999999,情緒
24,負向,負向,0.9999999999999999,情緒
