,item1,item2,value,class
0,薪資,薪資,0.9999999999999999,經濟報酬
1,福利,薪資,0.9999999999999999,經濟報酬
2,工作地點,薪資,0.9999999999999999,組織文化與制度
3,正向,薪資,-0.9999999999999999,情緒
4,負向,薪資,-1.0,情緒
5,薪資,福利,0.9999999999999999,經濟報酬
6,福利,福利,0.9999999999999999,經濟報酬
7,工作地點,福利,0.9999999999999999,組織文化與制度
8,正向,福利,-0.9999999999999999,情緒
9,負向,福利,-1.0,情緒
10,薪資,工作地點,0.9999999999999999,經濟報酬
11,福利,工作地點,0.9999999999999999,經濟報酬
12,工作地點,工作地點,0.9999999999999999,組織文化與制度
13,正向,工作地點,-0.9999999999999999,情緒
14,負向,工作地點,-1.0,情緒
15,薪資,正向,-1.0,經濟報酬
16,福利,正向,-1.0,經濟報酬
17,工作地點,正向,-1.0,組織文化與制度
18,正向,正向,1.0,情緒
19,負向,正向,1.0,情緒
20,薪資,負向,-1.0,經濟報酬
21,福利,負向,-1.0,經濟報酬
22,工作地點,負向,-1.0,組織文化與制度
23,正向,負向,1.0,情緒
24,負向,負向,1.0,情緒
