,item1,item2,value,class
0,薪資,薪資,0.9999999999999998,經濟報酬
1,福利,薪資,-0.055901699437494706,經濟報酬
2,管理制度,薪資,-0.08032193289024986,經濟報酬
3,同事互動,薪資,-0.08032193289024986,人際價值
4,主管風格,薪資,-0.11016316230980787,人際價值
5,工作環境,薪資,-0.08032193289024986,組織文化與制度
6,工學院,薪資,-0.055901699437494706,科系專業
7,理學院,薪資,-0.055901699437494706,科系專業
8,實習,薪資,-0.05590169943749472,招募資訊
9,工作,薪資,-0.08032193289024986,招募資訊
10,招募人員,薪資,-0.08032193289024986,招募資訊
11,正向,薪資,-0.16408253082847335,情緒
12,負向,薪資,-0.05590169943749472,情緒
13,薪資,福利,-0.055901699437494706,經濟報酬
14,福利,福利,1.0,經濟報酬
15,管理制度,福利,-0.044901325506693714,經濟報酬
16,同事互動,福利,-0.044901325506693714,人際價值
17,主管風格,福利,-0.06158307988526829,人際價值
18,工作環境,福利,0.6959705453537525,組織文化與制度
19,工學院,福利,-0.031249999999999997,科系專業
20,理學院,福利,-0.031249999999999997,科系專業
21,實習,福利,-0.03124999999999999,招募資訊
22,工作,福利,-0.044901325506693755,招募資訊
23,招募人員,福利,-0.044901325506693755,招募資訊
24,正向,福利,0.34069257193462343,情緒
25,負向,福利,-0.031249999999999986,情緒
26,薪資,管理制度,-0.08032193289024986,經濟報酬
27,福利,管理制度,-0.044901325506693714,經濟報酬
28,管理制度,管理制度,0.9999999999999999,經濟報酬
29,同事互動,管理制度,-0.0645161290322581,人際價值
30,主管風格,管理制度,-0.08848518130026103,人際價值
31,工作環境,管理制度,-0.06451612903225808,組織文化與制度
32,工學院,管理制度,-0.044901325506693714,科系專業
33,理學院,管理制度,-0.044901325506693714,科系專業
34,實習,管理制度,-0.04490132550669373,招募資訊
35,工作,管理制度,-0.06451612903225806,招募資訊
36,招募人員,管理制度,-0.06451612903225809,招募資訊
37,正向,管理制度,-0.13179426029667,情緒
38,負向,管理制度,-0.044901325506693734,情緒
39,薪資,同事互動,-0.08032193289024986,經濟報酬
40,福利,同事互動,-0.044901325506693714,經濟報酬
41,管理制度,同事互動,-0.0645161290322581,經濟報酬
42,同事互動,同事互動,1.0,人際價值
43,主管風格,同事互動,0.20351591699060043,人際價值
44,工作環境,同事互動,-0.06451612903225808,組織文化與制度
45,工學院,同事互動,-0.04490132550669372,科系專業
46,理學院,同事互動,-0.04490132550669372,科系專業
47,實習,同事互動,-0.04490132550669373,招募資訊
48,工作,同事互動,-0.06451612903225806,招募資訊
49,招募人員,同事互動,0.4677419354838708,招募資訊
50,正向,同事互動,0.1788636389740521,情緒
51,負向,同事互動,0.6959705453537528,情緒
52,薪資,主管風格,-0.11016316230980788,經濟報酬
53,福利,主管風格,-0.061583079885268295,經濟報酬
54,管理制度,主管風格,-0.08848518130026103,經濟報酬
55,同事互動,主管風格,0.20351591699060043,人際價值
56,主管風格,主管風格,1.0,人際價值
57,工作環境,主管風格,0.20351591699060037,組織文化與制度
58,工學院,主管風格,0.3448652473575027,科系專業
59,理學院,主管風格,-0.061583079885268295,科系專業
60,實習,主管風格,-0.061583079885268316,招募資訊
61,工作,主管風格,-0.08848518130026099,招募資訊
62,招募人員,主管風格,0.7875181135723232,招募資訊
63,正向,主管風格,0.33052983727289037,情緒
64,負向,主管風格,-0.06158307988526832,情緒
65,薪資,工作環境,-0.08032193289024986,經濟報酬
66,福利,工作環境,0.6959705453537525,經濟報酬
67,管理制度,工作環境,-0.06451612903225806,經濟報酬
68,同事互動,工作環境,-0.06451612903225808,人際價值
69,主管風格,工作環境,0.20351591699060037,人際價值
70,工作環境,工作環境,0.9999999999999999,組織文化與制度
71,工學院,工作環境,0.6959705453537525,科系專業
72,理學院,工作環境,-0.04490132550669373,科系專業
73,實習,工作環境,-0.04490132550669372,招募資訊
74,工作,工作環境,-0.06451612903225812,招募資訊
75,招募人員,工作環境,-0.0645161290322581,招募資訊
76,正向,工作環境,0.4895215382447743,情緒
77,負向,工作環境,-0.044901325506693714,情緒
78,薪資,工學院,-0.055901699437494706,經濟報酬
79,福利,工學院,-0.031249999999999997,經濟報酬
80,管理制度,工學院,-0.044901325506693714,經濟報酬
81,同事互動,工學院,-0.04490132550669373,人際價值
82,主管風格,工學院,0.3448652473575027,人際價值
83,工作環境,工學院,0.6959705453537525,組織文化與制度
84,工學院,工學院,0.9999999999999999,科系專業
85,理學院,工學院,-0.031249999999999997,科系專業
86,實習,工學院,-0.03124999999999999,招募資訊
87,工作,工學院,-0.044901325506693755,招募資訊
88,招募人員,工學院,-0.04490132550669374,招募資訊
89,正向,工學院,0.34069257193462343,情緒
90,負向,工學院,-0.031249999999999986,情緒
91,薪資,理學院,-0.055901699437494706,經濟報酬
92,福利,理學院,-0.031249999999999997,經濟報酬
93,管理制度,理學院,-0.044901325506693714,經濟報酬
94,同事互動,理學院,-0.04490132550669373,人際價值
95,主管風格,理學院,-0.06158307988526829,人際價值
96,工作環境,理學院,-0.04490132550669373,組織文化與制度
97,工學院,理學院,-0.031249999999999997,科系專業
98,理學院,理學院,0.9999999999999999,科系專業
99,實習,理學院,-0.03124999999999999,招募資訊
100,工作,理學院,-0.04490132550669374,招募資訊
101,招募人員,理學院,-0.04490132550669374,招募資訊
102,正向,理學院,-0.09172492321316787,情緒
103,負向,理學院,-0.031249999999999986,情緒
104,薪資,實習,-0.05590169943749472,經濟報酬
105,福利,實習,-0.03124999999999999,經濟報酬
106,管理制度,實習,-0.044901325506693734,經濟報酬
107,同事互動,實習,-0.044901325506693734,人際價值
108,主管風格,實習,-0.06158307988526831,人際價值
109,工作環境,實習,-0.04490132550669372,組織文化與制度
110,工學院,實習,-0.03124999999999999,科系專業
111,理學院,實習,-0.03124999999999999,科系專業
112,實習,實習,1.0,招募資訊
113,工作,實習,-0.04490132550669375,招募資訊
114,招募人員,實習,-0.04490132550669374,招募資訊
115,正向,實習,-0.09172492321316789,情緒
116,負向,實習,-0.03124999999999999,情緒
117,薪資,工作,-0.08032193289024986,經濟報酬
118,福利,工作,-0.04490132550669375,經濟報酬
119,管理制度,工作,-0.06451612903225806,經濟報酬
120,同事互動,工作,-0.06451612903225806,人際價值
121,主管風格,工作,-0.08848518130026098,人際價值
122,工作環境,工作,-0.06451612903225812,組織文化與制度
123,工學院,工作,-0.04490132550669375,科系專業
124,理學院,工作,-0.04490132550669374,科系專業
125,實習,工作,-0.04490132550669375,招募資訊
126,工作,工作,0.9999999999999999,招募資訊
127,招募人員,工作,-0.06451612903225812,招募資訊
128,正向,工作,0.1788636389740521,情緒
129,負向,工作,-0.04490132550669374,情緒
130,薪資,招募人員,-0.08032193289024986,經濟報酬
131,福利,招募人員,-0.04490132550669375,經濟報酬
132,管理制度,招募人員,-0.06451612903225809,經濟報酬
133,同事互動,招募人員,0.4677419354838708,人際價值
134,主管風格,招募人員,0.7875181135723232,人際價值
135,工作環境,招募人員,-0.0645161290322581,組織文化與制度
136,工學院,招募人員,-0.04490132550669374,科系專業
137,理學院,招募人員,-0.04490132550669374,科系專業
138,實習,招募人員,-0.04490132550669374,招募資訊
139,工作,招募人員,-0.06451612903225812,招募資訊
140,招募人員,招募人員,1.0,招募資訊
141,正向,招募人員,0.1788636389740521,情緒
142,負向,招募人員,-0.04490132550669373,情緒
143,薪資,正向,-0.16408253082847335,經濟報酬
144,福利,正向,0.34069257193462343,經濟報酬
145,管理制度,正向,-0.13179426029667,經濟報酬
146,同事互動,正向,0.1788636389740521,人際價值
147,主管風格,正向,0.33052983727289037,人際價值
148,工作環境,正向,0.4895215382447743,組織文化與制度
149,工學院,正向,0.34069257193462343,科系專業
150,理學院,正向,-0.09172492321316789,科系專業
151,實習,正向,-0.09172492321316789,招募資訊
152,工作,正向,0.1788636389740521,招募資訊
153,招募人員,正向,0.1788636389740521,招募資訊
154,正向,正向,1.0,情緒
155,負向,正向,-0.09172492321316789,情緒
156,薪資,負向,-0.05590169943749472,經濟報酬
157,福利,負向,-0.031249999999999986,經濟報酬
158,管理制度,負向,-0.044901325506693734,經濟報酬
159,同事互動,負向,0.6959705453537528,人際價值
160,主管風格,負向,-0.06158307988526833,人際價值
161,工作環境,負向,-0.044901325506693714,組織文化與制度
162,工學院,負向,-0.031249999999999986,科系專業
163,理學院,負向,-0.031249999999999986,科系專業
164,實習,負向,-0.03124999999999999,招募資訊
165,工作,負向,-0.04490132550669374,招募資訊
166,招募人員,負向,-0.044901325506693734,招募資訊
167,正向,負向,-0.09172492321316789,情緒
168,負向,負向,1.0,情緒
